symbol,state,horizon,definition,n_total,nS,rateS,p0,pS,p_control,n_controls,uplift,uplift_matched,delta,CI_low,CI_high,p_perm,nS_train,pS_train,train_uplift,nS_test,pS_test,p0_test,test_uplift,delta_test,p_control_test,n_controls_test,uplift_matched_test,weeks_positive,weeks_total,n_syms_contributing,q_fdr,flag_PASS,weekly_stable
0GUSDT,S02_fund_low,12h,A_k3.0,16848,895,0.053122,0.000950,0.000000,0.000000,7690.000000,0.000000,0.000000,-0.000950,0.000000,0.004274,1.000000,514.000000,0.000000,0.000000,276,0.000000,0.002096,0.000000,-0.002096,0.000000,2760.000000,0.000000,0.000000,9.000000,,1.000000,0,0
0GUSDT,S02_fund_low,12h,A_k4.0,16848,895,0.053122,0.000000,0.000000,0.000000,7690.000000,0.000000,0.000000,0.000000,0.000000,0.004274,1.000000,514.000000,0.000000,0.000000,276,0.000000,0.000000,0.000000,0.000000,0.000000,2760.000000,0.000000,0.000000,9.000000,,1.000000,0,0
0GUSDT,S02_fund_low,12h,B,16848,895,0.053122,0.389008,0.395531,0.509363,7690.000000,1.016769,0.776521,0.006523,0.364008,0.427947,1.000000,514.000000,0.301556,0.942637,276,0.525362,0.435666,1.205884,0.089697,0.586594,2760.000000,0.895615,3.000000,9.000000,,1.000000,0,0
0GUSDT,S02_fund_low,12h,B_adp,16848,895,0.053122,0.072709,0.078212,0.100130,7690.000000,1.075690,0.781107,0.005503,0.062369,0.097661,1.000000,514.000000,0.108949,0.974454,276,0.050725,0.032888,1.542352,0.017837,0.032246,2760.000000,1.573034,2.000000,9.000000,,1.000000,0,0
0GUSDT,S02_fund_low,24h,A_k3.0,16704,883,0.052862,0.004909,0.000000,0.001849,7570.000000,0.000000,0.000000,-0.004909,0.000000,0.004332,1.000000,514.000000,0.000000,0.000000,264,0.000000,0.007879,0.000000,-0.007879,0.004545,2640.000000,0.000000,0.000000,8.000000,,1.000000,0,0
0GUSDT,S02_fund_low,24h,A_k4.0,16704,883,0.052862,0.000838,0.000000,0.000396,7570.000000,0.000000,0.000000,-0.000838,0.000000,0.004332,1.000000,514.000000,0.000000,0.000000,264,0.000000,0.001870,0.000000,-0.001870,0.001136,2640.000000,0.000000,0.000000,8.000000,,1.000000,0,0
0GUSDT,S02_fund_low,24h,B,16704,883,0.052862,0.365302,0.439411,0.532365,7570.000000,1.202872,0.825395,0.074109,0.407007,0.472340,1.000000,514.000000,0.336576,1.017856,264,0.424242,0.370326,1.145592,0.053917,0.531061,2640.000000,0.798859,4.000000,8.000000,,1.000000,0,0
0GUSDT,S02_fund_low,24h,B_adp,16704,883,0.052862,0.078963,0.139298,0.104888,7570.000000,1.764087,1.328066,0.060335,0.118017,0.163703,0.002499,514.000000,0.215953,1.755255,264,0.045455,0.034188,1.329545,0.011267,0.023485,2640.000000,1.935484,3.000000,8.000000,,0.036999,1,0
0GUSDT,S03_oi_surge,12h,A_k3.0,16848,409,0.024276,0.000950,0.000000,0.000000,3480.000000,0.000000,0.000000,-0.000950,0.000000,0.009305,1.000000,221.000000,0.000000,0.000000,184,0.000000,0.002096,0.000000,-0.002096,0.000000,1840.000000,0.000000,0.000000,9.000000,,1.000000,0,0
0GUSDT,S03_oi_surge,12h,A_k4.0,16848,409,0.024276,0.000000,0.000000,0.000000,3480.000000,0.000000,0.000000,0.000000,0.000000,0.009305,1.000000,221.000000,0.000000,0.000000,184,0.000000,0.000000,0.000000,0.000000,0.000000,1840.000000,0.000000,0.000000,9.000000,,1.000000,0,0
0GUSDT,S03_oi_surge,12h,B,16848,409,0.024276,0.389008,0.462103,0.520977,3480.000000,1.187901,0.886992,0.073095,0.414361,0.510550,0.999500,221.000000,0.253394,0.792084,184,0.706522,0.435666,1.621706,0.270856,0.484239,1840.000000,1.459035,4.000000,9.000000,,1.000000,0,0
0GUSDT,S03_oi_surge,12h,B_adp,16848,409,0.024276,0.072709,0.095355,0.104885,3480.000000,1.311456,0.909134,0.022646,0.070539,0.127701,0.999500,221.000000,0.072398,0.647537,184,0.119565,0.032888,3.635545,0.086677,0.022826,1840.000000,5.238095,3.000000,9.000000,,1.000000,0,0
