,max_|spearman|,max_|auc-0.5|,max_mi,max_|spearman|_norm,max_|auc-0.5|_norm,max_mi_norm,composite
buy_volume,0.4247880212887237,0.3758569469835466,0.039269504860414806,0.8336100720493305,0.8572587464741733,0.3252272391301967,0.6720320192179002
num_extrema,0.4901640905374421,0.34375,0.03186312336705299,0.9619050028512618,0.7840288611544461,0.26388811571641596,0.6699406599073746
fib_size_ratio_count,0.47563801698738245,0.34192184643510054,0.03575541092014589,0.9333988289202679,0.7798591879689812,0.29612376369040627,0.6697939268598851
extrema_density,0.49015301150412766,0.34375,0.03162664049851127,0.961883261198257,0.7840288611544461,0.2619295814616349,0.6692805679381127
wave_wavelength,0.4968293242685149,0.348491773308958,0.02855567084371735,0.9749849525963813,0.7948439509792458,0.236496029757039,0.6687749777775553
centripetal_accel,0.4048666442315887,0.3893848724998652,0.03808469651808721,0.7945160775587635,0.8881133909435303,0.3154147409221519,0.6660147364748152
range,0.4430284493745496,0.32670763922583423,0.04613530301930435,0.8694053483019558,0.7451584532732756,0.38208928991433405,0.6655510304965219
wave_amplitude,0.4430284493745496,0.32670763922583423,0.04612652892746194,0.8694053483019558,0.7451584532732756,0.3820166235113344,0.6655268083621887
wave_frequency,0.49681895715255336,0.348491773308958,0.026310073664872924,0.9749646080201443,0.7948439509792458,0.2178981540448262,0.6625689043480721
effective_spread_bps,0.39982518678754875,0.38649522885330734,0.038820188924240995,0.7846226495604648,0.8815226592566854,0.32150603658541205,0.6625504484675208
spectral_entropy,0.4693078653781325,0.3345521023765996,0.035498523531528825,0.9209764491105431,0.7630501929400758,0.2939962406553116,0.6593409609019768
max_visits_level,0.44136932150671754,0.32855347349177333,0.043632569010479294,0.8661494521087284,0.7493684528002692,0.36136182531144,0.6589599100734792
monotonicity_score,0.40252598253838134,0.3841978976234003,0.03594194140382179,0.7899227296653881,0.8762828803828567,0.29766859585559824,0.6546247353012811
max_drawdown,0.401541786970226,0.4038505484460695,0.026800410461484958,0.7879913302441154,0.9211068671266046,0.2219590884307555,0.6436857619338251
value_area_width_bps,0.3950341525876185,0.3793789422610383,0.03485574903270994,0.7752206557083827,0.8652917528637097,0.28867282808932093,0.6430617455538045
price_path_length,0.4935755183867913,0.31375685557586835,0.028232159803523338,0.9685996375225964,0.7156201604554127,0.23381673439020342,0.6393455107894042
sell_trades,0.4633363428309627,0.3269538391224863,0.031277316323863324,0.9092578480876413,0.7457199887629875,0.2590365035558651,0.638004780135498
inter_trade_std,0.4907091292586331,0.3219264168190128,0.02296806051076583,0.962974594612026,0.734253387502959,0.19021983940575618,0.629149273840247
close,0.2797793839329466,0.14645082839337287,0.12074482126847386,0.5490430537346512,0.3340266944011094,1.0,0.6276899160452535
escape_velocity,0.41104006292020134,0.3816841864716636,0.024316732204596292,0.8066308824494298,0.8705495797528426,0.2013894422066226,0.6261899681362983
fib_bounce_count,0.4807490056419743,0.29179044789762343,0.03208615796927816,0.9434287059579299,0.6655189310863111,0.265735272388496,0.6248943031442457
low,0.2720658728184498,0.15367915904936014,0.11738763490587889,0.5339059494999286,0.35051315215314277,0.9721960219301635,0.6188717078610783
sell_volume,0.42745904656334793,0.3768281535648994,0.01648938092629848,0.8388517301471037,0.8594738853539515,0.13656387705137804,0.611629830850811
market_inertia,0.4292790878778177,0.3751142595978062,0.01652636627238646,0.8424234051832429,0.8555648167425782,0.13687018705042756,0.6116194696587496
value_area_low,0.27553798080546044,0.1440188478492172,0.11596730941631606,0.5407196637389365,0.328479805858901,0.960432987502337,0.6098774857000582
pv_work,0.42869330786574084,0.3757426873857404,0.015314638694728266,0.8412738621321205,0.8569981419000818,0.1268347456548588,0.6083689165623537
total_volume,0.42869330786574084,0.3757426873857404,0.015314638694728266,0.8412738621321205,0.8569981419000818,0.1268347456548588,0.6083689165623537
wave_frequency_z,0.2986847751366713,0.40887797074954296,0.03481684095303628,0.5861432630947123,0.932573468386633,0.28835059414781594,0.6023557752097204
market_temperature_z,0.2899273474122485,0.40962065813528337,0.03601044405403098,0.5689575620145,0.9342673981182282,0.29823592992002884,0.600486963350919
realized_vol_z,0.2899273474122485,0.40962065813528337,0.03601044405403098,0.5689575620145,0.9342673981182282,0.29823592992002884,0.600486963350919
high,0.2869827771918134,0.13793889648882807,0.11077348154412103,0.5631790954132894,0.3146125845033801,0.9174180754122636,0.598403251776311
dominant_freq_power_pct,0.4323945846940882,0.30587294332723947,0.027887931252866593,0.848537300574176,0.6976384448430953,0.23096585807898376,0.5923805344987517
wave_energy,0.4819984141791326,0.33318098720292505,0.007503193260319563,0.9458805630925068,0.7599229380509772,0.06214091156453288,0.5893148042360056
total_notional,0.4399064706877219,0.3054159049360146,0.024349902433813853,0.8632787327957854,0.6965960265467291,0.20166415567978935,0.5871796383407679
twap,0.2802443761186272,0.14067487460100314,0.10742772973392434,0.5499555610323655,0.3208528341133644,0.8897087974900454,0.5868390642119251
price_path_length_z,0.2983285957517069,0.4194469835466179,0.025729325920502255,0.5854442915892026,0.956679391490102,0.2130884426363395,0.5850707085718814
buy_volume_z,0.2861331404771012,0.38111288848263253,0.038604584218185245,0.561511756205328,0.869246556882385,0.3197204137836162,0.5834929089571098
fair_price,0.2797463418392198,0.14493084055327554,0.10514132464553416,0.5489782114586175,0.33055988906222905,0.8707729535807949,0.5834370180338805
fib_respect_score,0.41581088219240114,0.32526281740255536,0.023232591746206843,0.8159932062389927,0.7418630874298532,0.1924106682352,0.5834223206346819
escape_velocity_z,0.27218657064829477,0.36294561243144424,0.04684546174432036,0.5341428086428207,0.8278104296018276,0.38797077383683687,0.5833080040271618
poc_price,0.27874330747225723,0.14401884784921715,0.10552573833650847,0.5470098425098534,0.32847980585890085,0.8739566403587112,0.5831487629091551
vwap,0.2797838819494047,0.14295485636114907,0.10474251699214676,0.5490518807063072,0.3260530421216848,0.8674700570325391,0.580858326620177
fair_value,0.27921162032113145,0.14417084663322693,0.10442595766662777,0.547928866324384,0.32882648639278905,0.864848335270948,0.580534562662707
max_visits_level_z,0.2573106657572296,0.37894195612431447,0.044912063384091816,0.5049501206983289,0.8642950699746454,0.3719585064789709,0.5804012323839817
vwap_sell,0.2797807884718034,0.14371485028119774,0.10428212276692861,0.5490458100217378,0.32778644479112495,0.86365710488783,0.580163119900231
vwap_buy,0.2796822527116357,0.14249886000911993,0.10366233942623282,0.5488524420404948,0.3250130005200208,0.8585241034540234,0.5774631820048463
inter_trade_std_z,0.30288431602266896,0.388768281535649,0.02988485126494922,0.5943845020306172,0.8867070633465193,0.2475042072280749,0.5761985908684037
wave_wavelength_z,0.3104479832052949,0.3959095063985375,0.025980787682500228,0.6092275503960992,0.9029948492272415,0.21517103101865073,0.5757978102139971
spectral_flatness,0.42221220713570223,0.30027422303473494,0.025714287782276024,0.8285552576146586,0.6848688207126091,0.21296389784784878,0.5754626587250389
total_energy,0.3491353902908396,0.3347691699462685,0.031789607267625364,0.6851482698884754,0.7635452830911771,0.26327926062304374,0.5706576045342321
fib_bounce_count_z,0.2866602169358392,0.3915105118829982,0.030929764223185607,0.5625460985660451,0.8929615731247166,0.2561581018403585,0.5705552578437066
value_area_high,0.2837031533588876,0.1431068551451588,0.09994550055022078,0.5567431148238043,0.3263997226555728,0.8277415089131965,0.5702947821308579
extrema_density_z,0.2957928415670518,0.41539076782449724,0.022092881544159226,0.5804680914078586,0.9474279291098517,0.18297166960921757,0.5702892300423094
max_up_sweep,0.41727347076893284,0.25994058500914075,0.0360184876884766,0.818863410923584,0.5928754060582898,0.2983025467269537,0.5700137879029425
num_extrema_z,0.2957866829403986,0.41539076782449724,0.021978532373346127,0.5804560056310692,0.9474279291098517,0.18202463793024523,0.569969524223722
side_switches_z,0.2981313599257847,0.4071069469835466,0.02344299030002084,0.5850572331910894,0.9285340974882139,0.19415317405535587,0.5692481682448864
manhattan_distance_z,0.2983869038384953,0.41750457038391225,0.019826132400268648,0.5855587162104084,0.9522491137305455,0.16419861483073972,0.5673354815905646
fib_size_ratio_count_z,0.2767928879748815,0.40527879341864714,0.027205423803369655,0.5431823114678971,0.924364424302749,0.2253133800486474,0.5642867052730979
buy_trades_z,0.27969806117537793,0.40887797074954296,0.024145322783093448,0.5488834647952305,0.932573468386633,0.19996984160013598,0.5604755915939998
orbital_energy,0.31940706034364613,0.3320383912248629,0.03584539670871845,0.6268089711624827,0.7573168923100617,0.29686901957490064,0.5603316276824817
eigen_ratio,0.23721117691134386,0.40116544789762343,0.03572961214300108,0.4655065970929746,0.9149826596354531,0.2959101000576824,0.55879978559537
market_inertia_z,0.2876283768417077,0.38311243144424134,0.028491416182579776,0.5644460293749173,0.8738071369289873,0.2359638772351954,0.5580723478463666
temporal_clustering,0.32371148825060103,0.3017595978062157,0.04214078484835149,0.6352560418843969,0.6882566801757992,0.3490069752528122,0.5575065657710028
sell_volume_z,0.2823561289714778,0.38345521023765994,0.027137020744768314,0.5540996949523254,0.8745889506512617,0.2247468707948116,0.5511451721327996
graph_self_loop_ratio,0.3356291273304951,0.35322658903444926,0.021980703058724238,0.6586433868050671,0.8056431718695238,0.18204261539176536,0.5487763913554521
open,0.2803120818888257,0.13558291533667727,0.09500015319134825,0.5500884278015417,0.3092390362281157,0.7867844947164829,0.5487039862487134
large_trade_count_z,0.27653279676341114,0.40882084095063986,0.020447643313756814,0.5426719047646303,0.9324431660995873,0.16934592389922762,0.5481536649211485
total_notional_z,0.2858333587015494,0.3815127970749543,0.0254535457863323,0.5609234601729713,0.8701586728917053,0.21080445122972866,0.5472955280981351
reynolds_number,0.28689375345735785,0.37859917733089576,0.024085256544275957,0.563004393966981,0.8635132562523706,0.1994723772932906,0.5419966758375474
sunflower_score_z,0.2784090725148487,0.4005941499085923,0.019997614635165917,0.5463539350619894,0.9136796367649953,0.165618818472567,0.5418841300998505
kinetic_energy,0.31626803109350676,0.4018510054844607,0.010466370937222802,0.6206488953876644,0.9165462870800023,0.0866817377943773,0.5412923067540147
potential_energy,0.3432561273278554,0.3308264596474204,0.022749658285547092,0.6736107203895476,0.7545527051552708,0.18841104774973041,0.5388581577648497
candle_aspect_ratio_z,0.24868162641839847,0.3920246800731262,0.027794498354777986,0.48801637081730215,0.8941342937081287,0.2301920534792746,0.5374475726682352
