,tgt_ret_1,tgt_ret_3,tgt_ret_5,tgt_cum_ret_5,tgt_cum_ret_10,tgt_sharpe_5,tgt_sharpe_10,tgt_profitable_long_3,tgt_profitable_long_5,tgt_profitable_short_3,tgt_profitable_short_5
eigen_ratio,0.014468177992886133,0.003607235234853512,0.0034595978595000076,0.00943768962479652,0.01429529309301003,0.0051185034211638225,0.0,0.0067001235657540015,0.006364474983466373,0.007439449342375948,0.005993346145059419
eigen_sum,0.002294176668560688,0.0,0.0,0.006058391742480573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_principal_angle,0.00533847298883261,0.0,0.0,0.00887582565733025,0.00011427610751235662,0.002304034070666816,0.0007837737074769535,0.0023745804148123106,0.0,0.0026663483374433916,0.0
convex_hull_area,0.008921578221197102,0.004467464614150707,0.0,0.008469178029063329,0.0,0.0022759038583721747,0.00279347516069528,0.0005581142403925377,0.0052216437811622995,0.0,0.0015455777332387122
path_hull_ratio,0.011737318962823373,0.010005612627681515,0.0006933011221850194,0.0,0.0,0.004450578381587356,0.0,0.001607171014621489,0.002789989095721701,0.002834749924384816,0.003063211414546796
ohlc_triangle_area,0.0,0.012361730932366477,0.004189346902157887,0.002780209649141163,0.0,0.0,0.0035866221217384364,0.004004557874633274,0.0,0.00702310376090054,0.0
candle_aspect_ratio,0.043194935671703405,0.008700775993673027,0.018240428672815057,0.025795844608117235,0.01291803759611554,0.0029330057981509228,0.005105306466039572,0.0,0.0,0.0,0.0
price_slope_angle,0.0001707834059931912,0.00810020077087259,0.006999885241035564,0.0,0.0021566502585264047,0.0,0.0,0.00936498009417086,0.00419774081296076,0.008440313142417999,0.004598135895238276
price_volume_angle_cos,0.016734506607982702,0.008370402121928855,0.004557453386883736,0.005452556514837781,0.0,0.0,0.0027204485703542503,0.0,0.0,0.0,0.0
manhattan_distance,0.05320509446777422,0.016264219384781953,0.02145321690652313,0.010425434942668232,0.029452890976675583,0.013006971296381842,0.0,0.0,0.0,0.0,0.0
chebyshev_distance,0.02504293764615184,0.02442541196598924,0.007825716088708745,0.019269837659244615,0.006152544796167447,0.0017740122597551533,0.0,0.0,0.0,0.0024985445786942506,0.0009290052495893875
half_cosine_similarity,0.004811545159350672,0.006338393751553539,0.011141853661694512,0.003771707401814872,0.00455245726497111,0.0,0.0,0.004259535625864341,0.0,0.004774481278116305,0.0
signed_area,0.03562128144292842,0.0005889061042463339,0.01123271969491757,9.203732119811292e-05,0.0,0.0,0.011091274345454316,0.0,0.0018756786408733461,0.0,0.0
signed_area_bps,0.022740351701250106,0.007910955733120062,0.007070089641275423,0.0011430685478170943,0.0,0.0035127342792016236,0.002923656136838204,0.0,0.0,0.0,0.0
area_above_vwap_pct,0.007765386869982294,0.0,0.01019032781157403,0.0,0.006879654382648148,0.01040028362938994,0.0,0.0,0.000814738498840395,0.000733451873798252,0.002422733860543147
price_jerk,0.019482149464158383,0.004749420325816267,0.0064252855462001435,0.005031141984496834,0.0014550411002449692,0.0026232942928858805,0.012402490254308063,0.0,0.0008597942648500556,0.0,0.0009241919554097144
num_extrema,0.04653153665326215,0.034673049705591374,0.0198797387107863,0.030269791305710392,0.01767370017877301,0.01425417281643071,0.009880599286431035,0.0014803706723358623,0.0,0.0,0.0
extrema_density,0.0464697128314322,0.034554616898486046,0.019642284071610838,0.030406672290448356,0.01786500123625956,0.014279186810414402,0.009802634209187033,0.004930255297124209,0.0,0.0038469866144663634,0.0
max_monotonic_run,0.033742877302193275,0.026444997491755995,0.02021099825395556,0.021289511503577163,0.013273175217745958,0.005318621935857859,0.020165109721721475,0.0,0.0009082224457190868,0.0,0.0004094993028012084
monotonicity_score,0.03431218493190702,0.012833611691171143,0.004971245185058315,0.026939426779180486,0.0221761821679074,0.010557164149977538,0.0,0.0,0.007559016960580589,0.0,0.004562996942032882
tortuosity,0.00667131424344225,0.004577862859962867,0.0,0.0001077844708654574,0.00625695539089044,0.005973065719587112,0.0,0.002836417767505317,0.0,0.003348256295023777,3.218830450446575e-05
fib_nearest_dist,0.00460274706487418,0.0066406118180548646,0.0,0.004510830353448014,0.0,0.0023304062985332052,0.0,0.00317967285699039,0.0,0.001701091167159774,0.0011673881252689533
fib_nearest_level,0.012370250032730734,0.0077953762161011575,0.0,0.016139772771704752,0.0,0.012056439170935018,0.010507182699076356,0.010061237946771495,0.01435968653584041,0.005216978034152664,0.015548641670598329
fib_proximity,0.0037545590798271355,0.0,0.00405087159753581,0.0,0.0,0.005322763454034263,0.0029128984947317527,0.00801949425025672,0.0,0.005144623179384578,0.0
fib_total_crosses,0.009783256966477083,0.013515505854762466,0.02050170570822374,0.007342594552083526,0.010649924997268023,0.0,0.0,0.0016325800027936488,0.007302341491037367,0.0,0.0033329849356951158
fib_crosses_per_level,0.009798049243100238,0.012822080220506571,0.02095671602316518,0.008184089737582667,0.010377567930488496,5.1628951586835115e-05,0.0,0.0,0.002452274045444014,0.00021829292243147336,0.0
fib_vol_concentration,0.0,0.0,0.0,0.0,0.0,0.0,0.000954098933388714,0.0053090610022961116,0.00400365367867872,0.0029817113776156035,0.004734373620344456
fib_vol_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005220925925649489,0.003859623944453272,0.0028786682430275157,0.004565872221330647
fib_bounce_count,0.04298232341701791,0.03649155595650644,0.01822050434928002,0.03776830417103394,0.02351743877624557,0.017483100736643387,0.009324501789814477,0.0,0.0007610472205397123,0.0,0.0001824825716663092
