,tgt_ret_sign_1,tgt_ret_sign_3,tgt_ret_sign_5,tgt_ret_sign_10,tgt_vol_regime_5,tgt_vol_regime_10,tgt_vol_expansion_5,tgt_vol_expansion_10,tgt_mean_reversion_5,tgt_mean_reversion_10,tgt_regime_change_5,tgt_regime_change_10,tgt_breakout_up_3,tgt_breakout_down_3,tgt_breakout_any_3,tgt_breakout_up_5,tgt_breakout_down_5,tgt_breakout_any_5,tgt_breakout_up_10,tgt_breakout_down_10,tgt_breakout_any_10,tgt_consolidation_3,tgt_consolidation_5,tgt_fill_prob_long_1,tgt_fill_prob_short_1,tgt_fill_prob_long_3,tgt_fill_prob_short_3,tgt_fill_prob_long_5,tgt_fill_prob_short_5,tgt_tail_event_1,tgt_tail_event_3,tgt_tail_event_5,tgt_crash_3,tgt_crash_5,tgt_crash_10,tgt_liquidation_cascade_3,tgt_liquidation_cascade_5,tgt_mid_reversion_1,tgt_mid_reversion_3,tgt_adverse_selection_1,tgt_adverse_selection_3,tgt_adverse_selection_5,tgt_autocorr_break_5,tgt_profitable_long_1,tgt_profitable_short_1,tgt_profitable_long_3,tgt_profitable_short_3,tgt_profitable_long_5,tgt_profitable_short_5,tgt_profitable_long_10,tgt_profitable_short_10,tgt_optimal_action_1,tgt_optimal_action_3,tgt_optimal_action_5,tgt_best_side_1,tgt_best_side_3,tgt_best_side_5
loss_aversion_ratio,,,,,,,0.47128784941556623,0.4680944750597964,0.48851254891227963,0.47467616650869915,0.4808811097846448,0.470138787370213,0.4317520779312364,0.5516940895234574,0.4880566503227408,0.4285845451662338,0.5508205405391688,0.4467845911251934,0.4260222219749129,0.5455291714925367,0.44928374787630415,0.504669404793967,0.5145194899760515,0.5006101250605601,0.4826968932268313,0.5189408372707413,0.43752905856103175,0.5190912204589565,0.46788860427822354,0.5091651078448662,0.4908188884681317,0.47793359135931635,0.5057197387018049,0.4974616471556764,0.48611926983478976,0.5048425516741488,0.487431255295328,0.4909391975804067,0.4719054928558387,0.5101290192721134,0.5120157193212422,0.507727077730616,0.5081709751138922,0.5046044938888414,0.4981670067457398,0.49913666845128446,0.5001997484318306,0.49953218522126297,0.49920371201372016,0.49924891010296546,0.5037680244021079,,,,,,
down_move_vol_pct,,,,,,,0.47128784941556623,0.4680944750597964,0.48851254891227963,0.47467616650869915,0.4808811097846448,0.470138787370213,0.4317520779312364,0.5516940895234574,0.4880566503227408,0.4285845451662338,0.5508205405391688,0.4467845911251934,0.4260222219749129,0.5455291714925367,0.44928374787630415,0.504669404793967,0.5145194899760515,0.5006101250605601,0.4826968932268313,0.5189408372707413,0.43752905856103175,0.5190912204589565,0.46788860427822354,0.5091651078448662,0.4908188884681317,0.47793359135931635,0.5057197387018049,0.4974616471556764,0.48611926983478976,0.5048425516741488,0.487431255295328,0.4909391975804067,0.4719054928558387,0.5101290192721134,0.5120157193212422,0.507727077730616,0.5081709751138922,0.5046044938888414,0.4981670067457398,0.49913666845128446,0.5001997484318306,0.49953218522126297,0.49920371201372016,0.49924891010296546,0.5037680244021079,,,,,,
vol_price_feedback,,,,,,,0.3897082853190113,0.34649630166259354,0.516813249402697,0.49305487466091447,0.4508061859117325,0.42180253383009714,0.4517153364845812,0.4525883423619513,0.3156319823733863,0.4554141279666395,0.45166011325413413,0.28231655784442217,0.4510758880876068,0.44950288918429465,0.20591649683242244,0.6412930497576085,0.6831368940144238,0.4181397116028297,0.598038193358221,0.4254369252654575,0.5640292980386202,0.4093252654412604,0.5894437938567354,0.4283205141446067,0.4248020880414025,0.40615421609891766,0.4349333257251211,0.4238185243694045,0.40858963260343306,0.45580033553123833,0.4588415902626483,0.5147277347383796,0.5053062218104853,0.5057926083414245,0.5082282215638225,0.5014872695460584,0.5012009081300527,0.49167559819428686,0.5085268627783541,0.4898397862606899,0.512224099914649,0.48660882140124806,0.5148101883128562,0.4848947706720577,0.516795014203794,,,,,,
herding_ratio,,,,,,,0.5199798258848585,0.5370699959290325,0.5129427994467088,0.551268642895273,0.5156446209681362,0.5285447157240762,0.5148661142427983,0.5030390208213161,0.5355499782770605,0.5143846907160805,0.5028651037443903,0.5454277399587195,0.5188860046444681,0.5059507531525935,0.513862528239166,0.4791728386749259,0.4740070774166804,0.487577371295777,0.452668460239004,0.4636805873088452,0.4912351202644767,0.5510674734558739,0.4870735603558286,0.5267200761209628,0.5222542812042341,0.5232815674097403,0.5296816292401152,0.5240341294486183,0.5244233539005858,0.4798771862139917,0.4801314565177923,0.46863474523210763,0.4794574088975745,0.4893733504489798,0.49252621874517133,0.4903853546317598,0.5014187731416752,0.49858266352717173,0.498024298398316,0.49600301786216616,0.4988657708727757,0.49742678540579655,0.5009483771489407,0.49610750318325225,0.5049236708121625,,,,,,
attention_effect,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,
disposition_sell,,,,,,,0.5074328870476349,0.500423517185856,0.43616623887684824,0.44739680360819684,0.4970176662245982,0.5054853222872322,0.5665978603059509,0.4056823015913984,0.4232115426390268,0.5678626001843294,0.40836181815644196,0.42168052708031944,0.5602868138404162,0.41552708798425725,0.33478659851184667,0.5483211962193644,0.5481927682957285,0.45612024790979405,0.45362433696914073,0.41586648376771834,0.4614464446339497,0.3934695741523005,0.4654198041645166,0.4960352111652033,0.49770367022410067,0.50132735456711,0.4823231145533394,0.4917190941156466,0.4983632421240069,0.48466858983352035,0.49881933097313,0.45446225158476045,0.4418492997842889,0.49479306022809666,0.501450236495,0.49825142079512685,0.4961176696937093,0.4924478294168306,0.5075686670114281,0.4974401839755149,0.5044689131726022,0.5008994663292607,0.4983535180221764,0.5048284683864007,0.49503823978742534,,,,,,
disposition_buy,,,,,,,0.4725424677003561,0.46216660011783695,0.5852756470475104,0.5337151790480549,0.48435687370857267,0.4618149349984406,0.40509775875371534,0.5617140513134132,0.4698636885551142,0.4050622452125221,0.5563530037214248,0.4445213645629015,0.41033678577081356,0.5429103679491465,0.46004134987819845,0.5425622390923781,0.5658954524507911,0.5755258433697398,0.5688057449929439,0.5859021744652746,0.5785451444458722,0.5923141911177076,0.5800258930475004,0.497045540216111,0.48710216391342176,0.48045001264942394,0.4985095402591474,0.49097265535239476,0.48422233714564733,0.5055481025533108,0.49299938725490194,0.5724296280025496,0.5820533800369211,0.49790033214941065,0.504474479176929,0.5027749732689628,0.49582740389205676,0.5048121217275445,0.49934883788685513,0.5073915585417297,0.49127065312254325,0.5064543196470593,0.4929692502185957,0.5005317000900374,0.4997542468773952,,,,,,
disposition_effect,,,,,,,0.47084240970517494,0.45084709940314155,0.515221057614782,0.45863973592182244,0.4754576219650856,0.4564688732467283,0.4624014614953551,0.4555230818153053,0.35419058776067525,0.4640965533454129,0.45313478967542525,0.32157836138452267,0.46163205264225227,0.4435012762478472,0.23558005918708053,0.6253890469297065,0.657647732220068,0.5410713675445633,0.501112292922341,0.5120630747345425,0.5288085697931146,0.4886767895878525,0.5330939719873069,0.48412425285612076,0.47733093366016666,0.47479612718891395,0.47330285659105276,0.48161353965226555,0.4749532830953204,0.48150457117471007,0.48791710164003876,0.5197788798116592,0.5218138663673311,0.48671866535714786,0.5037647349192308,0.4968017885493957,0.49427371117230334,0.4934456008572605,0.5106890269090818,0.5032436055156357,0.49753730218162084,0.5058482291268958,0.49251687579791653,0.5053726909624674,0.4940390736574848,,,,,,
post_shock_size_ratio,,,,,,,0.3993975305068692,0.35693573203929463,0.5194909424443935,0.47934165658942596,0.44535856973958676,0.41583701122933725,0.45575544124657774,0.4587925349063936,0.33706825657894735,0.4566598242819852,0.4603965797911282,0.29058152595708847,0.45711378947056036,0.4536171446588513,0.21693207490150845,0.636301087395637,0.6709524330847589,0.44310357651892995,0.6042722475964045,0.4614515063760606,0.5581206266135532,0.43157438063705894,0.5788641047586972,0.4360751321658419,0.42898392571871435,0.4139689404458442,0.4381006555498982,0.43019142396725885,0.41038901893363766,0.46256503109801717,0.4556843454974582,0.5297516293486454,0.5172251036292204,0.5024876586912879,0.5079220380569767,0.504653157502511,0.5063528596122464,0.4920781334864764,0.5106042239173572,0.4941522698134707,0.5098248840032507,0.48829213542333116,0.5144614732975812,0.4942321377496278,0.5080926363258275,,,,,,
trade_rate_decay,,,,,,,0.5270502700501869,0.5286361348439701,0.43240859228794815,0.43607488751620527,0.49718648462073756,0.5090570956244269,0.4921440058616751,0.49227082262490807,0.47723125620655416,0.488347806471297,0.4916792596229853,0.48894470528253847,0.4859498963774137,0.4893410726819584,0.5339625492457885,0.5236156115338002,0.5323482011238043,0.4604564579777621,0.4518863792779828,0.431123939440126,0.46538322255061154,0.3928713323438749,0.4595459756086256,0.522364634176806,0.5187673172115472,0.5184122175901302,0.530381319571248,0.5242238051170567,0.5208810328169171,0.5266821864478115,0.5323379062273057,0.45554832756502145,0.45062650879411426,0.503141190650069,0.5146792824987477,0.5100208793701195,0.5069035435360961,0.49712880137679216,0.5013222503280264,0.4963707096253988,0.501883591072994,0.4926272639736269,0.5058737820863363,0.4923254012847501,0.5070736865250125,,,,,,
