,tgt_ret_1,tgt_ret_3,tgt_ret_5,tgt_cum_ret_5,tgt_cum_ret_10,tgt_sharpe_5,tgt_sharpe_10,tgt_profitable_long_3,tgt_profitable_long_5,tgt_profitable_short_3,tgt_profitable_short_5
taylor_vol_accel_ratio,0.0005871936057997296,0.0,0.0023411474012906552,0.0,0.010105464903972461,0.004476816904304126,0.0,0.0,0.0,0.0,0.0
taylor_ofi_a1,0.008754474109062826,0.0,0.004698785924417415,0.0,0.009844451464319448,0.0,0.0049147603945209895,0.0,0.0,0.0,0.0
taylor_ofi_a2,0.0,0.0028509657200261884,0.0,0.0044078978224924015,0.008609572246951025,0.005915255023514199,0.0,0.0,0.0075029282210103965,0.0,0.00502720915672672
taylor_ofi_a3,0.017227350527733165,0.025419060353345735,0.008428287020350922,0.0,0.003021490870706245,0.0,0.0,0.0,0.0,0.0,0.0
taylor_ofi_r2,0.009310875960149012,0.0,0.0002048866949646566,0.0,0.0,0.0,0.0,0.005607067083142514,0.00406350242934117,0.006448877431133315,0.0018099307789856134
taylor_price_ofi_alignment,0.005411507146839245,0.0053467046012767305,0.0036701938726473315,0.008032366115951817,0.005554244182731427,0.006157893418142102,0.0015837625180239456,0.0019195215321525794,0.004563024063319876,0.0030624054432983883,0.0049644651389439964
taylor_rate_a1,0.0,0.013671851573421101,0.0,0.03119750302862201,0.013238048498966037,0.0,0.008844297803177525,0.003867670019798375,0.0025263444818643954,0.004487025689498658,0.0005069317313917132
taylor_rate_a2,0.0,0.0,0.0,0.00625939854002322,0.0,0.011118328198116423,0.0,0.007905695969606885,0.005789599904005627,0.005794576442892829,0.006585080217848205
taylor_rate_a3,0.012054253560553896,0.0030721613414108617,0.0036632668418246084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taylor_rate_r2,0.0,0.0,0.004668672430978127,0.015040238725394062,0.0,0.0018433984300072481,0.0,0.0,0.0,0.0,0.0
taylor_price_vol_divergence,0.0,0.010289620664182486,0.005038395108143412,0.01456124159363359,0.0,0.014998142655139546,0.0114711715399336,0.0,0.0,0.0,0.0
taylor_price_rate_divergence,0.0,0.035931198377482154,0.0,0.01214607487179542,0.0,0.0027749431363881527,0.0033876118755369333,0.007102412397431479,0.0,0.008662309235031529,0.0
te_price_to_volume,0.018255330757267707,0.014577146367787286,0.01896870412495666,0.00011154308661964762,0.01417637094162405,0.004824559477644819,0.01956694444494822,0.0,0.0,0.0,0.0
te_volume_to_price,0.02628161259688344,0.013087504118066029,0.013208381025138216,0.0016830345128759916,0.0156635525169202,0.0,0.0,0.0058700880266524536,0.008295632764849348,0.007022658874888066,0.006041376740825832
te_net_direction,0.03761282076310213,0.0,0.0026954164958397087,0.025816394251989117,2.0252034982348732e-06,0.0,0.0,0.0,0.0,0.0,0.0038158297029400323
mi_side_return,0.010752181909221115,0.00020860343314588192,0.015493646635445835,0.007132566684912689,0.012349770234242996,0.022370115149043635,0.001180370803604447,0.0,0.010901535972031695,0.0,0.010633979381553527
lz_complexity,0.012885542747633316,0.007876556744234264,0.0,0.0,0.0,0.0,0.0,0.005332385827348407,0.016632066026787573,0.004308458569842077,0.01173789680042514
lz_complexity_norm,0.013602361090064186,0.008149184598914339,0.0,0.0,0.0,0.0,0.0,0.003912033867421005,0.015853481822163396,0.004400496250483776,0.012539542745549248
avg_surprise,0.013087693262011868,0.011396594827142614,0.012329134456659396,0.020557095197083264,0.0,0.004151798136671658,0.0,0.0005464233575978028,0.019190319940508793,0.007102863243941382,0.018448719484525533
nash_balance,0.01212707731627205,0.0,0.01032200326589372,0.001641961621148269,0.0,0.0006694291775799499,0.0,0.015104283042352229,0.0060498018792030095,0.012815012780254875,0.004913361236143388
