signal,raw_n,raw_mean,raw_wr,raw_net,delayed_n,delayed_mean,delayed_net,delay_cost,declust_n,declust_mean,declust_net,cluster_ratio,declust_delayed_n,declust_delayed_mean,declust_delayed_net,shuffle_p,shuffle_effect_size,ci95_lo,ci95_hi,ci95_lo_profitable,effective_n,n_inflation,t_stat_raw,t_stat_adj,months_tested,months_profitable,months_pct_profitable,worst_month_net,best_month_net,monthly_sharpe,symbol,horizon_m
DOGEUSDT_Idea3_high_IFR_30m,18,205.10655334012725,50.0,185.10655334012725,18.0,170.98436727974044,150.98436727974044,34.12218606038681,9.0,326.3169591770577,306.3169591770577,2.0,9.0,300.8210857852096,280.8210857852096,0.0,13.797794181723406,-63.97651284257661,548.5129779081582,False,18.0,1.0,1.1306191941617836,1.1306191941617836,4.0,1.0,25.0,-62.27969576904152,1377.3452119015528,0.4382450414732064,DOGEUSDT,30
DOGEUSDT_Idea4_BTC_pump_60m,20,497.8119124432331,80.0,477.8119124432331,20.0,472.23634050330037,452.23634050330037,25.57557193993273,10.0,349.48704178614605,329.48704178614605,2.0,10.0,299.0255210344618,279.0255210344618,0.0,21.040510214826348,131.75760079210542,919.4357493453268,True,20.0,1.0,2.280508073254952,2.280508073254952,5.0,3.0,60.0,-267.8286912249183,974.599459649882,0.3575301102270537,DOGEUSDT,60
DOGEUSDT_Idea5_spot_lead_60m,31,1449.9949013192318,100.0,1429.9949013192318,31.0,1175.0079783981735,1155.0079783981735,274.9869229210583,3.0,3895.6709396145234,3875.6709396145234,10.333333333333334,3.0,2499.8717660166762,2479.8717660166762,0.0,76.43253911906783,903.0063809265167,2170.6565093365034,True,31.0,1.0,4.281736789698197,4.281736789698197,1.0,1.0,100.0,1429.9949013192318,1429.9949013192318,,DOGEUSDT,60
DOGEUSDT_Idea3_high_IFR_60m,18,154.09909858621586,66.66666666666666,134.09909858621586,18.0,113.78228838894648,93.78228838894648,40.316810197269376,9.0,250.45390214978968,230.45390214978968,2.0,9.0,204.40529774166814,184.40529774166814,0.0,6.575326341413831,-50.1815985670719,430.1144865931567,False,18.0,1.0,1.0825717509183033,1.0825717509183033,4.0,2.0,50.0,-78.89313414279857,975.1735906672466,0.41936071048735135,DOGEUSDT,60
DOGEUSDT_Idea4_BTC_pump_240m,20,903.7044325574343,65.0,883.7044325574343,20.0,851.4266526616984,831.4266526616984,52.277779895735875,10.0,411.8896468872784,391.8896468872784,2.0,10.0,364.48812676152534,344.48812676152534,0.0,22.60015703686777,308.3514488573953,1580.2713666022553,True,20.0,1.0,2.7953055332983148,2.7953055332983148,5.0,2.0,40.0,-604.0071877807728,1882.850701662985,0.2728625226534843,DOGEUSDT,240
DOGEUSDT_Idea5_spot_lead_240m,31,1762.8196071567245,100.0,1742.8196071567245,31.0,1460.019678315918,1440.019678315918,302.7999288408064,3.0,4552.8236495457195,4532.8236495457195,10.333333333333334,3.0,3057.8072313129164,3037.8072313129164,0.0,54.02142739087539,1088.816719443125,2652.607656311348,True,31.0,1.0,4.2663751487990975,4.2663751487990975,1.0,1.0,100.0,1742.8196071567245,1742.8196071567245,,DOGEUSDT,240
DOGEUSDT_Idea3_high_IFR_240m,18,255.39570909694552,38.88888888888889,235.39570909694552,18.0,220.08829147300187,200.08829147300187,35.30741762394365,9.0,371.2434176784643,351.2434176784643,2.0,9.0,324.80413572211614,304.80413572211614,0.0,6.037983672917446,-75.37020631465697,740.340382437063,False,18.0,1.0,1.1456034693385884,1.1456034693385884,4.0,1.0,25.0,-131.77987962166736,1724.6424770941412,0.40887753676471705,DOGEUSDT,240
AVAXUSDT_Idea4_BTC_pump_30m,20,610.8162033492251,60.0,590.8162033492251,20.0,395.69099721351733,375.69099721351733,215.1252061357078,10.0,470.39758995753664,450.39758995753664,2.0,10.0,214.84865643847434,194.84865643847434,0.0,27.603521293014918,142.3532489018691,1126.1706878596992,True,20.0,1.0,2.3536383955576823,2.3536383955576823,5.0,4.0,80.0,-41.47166419461314,1173.5360286801995,0.5396231449243057,AVAXUSDT,30
AVAXUSDT_Idea5_spot_lead_30m,31,1386.8274785246758,64.51612903225806,1366.8274785246758,31.0,1035.5777810972934,1015.5777810972934,351.24969742738244,4.0,969.009552063943,949.009552063943,7.75,4.0,2149.870476882154,2129.870476882154,0.0,111.6408981844501,351.91653834062595,2574.344438956692,True,31.0,1.0,2.3235996112546147,2.3235996112546147,1.0,1.0,100.0,1366.8274785246758,1366.8274785246758,,AVAXUSDT,30
AVAXUSDT_Idea3_high_IFR_30m,12,88.5907182201857,50.0,68.5907182201857,12.0,185.32588023006576,165.32588023006576,-96.73516200988006,6.0,187.04814788910213,167.04814788910213,2.0,6.0,292.4576889666068,272.4576889666068,0.0,5.193494750728739,-186.08666707501973,459.6820455821773,False,12.0,1.0,0.47586053913564935,0.47586053913564935,3.0,1.0,33.33333333333333,-120.47536732930018,128.5858317684973,-0.23505523874338116,AVAXUSDT,30
