period,signal,horizon_m,n_signals,mean_ret,win_rate,net_fees,sharpe,symbol
full,Coiled_spring,240,6251,-0.33881636035223256,46.776515757478805,-20.338816360352233,-0.0016181410759206316,AKTUSDT
full,High_IFR,240,3802,-16.068741176898545,43.24039978958443,-36.06874117689854,-0.08744963167039461,AKTUSDT
full,Coiled_spring+High_IFR,240,214,-74.60140958790754,20.5607476635514,-94.60140958790754,-0.4199810321924071,AKTUSDT
full,BTC_pump,30,20,710.5223682082813,65.0,690.5223682082813,0.6904074063638365,ALCHUSDT
full,LS_crowd,30,24920,-5.486105277809568,48.52728731942215,-25.486105277809568,-0.028255708116113807,ALCHUSDT
full,Coiled_spring,30,460,70.73475198458918,60.43478260869565,50.73475198458918,0.4109504266767815,ALCHUSDT
full,High_IFR,30,132,-0.5216263162689376,42.42424242424242,-20.521626316268936,-0.0013396323459569388,ALCHUSDT
full,LS_crowd+Coiled_spring,30,100,55.285271097781646,64.0,35.285271097781646,0.38481407246628624,ALCHUSDT
full,LS_crowd+High_IFR,30,7,155.42046851608143,85.71428571428571,135.42046851608143,0.6034682448498209,ALCHUSDT
full,BTC_pump,60,20,1025.3648884511979,65.0,1005.3648884511979,0.8338769825522933,ALCHUSDT
full,LS_crowd,60,24920,-11.358548612364276,48.45505617977528,-31.358548612364274,-0.04162650787468009,ALCHUSDT
full,Coiled_spring,60,460,128.79285665446807,69.1304347826087,108.79285665446807,0.5219743270965862,ALCHUSDT
full,High_IFR,60,132,5.031115589007074,47.72727272727273,-14.968884410992926,0.012148983688323385,ALCHUSDT
full,LS_crowd+Coiled_spring,60,100,133.12951153756006,77.0,113.12951153756006,0.6838987146869066,ALCHUSDT
full,LS_crowd+High_IFR,60,7,191.99301735423106,71.42857142857143,171.99301735423106,0.527684840417088,ALCHUSDT
full,BTC_pump,240,20,1028.079856126922,65.0,1008.0798561269221,0.7456201370410949,ALCHUSDT
full,LS_crowd,240,24920,-24.41775098112077,46.777688603531296,-44.41775098112077,-0.045826129002437474,ALCHUSDT
full,Coiled_spring,240,460,-94.57562836503544,29.347826086956523,-114.57562836503544,-0.41577765240711806,ALCHUSDT
full,High_IFR,240,132,-3.89624791467119,48.484848484848484,-23.89624791467119,-0.007817222582509544,ALCHUSDT
full,LS_crowd+Coiled_spring,240,100,147.91531040578252,85.0,127.91531040578252,1.3924678392670033,ALCHUSDT
full,LS_crowd+High_IFR,240,7,-25.0054691753811,42.857142857142854,-45.0054691753811,-0.07970402334179373,ALCHUSDT
full,BTC_pump,30,20,691.9951419416038,70.0,671.9951419416038,0.5227029467934131,ALGOUSDT
full,Spot_leads,30,124,213.19212001104574,50.806451612903224,193.19212001104574,0.26539675322988604,ALGOUSDT
full,Coiled_spring,30,3628,-2.533193801046922,44.266813671444325,-22.53319380104692,-0.04508680599756838,ALGOUSDT
full,High_IFR,30,13,68.32921843971663,76.92307692307693,48.32921843971663,0.5920105251984766,ALGOUSDT
full,BTC_pump,60,20,417.0006917463212,65.0,397.0006917463212,0.46455142199382465,ALGOUSDT
full,Spot_leads,60,124,307.8759502333198,54.83870967741935,287.8759502333198,0.4131039605637451,ALGOUSDT
full,Coiled_spring,60,3628,-3.7255949434353237,43.19184123484013,-23.725594943435325,-0.04840417227844415,ALGOUSDT
full,High_IFR,60,13,27.89251635355227,53.84615384615385,7.892516353552271,0.18635658348060238,ALGOUSDT
full,BTC_pump,240,20,1372.7809216088142,65.0,1352.7809216088142,0.7140432016142827,ALGOUSDT
full,Spot_leads,240,124,564.0330490232933,67.74193548387096,544.0330490232933,0.4717226367787831,ALGOUSDT
full,Coiled_spring,240,3628,-6.659510163101367,46.52701212789416,-26.659510163101366,-0.0349445249296216,ALGOUSDT
full,High_IFR,240,13,-52.176710692403155,38.46153846153847,-72.17671069240316,-0.2137547543151814,ALGOUSDT
full,LS_crowd,30,370,-151.12445913834347,30.810810810810814,-171.12445913834347,-0.5052232914605116,ALLOUSDT
full,Coiled_spring,30,5099,-11.791795979479199,45.048048636987644,-31.791795979479197,-0.08791428580667625,ALLOUSDT
full,LS_crowd,60,370,-290.80855063652155,11.891891891891893,-310.80855063652155,-0.9246534751941017,ALLOUSDT
full,Coiled_spring,60,5099,-30.71742279441726,41.831731712100414,-50.71742279441726,-0.16227239913675048,ALLOUSDT
full,LS_crowd,240,370,-494.5465659339747,26.756756756756754,-514.5465659339748,-0.8251976516014724,ALLOUSDT
