pair,signal,direction,horizon_m,n_signals,mean_ret,median_ret,win_rate,net_fees,avg_corr
EIGENUSDT/ETHFIUSDT,spread_z1.5_lb240,long_EIGE,60,67591,-0.7125362137370992,0.2091183923191693,50.14720894793686,-40.712536213737096,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z1.5_lb240,short_EIGE,240,57424,15.394139413788208,16.44014674066387,55.962663694622464,-24.60586058621179,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z1.5_lb240,long_EIGE,240,67564,-0.7191951538038486,-1.41396352118295,49.50861405482209,-40.719195153803845,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb240,short_EIGE,15,27246,4.904877393830568,3.9794249034846807,54.86676943404536,-35.09512260616943,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb240,long_EIGE,15,30596,2.6517102154034555,2.2118183245223335,52.997123807033596,-37.348289784596545,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb240,short_EIGE,30,27246,6.4899335488449905,6.538375102320131,56.04859428906995,-33.51006645115501,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb240,long_EIGE,30,30596,2.362787287147248,2.732203616944151,52.74872532357171,-37.63721271285275,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb240,short_EIGE,60,27246,8.995832522307392,9.037065773019881,55.87609190339866,-31.004167477692608,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb240,long_EIGE,60,30596,-0.4002217703763811,1.6742121363067,51.13086677997124,-40.40022177037638,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb240,short_EIGE,240,27231,17.481532999396684,18.181491943545225,56.40630164151151,-22.518467000603316,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.0_lb240,long_EIGE,240,30586,-1.3463015930589823,-2.563105269992043,49.09108742561956,-41.34630159305898,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb240,short_EIGE,15,10888,8.840215075969434,5.90270429743633,56.92505510653931,-31.159784924030568,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb240,long_EIGE,15,11125,4.660037244826169,2.5953510694098867,53.49213483146067,-35.33996275517383,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb240,short_EIGE,30,10888,10.683246592425228,9.884077214363792,58.0547391623806,-29.316753407574772,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb240,long_EIGE,30,11125,2.897491821444351,2.5105424840443646,52.32359550561798,-37.10250817855565,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb240,short_EIGE,60,10888,11.79667254042377,9.075384690346302,55.6208670095518,-28.20332745957623,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb240,long_EIGE,60,11125,-0.6154711581439332,2.164138804221494,51.5056179775281,-40.61547115814393,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb240,short_EIGE,240,10885,18.27916867342002,20.783251965460522,56.74781809830042,-21.72083132657998,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb240,long_EIGE,240,11125,3.4104578951688653,-0.049756588802466695,49.959550561797755,-36.58954210483113,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb240,short_EIGE,15,3899,16.147875535626834,8.237209255232969,58.143113618876626,-23.852124464373166,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb240,long_EIGE,15,3707,8.113662015363172,4.930721800764367,55.678446182897225,-31.88633798463683,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb240,short_EIGE,30,3899,18.502388235886347,13.242501487453765,59.22031290074378,-21.497611764113653,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb240,long_EIGE,30,3707,5.510283366589484,2.4367775334777093,52.19854329646615,-34.48971663341052,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb240,short_EIGE,60,3899,14.818827923976329,8.698134371686317,55.21928699666581,-25.18117207602367,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb240,long_EIGE,60,3707,1.4009933301162287,2.461382965801562,51.65902346911248,-38.59900666988377,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb240,short_EIGE,240,3899,21.550920271219105,24.52533587628875,58.39958963836881,-18.449079728780895,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb240,long_EIGE,240,3707,7.848491667152916,1.6706047282632994,50.74183976261127,-32.15150833284709,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z1.5_lb720,short_EIGE,15,53991,2.56415308197106,2.8416810592990487,53.57559593265544,-37.43584691802894,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z1.5_lb720,long_EIGE,15,69346,0.9650993604611176,0.6549235335651105,50.96616964208462,-39.03490063953888,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z1.5_lb720,short_EIGE,30,53991,3.4455965630020438,4.648021904276604,54.547980218925375,-36.55440343699796,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z1.5_lb720,long_EIGE,30,69346,0.8157483188216174,0.6016355489168994,50.6489199088628,-39.18425168117838,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z1.5_lb720,short_EIGE,60,53991,5.271391167323787,7.535724090306232,54.87025615380341,-34.728608832676215,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z1.5_lb720,long_EIGE,60,69346,0.7047055534242561,1.0287688533438981,50.806102731231796,-39.295294446575745,0.7794260835245135
