variant,leader_dir,fwd_horizon_m,n_followers,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
BTC_3m>30bps,up,3,145,526195,4.21184407370314,-0.9726312375786863,47.587212719468425,0.04635952766230832,-15.788155926296861
BTC_5m>100bps_lag,down,1,30,940,4.211405394791096,-1.8082229033054749,47.98139843542851,0.06750483218939825,-15.788594605208905
ETH_5m>75bps_lag,up,5,144,21094,4.181713643657192,2.1412215891077713,51.7345855563401,0.07590535847471194,-15.81828635634281
SOL_1m>50bps,down,3,145,90291,4.173793319077283,-4.289177167567673,45.73742132883134,0.013818884893885955,-15.826206680922716
ETH_5m>30bps,up,30,145,2445251,4.117893536475649,-3.9951690108441835,47.51261560721072,0.020958529089496063,-15.882106463524352
ETH_3m>30bps,up,15,145,1448816,4.064492290977133,-2.7933846121224297,47.465157518168986,0.023512766830590098,-15.935507709022868
BTC_5m>50bps,down,3,145,242820,3.983470431206869,-2.246446372617073,46.696723518368344,0.018250749508171637,-16.01652956879313
ETH_1m>30bps_lag,up,1,145,33960,3.9784975980775807,2.1465801798565867,52.11149263070664,0.12868313821374192,-16.02150240192242
SOL_3m>50bps_lag,down,15,145,45736,3.9499627739613854,-1.2022556234772763,48.14946473540568,0.0036122327215018348,-16.050037226038615
ETH_3m>30bps,up,10,145,1448822,3.9369206305682094,-2.0734197883104226,47.47921588639962,0.029543394403820665,-16.06307936943179
ETH_3m>100bps_lag,up,10,80,3550,3.9101194823755763,7.684106031018719,53.71671248938086,0.032912177249499776,-16.089880517624422
SOL_5m>100bps,down,1,145,119255,3.890066066684455,-2.3084725920970612,45.32679981708142,0.024640033517347903,-16.109933933315546
BTC_5m>50bps_lag,up,15,145,15414,3.8609996876484116,-1.7456629885312818,48.50440867086413,0.0451628108016836,-16.13900031235159
SOL_3m>75bps,down,5,145,127487,3.8227457365832267,-10.34386748410237,42.84849417576879,0.00746741306347251,-16.177254263416774
BTC_5m>75bps,up,1,145,77681,3.8120514054420083,-0.2862717888484892,47.994374967803275,0.04134324910938067,-16.18794859455799
SOL_3m>30bps_lag,up,15,145,224223,3.76543738687604,-0.4957712538623729,48.831274691737214,0.04577277930917642,-16.23456261312396
SOL_5m>75bps_lag,up,5,145,33863,3.731292347597852,-1.0091623877371645,47.77878451541587,0.0598481134198238,-16.26870765240215
SOL_3m>30bps,up,10,145,1966316,3.7163604477593974,-1.6258018344589134,47.60453049428769,0.03210760267610222,-16.2836395522406
BTC_3m>30bps_lag,up,3,145,33932,3.6795764278811083,0.059572498454877054,49.04069446182456,0.07942928838552728,-16.320423572118894
SOL_3m>30bps_lag,up,30,145,224209,3.650650986254834,-1.800383051344135,48.348342884172716,0.029759735049737744,-16.34934901374517
BTC_3m>30bps_lag,up,5,145,33929,3.566878223128488,-0.9719984913379576,47.914415499028955,0.060727064781190006,-16.433121776871513
BTC_1m>30bps,up,1,145,108572,3.557503757105276,-1.0969845739161714,46.736480892382154,0.029447730584701147,-16.442496242894723
ETH_5m>50bps,up,5,145,808072,3.5502149083977916,-2.3938600548166424,46.51347638075591,0.0292924624284742,-16.44978509160221
SOL_5m>50bps_lag,up,15,145,111395,3.54467587221352,-0.7451918315514785,48.659024677541034,0.03951744329213339,-16.45532412778648
ETH_1m>50bps_lag,down,1,111,6098,3.479931255772481,3.0966451289597323,52.080345355030865,0.08190318118196709,-16.52006874422752
ETH_3m>100bps_lag,up,1,80,3550,3.4759168023045506,0.49131913737639205,49.85927988606459,0.048438332871979725,-16.52408319769545
SOL_3m>75bps_lag,up,1,145,13884,3.461424063150246,0.6843361356023779,48.64498261823886,0.08837261358575482,-16.538575936849757
BTC_3m>50bps_lag,up,1,115,6437,3.44164867986906,0.007141148696487861,48.30332964452328,0.06858263932260523,-16.55835132013094
BTC_5m>50bps,down,5,145,242820,3.404596740869147,-4.228405768154748,45.977401955811125,0.011451885241761717,-16.595403259130855
SOL_1m>75bps_lag,down,3,48,1410,3.305595197444905,2.2485664208691385,50.437701156546915,0.04320349153855116,-16.694404802555095
BTC_5m>50bps_lag,down,3,145,15991,3.296471287363822,0.3319386622827182,48.80599779930411,0.03671403529970806,-16.703528712636178
ETH_1m>30bps_lag,up,5,145,33960,3.2931959654416936,1.7689621109838047,50.912198480495796,0.049532185898860284,-16.706804034558306
SOL_5m>50bps_lag,up,10,145,111396,3.285095190509284,-0.8604667481506185,48.30711242321089,0.04439506494188897,-16.714904809490715
BTC_1m>75bps_lag,up,10,2,49,3.2648392303535356,0.7018931385011085,55.434782608695656,-0.018004102351612733,-16.735160769646463
SOL_5m>100bps_lag,up,1,143,12606,3.2420625371752587,0.6809430529241634,48.91823970941048,0.08352822950641546,-16.757937462824742
SOL_1m>50bps,down,1,145,90291,3.2196490075830564,-2.4591858875567727,45.24869437612146,0.01747685012428554,-16.780350992416942
ETH_5m>100bps,up,1,145,122270,3.207556151979589,-0.537695884702408,47.09591472334447,0.03492238343525786,-16.79244384802041
SOL_5m>100bps,up,1,145,149498,3.1889724221984497,-0.33939908916273354,47.380060514911534,0.04395240079559128,-16.81102757780155
SOL_3m>50bps_lag,up,3,145,55489,3.1824150504579576,0.733385020924341,49.55542194952969,0.06973041400394336,-16.817584949542045
BTC_1m>30bps,down,1,145,101716,3.1716850511726187,-1.1146919475285988,46.73706528633542,0.020449826313757125,-16.828314948827384
ETH_3m>75bps_lag,up,3,133,10026,3.1487960371069805,2.368706960704529,51.17409649501264,0.059285073563047165,-16.85120396289302
SOL_3m>30bps_lag,up,10,145,224223,3.085329337028821,-0.26039675113164146,48.64025325544294,0.046817684692962304,-16.91467066297118
ETH_1m>30bps_lag,up,15,145,33960,3.077340051792069,0.25042556654308495,49.96099203685741,0.026206009262497908,-16.92265994820793
BTC_5m>30bps_lag,up,5,145,65798,3.0224952780100756,-0.2889681457547919,48.54844405727752,0.0581821812981388,-16.977504721989924
ETH_5m>100bps_lag,up,3,127,8656,3.0116416521189557,0.1421697648217418,48.374181441249135,0.03959825081360186,-16.988358347881043
ETH_5m>50bps_lag,up,5,145,64379,3.008656372928834,0.161365623999591,49.130859347838125,0.05226630146551527,-16.991343627071167
SOL_1m>30bps_lag,up,1,145,56919,3.0076533251383792,1.38317878215768,51.002442827517065,0.10703091716937892,-16.99234667486162
ETH_3m>30bps_lag,down,15,145,126000,3.004021344885157,2.637049599098507,50.883562292461214,0.01325245896371539,-16.995978655114843
ETH_5m>100bps_lag,down,3,98,6403,2.9987207621492193,-0.4434595954369059,47.65383921323541,0.03456759693446755,-17.00127923785078
ETH_3m>50bps_lag,up,1,145,33101,2.9830173062771475,1.6282330932933577,51.3544973732292,0.09977925820368459,-17.016982693722852
ETH_5m>150bps_lag,up,5,62,2113,2.9635108909974908,-2.1201972267861557,46.25410343535366,-0.01796015526149034,-17.03648910900251
SOL_1m>75bps_lag,down,1,48,1410,2.944379634513249,1.1105947354515115,49.99871540942485,0.018719458110809675,-17.05562036548675
BTC_5m>30bps,up,5,145,983793,2.9436020943993753,-2.185048911708783,46.553458534374975,0.033846956695553,-17.056397905600626
SOL_1m>30bps,up,1,145,487553,2.9157237272336567,-0.09346829213564212,47.8690900162518,0.05554896081147532,-17.084276272766346
ETH_3m>30bps_lag,up,10,145,126508,2.8799350572322417,0.3425786771411128,49.47360599079002,0.041625230328487944,-17.12006494276776
BTC_1m>50bps_lag,down,15,23,472,2.7855505484158845,6.302178823872774,52.72080961592171,0.046122298487904785,-17.214449451584116
SOL_5m>30bps,up,30,145,3307900,2.747749794760743,-3.5789068611393713,47.59007081502113,0.017773707654318665,-17.252250205239257
ETH_1m>50bps,up,1,145,88222,2.711050634017629,-1.3437350823537055,46.2099500164518,0.024903831265053765,-17.288949365982372
ETH_3m>75bps_lag,down,3,116,7564,2.7013774191752598,-0.5320939910635902,47.88552864142516,0.018943151446064024,-17.29862258082474
ETH_3m>30bps_lag,up,15,145,126508,2.678133208878713,-0.5146106907694701,49.17146147304346,0.03353546995452721,-17.321866791121288
ETH_3m>50bps_lag,up,3,145,33101,2.6773283163336163,0.5455311002432998,49.52779099808327,0.05255436589833976,-17.322671683666385
ETH_3m>50bps,up,1,145,420298,2.6310962058600205,-0.12006901691599968,47.403811278629085,0.04792636700113175,-17.368903794139978
ETH_3m>30bps_lag,down,10,145,126000,2.6296454510622462,1.2120715083975544,50.031087031113785,0.010287455646047189,-17.370354548937755
ETH_5m>75bps,down,3,145,243694,2.624253996481455,-4.735937381033609,44.492299110863854,0.008641951410366621,-17.375746003518547
ETH_5m>150bps_lag,up,1,62,2113,2.6213538800410783,1.2781798371220092,50.71793200426198,0.026622898620934705,-17.378646119958923
