signal,direction,horizon_m,n_symbols,total_sigs,mean_ret,mean_wr,net_fees
oipricediv_p50_oi5.0_accum,long,30,148,107472,1.1243056746406743,48.61722646430652,-18.875694325359326
coiled_v0.1_oi1.0_momup,long,240,148,99159,1.0801901921223755,46.36107986469951,-18.919809807877623
oipricediv_p100_oi5.0_accum,long,60,148,92551,1.0148343631068844,49.08571179313066,-18.985165636893118
coiled_v0.15_oi2.0_momup,long,60,148,59635,0.920953622501175,46.83723843809918,-19.079046377498827
coiled_v0.2_oi1.0_momdn,short,60,148,171217,0.8097766631079356,49.408288584322285,-19.190223336892064
coiled_v0.15_oi1.0_momup,long,240,148,137318,0.779954315135002,46.354516560757546,-19.220045684865
oipricediv_p100_oi5.0_accum,long,15,148,92551,0.6609387082996004,48.30602176451093,-19.3390612917004
oipricediv_p50_oi5.0_weak,short,30,148,74819,0.6353009987497981,52.273630826605746,-19.3646990012502
oipricediv_p50_oi5.0_weak,short,15,148,74819,0.593284681552147,51.61015044756831,-19.406715318447855
coiled_v0.1_oi2.0_momup,long,30,148,42466,0.5647005582416268,46.50348008587968,-19.435299441758374
oipricediv_p50_oi5.0_accum,long,15,148,107472,0.5360177463979537,48.36148030500648,-19.463982253602047
oipricediv_p50_oi5.0_accum,long,60,148,107472,0.44818673773115747,48.9041337432732,-19.551813262268844
coiled_v0.1_oi1.0_momup,long,30,148,99159,0.37940926259041935,46.46383336498266,-19.62059073740958
coiled_v0.15_oi1.0_momdn,short,60,148,135425,0.03753165276550591,49.03502694184831,-19.962468347234495
coiled_v0.1_oi1.0_momdn,short,60,148,98348,0.02758902503962326,48.84947317117777,-19.97241097496038
coiled_v0.1_oi1.0_momup,long,15,148,99159,-0.05865270340479019,46.36233017414814,-20.05865270340479
coiled_v0.15_oi1.0_momup,long,60,148,137318,-0.09867854274643444,46.160093640028656,-20.098678542746434
coiled_v0.2_oi1.0_momdn,short,30,148,171217,-0.10966909439035537,48.784134967774364,-20.109669094390355
coiled_v0.2_oi1.0_momdn,short,15,148,171217,-0.1464102309222291,48.22713505195385,-20.146410230922232
coiled_v0.2_oi3.0_momdn,short,15,146,38130,-0.1498973256397086,48.4097344668668,-20.149897325639706
coiled_v0.15_oi1.0_momdn,short,15,148,135425,-0.19537699205374853,48.028681710301356,-20.19537699205375
coiled_v0.1_oi2.0_momdn,short,15,148,41613,-0.1958860892791246,48.22302702786498,-20.195886089279124
coiled_v0.2_oi3.0_momup,long,240,147,39530,-0.23618604181727174,45.32643829627452,-20.236186041817273
coiled_v0.15_oi2.0_momdn,short,15,148,58107,-0.23738840092496288,48.327657088418526,-20.237388400924964
oipricediv_p100_oi2.0_accum,long,15,148,324785,-0.2713700828848095,48.7149577175993,-20.27137008288481
oipricediv_p50_oi2.0_accum,long,15,148,404919,-0.2719172432826886,48.6972305636419,-20.27191724328269
coiled_v0.1_oi2.0_momup,long,15,148,42466,-0.2758253448528485,46.30433249732749,-20.275825344852848
coiled_v0.15_oi3.0_momdn,short,15,146,29489,-0.2963456129170926,48.321426261902594,-20.296345612917094
coiled_v0.15_oi3.0_momup,long,60,147,30650,-0.3051821635838376,45.40007186766074,-20.305182163583837
coiled_v0.1_oi1.0_momdn,short,15,148,98348,-0.31223468303504326,47.74314427031195,-20.312234683035044
