date,signal,n_trades,mean_ret,net_ret,win_rate
2024-01-22,idea6_coiled,1,-73.41436996028294,-93.41436996028294,0.0
2024-03-24,idea6_coiled,1,283.30522765598556,263.30522765598556,100.0
2024-05-11,idea6_coiled,1,-20.93217973764938,-40.93217973764938,0.0
2024-05-18,idea6_coiled,1,110.39380245319697,90.39380245319697,100.0
2024-09-29,idea6_coiled,1,169.3861693861709,149.3861693861709,100.0
2024-10-23,idea6_coiled,1,24.52571593450248,4.525715934502479,100.0
2025-01-16,idea6_coiled,9,-18.421512521696638,-38.42151252169664,33.33333333333333
2025-08-22,idea6_coiled,13,-61.34120488798782,-81.34120488798783,53.84615384615385
2025-09-29,idea6_coiled,11,3.1934483159138085,-16.80655168408619,54.54545454545454
2025-10-16,idea6_coiled,32,27.10998441296776,7.1099844129677585,43.75
2025-11-04,idea6_coiled,20,184.30944263132363,164.30944263132363,85.0
2026-01-21,idea6_coiled,8,18.700229825397013,-1.2997701746029868,50.0
2026-02-19,idea6_coiled,9,-57.586626907618864,-77.58662690761886,44.44444444444444
2026-03-04,idea6_coiled,13,23.75132997021207,3.751329970212069,61.53846153846154
2024-03-04,idea5_spotlead,1,638.0549398885082,618.0549398885082,100.0
2024-04-01,idea5_spotlead,1,-28.888997698673926,-48.888997698673926,0.0
2025-03-03,idea5_spotlead,37,-109.40352523312217,-129.40352523312217,37.83783783783784
2025-04-01,idea3_ifr,1,-231.50962512664464,-251.50962512664464,0.0
2025-09-03,idea3_ifr,1,-175.32874139010613,-195.32874139010613,0.0
2025-09-23,idea3_ifr,1,-357.24395629281537,-377.24395629281537,0.0
2025-10-02,idea3_ifr,1,-206.5877838183561,-226.5877838183561,0.0
2025-01-02,idea6_coiled,6,27.66663608543718,7.66663608543718,66.66666666666666
2025-01-14,idea6_coiled,29,-27.237523502248784,-47.237523502248784,37.93103448275862
2025-02-25,idea6_coiled,47,-47.21466932797121,-67.21466932797121,31.914893617021278
2025-05-02,idea6_coiled,13,-15.399968796384018,-35.399968796384016,46.15384615384615
2025-06-09,idea6_coiled,4,5.8710149491719505,-14.12898505082805,50.0
2025-06-20,idea6_coiled,13,16.69535354123047,-3.304646458769529,53.84615384615385
