signal,direction,horizon_m,n_symbols,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
ifr_revert_z3.0_w240,long,240,147,530752,15.212201266493265,-6.887821387524035,48.64242098425561,0.017308438564937332,-4.787798733506733
ifr_revert_z3.0_w60,long,240,147,468143,14.035242268277571,-4.840265880616989,48.75889734042552,0.018884363184170347,-5.964757731722428
fr_diverge_z3.0,long,5,147,644550,13.946635220678498,4.098045385309976,50.906390076355095,0.02770246392372644,-6.053364779321502
ifr_level_gt10.0,long_momentum,30,145,875707,13.538368864132748,-6.823599307855071,46.36523170662903,0.0021829775797861254,-6.461631135867252
ifr_level_gt10.0,long_momentum,60,145,875707,13.349960731315182,-10.353288162479258,46.2413588704893,0.0009685470116825641,-6.650039268684818
fr_diverge_z1.5,long,15,147,5744613,11.785933298088912,3.649195218882392,50.02303970455358,0.030046422763552495,-8.214066701911088
fr_diverge_z1.5,short,60,145,498725,10.924732414454228,24.83486325685302,52.933351280381785,0.005811903690869772,-9.075267585545772
ifr_level_gt10.0,long_momentum,15,145,875707,10.711208371005881,-3.0007807766865673,47.593186090256395,0.01149575102046802,-9.288791628994119
ifr_revert_z3.0_w240,long,60,147,530752,10.400236897061356,-0.2857149828337555,49.50990051360402,0.023296016967111997,-9.599763102938644
ifr_revert_z3.0_w60,long,60,147,468143,9.789431096823124,-0.8691092119955253,49.11947286833659,0.022106903221976483,-10.210568903176876
ifr_revert_z2.5_w60,long,240,147,884942,9.559455313413988,-4.8671034593744285,48.76013593100332,0.012639684998234419,-10.440544686586012
ifr_revert_z2.5_w240,long,240,147,976867,9.399913253076857,-6.700970458510881,48.62128696536892,0.011160105013597358,-10.600086746923143
fr_diverge_z2.0,short,60,145,276644,8.00427869308252,29.838399818552194,52.0747731797419,-0.007753999533097768,-11.99572130691748
fr_diverge_z1.5,short,30,145,498725,7.998999245216917,16.971138763320884,52.51400707786106,0.011190569698992497,-12.001000754783082
ifr_revert_z3.0_w240,long,30,147,530752,7.973549757078129,0.9155056142801477,49.744286161360826,0.01937689504053544,-12.026450242921872
ifr_revert_z2.0_w60,long,240,147,1774347,7.890493063031174,-4.700360633825077,48.81070315040809,0.009753152909998718,-12.109506936968826
ifr_revert_z3.0_w60,long,30,147,468143,7.874988514129317,0.1053886388347707,49.33010544090789,0.01948677582551817,-12.125011485870683
ifr_revert_z2.0_w60,short,240,147,748224,7.204971041228123,15.376703281247346,52.56104631954235,0.02324186139898763,-12.795028958771876
ifr_revert_z2.5_w60,short,240,147,339939,7.1208152648088925,16.77446516964171,52.87522197425967,0.028390880934580226,-12.879184735191108
ifr_revert_z2.5_w240,long,60,147,976867,6.880987894529134,0.03631089624895348,49.53811333825461,0.018446561696798366,-13.119012105470867
ifr_revert_z2.5_w60,long,60,147,884942,6.838897448002827,-0.6699627965600905,49.20577754317732,0.01831235846233482,-13.161102551997175
ifr_revert_z2.0_w240,long,240,147,1892438,6.810444233253362,-5.978316311674243,48.66885805811872,0.008568996101595765,-13.189555766746638
fr_diverge_z2.0,long,5,147,2846514,6.6839952431521,2.760642493191491,50.107926489293355,0.020264937937806513,-13.316004756847901
ifr_revert_z2.0_w240,short,240,147,727115,6.558824183015546,16.401900990552747,52.76254214517577,0.025161310044361167,-13.441175816984455
