symbol,signal,direction,horizon_m,n_signals,mean_ret,median_ret,win_rate,net_fees
GALAUSDT,basis_z2.5_lb720,short,15,4397,1.3204421926326937,1.296176279973471,50.07959972708665,-18.679557807367306
GALAUSDT,basis_z2.5_lb720,long,15,5146,16.788917369059185,1.1822062901500896,50.05829770695686,-3.2110826309408154
GALAUSDT,basis_z2.5_lb720,short,30,4396,-0.6815610268668733,0.0,49.81801637852593,-20.681561026866873
GALAUSDT,basis_z2.5_lb720,long,30,5146,25.29538915253813,5.610098618137327,51.49630781189273,5.295389152538132
GALAUSDT,basis_z2.5_lb720,short,60,4396,-1.0675832373207068,2.5541770621223536,50.38671519563239,-21.067583237320708
GALAUSDT,basis_z2.5_lb720,long,60,5146,19.59701387153172,4.97313804722288,50.99106101826661,-0.40298612846828163
GALAUSDT,basis_z2.5_lb720,short,240,4396,-5.510994612824461,-5.560199790020093,48.134667879890806,-25.51099461282446
GALAUSDT,basis_z2.5_lb720,long,240,5145,23.047148815011692,0.0,49.62099125364431,3.047148815011692
GALAUSDT,basis_z3.0_lb720,short,5,1769,6.900868688522306,0.0,48.89768230638779,-13.099131311477695
GALAUSDT,basis_z3.0_lb720,long,5,2266,15.00688070825389,2.8492255744405615,51.72109443954104,-4.99311929174611
GALAUSDT,basis_z3.0_lb720,short,15,1769,3.1209540474031434,0.0,48.33239118145845,-16.879045952596858
GALAUSDT,basis_z3.0_lb720,long,15,2266,28.54085442010189,0.0,48.27890556045896,8.54085442010189
GALAUSDT,basis_z3.0_lb720,short,30,1768,-2.3380144426391225,0.0,47.794117647058826,-22.33801444263912
GALAUSDT,basis_z3.0_lb720,long,30,2266,42.6936196498745,5.502828631060996,51.36804942630185,22.6936196498745
GALAUSDT,basis_z3.0_lb720,short,60,1768,-4.432944849974701,-1.480653564147616,48.699095022624434,-24.432944849974703
GALAUSDT,basis_z3.0_lb720,long,60,2266,38.02904157693826,2.846171767337813,50.57369814651368,18.029041576938262
GALAUSDT,basis_z3.0_lb720,short,240,1768,-6.401263294766716,-7.123117815048818,47.11538461538461,-26.401263294766714
GALAUSDT,basis_z3.0_lb720,long,240,2265,53.41926578963068,-1.381788033716358,48.87417218543047,33.41926578963068
GALAUSDT,retdiv_z2.0_lb30,short,5,10490,1.277126934233496,0.0,48.6558627264061,-18.722873065766503
GALAUSDT,retdiv_z2.0_lb30,long,5,10306,0.9820622775150818,0.0,48.787114302348144,-19.01793772248492
GALAUSDT,retdiv_z2.0_lb30,short,15,10489,0.22609366302632347,1.438021282714752,50.2621794260654,-19.773906336973678
GALAUSDT,retdiv_z2.0_lb30,long,15,10306,2.040435193513885,0.0,48.63186493304871,-17.959564806486114
GALAUSDT,retdiv_z2.0_lb30,short,30,10488,-1.108861984439636,1.6559294490148257,50.22883295194508,-21.108861984439635
GALAUSDT,retdiv_z2.0_lb30,long,30,10305,2.2054298534943846,0.0,48.976225133430376,-17.794570146505617
GALAUSDT,retdiv_z2.0_lb30,short,60,10488,0.09036104938492326,0.0,49.95232646834478,-19.909638950615076
GALAUSDT,retdiv_z2.0_lb30,long,60,10305,1.476599376534015,0.0,48.40368753032509,-18.523400623465985
GALAUSDT,retdiv_z2.0_lb30,short,240,10485,4.186397420624921,4.502476361998298,50.519790176442534,-15.813602579375079
GALAUSDT,retdiv_z2.0_lb30,long,240,10302,-1.637949724816088,-2.097980647960407,48.62162686856921,-21.63794972481609
GALAUSDT,retdiv_z3.0_lb30,short,5,1021,8.453279952113744,0.0,48.77571008814887,-11.546720047886256
GALAUSDT,retdiv_z3.0_lb30,long,5,925,-1.349110621945887,0.0,48.21621621621622,-21.349110621945886
GALAUSDT,retdiv_z3.0_lb30,short,15,1021,5.348389042572636,3.7383177570082804,52.4975514201763,-14.651610957427364
GALAUSDT,retdiv_z3.0_lb30,long,15,925,4.333954882757188,0.0,48.0,-15.666045117242813
GALAUSDT,retdiv_z3.0_lb30,short,30,1021,-0.19190053839067886,2.3250406882124874,50.63663075416258,-20.19190053839068
GALAUSDT,retdiv_z3.0_lb30,long,30,925,7.981427622130531,-1.3991884706876512,48.21621621621622,-12.018572377869468
GALAUSDT,retdiv_z3.0_lb30,short,60,1021,2.7134413129418222,5.580357142856984,51.90989226248776,-17.28655868705818
GALAUSDT,retdiv_z3.0_lb30,long,60,925,7.774187937183225,0.0,48.21621621621622,-12.225812062816775
GALAUSDT,retdiv_z3.0_lb30,short,240,1021,7.299195952278721,4.889178617991652,50.34280117531832,-12.70080404772128
GALAUSDT,retdiv_z3.0_lb30,long,240,925,6.489106830171938,1.2909888974954598,50.054054054054056,-13.510893169828062
GALAUSDT,retdiv_z2.0_lb60,short,5,10953,0.26411385724444425,0.0,48.717246416506896,-19.735886142755557
GALAUSDT,retdiv_z2.0_lb60,long,5,10831,1.61411970998028,0.0,48.54584064259995,-18.38588029001972
GALAUSDT,retdiv_z2.0_lb60,short,15,10952,-2.235865471858776,0.0,49.98173849525201,-22.235865471858776
GALAUSDT,retdiv_z2.0_lb60,long,15,10831,3.1854634141849774,0.0,48.88745268211615,-16.814536585815024
GALAUSDT,retdiv_z2.0_lb60,short,30,10951,-5.153557783398022,1.64527805199155,50.21459227467812,-25.15355778339802
GALAUSDT,retdiv_z2.0_lb60,long,30,10830,4.321990514525044,0.0,49.50138504155125,-15.678009485474956
GALAUSDT,retdiv_z2.0_lb60,short,60,10951,-3.607288221435791,0.0,49.867592000730525,-23.60728822143579
GALAUSDT,retdiv_z2.0_lb60,long,60,10830,4.173251336543871,0.0,48.9196675900277,-15.82674866345613
GALAUSDT,retdiv_z2.0_lb60,short,240,10948,-1.450020687518436,3.9790605205636265,50.411033978808916,-21.450020687518435
GALAUSDT,retdiv_z2.0_lb60,long,240,10827,-0.7689163455086357,-2.641310089803728,48.5175949016348,-20.768916345508636
GALAUSDT,retdiv_z3.0_lb60,short,5,1450,4.734360728074226,0.0,47.51724137931034,-15.265639271925775
GALAUSDT,retdiv_z3.0_lb60,long,5,1335,-5.391866057892308,0.0,49.063670411985015,-25.391866057892308
GALAUSDT,retdiv_z3.0_lb60,short,15,1450,1.5409852087487883,1.3676867076922727,50.13793103448276,-18.45901479125121
GALAUSDT,retdiv_z3.0_lb60,long,15,1335,0.12560729079042066,0.0,48.01498127340824,-19.87439270920958
GALAUSDT,retdiv_z3.0_lb60,short,30,1450,-1.9328978621864321,0.0,49.37931034482759,-21.932897862186433
GALAUSDT,retdiv_z3.0_lb60,long,30,1335,4.612483146512238,0.0,49.812734082397,-15.387516853487762
GALAUSDT,retdiv_z3.0_lb60,short,60,1450,-1.6193619256951373,0.0,49.862068965517246,-21.619361925695138
GALAUSDT,retdiv_z3.0_lb60,long,60,1335,3.595788032662352,0.0,48.61423220973783,-16.40421196733765
GALAUSDT,retdiv_z3.0_lb60,short,240,1449,12.180047044576327,9.250693802034249,51.89786059351277,-7.819952955423673
GALAUSDT,retdiv_z3.0_lb60,long,240,1335,-4.757787920779659,-1.6488046166529546,48.239700374531836,-24.75778792077966
GALAUSDT,spotlead_gt20,long,5,8668,2.1008493383676954,0.0,48.511767420396865,-17.899150661632305
GALAUSDT,spotlead_lt20,short,5,8762,-1.6029559384052685,1.2599252648598513,50.05706459712395,-21.60295593840527
GALAUSDT,spotlead_gt20,long,15,8668,5.351055926040768,0.0,47.415782187355795,-14.648944073959232
GALAUSDT,spotlead_lt20,short,15,8762,-4.736674669051237,2.560537317496392,51.40378908924903,-24.736674669051236
GALAUSDT,spotlead_gt20,long,30,8666,7.294895945179426,0.0,48.257558273713364,-12.705104054820573
GALAUSDT,spotlead_lt20,short,30,8761,-7.4661801207678575,2.3837902264600697,50.861773770117566,-27.46618012076786
GALAUSDT,spotlead_gt20,long,60,8666,5.952510014385455,0.0,48.799907685206556,-14.047489985614545
GALAUSDT,spotlead_lt20,short,60,8761,-5.82939314144362,3.3167495854058426,51.261271544344254,-25.82939314144362
GALAUSDT,spotlead_gt20,long,240,8663,0.9590706685106571,-5.636184303225988,48.15883643079765,-19.040929331489345
GALAUSDT,spotlead_lt20,short,240,8755,-6.200752538929118,6.908940168579569,51.51342090234152,-26.200752538929116
GALAUSDT,spotlead_gt40,long,5,626,13.362901767466445,2.426856448337622,51.597444089456864,-6.637098232533555
GALAUSDT,spotlead_lt40,short,5,673,-38.41617190223186,0.0,48.29123328380386,-58.41617190223186
GALAUSDT,spotlead_gt40,long,15,626,53.192524012947516,-1.190959908721756,48.242811501597444,33.192524012947516
GALAUSDT,spotlead_lt40,short,15,673,-61.65383537311336,2.8632784538296097,50.52005943536404,-81.65383537311337
GALAUSDT,spotlead_gt40,long,30,626,78.93680333201844,0.0,49.84025559105431,58.93680333201844
GALAUSDT,spotlead_lt40,short,30,673,-98.8516048632883,-6.297229219145439,47.69687964338782,-118.8516048632883
GALAUSDT,spotlead_gt40,long,60,626,66.30572090878134,1.4852612177174151,50.159744408945684,46.30572090878134
GALAUSDT,spotlead_lt40,short,60,673,-87.16757914899043,-4.19463087248273,48.439821693907874,-107.16757914899043
GALAUSDT,spotlead_gt40,long,240,626,95.37949908227088,-16.060893350002825,45.52715654952076,75.37949908227088
GALAUSDT,spotlead_lt40,short,240,673,-116.54150561148825,8.655510675129596,51.41158989598811,-136.54150561148825
GALAUSDT,spotlead_gt60,long,5,84,-9.70239622156781,6.749140353781158,55.952380952380956,-29.70239622156781
GALAUSDT,spotlead_lt60,short,5,74,-113.28277003833463,-0.9335324869308437,47.2972972972973,-133.28277003833463
GALAUSDT,spotlead_gt60,long,15,84,117.70818084025314,-6.949254849670794,45.23809523809524,97.70818084025314
GALAUSDT,spotlead_lt60,short,15,74,-177.03423204033726,-8.390377228404411,45.94594594594595,-197.03423204033726
GALAUSDT,spotlead_gt60,long,30,84,156.75057133429124,28.170071268145414,55.952380952380956,136.75057133429124
GALAUSDT,spotlead_lt60,short,30,74,-274.06382471994175,-29.199978228086067,36.486486486486484,-294.06382471994175
GALAUSDT,spotlead_gt60,long,60,84,160.63021459404004,4.583832463151971,52.38095238095239,140.63021459404004
GALAUSDT,spotlead_lt60,short,60,74,-242.52414447074344,-14.977049314153223,43.24324324324324,-262.5241444707434
GALAUSDT,spotlead_gt60,long,240,84,285.20751697153145,-16.172855659842835,42.857142857142854,265.20751697153145
GALAUSDT,spotlead_lt60,short,240,74,-338.1181364358361,21.205701813740152,52.702702702702695,-358.1181364358361
GRASSUSDT,basis_z2.0_lb60,short,5,11466,1.6873821702194827,2.6834835959332892,52.05825920111634,-18.312617829780518
GRASSUSDT,basis_z2.0_lb60,long,5,12474,3.1004532206675073,2.8101742126374063,52.28475228475229,-16.899546779332493
GRASSUSDT,basis_z2.0_lb60,short,15,11466,4.792272545529787,4.650812196949072,53.01761730333159,-15.207727454470213
GRASSUSDT,basis_z2.0_lb60,long,15,12474,5.18806721169875,3.355704697987072,52.116402116402114,-14.811932788301249
GRASSUSDT,basis_z2.0_lb60,short,30,11466,6.049302511622053,6.874428574938363,53.50601779173208,-13.950697488377948
