follower,direction,horizon_m,n_signals,raw_alt_ret,raw_btc_fwd,excess_ret,beta_adj_ret,alt_already_moved,raw_net_fees,excess_net_fees,beta_adj_net_fees,raw_wr,excess_wr,lag_1m,lag_2m,lag_3m,lag_5m
BERAUSDT,up,10,20,1142.007590524946,44.15531188304378,1097.852278641902,987.1114207936764,251.68554380852544,1122.007590524946,1077.852278641902,967.1114207936764,65.0,70.0,1124.0402856201122,977.0304606457397,853.8617293072278,726.8589457940545
BERAUSDT,up,15,20,1414.2270771091307,91.02041998680915,1323.206657122321,1153.5156844047233,251.68554380852544,1394.2270771091307,1303.206657122321,1133.5156844047233,65.0,70.0,1340.3175230750774,1194.9969746848349,1034.431108202653,980.9264251696299
BERAUSDT,up,30,20,2009.5365140914698,129.79371281087066,1879.7428012805988,1646.4552468488268,251.68554380852544,1989.5365140914698,1859.7428012805988,1626.4552468488268,70.0,70.0,,,,
BERAUSDT,down,1,15,380.91150059822957,-7.703849333397628,388.6153499316272,422.8193282022812,1667.929329792859,360.91150059822957,368.6153499316272,402.8193282022812,53.333333333333336,53.333333333333336,525.5160820682113,334.9056939645181,153.0013102079799,-87.18341488817592
BERAUSDT,down,3,15,1086.7895355955393,-0.9633323316777137,1087.7528679272173,1146.3067769510885,1667.929329792859,1066.7895355955393,1067.7528679272173,1126.3067769510885,53.333333333333336,60.0,850.0231900892874,278.4613642573825,-112.3515491476648,-678.398448320335
BERAUSDT,down,5,15,1019.4242306796907,-12.953192249738352,1032.377422929429,1039.8767315372181,1667.929329792859,999.4242306796907,1012.377422929429,1019.8767315372181,46.666666666666664,46.666666666666664,527.4495154033826,-131.1461088313692,-730.4070236856866,-1443.3725761432675
BERAUSDT,down,10,15,4.473905539831579,-70.96305092865354,75.436956468485,207.92163522703262,1667.929329792859,-15.526094460168421,55.43695646848499,187.92163522703262,33.33333333333333,46.666666666666664,-673.8243620338236,-1450.3596537787066,-2021.1239759910893,-2398.3003034956373
BERAUSDT,down,15,15,-580.4277629937457,-169.29114963283862,-411.136613360907,-72.16220970236408,1667.929329792859,-600.4277629937457,-431.136613360907,-92.16220970236408,33.33333333333333,46.666666666666664,-1139.96786075658,-1839.459516521007,-2317.6813871659956,-2645.549063664753
BERAUSDT,down,30,15,-2003.837534157382,-290.8398314579224,-1712.9977026994595,-1159.5849806447027,1667.929329792859,-2023.837534157382,-1732.9977026994595,-1179.5849806447027,6.666666666666667,33.33333333333333,,,,
BIOUSDT,up,1,20,66.29518360256967,-2.380852355945096,68.67603595851473,41.997669734364706,684.321753795744,46.295183602569665,48.67603595851473,21.997669734364706,55.00000000000001,60.0,81.91852861701622,78.2668353766059,104.33911430940191,121.40152054572854
BIOUSDT,up,3,20,238.0606003622679,-13.225277502998017,251.28587786526592,234.2864454981622,684.321753795744,218.0606003622679,231.28587786526592,214.2864454981622,40.0,60.0,280.451398649625,346.06869209687113,390.20202744953747,287.5542363708368
BIOUSDT,up,5,20,535.5971058153144,23.278436586443966,512.3186692288704,426.56052503824577,684.321753795744,515.5971058153144,492.31866922887036,406.56052503824577,40.0,55.00000000000001,594.1805130078117,599.1621348089008,577.0676798310501,399.4608806945697
BIOUSDT,up,10,20,1006.9650362094268,44.15531188304378,962.809724326383,811.9795926250438,684.321753795744,986.9650362094268,942.809724326383,791.9795926250438,50.0,70.0,990.4491330128169,979.8173331463886,934.0697281572257,636.4366671538742
BIOUSDT,up,15,20,1227.6749588116068,91.02041998680915,1136.6545388247973,892.7825880748827,684.321753795744,1207.6749588116068,1116.6545388247973,872.7825880748827,70.0,70.0,1177.3201390478314,1151.0273206598074,1072.3311309364192,841.3096238824306
BIOUSDT,up,30,20,1675.0820383824757,129.79371281087066,1545.2883255716056,1215.8100791121174,684.321753795744,1655.0820383824757,1525.2883255716056,1195.8100791121174,60.0,65.0,,,,
BIOUSDT,down,1,15,479.0577840774793,-7.703849333397628,486.76163341087687,494.145528439353,1870.3273543045682,459.0577840774793,466.76163341087687,474.145528439353,53.333333333333336,53.333333333333336,337.77309308180077,331.6940702544833,161.43285055770642,-227.2239119467268
