symbol,signal,direction,horizon_m,n_signals,mean_ret_bps,median_ret_bps,win_rate,sharpe,net_fees_bps
FORMUSDT,ifr_revert_z2.0_w240,long,15,5121,-12.014110748154726,-4.940223298092183,45.18648701425503,-0.0491630937364762,-32.01411074815473
FORMUSDT,ifr_revert_z2.0_w240,short,30,6157,3.4488563165027513,2.2941041523283356,51.583563423745325,0.020715025491447492,-16.551143683497248
FORMUSDT,ifr_revert_z2.0_w240,long,30,5121,-17.305569088321295,-5.73000229200149,45.342706502636204,-0.05743928175260517,-37.30556908832129
FORMUSDT,ifr_revert_z2.0_w240,short,60,6157,8.46928075424868,5.430847212164469,53.5000812083807,0.0383567986403776,-11.53071924575132
FORMUSDT,ifr_revert_z2.0_w240,long,60,5121,-30.54627818719573,-13.561705761213627,43.936731107205624,-0.10162349935570261,-50.546278187195725
FORMUSDT,ifr_revert_z2.0_w240,short,240,6157,25.206456920887884,8.067034454043442,52.460613935358126,0.07578410816746738,5.206456920887884
FORMUSDT,ifr_revert_z2.0_w240,long,240,5121,-9.899181874507068,-27.538094363869227,43.936731107205624,-0.021178464172937752,-29.899181874507068
FORMUSDT,ifr_revert_z2.5_w240,short,5,4021,2.6058401930515256,0.8440243078999821,51.678686893807516,0.029780736559677473,-17.394159806948473
FORMUSDT,ifr_revert_z2.5_w240,long,5,3589,-12.988677267758124,-1.0220768601809649,44.9707439398161,-0.05223370709379583,-32.98867726775812
FORMUSDT,ifr_revert_z2.5_w240,short,15,4021,4.351144982891588,2.583979328164565,52.67346431236011,0.027066318200005154,-15.648855017108412
FORMUSDT,ifr_revert_z2.5_w240,long,15,3589,-14.546355659014324,-5.253825441648985,44.831429367511845,-0.051360603424379536,-34.546355659014324
FORMUSDT,ifr_revert_z2.5_w240,short,30,4021,3.3038770621663924,2.5325004220821956,51.579209151952256,0.01803664929552155,-16.696122937833607
FORMUSDT,ifr_revert_z2.5_w240,long,30,3589,-19.522878341645356,-4.128250997660343,45.9738088604068,-0.056204045482136505,-39.52287834164535
FORMUSDT,ifr_revert_z2.5_w240,short,60,4021,5.800551130671927,5.327965901018583,53.1459835861726,0.024310095606408434,-14.199448869328073
FORMUSDT,ifr_revert_z2.5_w240,long,60,3589,-33.9428281755551,-12.667188256771933,44.52493730844246,-0.10095193990564107,-53.9428281755551
FORMUSDT,ifr_revert_z2.5_w240,short,240,4021,25.12822637185014,8.393662784597078,52.62372544143248,0.07417895925402207,5.12822637185014
FORMUSDT,ifr_revert_z2.5_w240,long,240,3589,-6.673014177197959,-26.32348639953097,43.911953190303706,-0.014048881859039691,-26.67301417719796
FORMUSDT,ifr_revert_z3.0_w240,short,5,2736,3.7293305560897267,1.441931349077108,52.55847953216374,0.03968717565789609,-16.270669443910272
FORMUSDT,ifr_revert_z3.0_w240,long,5,2655,-15.730801198581483,-1.1299009453513698,45.122410546139356,-0.05798072399627238,-35.73080119858148
FORMUSDT,ifr_revert_z3.0_w240,short,15,2736,6.013257500877606,3.307023719228974,53.5453216374269,0.034710002174030634,-13.986742499122393
FORMUSDT,ifr_revert_z3.0_w240,long,15,2655,-15.94400134289847,-5.253825441648985,44.74576271186441,-0.05142541454683543,-35.944001342898474
FORMUSDT,ifr_revert_z3.0_w240,short,30,2736,3.148958982624425,3.549021820933862,52.15643274853801,0.016324861511990998,-16.851041017375575
FORMUSDT,ifr_revert_z3.0_w240,long,30,2655,-23.373695694215407,-3.395073371308399,46.290018832391716,-0.05964592398191129,-43.37369569421541
FORMUSDT,ifr_revert_z3.0_w240,short,60,2736,6.464659208533765,5.623797543288234,53.25292397660819,0.02659806074352864,-13.535340791466236
FORMUSDT,ifr_revert_z3.0_w240,long,60,2655,-39.609152753423835,-11.008669327094989,44.85875706214689,-0.10763868121368894,-59.609152753423835
FORMUSDT,ifr_revert_z3.0_w240,short,240,2736,32.21695952165594,9.614469873556185,53.07017543859649,0.09368795979614952,12.216959521655937
FORMUSDT,ifr_revert_z3.0_w240,long,240,2655,-14.320148764479244,-27.2245307350627,43.427495291902076,-0.029294613447834638,-34.32014876447924
FORMUSDT,ifr_mom15_gt1.0,long,5,39659,0.3240800797617424,0.0,48.51609975037192,0.004811846813603943,-19.675919920238258
FORMUSDT,ifr_mom15_lt1.0,short,5,39736,1.3509571624862928,0.0,49.373364203744714,0.014800678168184164,-18.649042837513708
FORMUSDT,ifr_mom15_gt1.0,long,15,39659,-0.20195837982666207,-0.3700688328023283,49.25994099699942,-0.0016134493971520592,-20.201958379826664
FORMUSDT,ifr_mom15_lt1.0,short,15,39736,0.7716075250107177,0.0,49.96225085564727,0.00618270674291225,-19.22839247498928
FORMUSDT,ifr_mom15_gt1.0,long,30,39659,-0.6791175710218378,-1.7371163867985207,48.4934062886104,-0.004568134115432208,-20.679117571021838
FORMUSDT,ifr_mom15_lt1.0,short,30,39736,1.2434318852672364,0.4984034658622738,50.216428427622304,0.007530465439364065,-18.756568114732765
FORMUSDT,ifr_mom15_gt1.0,long,60,39659,-1.1405661257181057,-2.6276276276282484,48.46819133109761,-0.005668778474606029,-21.140566125718106
FORMUSDT,ifr_mom15_lt1.0,short,60,39736,2.209812416312012,2.8819201674823436,51.60308033017918,0.010415802147176767,-17.790187583687988
FORMUSDT,ifr_mom15_gt1.0,long,240,39659,-1.2485477182297702,-4.284123040013688,48.76068483824605,-0.0032430901506657465,-21.24854771822977
FORMUSDT,ifr_mom15_lt1.0,short,240,39736,2.8746738622850363,6.744452963774461,51.84215824441313,0.007473446810576448,-17.125326137714964
FORMUSDT,ifr_mom15_gt2.0,long,5,31129,0.4424108283114965,0.0,48.63953226894536,0.006117377277035804,-19.557589171688505
FORMUSDT,ifr_mom15_lt2.0,short,5,31261,1.5316410143271653,0.0,49.128306835993726,0.01527760772397064,-18.468358985672836
FORMUSDT,ifr_mom15_gt2.0,long,15,31129,0.20951654296564967,0.0,49.471553856532495,0.0015498020039322303,-19.79048345703435
FORMUSDT,ifr_mom15_lt2.0,short,15,31261,0.785045768507123,0.0,49.944019705063816,0.005832732603552118,-19.214954231492875
FORMUSDT,ifr_mom15_gt2.0,long,30,31129,-0.08302737520255107,-1.7670446178774668,48.48212277940184,-0.0005274546944686217,-20.08302737520255
FORMUSDT,ifr_mom15_lt2.0,short,30,31261,0.6712580464780146,0.2906976744176948,50.07837241291065,0.003794819785307179,-19.328741953521984
FORMUSDT,ifr_mom15_gt2.0,long,60,31129,-0.11746916521273838,-2.0618556701035295,48.79694175848887,-0.0005619734299161499,-20.11746916521274
FORMUSDT,ifr_mom15_lt2.0,short,60,31261,1.4543995849515572,2.9801183532718323,51.64262179712741,0.0065201998194209035,-18.545600415048444
FORMUSDT,ifr_mom15_gt2.0,long,240,31129,1.7476546736750562,-3.326478771017438,49.025024896398854,0.004413011929678958,-18.252345326324942
FORMUSDT,ifr_mom15_lt2.0,short,240,31261,-1.2150861422330357,5.747126436781436,51.62022967915294,-0.0030785823506478366,-21.215086142233037
FORMUSDT,ifr_mom15_gt5.0,long,5,13919,0.8573429323163978,0.0,48.947481859328974,0.009421449092800984,-19.1426570676836
FORMUSDT,ifr_mom15_lt5.0,short,5,14107,3.464302738486509,0.0,49.45062734812504,0.026039887147059716,-16.53569726151349
FORMUSDT,ifr_mom15_gt5.0,long,15,13919,0.5166371342301557,0.26066783098244173,50.02514548458941,0.0029400641756365227,-19.483362865769845
FORMUSDT,ifr_mom15_lt5.0,short,15,14107,1.3946780071309448,0.30425654912291655,50.216204721060464,0.00804678306766973,-18.605321992869055
FORMUSDT,ifr_mom15_gt5.0,long,30,13919,1.4368851128986178,-2.0145624082645863,48.40146562253035,0.007727413068506514,-18.56311488710138
FORMUSDT,ifr_mom15_lt5.0,short,30,14107,-0.4732530089941112,0.0,49.83341603459275,-0.00207678821533703,-20.47325300899411
FORMUSDT,ifr_mom15_gt5.0,long,60,13919,1.391015515055854,-2.0087812437230568,48.99058840433939,0.005702394707863048,-18.608984484944145
FORMUSDT,ifr_mom15_lt5.0,short,60,14107,0.4268809651311306,3.996346197763234,52.11597079464095,0.0016012911556639766,-19.57311903486887
FORMUSDT,ifr_mom15_gt5.0,long,240,13919,9.485763076843698,1.1299754230353898,50.19038724046268,0.021658213935658498,-10.514236923156302
FORMUSDT,ifr_mom15_lt5.0,short,240,14107,-7.655859832457285,3.957470384928774,51.095200964060396,-0.017893481115669515,-27.655859832457285
FORMUSDT,ifr_mom60_gt1.0,long,5,42616,0.0041240660374012314,0.0,48.38088980664539,7.047727912929877e-05,-19.995875933962598
FORMUSDT,ifr_mom60_lt1.0,short,5,42591,1.1561152788094526,0.0,49.125402080251696,0.013161527050738704,-18.84388472119055
FORMUSDT,ifr_mom60_gt1.0,long,15,42616,-0.6039891211590643,-0.4751835849753361,49.17167261122583,-0.005821416218391299,-20.603989121159064
FORMUSDT,ifr_mom60_lt1.0,short,15,42591,0.60854017448379,0.43500957020992104,50.264140311333385,0.005020832631154174,-19.39145982551621
FORMUSDT,ifr_mom60_gt1.0,long,30,42616,-1.1864712673613838,-1.7482790891115707,48.50056316876291,-0.008544881985890266,-21.186471267361384
FORMUSDT,ifr_mom60_lt1.0,short,30,42591,1.0062262893786365,1.4037057832672062,50.80181258951421,0.00630186929986627,-18.99377371062136
FORMUSDT,ifr_mom60_gt1.0,long,60,42616,-0.21279137519306307,-3.0393480184831567,48.115731180777175,-0.0010722501767627419,-20.212791375193063
FORMUSDT,ifr_mom60_lt1.0,short,60,42591,3.654587249526135,3.4140373837088234,51.88420088751145,0.017530102408932834,-16.345412750473866
FORMUSDT,ifr_mom60_gt1.0,long,240,42616,-4.459725766841499,-4.17083242530758,48.7586821850948,-0.011507717773784074,-24.4597257668415
FORMUSDT,ifr_mom60_lt1.0,short,240,42591,-2.1398756051875663,7.043443962360119,52.090817308821116,-0.005571652173254498,-22.139875605187566
FORMUSDT,ifr_mom60_gt2.0,long,5,34528,-0.164489794937743,0.0,48.40129749768304,-0.0027207931995245835,-20.164489794937744
FORMUSDT,ifr_mom60_lt2.0,short,5,34360,1.391659701385945,0.0,49.04831199068684,0.014566372130056779,-18.608340298614056
FORMUSDT,ifr_mom60_gt2.0,long,15,34528,-0.7043061336843608,-0.47576041539321157,49.16010194624653,-0.006450090648328614,-20.704306133684362
FORMUSDT,ifr_mom60_lt2.0,short,15,34360,0.7281502594592117,0.42767770230323077,50.27357392316647,0.005611130039079302,-19.271849740540787
FORMUSDT,ifr_mom60_gt2.0,long,30,34528,-1.1522924380960367,-1.68425707591624,48.55769230769231,-0.007940750605009827,-21.152292438096037
FORMUSDT,ifr_mom60_lt2.0,short,30,34360,1.1121809173305914,1.2101040708173416,50.70430733410943,0.006578050059937658,-18.88781908266941
FORMUSDT,ifr_mom60_gt2.0,long,60,34528,0.5334213140076987,-2.849503855074098,48.27096848934198,0.0025823833261425532,-19.466578685992303
FORMUSDT,ifr_mom60_lt2.0,short,60,34360,3.695473742260203,3.7278734966134097,52.03725261932479,0.017008602728900868,-16.3045262577398
FORMUSDT,ifr_mom60_gt2.0,long,240,34528,-1.7293502496219209,-3.180293743495488,49.058734939759034,-0.004333190446716288,-21.72935024962192
FORMUSDT,ifr_mom60_lt2.0,short,240,34360,-4.370358211379006,6.514526083553629,51.95867287543655,-0.01114532760866025,-24.370358211379006
FORMUSDT,ifr_mom60_gt5.0,long,5,17141,0.10239229978057462,0.0,49.046146665888806,0.0013993139530328747,-19.897607700219424
FORMUSDT,ifr_mom60_lt5.0,short,5,16839,2.840937177697008,0.0,48.91620642555971,0.02315345845645277,-17.159062822302992
FORMUSDT,ifr_mom60_gt5.0,long,15,17141,-0.7637813391652926,-0.37317610180109817,49.31450907181612,-0.0057463311210869195,-20.76378133916529
FORMUSDT,ifr_mom60_lt5.0,short,15,16839,1.0409113257452833,0.29970628783737574,50.18706574024586,0.006435889259738895,-18.959088674254716
FORMUSDT,ifr_mom60_gt5.0,long,30,17141,-0.33687407151595994,-1.3212657726102695,48.94696925500263,-0.0019467387786463938,-20.33687407151596
FORMUSDT,ifr_mom60_lt5.0,short,30,16839,1.6006608868381602,1.322751322750948,50.67403052437793,0.007581259459460214,-18.39933911316184
FORMUSDT,ifr_mom60_gt5.0,long,60,17141,2.74278583846213,-2.3536795857515003,48.62026719561286,0.01145693316672874,-17.25721416153787
