ts,btc_vol_30d,btc_trend_30d,btc_trend_7d,btc_vol_of_vol,btc_log_price,alt_dispersion,btc_alt_corr_30d,alt_avg_mom_30d,avg_basis_bps,avg_fr_bps
2024-02-03,49.661858709240605,-2.6372227745531163,2.128478375514886,,10.668764678816167,2.2821475013083585,0.6744073314218255,-5.300818164583168,-5.454684045088325,0.9077678571428571
2024-02-04,49.771198379771555,-3.6171099355025826,1.2935517575405564,,10.65866072547512,2.2486848792242227,0.6859395257889531,-2.8470365806079676,-5.5992458390043325,0.9075869047619048
2024-02-05,49.77581517448802,-2.9104620170834483,-1.3713377473652089,,10.661780882090442,2.2533955343657874,0.6915152790721206,1.7533644741246215,-5.870709555414783,0.8863880952380953
2024-02-06,49.893339034119535,-1.9398582490065097,0.3842121205060778,,10.67090465642071,2.2596441879681786,0.6969553579584341,4.644728787586336,-6.01878122684228,0.8795773809523809
2024-02-07,44.51139469097785,-5.6517814565024915,4.148502915208674,,10.69914619404915,2.235588800628483,0.6708231348863746,1.327294447274078,-6.077962373560888,0.8651535714285714
2024-02-08,44.80528548932869,-1.8806364897676064,5.09908370215908,,10.720189966408876,2.206652260494661,0.6571232096910595,3.390815063108662,-6.066010083547298,0.8867988095238095
2024-02-09,46.933892283645854,0.9912151547688763,9.134954988755872,,10.760503750814465,2.1544074753089486,0.7095584912182981,-1.314056735386902,-6.007656328744623,0.8956547619047619
2024-02-10,47.04541465502506,2.9783570705774087,11.016752031782783,,10.773275601958503,2.18027340215509,0.7153466988954269,0.14640498044955003,-5.528512820781437,0.9213964285714286
2024-02-11,37.8529519432737,12.92259666946276,13.554873636030408,,10.785776727734268,2.202499585405273,0.6807036596415682,7.576042401992751,-4.865575639830493,0.9383738095238094
2024-02-12,39.20586686445138,16.581262396453166,17.02473028112601,,10.818995978488786,2.2363204221232102,0.6903926183140002,9.72865506448536,-3.644579553849939,0.9606285714285715
2024-02-13,37.72702802907432,19.121037118688754,15.380455344107657,,10.813969445727034,2.2177994154891985,0.7023658705322512,9.08231509670895,-2.1006621103273178,1.005170238095238
2024-02-14,39.599311713457766,21.910412368466247,16.931720745521005,,10.855566189136145,2.2369917691350008,0.7176467638634296,12.374415958088369,-0.16231770468833062,1.0868892857142858
2024-02-15,39.53848486262147,20.348914049077038,14.678803813479746,,10.857154990735232,2.26155354422679,0.7051226474856117,11.501670151362646,1.8071404610076058,1.2701023809523808
2024-02-16,39.20152759590207,21.90098195273258,10.673055701746947,,10.861913975653012,2.234203694929389,0.7149748054158677,8.523446182394196,3.4498029312119667,1.4093988095238095
