lookback,zscore_thresh,direction,horizon_m,n_symbols,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps,avg_prem_bps
720,2.5,short,15,147,329933,-0.7487003560737284,2.615871021840039,51.19824921014528,0.006004245430857466,-20.748700356073726,10.706598154816131
720,2.5,short,60,147,329901,-1.2445356894874031,6.560544303079258,52.12460431542982,0.0037882135667566905,-21.244535689487403,10.709119831832092
360,3.0,short,60,147,186348,-1.440251091487478,7.028486712347024,52.369800012982786,0.009822152824373959,-21.44025109148748,11.463441690772116
720,3.0,short,30,147,186587,-1.5868265251361688,5.53000804971651,52.09972987582179,0.012241162388804133,-21.586826525136168,12.354558530577593
360,3.0,short,15,147,186366,-1.5891828926936056,2.96874656687118,51.5344866268825,0.00848038331983442,-21.589182892693607,11.463725239789449
120,3.5,short,30,147,118191,-1.963569227826752,3.9321424460643675,51.283040489531494,0.007674277500838939,-21.963569227826753,11.096877807653199
60,3.5,short,240,147,117486,-2.1750399079607594,15.490622971233291,52.41267621185038,0.022050393539390704,-22.17503990796076,10.011818530624504
60,3.5,short,30,147,117546,-2.6031782579817326,2.4365092026210347,50.77552651239875,0.003697050918300808,-22.603178257981735,10.007672184042178
60,3.5,short,15,147,117549,-2.670813921590739,2.2911247132704804,50.83679810069724,-0.008764814684979503,-22.67081392159074,10.007964810943031
720,3.0,short,15,147,186592,-2.6732598971125587,2.764257203859093,51.156724878070406,0.0032921507404677316,-22.67325989711256,12.35472155068612
120,3.5,short,15,147,118195,-2.8556484728149356,2.464241656825136,50.79420241326656,-0.006905245268978685,-22.855648472814938,11.097126530787358
120,3.5,short,240,147,118125,-3.028244038078807,17.031558619974604,52.2964566623673,0.018910341606095317,-23.028244038078807,11.10522254877551
360,3.5,short,30,147,116631,-3.5756644935579214,5.401244594607137,52.15342327156073,0.01073201241861468,-23.575664493557923,12.852820579633702
720,3.0,short,60,147,186575,-3.586330034671668,6.816729505883625,52.48353613781086,0.007571803684063233,-23.586330034671665,12.354381756125541
360,3.0,short,240,147,186264,-3.851298782907589,15.378779799950072,52.223118793087814,0.012435484362859179,-23.851298782907588,11.466475861367462
360,3.5,short,15,147,116635,-3.948232676549529,3.0947702235156296,51.39143858532959,0.003053578918888372,-23.948232676549527,12.853049369646666
120,3.5,short,60,147,118181,-4.012356059157586,5.450565834025952,51.626835869772286,-0.0027711009681300677,-24.012356059157586,11.096928489846377
720,2.5,short,240,147,329736,-4.616896400014283,13.194585319082277,51.88156146022648,0.005558025189534369,-24.616896400014284,10.71478452910159
60,3.5,short,60,147,117539,-5.1542850140166125,4.025083946669324,51.34108394563416,-0.0022957668165756624,-25.15428501401661,10.007518047515251
360,3.5,short,60,147,116625,-5.631031431387737,7.094925894811799,52.404291178907954,0.0017812344516144733,-25.63103143138774,12.852661644248078
720,3.5,short,15,147,116719,-7.076146109201958,2.738603280942282,50.821409414286876,-0.008456659952251614,-27.076146109201957,13.934237138001468
720,3.5,short,30,147,116715,-8.35208221913667,4.244577848034261,51.59314181348407,-0.004165311877487492,-28.35208221913667,13.934033739854497
720,3.0,short,240,147,186489,-11.116641715442714,12.938762969390897,51.92760815493835,0.006168194173100958,-31.116641715442718,12.361402027799244
720,3.5,short,60,147,116712,-11.963576078152402,5.156072672197368,51.86101115680425,-0.011772537720681037,-31.9635760781524,13.933838301250248
360,3.5,short,240,147,116576,-12.407118017055994,13.10097472464276,51.83896937366368,0.0011199527843625018,-32.407118017056,12.861283666843507
720,3.5,short,240,147,116657,-24.217221712278686,10.959777619209973,51.48216162218583,-0.0092889214794396,-44.217221712278686,13.945365988988845
