variant,direction,horizon_m,n_symbols,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
LS>0.65_OI>3.0σ,short,240,139,79233,15.52043172644185,20.609244811115648,54.13748691564455,0.0705484079866138,-4.479568273558151
LS>0.68_OI>1.5σ,long,30,30,4977,15.260452023574915,7.937917588922779,48.49989584473885,0.04788443641915787,-4.739547976425083
LS>0.65_OI>3.0σ,long,5,26,770,15.147261679575696,-1.5446686612979668,44.81892530454495,0.012376848935838958,-4.8527383204243035
LS>0.72_OI>1.5σ_extended,long,15,20,1020,15.061546999364955,-20.73377710176835,48.510914447775605,0.04934230509105096,-4.938453000635046
LS>0.65_OI>1.5σ_extended,long,5,35,3067,15.02456139546129,9.98404380836477,51.97018962707264,0.13952419811430608,-4.975438604538709
LS>0.7_OI>2.0σ_extended,short,60,119,97167,14.843594288498213,14.837792360802322,55.85518534039891,0.09601183174021023,-5.156405711501786
LS>0.72_OI>2.5σ,short,60,114,96407,14.733885870147427,11.3062227506393,52.618010744863874,0.10341266012610502,-5.266114129852573
LS>0.72_OI>1.5σ,short,240,117,390296,14.723427971902819,24.23981356548873,53.098115946000014,0.057930943441616284,-5.276572028097181
LS>0.65_OI>2.0σ,short,240,140,349745,14.474124581715722,16.701894437600004,53.04044080882992,0.04757506137489235,-5.5258754182842775
LS>0.72_noOI,short,240,121,3851735,14.317292897887327,10.454471985631375,51.352761971915626,0.0528012743083968,-5.682707102112672
LS>0.72_OI>3.0σ_extended,short,60,107,18828,14.27159940074466,14.171579484730096,54.15762485376633,0.01628699929780868,-5.728400599255338
LS>0.65_OI>2.0σ_extended,long,5,30,1462,14.261311859898319,9.956846065557171,51.534185795025586,0.0909063193337456,-5.738688140101681
LS>0.7_OI>2.5σ,long,5,20,721,14.180033937628485,-11.571563477460078,47.32164460233514,0.03540455817922227,-5.819966062371514
LS>0.65_OI>2.0σ_extended,long,60,30,1462,13.847347820215196,-24.05807450536542,50.81254309851106,0.0672248302751802,-6.152652179784804
