signal,horizon_m,n_pairs,total_sigs,mean_ret,mean_wr,net_fees,avg_corr
spread_z3.0_lb240,60,28,207162,10.65097711520533,56.272145453392795,-29.34902288479467,0.7284421752920088
spread_z3.0_lb720,60,28,232978,9.95637993544253,56.345805069623275,-30.04362006455747,0.7284421752920088
spread_z2.5_lb240,240,28,580560,9.839021823249299,55.28655521285008,-30.1609781767507,0.7284421752920088
spread_z3.0_lb60,60,28,138686,9.608764232556087,55.56541165245027,-30.39123576744391,0.7284421752920088
spread_z2.5_lb720,240,28,606439,8.50021950148257,56.308926685850956,-31.499780498517428,0.7284421752920088
spread_z2.5_lb60,240,28,466795,8.34940922131783,53.87729623137114,-31.65059077868217,0.7284421752920088
spread_z3.0_lb60,30,28,138696,8.307890737092341,56.03157465592495,-31.692109262907657,0.7284421752920088
spread_z3.0_lb720,30,28,232985,8.296859877417486,55.94729910845246,-31.703140122582514,0.7284421752920088
momdiv_30m_gt100,240,28,508129,8.259051385779493,52.918334842084846,-31.740948614220507,0.7284421752920088
spread_z3.0_lb240,30,28,207170,8.028804880148275,55.951789703318696,-31.971195119851725,0.7284421752920088
momdiv_30m_gt100,60,28,508294,7.885882346986163,53.67950476695479,-32.114117653013835,0.7284421752920088
spread_z2.0_lb240,240,28,1480872,7.1334915178835,54.52344065222168,-32.8665084821165,0.7284421752920088
momdiv_15m_gt100,15,28,228524,6.965702685397475,53.41269335546259,-33.034297314602526,0.7284421752920088
spread_z3.0_lb60,15,28,138701,6.8575213085153495,56.56583310131729,-33.14247869148465,0.7284421752920088
momdiv_5m_gt50,60,28,343380,6.682200076543337,52.91081450738717,-33.31779992345666,0.7284421752920088
spread_z2.5_lb720,60,28,606552,6.528712308316433,55.670010896423776,-33.471287691683564,0.7284421752920088
momdiv_30m_gt100,30,28,508322,6.188538582077562,53.55742333065882,-33.81146141792244,0.7284421752920088
spread_z2.0_lb720,240,28,1487989,6.1774834024774155,55.49220518058984,-33.822516597522586,0.7284421752920088
momdiv_5m_gt50,240,28,343242,6.078011179898714,52.047306854795394,-33.921988820101284,0.7284421752920088
spread_z2.5_lb240,60,28,580791,6.065126460437265,55.348763440149774,-33.93487353956274,0.7284421752920088
spread_z3.0_lb720,15,28,232991,5.762625895117478,54.794172904821835,-34.23737410488253,0.7284421752920088
