signal,direction,horizon_m,n_symbols,total_sigs,mean_ret,mean_wr,net_fees
basis_z2.0_lb60,long,240,86,885775,0.26856264696128573,48.836000453231016,-19.731437353038714
basis_z2.0_lb720,short,30,86,850313,0.18011691426354,51.76859168761019,-19.81988308573646
retdiv_z2.0_lb30,short,15,86,822855,0.14566239975368753,50.87997293207692,-19.85433760024631
basis_z3.0_lb240,short,5,86,165633,0.0975674777491344,51.634658115605475,-19.902432522250866
retdiv_z2.0_lb30,short,60,86,822748,0.09749078865685272,51.04921777234131,-19.902509211343148
basis_z3.0_lb60,short,15,86,143338,0.0876628043029257,51.622958353761256,-19.912337195697074
retdiv_z2.0_lb60,short,15,86,833243,-0.023486498079506257,50.80612535987525,-20.023486498079507
basis_z2.5_lb240,short,15,86,371979,-0.02632063140231442,51.791641977117116,-20.026320631402314
basis_z2.5_lb720,short,5,86,365237,-0.09234437738455716,51.580974277119175,-20.092344377384556
retdiv_z2.0_lb60,short,60,86,833153,-0.09836585233608718,51.029893177905116,-20.098365852336087
basis_z2.5_lb240,short,60,86,371941,-0.14695982653240372,51.671949036304625,-20.146959826532406
retdiv_z2.0_lb30,short,30,86,822823,-0.16768096653063763,50.854870141807616,-20.167680966530636
retdiv_z2.0_lb30,long,240,86,824408,-0.3317283648822405,48.576290454558176,-20.33172836488224
retdiv_z2.0_lb60,long,240,86,834919,-0.4487030912990181,48.50088826654358,-20.448703091299016
retdiv_z2.0_lb60,short,30,86,833219,-0.4540310219153007,50.79115839920546,-20.4540310219153
basis_z2.5_lb240,short,30,86,371973,-0.4944202988269994,51.741815205735115,-20.494420298827
basis_z3.0_lb60,short,240,86,143237,-0.5769219196846946,51.40513713761259,-20.576921919684697
basis_z3.0_lb60,short,30,86,143335,-0.7226169018343007,51.38541724708784,-20.7226169018343
basis_z3.0_lb60,short,60,86,143318,-0.7513828953944115,51.446551952775415,-20.75138289539441
basis_z2.5_lb720,short,15,86,365222,-0.9216013157527697,51.77314461835339,-20.92160131575277
basis_z3.0_lb240,short,15,86,165630,-1.2911932884753534,51.755479398152495,-21.291193288475355
basis_z3.0_lb720,short,5,86,164552,-1.2980635707005088,51.33464035388985,-21.298063570700506
basis_z2.5_lb720,short,60,86,365174,-1.568466871080372,51.57870759845675,-21.56846687108037
basis_z2.5_lb720,short,30,86,365212,-1.7591298270832452,51.67060162623176,-21.759129827083246
basis_z2.5_lb720,short,240,86,364906,-1.9602401234158728,51.44205369376884,-21.960240123415872
basis_z3.0_lb240,short,240,86,165492,-2.395551701699468,51.48237499491559,-22.395551701699468
retdiv_z3.0_lb60,short,5,86,126024,-2.488600609219505,50.52270721877033,-22.488600609219503
retdiv_z3.0_lb30,short,5,86,92457,-2.529257161117773,50.76069115699888,-22.529257161117773
basis_z3.0_lb240,short,60,86,165613,-2.635477427380729,51.26362198820759,-22.635477427380728
basis_z3.0_lb240,short,30,86,165628,-2.754912678466427,51.56794096247638,-22.754912678466425
basis_z3.0_lb720,short,15,86,164547,-3.4209014182597155,51.66431986176347,-23.420901418259717
basis_z3.0_lb720,short,60,86,164525,-5.471708822337594,51.18881623187151,-25.471708822337597
basis_z3.0_lb720,short,30,86,164544,-5.83750870196874,51.39522756359535,-25.83750870196874
retdiv_z3.0_lb60,short,15,86,126020,-6.2722593427745235,50.822166734043705,-26.27225934277452
retdiv_z3.0_lb30,short,15,86,92453,-6.479671451481465,50.951641643263876,-26.479671451481465
basis_z3.0_lb720,short,240,86,164391,-7.297569780538485,51.34953307721575,-27.29756978053848
retdiv_z3.0_lb60,short,240,86,125941,-8.894757923910122,51.110826882483835,-28.89475792391012
retdiv_z3.0_lb30,short,240,86,92404,-9.006326424213585,51.196180791402135,-29.006326424213587
retdiv_z3.0_lb60,short,60,86,126011,-9.57393312342424,50.97410245857197,-29.57393312342424
retdiv_z3.0_lb30,short,60,86,92446,-9.720334335998615,51.037777078457324,-29.72033433599861
retdiv_z3.0_lb60,short,30,86,126019,-10.53239717889271,50.98350199308442,-30.53239717889271
retdiv_z3.0_lb30,short,30,86,92453,-10.754786265969551,51.03124093563645,-30.754786265969553
spotlead_lt20,short,5,85,569593,-40.1381112487384,48.03045836823321,-60.1381112487384
spotlead_lt20,short,15,85,569564,-72.37682797795858,47.92942488516511,-92.37682797795858
spotlead_lt20,short,30,85,569526,-104.6882525637561,46.721515387037414,-124.6882525637561
spotlead_lt20,short,60,85,569447,-111.18561940563136,45.63341794167801,-131.18561940563134
spotlead_lt20,short,240,85,568922,-154.05559373774219,44.735111387848875,-174.05559373774219
spotlead_lt40,short,5,79,73667,-177.5819437786587,44.31758905740559,-197.5819437786587
spotlead_lt40,short,15,79,73663,-312.928465058606,43.429873046427275,-332.928465058606
spotlead_lt60,short,5,67,16370,-353.66411239963435,39.591100066294814,-373.66411239963435
spotlead_lt40,short,30,79,73657,-458.6315581248473,41.169214805900815,-478.6315581248473
spotlead_lt40,short,60,79,73644,-494.85174702874184,38.00170324487433,-514.8517470287419
spotlead_lt60,short,15,67,16370,-615.1354358258103,38.37029162229825,-635.1354358258103
spotlead_lt40,short,240,79,73553,-687.1090593209542,34.73107420602802,-707.1090593209542
spotlead_lt60,short,30,67,16370,-905.3498066549729,35.26797223258649,-925.3498066549729
spotlead_lt60,short,60,67,16364,-966.5865782084592,31.198057517208213,-986.5865782084591
spotlead_lt60,short,240,67,16345,-1293.8598870518592,28.878189513440677,-1313.8598870518592
