symbol,lookback,zscore_thresh,direction,horizon_m,n_signals,mean_ret_bps,median_ret_bps,win_rate,sharpe,net_of_fees_bps,avg_premium_bps
CCUSDT,360,1.5,short,15,3627,7.220661093942462,9.366584709049608,58.340226082161564,0.09295334656514105,-12.77933890605754,4.435459663633857
CCUSDT,360,1.5,long,15,13432,9.327774736152037,5.247766699120193,54.608397855866585,0.10673536800176069,-10.672225263847963,-11.570090537522335
CCUSDT,360,1.5,short,30,3627,12.269581134153222,14.416700305633912,58.588365039977944,0.11690136625737663,-7.730418865846778,4.435459663633857
CCUSDT,360,1.5,long,30,13425,12.548437671047424,7.988692926934604,55.15828677839851,0.10702845150999647,-7.451562328952576,-11.567882152700186
CCUSDT,360,1.5,short,60,3627,10.20397599550014,15.487068297971307,57.37524124620899,0.06902741630476378,-9.79602400449986,4.435459663633857
CCUSDT,360,1.5,long,60,13398,16.841081616542457,11.265226159152819,55.321689804448425,0.10444471233264664,-3.158918383457543,-11.557094320047769
CCUSDT,360,1.5,short,240,3615,5.638566074466099,33.97300523367952,57.5103734439834,0.02023583871816677,-14.361433925533902,4.451452863070539
CCUSDT,360,1.5,long,240,13389,14.59060574854195,6.60327522451265,51.504966763761296,0.046256526251817955,-5.40939425145805,-11.554974225110163
CCUSDT,360,2.0,short,5,1716,2.7366436431529735,5.295513594812951,56.41025641025641,0.04686198474486395,-17.263356356847027,7.759624825174826
CCUSDT,360,2.0,long,5,8196,5.0760487639228415,2.5380006844644143,53.58711566617862,0.09199209047681298,-14.923951236077158,-12.463330368472425
CCUSDT,360,2.0,short,15,1716,6.493606987333631,9.328868710602457,58.333333333333336,0.07453796613231355,-13.506393012666368,7.759624825174826
CCUSDT,360,2.0,long,15,8195,11.139874001761948,6.297625795075312,55.15558267236119,0.12225399250903408,-8.860125998238052,-12.462753935326418
CCUSDT,360,2.0,short,30,1716,15.649205878985665,17.134496485579632,59.84848484848485,0.1354902227391428,-4.350794121014335,7.759624825174826
CCUSDT,360,2.0,long,30,8194,13.754499261137585,8.371515530768425,55.45521113009519,0.11541276309173151,-6.245500738862415,-12.461977044178665
CCUSDT,360,2.0,short,60,1716,13.738676556709892,21.05981090424369,58.91608391608392,0.0810623755161805,-6.261323443290108,7.759624825174826
CCUSDT,360,2.0,long,60,8176,20.693594272380494,14.101306318466955,56.421232876712324,0.12572772037179233,0.6935942723804942,-12.449718945694718
CCUSDT,360,2.0,short,240,1716,18.26970795900458,62.78430114004918,62.06293706293706,0.05821253110593596,-1.730292040995419,7.759624825174826
CCUSDT,360,2.0,long,240,8171,16.425593994169216,8.685402320243174,51.85411822298372,0.0522925843921272,-3.5744060058307845,-12.447534365438747
CCUSDT,360,2.5,short,5,1156,3.19422072915493,6.333408744017555,57.43944636678201,0.05099787540714781,-16.805779270845072,9.22506055363322
CCUSDT,360,2.5,long,5,4976,5.010557383007639,2.644142515577652,53.41639871382636,0.08479501628235316,-14.98944261699236,-13.22220631028939
CCUSDT,360,2.5,short,15,1156,4.888779892866214,8.911382600332306,57.43944636678201,0.05618897069390585,-15.111220107133786,9.22506055363322
CCUSDT,360,2.5,long,15,4976,11.926432903567177,6.6136395053395525,55.285369774919616,0.12406067538695462,-8.073567096432823,-13.22220631028939
CCUSDT,360,2.5,short,30,1156,12.61427524988663,14.391382737737878,57.61245674740484,0.1057578459643647,-7.38572475011337,9.22506055363322
CCUSDT,360,2.5,long,30,4976,14.333597261691231,8.81258896775483,55.78778135048231,0.1176773368048496,-5.6664027383087685,-13.22220631028939
CCUSDT,360,2.5,short,60,1156,9.92130597508551,23.739677210199986,58.65051903114187,0.05507556257656583,-10.07869402491449,9.22506055363322
CCUSDT,360,2.5,long,60,4966,22.440150149082356,15.54969063103484,56.745871929117996,0.1319087956487463,2.4401501490823563,-13.209167801047121
CCUSDT,360,2.5,short,240,1156,3.2190205104309237,43.430968184312576,59.083044982698965,0.009782837572784503,-16.780979489569077,9.22506055363322
CCUSDT,360,2.5,long,240,4963,21.585380869417527,11.244979919677878,52.569010679024785,0.06846146661625031,1.585380869417527,-13.206755329437838
CCUSDT,360,3.0,short,5,813,1.4491477491391371,6.616257088847277,57.687576875768755,0.021812349200490636,-18.550852250860864,10.165465559655596
CCUSDT,360,3.0,long,5,3185,4.143942010409869,2.242655303881236,52.68445839874411,0.06687288498739541,-15.85605798959013,-13.835526530612245
CCUSDT,360,3.0,short,15,813,2.41300715221637,7.1586231581466375,56.21156211562116,0.027090627574713005,-17.58699284778363,10.165465559655596
CCUSDT,360,3.0,long,15,3185,12.017832266566291,7.034327518289363,55.47880690737833,0.1157753389919091,-7.982167733433709,-13.835526530612245
CCUSDT,360,3.0,short,30,813,10.346922384564166,14.281633818908901,57.564575645756456,0.09221405824187509,-9.653077615435834,10.165465559655596
CCUSDT,360,3.0,long,30,3185,12.974594238390441,7.955936352510573,54.850863422291994,0.10298543150601969,-7.025405761609559,-13.835526530612245
CCUSDT,360,3.0,short,60,813,4.725870693898011,19.639934533551838,56.94956949569495,0.027275715682828154,-15.27412930610199,10.165465559655596
CCUSDT,360,3.0,long,60,3179,21.74584993432912,15.80492210431439,56.936143441333755,0.12211695563819537,1.7458499343291187,-13.823258351682918
CCUSDT,360,3.0,short,240,813,-2.5846621295097885,31.679942070962362,57.687576875768755,-0.00806923311603539,-22.584662129509788,10.165465559655596
CCUSDT,360,3.0,long,240,3178,18.65930840949684,7.788952530488613,51.478917558212714,0.058059253594225015,-1.340691590503159,-13.821729137822528
CCUSDT,360,3.5,short,5,581,-0.8470132024281233,6.333695258775585,57.31497418244407,-0.011499008393648818,-20.847013202428123,10.655216179001721
CCUSDT,360,3.5,long,5,2092,4.4201117107603975,1.5475684966859138,52.34225621414914,0.06814751526611489,-15.579888289239602,-14.285537571701722
CCUSDT,360,3.5,short,15,581,1.41243401802668,8.700307857046896,57.6592082616179,0.015195533155241196,-18.58756598197332,10.655216179001721
