symbol,signal,direction,horizon_m,n_signals,mean_abs_ret,mean_ret,median_ret,win_rate,net_fees
UNIUSDT,oipricediv_p100_oi5.0_accum,long,60,355,194.81452017357486,-78.5254231563612,3.3772374197904576,50.140845070422536,-98.5254231563612
UNIUSDT,oipricediv_p100_oi5.0_weak,short,240,169,310.19264019800863,-29.266459485266072,47.095761381475974,54.437869822485204,-49.26645948526607
UNIUSDT,oipricediv_p100_oi5.0_accum,long,240,355,307.56627716815694,16.969207395287498,26.162790697674687,58.59154929577465,-3.0307926047125022
USELESSUSDT,coiled_v0.1_oi1.0,abs_move,15,2217,69.09681889526908,-3.9697060108412927,-6.40204865557048,44.97068110058638,49.09681889526908
USELESSUSDT,coiled_v0.1_oi1.0_momup,long,15,941,69.23257991166535,-5.699836450071993,-6.031363088058184,44.845908607863976,-25.69983645007199
USELESSUSDT,coiled_v0.1_oi1.0_momdn,short,15,1135,69.42707836561824,1.4127174176249904,5.414185165133478,51.98237885462555,-18.58728258237501
USELESSUSDT,coiled_v0.1_oi1.0,abs_move,30,2217,99.12292137284743,-5.506015804099248,-14.333492594362784,44.2489851150203,79.12292137284743
USELESSUSDT,coiled_v0.1_oi1.0_momup,long,30,941,98.89403403101862,-9.12542121129505,-18.764787468384945,43.251859723698196,-29.12542121129505
USELESSUSDT,coiled_v0.1_oi1.0_momdn,short,30,1135,100.20493840791374,-0.5626032891882216,9.545020680877814,52.863436123348016,-20.56260328918822
USELESSUSDT,coiled_v0.1_oi1.0,abs_move,60,2217,144.2186102085234,-4.731654822943439,-19.54761239877034,44.60983310780334,124.21861020852339
USELESSUSDT,coiled_v0.1_oi1.0_momup,long,60,941,145.95363460127908,-19.912317667154056,-28.248587570621766,42.40170031880977,-39.912317667154056
USELESSUSDT,coiled_v0.1_oi1.0_momdn,short,60,1135,144.99191744441526,-9.78156920372208,6.846635367762088,52.59911894273128,-29.78156920372208
USELESSUSDT,coiled_v0.1_oi1.0,abs_move,240,2217,294.75741657641504,2.315823106955392,-8.587376556462578,48.21831303563374,274.75741657641504
USELESSUSDT,coiled_v0.1_oi1.0_momup,long,240,941,296.32622321264637,-25.01515987561119,-22.826707247479703,46.439957492029755,-45.01515987561119
USELESSUSDT,coiled_v0.1_oi1.0_momdn,short,240,1135,294.0902358189485,-28.307288980448803,-3.0435223698876968,48.81057268722467,-48.3072889804488
USELESSUSDT,coiled_v0.1_oi2.0,abs_move,15,1071,73.89517358973238,-3.775748381410378,-7.042253521126751,44.537815126050425,53.89517358973238
USELESSUSDT,coiled_v0.1_oi2.0_momup,long,15,474,74.74634012646065,-10.633571234173886,-11.72712554729005,41.983122362869196,-30.633571234173886
USELESSUSDT,coiled_v0.1_oi2.0_momdn,short,15,537,74.88614960806748,-2.8499483919746225,3.336670003336595,50.46554934823091,-22.84994839197462
USELESSUSDT,coiled_v0.1_oi2.0,abs_move,30,1071,104.37855871847549,-4.772596933760007,-15.789473684210131,44.35107376283847,84.37855871847549
USELESSUSDT,coiled_v0.1_oi2.0_momup,long,30,474,103.05243386851976,-19.34026889336286,-21.85542549350328,43.24894514767932,-39.34026889336286
USELESSUSDT,coiled_v0.1_oi2.0_momdn,short,30,537,106.79919423301175,-10.769076269803138,10.198878123406363,52.886405959031656,-30.769076269803136
USELESSUSDT,coiled_v0.1_oi2.0,abs_move,60,1071,148.15949428109997,-2.2899004108675096,-15.232292460016783,46.21848739495798,128.15949428109997
USELESSUSDT,coiled_v0.1_oi2.0_momup,long,60,474,151.06448250853305,-29.807184304134896,-33.72819727200604,40.92827004219409,-49.80718430413489
USELESSUSDT,coiled_v0.1_oi2.0_momdn,short,60,537,149.3345050979237,-23.597990344169606,-4.113533525298418,48.78957169459962,-43.5979903441696
USELESSUSDT,coiled_v0.1_oi2.0,abs_move,240,1071,322.18356448866865,1.8019408842269942,5.277044854881119,50.60690943043884,302.18356448866865
USELESSUSDT,coiled_v0.1_oi2.0_momup,long,240,474,311.6474244176041,-70.36718139210042,-56.59568108231594,43.67088607594937,-90.36718139210042
USELESSUSDT,coiled_v0.1_oi2.0_momdn,short,240,537,332.81744896023866,-63.73134730764098,-56.05952502293343,42.83054003724395,-83.73134730764099
USELESSUSDT,coiled_v0.1_oi3.0,abs_move,15,459,86.25215362560752,-2.2179858331132603,-9.79868163192621,44.008714596949886,66.25215362560752
USELESSUSDT,coiled_v0.1_oi3.0_momup,long,15,189,85.53392677205522,-20.955574520067337,-19.946808510638014,40.21164021164021,-40.95557452006734
USELESSUSDT,coiled_v0.1_oi3.0_momdn,short,15,245,89.36907991584276,-14.024715125598458,0.0,48.97959183673469,-34.02471512559846
USELESSUSDT,coiled_v0.1_oi3.0,abs_move,30,459,122.17184768422925,-2.511099281249056,-19.475194751946702,45.31590413943355,102.17184768422925
USELESSUSDT,coiled_v0.1_oi3.0_momup,long,30,189,118.20292037188011,-35.66401859343522,-30.949105914718224,40.74074074074074,-55.66401859343522
USELESSUSDT,coiled_v0.1_oi3.0_momdn,short,30,245,125.13031984527827,-27.492981932921857,0.0,49.795918367346935,-47.49298193292186
USELESSUSDT,coiled_v0.1_oi3.0,abs_move,60,459,165.8157054402424,-7.222827898199595,-22.153300841825097,44.008714596949886,145.8157054402424
USELESSUSDT,coiled_v0.1_oi3.0_momup,long,60,189,173.74304686913746,-80.80541167224467,-82.34688625836317,32.27513227513227,-100.80541167224467
USELESSUSDT,coiled_v0.1_oi3.0_momdn,short,60,245,163.8050284982526,-50.21958421152313,-17.8026449643931,46.53061224489796,-70.21958421152313
USELESSUSDT,coiled_v0.1_oi3.0,abs_move,240,459,370.9075058710079,-20.38766529323262,16.45639056500503,51.633986928104584,350.9075058710079
USELESSUSDT,coiled_v0.1_oi3.0_momup,long,240,189,387.45300595102344,-191.39410218511287,-191.70753455193923,34.92063492063492,-211.39410218511287
USELESSUSDT,coiled_v0.1_oi3.0_momdn,short,240,245,369.30211289117733,-105.2719123209892,-101.59651669085612,36.3265306122449,-125.2719123209892
USELESSUSDT,coiled_v0.15_oi1.0,abs_move,15,3171,70.12227489571288,-3.314773895724685,-6.2893081761006275,45.06464837590665,50.12227489571288
USELESSUSDT,coiled_v0.15_oi1.0_momup,long,15,1374,71.45701021868597,-4.232572477388728,-6.769367677593174,44.10480349344978,-24.23257247738873
USELESSUSDT,coiled_v0.15_oi1.0_momdn,short,15,1600,69.99339503386096,1.8965461955091474,5.275682596230791,51.6875,-18.103453804490854
USELESSUSDT,coiled_v0.15_oi1.0,abs_move,30,3171,100.73636414945344,-2.899920219101747,-10.384215991693369,45.72690003153579,80.73636414945344
USELESSUSDT,coiled_v0.15_oi1.0_momup,long,30,1374,103.25137127448286,-4.9468577370942795,-15.189407610080586,44.32314410480349,-24.94685773709428
USELESSUSDT,coiled_v0.15_oi1.0_momdn,short,30,1600,99.41558813033578,-0.8718435986093561,6.31635974788991,51.1875,-20.871843598609356
USELESSUSDT,coiled_v0.15_oi1.0,abs_move,60,3171,144.3616334829208,-5.147319469438139,-20.408163265305255,44.24471775465153,124.36163348292081
USELESSUSDT,coiled_v0.15_oi1.0_momup,long,60,1374,147.87935206463058,-15.236713458924683,-27.553918141725585,42.13973799126637,-35.23671345892468
USELESSUSDT,coiled_v0.15_oi1.0_momdn,short,60,1600,143.80690203345426,-5.3368591815652895,9.976469735895055,53.25,-25.336859181565288
USELESSUSDT,coiled_v0.15_oi1.0,abs_move,240,3171,313.89920875423877,4.301048345241276,-18.786902844872834,47.36676127404604,293.89920875423877
USELESSUSDT,coiled_v0.15_oi1.0_momup,long,240,1374,310.518560901734,-11.300663310633816,-35.27800483283828,45.924308588064044,-31.300663310633816
USELESSUSDT,coiled_v0.15_oi1.0_momdn,short,240,1600,317.95261059511455,-17.212948639010747,4.277952791855166,50.5625,-37.21294863901075
USELESSUSDT,coiled_v0.15_oi2.0,abs_move,15,1581,73.56044272554762,-4.529654616779499,-8.20613819136784,43.76976597090449,53.56044272554762
USELESSUSDT,coiled_v0.15_oi2.0_momup,long,15,705,74.53477803239424,-8.760794800660136,-12.80409731113985,40.99290780141844,-28.760794800660136
USELESSUSDT,coiled_v0.15_oi2.0_momdn,short,15,788,74.91320277778708,0.7534166839638623,5.275682596230791,51.649746192893396,-19.246583316036137
USELESSUSDT,coiled_v0.15_oi2.0,abs_move,30,1581,104.1295032308798,-5.452975791236956,-15.162326079201094,44.71853257432005,84.1295032308798
USELESSUSDT,coiled_v0.15_oi2.0_momup,long,30,705,106.89902621515856,-14.377247093820895,-21.79704528941673,42.836879432624116,-34.3772470938209
USELESSUSDT,coiled_v0.15_oi2.0_momdn,short,30,788,103.60690475809388,-3.5461286854672944,8.980736783356091,52.28426395939086,-23.546128685467295
USELESSUSDT,coiled_v0.15_oi2.0,abs_move,60,1581,146.92995087578288,-2.6596299934242413,-18.966334755808887,44.84503478810879,126.92995087578288
USELESSUSDT,coiled_v0.15_oi2.0_momup,long,60,705,150.46322835979774,-15.423240484473979,-28.00038621222356,40.99290780141844,-35.42324048447398
USELESSUSDT,coiled_v0.15_oi2.0_momdn,short,60,788,148.44817585167885,-9.659840303705328,5.103673468198067,51.649746192893396,-29.65984030370533
USELESSUSDT,coiled_v0.15_oi2.0,abs_move,240,1581,332.9490815022777,3.570741063317147,-3.301419610431955,49.01960784313725,312.9490815022777
USELESSUSDT,coiled_v0.15_oi2.0_momup,long,240,705,315.68549458217785,-43.157216665220304,-57.25190839694583,43.40425531914894,-63.157216665220304
