symbol,gross_bps,sig_str,hold,entry_time,exit_time,strategy,net_tk,net_mk,month
ATOMUSDT,5829.583802024745,4.66535966368237,11,2025-10-10 21:15:00,2025-10-10 22:10:00,long_vg,5809.583802024745,5821.583802024745,2025-10
BARDUSDT,-116.68567290179399,5.228217996518578,12,2025-10-01 13:15:00,2025-10-01 14:15:00,long_vg,-136.685672901794,-124.68567290179399,2025-10
BARDUSDT,629.4148599735316,2.826852013343819,23,2025-10-03 16:55:00,2025-10-03 18:50:00,long_vg,609.4148599735316,621.4148599735316,2025-10
BARDUSDT,365.15113101777575,2.537306904139094,14,2025-10-10 19:20:00,2025-10-10 20:30:00,long_vg,345.15113101777575,357.15113101777575,2025-10
BARDUSDT,-4726.9576838800895,5.468899091240542,4,2025-10-10 20:55:00,2025-10-10 21:15:00,long_vg,-4746.9576838800895,-4734.9576838800895,2025-10
BARDUSDT,4237.162991194065,5.829160075750005,24,2025-10-10 21:30:00,2025-10-10 23:30:00,long_vg,4217.162991194065,4229.162991194065,2025-10
BARDUSDT,-21.163218739445043,4.009018896674664,3,2025-11-20 19:30:00,2025-11-20 19:45:00,long_vg,-41.16321873944504,-29.163218739445043,2025-11
BARDUSDT,-155.94842893538186,3.502698475172831,7,2026-01-31 18:20:00,2026-01-31 18:55:00,long_vg,-175.94842893538186,-163.94842893538186,2026-01
BARDUSDT,-24.60629921259838,3.489992252854174,19,2026-02-11 06:20:00,2026-02-11 07:55:00,long_vg,-44.60629921259838,-32.60629921259838,2026-02
AVNTUSDT,6957.870672762898,7.6952895933321965,7,2025-10-10 21:20:00,2025-10-10 21:55:00,long_vg,6937.870672762898,6949.870672762898,2025-10
AVNTUSDT,348.1460515142953,2.99542944381402,7,2025-11-21 07:30:00,2025-11-21 08:05:00,long_vg,328.1460515142953,340.1460515142953,2025-11
AVNTUSDT,-70.3517587939706,2.5393070822815442,7,2025-12-01 01:00:00,2025-12-01 01:35:00,long_vg,-90.3517587939706,-78.3517587939706,2025-12
AVAXUSDT,43.66591361230077,3.71197158653779,3,2025-09-17 17:55:00,2025-09-17 18:10:00,long_vg,23.66591361230077,35.66591361230077,2025-09
AVAXUSDT,-1736.7114953570294,4.137484305611192,23,2025-10-10 20:55:00,2025-10-10 22:50:00,long_vg,-1756.7114953570294,-1744.7114953570294,2025-10
AVAXUSDT,182.87487828627212,3.015493405482407,10,2025-11-03 15:45:00,2025-11-03 16:35:00,long_vg,162.87487828627212,174.87487828627212,2025-11
AVAXUSDT,70.89480743437626,5.249970220994069,3,2025-11-21 07:30:00,2025-11-21 07:45:00,long_vg,50.89480743437626,62.89480743437626,2025-11
BANUSDT,-127.84789378790462,2.552171882579861,3,2025-07-08 12:25:00,2025-07-08 12:40:00,long_vg,-147.84789378790464,-135.84789378790464,2025-07
BANUSDT,-0.7962417389906218,2.548064186700549,11,2025-07-25 15:10:00,2025-07-25 16:05:00,long_vg,-20.796241738990624,-8.796241738990622,2025-07
BANUSDT,1350.375104195609,3.2795654209752088,20,2025-09-03 09:35:00,2025-09-03 11:15:00,long_vg,1330.375104195609,1342.375104195609,2025-09
BANUSDT,131.4013779387735,3.4571263903401657,11,2025-09-20 09:00:00,2025-09-20 09:55:00,long_vg,111.40137793877349,123.40137793877349,2025-09
BANUSDT,1101.1679053541634,11.945714457991306,16,2025-10-10 21:25:00,2025-10-10 22:45:00,long_vg,1081.1679053541634,1093.1679053541634,2025-10
BANUSDT,-51.07340720221565,2.8967275922105866,5,2025-10-17 08:10:00,2025-10-17 08:35:00,long_vg,-71.07340720221565,-59.07340720221565,2025-10
BANUSDT,-210.82854799015726,3.503154587893897,17,2025-11-13 01:20:00,2025-11-13 02:45:00,long_vg,-230.82854799015726,-218.82854799015726,2025-11
BANUSDT,-113.58220810166908,2.5457000519663513,4,2025-11-30 08:05:00,2025-11-30 08:25:00,long_vg,-133.5822081016691,-121.58220810166908,2025-11
BANUSDT,-233.68437235759765,2.5241286717835134,3,2025-12-06 16:35:00,2025-12-06 16:50:00,long_vg,-253.68437235759765,-241.68437235759765,2025-12
BANUSDT,-278.5923753665698,2.7743539511676096,6,2026-01-01 18:35:00,2026-01-01 19:05:00,long_vg,-298.5923753665698,-286.5923753665698,2026-01
BANUSDT,125.67660051017393,2.7035534180933096,6,2026-01-28 04:40:00,2026-01-28 05:10:00,long_vg,105.67660051017393,117.67660051017393,2026-01
BANUSDT,47.14122163108403,3.8089070450938123,23,2026-02-03 15:55:00,2026-02-03 17:50:00,long_vg,27.14122163108403,39.14122163108403,2026-02
BANUSDT,120.947937131628,2.7159500432200376,3,2026-02-11 14:25:00,2026-02-11 14:40:00,long_vg,100.947937131628,112.947937131628,2026-02
BANUSDT,43.067748881895355,2.5801563049652816,3,2026-02-12 22:55:00,2026-02-12 23:10:00,long_vg,23.067748881895355,35.067748881895355,2026-02
AUCTIONUSDT,133.2915163870152,2.8964889574722053,8,2025-07-13 04:30:00,2025-07-13 05:10:00,long_vg,113.2915163870152,125.2915163870152,2025-07
AUCTIONUSDT,-149.35661764705733,2.645499769713051,8,2025-08-24 00:10:00,2025-08-24 00:50:00,long_vg,-169.35661764705733,-157.35661764705733,2025-08
AUCTIONUSDT,5036.081043574801,3.8048340361829065,7,2025-10-10 21:15:00,2025-10-10 21:50:00,long_vg,5016.081043574801,5028.081043574801,2025-10
AUCTIONUSDT,-94.15351506456227,3.08170070504798,11,2026-01-18 01:05:00,2026-01-18 02:00:00,long_vg,-114.15351506456227,-102.15351506456227,2026-01
AUCTIONUSDT,-46.85059864653951,2.6684575050095725,7,2026-01-20 22:50:00,2026-01-20 23:25:00,long_vg,-66.85059864653951,-54.85059864653951,2026-01
AXSUSDT,5067.064083457526,7.197075482097822,18,2025-10-10 21:15:00,2025-10-10 22:45:00,long_vg,5047.064083457526,5059.064083457526,2025-10
BEATUSDT,214.07297096053713,2.5797780867734526,24,2025-12-06 08:45:00,2025-12-06 10:45:00,long_vg,194.07297096053713,206.07297096053713,2025-12
BCHUSDT,-141.64966985860895,2.885898708415541,6,2025-07-27 01:45:00,2025-07-27 02:15:00,long_vg,-161.64966985860895,-149.64966985860895,2025-07
BCHUSDT,67.791543202822,2.7711970576261766,6,2025-08-04 14:15:00,2025-08-04 14:45:00,long_vg,47.791543202822,59.791543202822,2025-08
BCHUSDT,188.15099734495357,2.6740450831781835,17,2025-08-22 14:35:00,2025-08-22 16:00:00,long_vg,168.15099734495357,180.15099734495357,2025-08
BCHUSDT,-49.19461624847132,3.1586526643176307,24,2025-09-11 04:25:00,2025-09-11 06:25:00,long_vg,-69.19461624847132,-57.19461624847132,2025-09
BCHUSDT,-393.02907760446647,3.2457588212231383,4,2025-10-10 21:10:00,2025-10-10 21:30:00,long_vg,-413.02907760446647,-401.02907760446647,2025-10
BCHUSDT,-454.85998985099195,3.0616197899766417,11,2025-10-10 21:45:00,2025-10-10 22:40:00,long_vg,-474.85998985099195,-462.85998985099195,2025-10
BCHUSDT,-14.116986856295144,2.6015382673741767,4,2025-12-18 13:55:00,2025-12-18 14:15:00,long_vg,-34.11698685629514,-22.116986856295142,2025-12
BCHUSDT,-65.66310427402522,3.13308716363429,24,2025-12-25 08:05:00,2025-12-25 10:05:00,long_vg,-85.66310427402522,-73.66310427402522,2025-12
BCHUSDT,-3.50371148972739,2.708159829974403,24,2025-12-27 09:10:00,2025-12-27 11:10:00,long_vg,-23.50371148972739,-11.50371148972739,2025-12
BCHUSDT,-18.652528926900168,2.67080668693536,3,2026-01-08 02:00:00,2026-01-08 02:15:00,long_vg,-38.65252892690017,-26.652528926900168,2026-01
CCUSDT,-91.58672326770811,2.8573593715359995,3,2026-01-23 11:45:00,2026-01-23 12:00:00,long_vg,-111.58672326770811,-99.58672326770811,2026-01
BERAUSDT,9180.672268907563,11.720749136687319,6,2025-10-10 21:20:00,2025-10-10 21:50:00,long_vg,9160.672268907563,9172.672268907563,2025-10
BTRUSDT,1132.6429604812295,3.3637582438317724,9,2025-09-14 12:45:00,2025-09-14 13:30:00,long_vg,1112.6429604812295,1124.6429604812295,2025-09
BTRUSDT,-807.5860336598861,3.1284880765096053,15,2025-09-25 03:15:00,2025-09-25 04:30:00,long_vg,-827.5860336598861,-815.5860336598861,2025-09
BTRUSDT,-1849.657157369,4.803947146068249,12,2025-10-10 21:10:00,2025-10-10 22:10:00,long_vg,-1869.657157369,-1857.657157369,2025-10
BTRUSDT,675.2360549075598,3.761633441837682,19,2025-10-20 04:40:00,2025-10-20 06:15:00,long_vg,655.2360549075598,667.2360549075598,2025-10
BTRUSDT,-553.2373132319291,3.2270888215937186,19,2026-01-05 05:15:00,2026-01-05 06:50:00,long_vg,-573.2373132319291,-561.2373132319291,2026-01
BIOUSDT,53.08527735839785,3.3170482498376446,6,2025-08-14 12:30:00,2025-08-14 13:00:00,long_vg,33.08527735839785,45.08527735839785,2025-08
BIOUSDT,7028.985507246379,9.537954374469097,3,2025-10-10 21:15:00,2025-10-10 21:30:00,long_vg,7008.985507246379,7020.985507246379,2025-10
BIOUSDT,196.70477471418923,3.6693363585885708,3,2025-11-21 07:30:00,2025-11-21 07:45:00,long_vg,176.70477471418923,188.70477471418923,2025-11
BNBUSDT,36.382357988673505,2.5407927825846297,15,2025-10-07 12:40:00,2025-10-07 13:55:00,long_vg,16.382357988673505,28.382357988673505,2025-10
BNBUSDT,-104.43395139928646,2.5286490914473014,13,2025-10-10 21:20:00,2025-10-10 22:25:00,long_vg,-124.43395139928646,-112.43395139928646,2025-10
BNBUSDT,-34.02230774674386,2.846213170911293,5,2026-01-19 00:05:00,2026-01-19 00:30:00,long_vg,-54.02230774674386,-42.02230774674386,2026-01
BTCUSDT,-43.70921453978882,5.615033043215243,13,2025-07-10 21:15:00,2025-07-10 22:20:00,long_vg,-63.70921453978882,-51.70921453978882,2025-07
BTCUSDT,960.0687796596529,6.035235515481405,12,2025-10-10 21:15:00,2025-10-10 22:15:00,long_vg,940.0687796596529,952.0687796596529,2025-10
BTCUSDT,24.1694030619799,2.6324874579602406,19,2026-01-02 14:45:00,2026-01-02 16:20:00,long_vg,4.169403061979899,16.1694030619799,2026-01
BTCUSDT,10.42594704509181,4.077933435854831,17,2026-01-15 16:00:00,2026-01-15 17:25:00,long_vg,-9.57405295490819,2.42594704509181,2026-01
BTCUSDT,-3.8968709120101863,2.5370655526679244,3,2026-01-20 15:20:00,2026-01-20 15:35:00,long_vg,-23.896870912010186,-11.896870912010186,2026-01
BTCUSDT,-77.44992238217452,2.6950817028399614,4,2026-02-23 01:05:00,2026-02-23 01:25:00,long_vg,-97.44992238217452,-85.44992238217452,2026-02
CAKEUSDT,-48.505246485843756,3.3959708412510654,7,2025-09-11 12:55:00,2025-09-11 13:30:00,long_vg,-68.50524648584376,-56.505246485843756,2025-09
CAKEUSDT,3088.422010876075,4.475178133431081,23,2025-10-10 21:15:00,2025-10-10 23:10:00,long_vg,3068.422010876075,3080.422010876075,2025-10
CAKEUSDT,39.87313094698575,2.511155916202852,9,2025-11-03 15:40:00,2025-11-03 16:25:00,long_vg,19.873130946985746,31.873130946985746,2025-11
COAIUSDT,1489.496203727736,2.7767877482221324,23,2025-10-06 09:40:00,2025-10-06 11:35:00,long_vg,1469.496203727736,1481.496203727736,2025-10
COAIUSDT,35.49245785270827,2.5309672313999902,4,2025-11-13 14:10:00,2025-11-13 14:30:00,long_vg,15.49245785270827,27.49245785270827,2025-11
COAIUSDT,-52.926208651398184,3.552840071386232,6,2025-11-21 07:35:00,2025-11-21 08:05:00,long_vg,-72.92620865139818,-60.926208651398184,2025-11
COAIUSDT,-376.65452607266724,4.006337296323525,15,2025-12-14 10:05:00,2025-12-14 11:20:00,long_vg,-396.65452607266724,-384.65452607266724,2025-12
COAIUSDT,524.0174672489051,2.6146349227695045,9,2025-12-25 12:55:00,2025-12-25 13:40:00,long_vg,504.01746724890506,516.0174672489051,2025-12
COAIUSDT,671.727298768261,2.869669746209392,13,2026-01-19 00:05:00,2026-01-19 01:10:00,long_vg,651.727298768261,663.727298768261,2026-01
CHZUSDT,5763.307214266415,4.4761957225479705,16,2025-10-10 21:20:00,2025-10-10 22:40:00,long_vg,5743.307214266415,5755.307214266415,2025-10
