config,fee,n,nsym,avg_gross,avg_net,wr,pf,total,daily,avg_hold,pos_m,tot_m,is_avg,oos_avg,is_wr,oos_wr,oos_pf
sig_taker_thr2.5_h12_ts150,taker,4454,116,63.698163485536845,43.69816348553683,0.38370004490345755,1.489624681377263,194631.62016458105,794.4147761819635,6.581724292770543,1,9,101.17132884423644,-13.775001873162788,0.3951504265828469,0.3722496632240683,0.811060276843293
sig_taker_thr2.5_h12_ts150,maker,4454,116,63.698163485536845,55.69816348553684,0.44027840143691066,1.677748576816303,248079.62016458108,1012.56987822278,6.581724292770543,4,9,113.17132884423644,-1.7750018731627881,0.4521778176919623,0.428378985181859,0.9729837591484218
sig_taker_thr2.5_h12_ts300,taker,4433,116,68.0007046017161,48.000704601716095,0.38754793593503273,1.5250545162752387,212787.12349940743,868.5188714261528,7.054816151590345,2,9,108.03329881094191,-12.004811306107296,0.3971119133574007,0.37798827244023453,0.8406516656743166
sig_taker_thr2.5_h12_ts300,maker,4433,116,68.0007046017161,60.000704601716095,0.44394315362057296,1.710893863688282,265983.12349940743,1085.6454020383976,7.054816151590345,4,9,120.03329881094191,-0.00481130610729393,0.45442238267148016,0.43346865133062695,0.9999294580156278
sig_taker_thr2.5_h24_ts0,taker,4345,116,58.543754144252205,38.543754144252205,0.39171461449942463,1.358616502421723,167472.61175677582,683.5616806399013,9.090448791714614,4,9,80.01966621767801,-2.913070993106694,0.40009208103130756,0.38334100322135295,0.9615604725203531
sig_taker_thr2.5_h24_ts0,maker,4345,116,58.543754144252205,50.543754144252205,0.4506329113924051,1.502760983216276,219612.61175677582,896.3780071705136,9.090448791714614,6,9,92.01966621767804,9.086929006893303,0.4622467771639042,0.43902439024390244,1.132234490449078
sig_taker_thr2.5_h24_ts150,taker,4439,116,64.67567364992921,44.675673649929216,0.3854471727866637,1.492535895460892,198315.3153320358,809.4502666613706,7.6075692723586394,2,9,103.2248673171537,-13.84714650663436,0.3988283010365029,0.37207207207207205,0.8139775497441103
sig_taker_thr2.5_h24_ts150,maker,4439,116,64.67567364992921,56.675673649929216,0.4422167154764587,1.6773780049244464,251583.3153320358,1026.870674824636,7.6075692723586394,4,9,115.22486731715371,-1.8471465066343593,0.4587652095538531,0.42567567567567566,0.9725202093474685
sig_taker_thr2.5_h24_ts300,taker,4407,116,69.75160405016074,49.75160405016072,0.3909689130928069,1.5334822028823865,219255.3190490583,894.9196695879931,8.467211254821875,2,9,111.21673753126252,-11.685641439343474,0.4026327734906945,0.3793103448275862,0.8481188244970174
sig_taker_thr2.5_h24_ts300,maker,4407,116,69.75160405016074,61.75160405016072,0.44928522804629,1.7155488717129732,272139.3190490583,1110.772730812483,8.467211254821875,4,9,123.21673753126252,0.3143585606565288,0.4634589196550159,0.43511796733212343,1.0045019391744952
sig_taker_thr3.0_h12_ts0,taker,1040,115,255.14419935338717,235.14419935338717,0.4442307692307692,2.0352002384076475,244549.96732752264,998.163131949072,7.616346153846154,6,9,461.4004813041191,8.887917402655127,0.4519230769230769,0.43653846153846154,1.0978162156267603
sig_taker_thr3.0_h12_ts0,maker,1040,115,255.14419935338717,247.14419935338717,0.4894230769230769,2.119689310231808,257029.96732752264,1049.1019074592762,7.616346153846154,6,9,473.4004813041191,20.887917402655127,0.49230769230769234,0.48653846153846153,1.2475003074262812
sig_taker_thr3.0_h12_ts150,taker,1091,115,257.6545943995689,237.65459439956896,0.4344637946837763,2.3320210516057447,259281.16248992973,1058.2904591425704,6.032997250229148,4,9,471.0372066839442,4.6994227970331615,0.45321100917431195,0.4157509157509158,1.0506052257067353
sig_taker_thr3.0_h12_ts150,maker,1091,115,257.6545943995689,249.65459439956894,0.47571035747021084,2.452767647248534,272373.1624899297,1111.7271938364477,6.032997250229148,6,9,483.0372066839442,16.69942279703316,0.48990825688073397,0.46153846153846156,1.1939285541590987
sig_taker_thr3.0_h12_ts300,taker,1083,115,273.52003081584775,253.52003081584775,0.43951985226223456,2.399269551582706,274562.1933735631,1120.6620137696455,6.674976915974146,6,9,491.85146040591826,15.628327110629783,0.44731977818853974,0.4317343173431734,1.16680320059115
sig_taker_thr3.0_h12_ts300,maker,1083,115,273.52003081584775,265.5200308158477,0.48291782086795937,2.5199399834278577,287558.19337356306,1173.7069117288288,6.674976915974146,6,9,503.85146040591826,27.62832711062978,0.48613678373382624,0.4797047970479705,1.3169995624929063
sig_taker_thr3.0_h24_ts0,taker,1036,115,276.38802479471155,256.38802479471155,0.44305019305019305,2.109540613824829,265617.9936873212,1084.1550762747804,9.611969111969112,5,9,500.380940348426,12.395109240997144,0.4555984555984556,0.4305019305019305,1.126160661204109
sig_taker_thr3.0_h24_ts0,maker,1036,115,276.38802479471155,268.38802479471155,0.4893822393822394,2.194651121761276,278049.9936873212,1134.8979334176377,9.611969111969112,6,9,512.3809403484261,24.395109240997147,0.5038610038610039,0.4749034749034749,1.2660819539180088
sig_taker_thr3.0_h24_ts150,taker,1090,115,259.0325402770555,239.03254027705552,0.43302752293577984,2.326757471362015,260545.4689019905,1063.4508934775122,6.993577981651376,5,9,476.7826242008464,1.282456353264629,0.45504587155963305,0.41100917431192663,1.0135174733735224
sig_taker_thr3.0_h24_ts150,maker,1090,115,259.0325402770555,251.03254027705552,0.4743119266055046,2.4461579203684565,273625.4689019905,1116.8386485795531,6.993577981651376,6,9,488.7826242008463,13.282456353264626,0.4954128440366973,0.45321100917431195,1.1508456679870203
sig_taker_thr3.0_h24_ts300,taker,1081,115,275.8085895988477,255.80858959884765,0.43848288621646625,2.3946509272967815,276529.0853563543,1128.6901443116503,8.060129509713228,5,9,501.270511897352,10.800386195534633,0.44814814814814813,0.4288354898336414,1.1108996426778286
sig_taker_thr3.0_h24_ts300,maker,1081,115,275.8085895988477,267.8085895988477,0.482886216466235,2.5135764186731713,289501.0853563543,1181.6370830871604,8.060129509713228,6,9,513.270511897352,22.800386195534628,0.4925925925925926,0.4731977818853974,1.2510721495007624
sig_taker_thr3.5_h12_ts0,taker,432,113,806.0832517056978,786.0832517056978,0.5277777777777778,3.3573786491765576,339587.9647368614,1386.073325456577,7.895833333333333,5,9,1429.6282037082685,142.53829970312685,0.5092592592592593,0.5462962962962963,2.370554833650968
sig_taker_thr3.5_h12_ts0,maker,432,113,806.0832517056978,798.0832517056978,0.5578703703703703,3.433432086967516,344771.9647368614,1407.2325091300465,7.895833333333333,6,9,1441.6282037082685,154.53829970312685,0.5324074074074074,0.5833333333333334,2.5641622066484175
sig_taker_thr3.5_h12_ts150,taker,475,113,671.5531613379475,651.5531613379475,0.4968421052631579,3.400157633487832,309487.751635525,1263.2153127980614,5.505263157894737,3,9,1260.5126982209313,45.152277971278295,0.5189873417721519,0.47478991596638653,1.345213941554996
sig_taker_thr3.5_h12_ts150,maker,475,113,671.5531613379475,663.5531613379475,0.5178947368421053,3.498865959816916,315187.751635525,1286.4806189205103,5.505263157894737,5,9,1272.5126982209313,57.1522779712783,0.5358649789029536,0.5,1.4584771642941854
sig_taker_thr3.5_h12_ts300,taker,471,113,719.657651144411,699.657651144411,0.5074309978768577,3.5562139880533348,329538.7536890176,1345.0561375061943,6.231422505307855,5,9,1323.2602374645892,78.6974486645728,0.5191489361702127,0.4957627118644068,1.6206606661378409
sig_taker_thr3.5_h12_ts300,maker,471,113,719.657651144411,711.657651144411,0.535031847133758,3.6558412920133776,335190.7536890176,1368.1255252612964,6.231422505307855,5,9,1335.2602374645892,90.6974486645728,0.5404255319148936,0.5296610169491526,1.7497627577414459
sig_taker_thr3.5_h24_ts0,taker,428,113,868.4395053652428,848.4395053652428,0.530373831775701,3.4723537142682233,363132.1082963239,1482.1718705972405,10.037383177570094,5,9,1499.4323094625406,197.44670126794477,0.5093457943925234,0.5514018691588785,2.677345409891367
sig_taker_thr3.5_h24_ts0,maker,428,113,868.4395053652428,860.4395053652428,0.5654205607476636,3.5477393818316907,368268.1082963239,1503.1351359033629,10.037383177570094,5,9,1511.4323094625406,209.44670126794477,0.5373831775700935,0.5934579439252337,2.8603230840442815
sig_taker_thr3.5_h24_ts150,taker,475,113,671.5847158043406,651.5847158043406,0.4884210526315789,3.3908248187700494,309502.7400070618,1263.2764898247422,6.126315789473685,3,9,1259.1719299908243,46.550389072421865,0.510548523206751,0.46638655462184875,1.3529459727140705
sig_taker_thr3.5_h24_ts150,maker,475,113,671.5847158043406,663.5847158043406,0.5157894736842106,3.4896474556532935,315202.7400070618,1286.541795947191,6.126315789473685,5,9,1271.1719299908243,58.550389072421865,0.5316455696202531,0.5,1.4658520664774237
sig_taker_thr3.5_h24_ts300,taker,470,113,729.5837706378562,709.5837706378562,0.5063829787234042,3.5936996904124454,333504.3721997924,1361.2423355093567,7.3,5,9,1339.0584087369689,80.10913253874364,0.5191489361702127,0.49361702127659574,1.6261916720339002
sig_taker_thr3.5_h24_ts300,maker,470,113,729.5837706378562,721.5837706378562,0.5382978723404256,3.6941789770129554,339144.3721997924,1384.262743672622,7.3,5,9,1351.0584087369689,92.10913253874364,0.5446808510638298,0.5319148936170213,1.7544559241633566
sig_taker_thr4.0_h12_ts0,taker,248,108,1353.6402450844657,1333.6402450844657,0.592741935483871,4.043270876732353,330742.7807809475,1349.9705337997857,8.10483870967742,4,9,1726.3925118130926,940.8879783558384,0.5241935483870968,0.6612903225806451,9.910983140701719
sig_taker_thr4.0_h12_ts0,maker,248,108,1353.6402450844657,1345.6402450844657,0.6209677419354839,4.104230265161584,333718.7807809475,1362.1174725752958,8.10483870967742,4,9,1738.3925118130926,952.8879783558384,0.5564516129032258,0.6854838709677419,10.373278923980719
