signal,n_symbols,mean_corr_6,std_corr_6,pct_positive_corr_6,mean_corr_12,std_corr_12,mean_edge_6,std_edge_6,pct_positive_edge_6,mean_edge_12,std_edge_12,mean_extreme_edge_6,std_extreme_edge_6,pct_positive_extreme_edge_6,mean_high_fwd6,std_high_fwd6,mean_low_fwd6,std_low_fwd6,mean_high_hit_rate,std_high_hit_rate,mean_low_hit_rate,std_low_hit_rate,mean_high_win_mean,std_high_win_mean,mean_low_win_mean,std_low_win_mean,abs_corr_6
price_div_ma36,116,-0.01820366265259814,0.027480482314158013,0.23275862068965517,-0.02292237150167029,0.033642007948591186,-5.019521833787678,10.354718753696757,0.27586206896551724,-9.051578880730133,19.85054626918528,-8.061113547015886,15.792723047186017,0.27586206896551724,-1.918779024707329,6.4560516467954825,3.1007428090803484,5.582215828601727,0.48340989294369724,0.015984905318229964,0.501681721055409,0.015158739540272817,83.39847645212657,56.60743516430867,-68.00702954550486,32.455492923336905,0.01820366265259814
bb_lead_6,116,-0.017535312104303043,0.06026537748038695,0.3620689655172414,-0.018146676057222633,0.04485908228065477,-0.9222609419923891,10.78607470375274,0.3448275862068966,-1.374870688089488,13.839428866332165,-0.7171239043994762,18.94587623140762,0.3103448275862069,0.7644973182108962,6.498773190508543,1.6867582602032853,5.736495630073877,0.48340807010527626,0.017270964861569583,0.49921322851213507,0.01952175513951135,81.45470460531548,46.214061102130145,-75.92601462722664,42.12651540680108,0.017535312104303043
ret_diff_sum6,116,-0.017535312104303025,0.06026537748038696,0.3620689655172414,-0.01814667605722261,0.04485908228065478,-0.9222609419923891,10.78607470375274,0.3448275862068966,-1.374870688089488,13.839428866332165,-0.7171239043994762,18.94587623140762,0.3103448275862069,0.7644973182108962,6.498773190508543,1.6867582602032853,5.736495630073877,0.48340807010527626,0.017270964861569583,0.49921322851213507,0.01952175513951135,81.45470460531548,46.214061102130145,-75.92601462722664,42.12651540680108,0.017535312104303025
bb_lead_3,116,-0.016266851518172004,0.05584621046004544,0.3275862068965517,-0.013778391569863229,0.04099132010901333,-1.0540220099527793,9.534971566445396,0.3017241379310345,-0.9892350223564087,11.218422233514609,-0.46511939309839656,15.244186015095623,0.3706896551724138,0.6536087486592056,5.7922561763118035,1.7076307586119843,5.7725947524892085,0.4845883177776144,0.015073207427364465,0.4994542053173221,0.020062341805211974,79.92062086094462,43.94972649929744,-74.916473466206,41.87977277027383,0.016266851518172004
price_div_z288,116,-0.01621935501705227,0.022658351423712277,0.23275862068965517,-0.015935888178346923,0.020136706384774522,-4.592529577092408,8.731987992216654,0.16379310344827586,-6.718677522347255,12.764617196231562,-6.579807613048435,11.900831987786788,0.1810344827586207,-1.1533275899080018,4.8035935893919826,3.4392019871844077,5.828841530733896,0.47880986292835226,0.016973069986423155,0.49367345630110787,0.02031264169698207,72.42818052652022,36.01270142675366,-66.69629765629972,26.556468285050958,0.01621935501705227
price_div_ma72,116,-0.01581999578846541,0.02110421505007513,0.23275862068965517,-0.021028617230751053,0.02746098813639557,-4.833570986553905,9.628164707317822,0.25,-9.042783672117157,19.071323868087056,-8.707234969399769,17.538466028075707,0.2672413793103448,-1.5855716416252086,6.352241453293094,3.247999344928695,5.2637731622217645,0.48551248663774776,0.017006428680945308,0.5010973935982814,0.014277033633108524,82.73289830628043,56.133404661316966,-67.19005222691302,32.60899875945479,0.01581999578846541
premium_spread_ma36,116,-0.015794487453688916,0.028938618000969883,0.25,-0.021095377470185594,0.03392206262612813,-3.830013637887925,11.125737892702404,0.35344827586206895,-7.2553279226684015,20.907039417288743,-6.875030906762129,20.330383131952374,0.3448275862068966,-0.6361486107844816,6.577044317948655,3.1938650271034437,8.371268117531642,0.482392467424794,0.017313464512212908,0.5017736470735547,0.01486057846770749,87.53955409521674,56.17268428283178,-69.41670372846161,37.76298584976233,0.015794487453688916
ret_diff,116,-0.015281222060368728,0.046570988312426155,0.28448275862068967,-0.011768469921580354,0.03522736761065062,-1.5039863183967324,5.898713751679256,0.23275862068965517,-1.4461758957026025,7.090967554545604,-2.129883489022113,9.231788441524824,0.2413793103448276,0.6469385305008867,4.0162531266593895,2.150924848897619,3.840384541276213,0.48462870841183175,0.014844450424607917,0.49805115548319384,0.016715056295679504,78.47338465473437,41.04417338075367,-73.01668706578658,39.49535344694441,0.015281222060368728
bb_prem_chg,116,-0.014898911042336335,0.03681192588170434,0.33620689655172414,-0.013656710070794708,0.029134617356351294,-1.2837821198351613,4.100931725460803,0.4051724137931034,-1.5342080434564165,4.356519964686238,-2.280217001306463,7.924906848965159,0.3620689655172414,-0.13837393738071052,3.578374417069063,1.1454081824544509,3.852888989957921,0.48662465477218864,0.012573742817336182,0.5034945536302483,0.013034108097176976,79.67266488662582,40.86352887945422,-76.16641181281615,39.718615558182385,0.014898911042336335
bn_prem_chg,116,-0.012826794983150577,0.05407904429745818,0.43103448275862066,-0.01183286268304289,0.044597095241927225,-2.2256390279699065,5.483518598616068,0.29310344827586204,-2.43290275334199,7.429337699223739,-3.581033669586478,7.785293365542229,0.2672413793103448,0.12356302258307499,4.3888044361897744,2.349202050552982,4.79614286042576,0.4835483623002577,0.012874813411410972,0.5035591383605237,0.013250334352055833,85.75057496527987,46.74435837270457,-80.0440983316063,42.408472630916044,0.012826794983150577
price_div_z72,116,-0.010478985371307372,0.017146878112291736,0.23275862068965517,-0.009972457014856259,0.01588547219117661,-3.9949107562941593,9.699145163359056,0.1810344827586207,-5.483465441143526,12.916864252736394,-4.954067014848962,15.078884757458345,0.25862068965517243,-1.0350998437205607,6.510542086525469,2.959810912573598,4.510553242564365,0.4796083799128474,0.016387756558234462,0.49470724289104545,0.019784543904718777,71.42549157026016,34.96281320264746,-66.59407091408087,27.28508683639831,0.010478985371307372
