symbol,gross_bps,signal_strength,hold_bars,direction,entry_time,exit_time,net_bps_taker,net_bps_maker
PENGUUSDT,-313.80914838689876,5.501846046769405,1,-1,2025-08-14 12:30:00,2025-08-14 12:35:00,-333.80914838689876,-321.80914838689876
PENGUUSDT,-259.9115851519196,3.59674151570581,8,-1,2025-08-22 23:05:00,2025-08-22 23:45:00,-279.9115851519196,-267.9115851519196
PENGUUSDT,165.39914705930192,3.621077835869499,16,-1,2025-09-02 21:10:00,2025-09-02 22:30:00,145.39914705930192,157.39914705930192
PENGUUSDT,136.25824324731138,3.8632775106409722,2,1,2025-09-17 17:55:00,2025-09-17 18:05:00,116.25824324731138,128.25824324731138
PENGUUSDT,-1078.7126183833072,4.144549463526189,3,1,2025-10-10 20:55:00,2025-10-10 21:10:00,-1098.7126183833072,-1086.7126183833072
PENGUUSDT,3505.701169850437,3.785774387266819,16,1,2025-10-10 21:35:00,2025-10-10 22:55:00,3485.701169850437,3497.701169850437
PENGUUSDT,-493.6234727548361,7.75083980205287,10,-1,2025-10-16 09:30:00,2025-10-16 10:20:00,-513.623472754836,-501.6234727548361
PENGUUSDT,-99.35236973800387,3.6793875825177293,1,-1,2025-10-29 18:35:00,2025-10-29 18:40:00,-119.35236973800387,-107.35236973800387
PENGUUSDT,-27.2368795479494,3.8219300648533086,5,-1,2026-01-13 13:30:00,2026-01-13 13:55:00,-47.2368795479494,-35.2368795479494
PENGUUSDT,160.09344510100388,3.889132346606128,1,1,2026-01-31 18:40:00,2026-01-31 18:45:00,140.09344510100388,152.09344510100388
RIVERUSDT,-514.5109766872836,4.402267074224144,13,-1,2025-10-31 02:40:00,2025-10-31 03:45:00,-534.5109766872836,-522.5109766872836
RIVERUSDT,829.064693606526,3.5427146300118544,24,-1,2025-11-04 16:20:00,2025-11-04 18:20:00,809.064693606526,821.064693606526
RIVERUSDT,-601.3664344179138,6.562685747183877,24,-1,2025-11-06 17:30:00,2025-11-06 19:30:00,-621.3664344179138,-609.3664344179138
RIVERUSDT,187.18456525905646,3.709776576301961,24,-1,2025-11-06 20:00:00,2025-11-06 22:00:00,167.18456525905646,179.18456525905646
RIVERUSDT,475.5791918821461,4.704411114505767,24,-1,2025-11-06 23:55:00,2025-11-07 01:55:00,455.5791918821461,467.5791918821461
RIVERUSDT,-597.9806598407289,3.9041712365422687,24,-1,2025-11-09 07:05:00,2025-11-09 09:05:00,-617.9806598407289,-605.9806598407289
RIVERUSDT,-1602.1252682129373,3.5360981724445764,24,1,2025-11-14 16:40:00,2025-11-14 18:40:00,-1622.1252682129373,-1610.1252682129373
RIVERUSDT,671.2819878847831,4.643250455353009,21,-1,2025-11-16 12:55:00,2025-11-16 14:40:00,651.2819878847831,663.2819878847831
RIVERUSDT,-64.99929348593892,4.1946732935130955,3,-1,2025-11-27 22:40:00,2025-11-27 22:55:00,-84.99929348593892,-72.99929348593892
RIVERUSDT,1886.751202448622,8.55828097485593,24,-1,2025-11-28 23:00:00,2025-11-29 01:00:00,1866.751202448622,1878.751202448622
RIVERUSDT,659.7140848371208,6.186269554851253,24,-1,2025-11-30 14:30:00,2025-11-30 16:30:00,639.7140848371208,651.7140848371208
RIVERUSDT,-92.34676209165626,3.6121089967146274,6,1,2025-12-08 12:05:00,2025-12-08 12:35:00,-112.34676209165626,-100.34676209165626
RIVERUSDT,85.72922111866221,4.3328949386165,6,1,2025-12-09 09:00:00,2025-12-09 09:30:00,65.72922111866221,77.72922111866221
RIVERUSDT,-1233.8622915545993,3.8084813170472036,24,-1,2025-12-13 21:30:00,2025-12-13 23:30:00,-1253.8622915545993,-1241.8622915545993
RIVERUSDT,494.18084153984074,3.6795236312911737,24,-1,2025-12-14 01:10:00,2025-12-14 03:10:00,474.18084153984074,486.18084153984074
RIVERUSDT,2108.314665963895,3.7346462950151205,21,-1,2025-12-14 06:40:00,2025-12-14 08:25:00,2088.314665963895,2100.314665963895
RIVERUSDT,661.577608142494,3.5111698824033253,1,1,2025-12-25 14:15:00,2025-12-25 14:20:00,641.577608142494,653.577608142494
RIVERUSDT,412.93213828425104,3.7372245159764055,24,-1,2025-12-28 18:25:00,2025-12-28 20:25:00,392.93213828425104,404.93213828425104
RIVERUSDT,-470.96601552047093,3.71404102760585,24,-1,2025-12-29 11:55:00,2025-12-29 13:55:00,-490.96601552047093,-478.96601552047093
RIVERUSDT,-1945.0317124735727,3.512056019306404,24,-1,2025-12-31 07:30:00,2025-12-31 09:30:00,-1965.0317124735727,-1953.0317124735727
RIVERUSDT,247.70515245168266,3.9518475800490585,24,-1,2025-12-31 20:25:00,2025-12-31 22:25:00,227.70515245168266,239.70515245168266
RIVERUSDT,1146.0600459139557,4.07560224329812,24,-1,2026-01-04 07:25:00,2026-01-04 09:25:00,1126.0600459139557,1138.0600459139557
RIVERUSDT,280.3957302785731,3.7115380012761365,5,-1,2026-01-12 08:25:00,2026-01-12 08:50:00,260.3957302785731,272.3957302785731
RIVERUSDT,67.5058908442483,3.6605855613521667,24,-1,2026-01-14 06:15:00,2026-01-14 08:15:00,47.5058908442483,59.5058908442483
RIVERUSDT,136.29004932043333,3.6446647553369935,24,-1,2026-01-14 12:00:00,2026-01-14 14:00:00,116.29004932043333,128.29004932043333
RIVERUSDT,74.73321402531985,3.6485768420797102,24,-1,2026-01-14 16:55:00,2026-01-14 18:55:00,54.73321402531985,66.73321402531985
RIVERUSDT,291.2297010719567,3.5912807878211157,24,-1,2026-01-20 09:25:00,2026-01-20 11:25:00,271.2297010719567,283.2297010719567
RIVERUSDT,-948.8265885272295,3.61713147767988,24,-1,2026-01-26 06:30:00,2026-01-26 08:30:00,-968.8265885272295,-956.8265885272295
RIVERUSDT,-138.04038893044267,4.757594029891404,24,-1,2026-01-26 08:40:00,2026-01-26 10:40:00,-158.04038893044267,-146.04038893044267
RIVERUSDT,926.4408265723445,3.6188012522008615,24,-1,2026-01-26 12:35:00,2026-01-26 14:35:00,906.4408265723445,918.4408265723445
RIVERUSDT,339.5209430017898,3.664485230094623,24,-1,2026-02-11 10:35:00,2026-02-11 12:35:00,319.5209430017898,331.5209430017898
RIVERUSDT,270.5799103682993,5.979552385451805,17,-1,2026-02-14 05:35:00,2026-02-14 07:00:00,250.5799103682993,262.5799103682993
RIVERUSDT,674.8725276866618,3.6189411678091283,13,-1,2026-02-14 21:50:00,2026-02-14 22:55:00,654.8725276866618,666.8725276866618
RIVERUSDT,-125.78879184253378,5.1404220024506335,24,-1,2026-02-17 09:15:00,2026-02-17 11:15:00,-145.78879184253378,-133.78879184253378
RIVERUSDT,-585.1923698674422,3.8166590426598663,21,-1,2026-02-17 20:45:00,2026-02-17 22:30:00,-605.1923698674422,-593.1923698674422
RIVERUSDT,819.7146562905311,3.9437770453387033,8,-1,2026-02-18 12:40:00,2026-02-18 13:20:00,799.7146562905311,811.7146562905311
POLUSDT,-1128.7833532457191,4.426735485517471,21,1,2025-10-10 21:10:00,2025-10-10 22:55:00,-1148.7833532457191,-1136.7833532457191
POLUSDT,-69.25279875032552,3.927906070415647,1,-1,2025-10-29 18:35:00,2025-10-29 18:40:00,-89.25279875032552,-77.25279875032552
POLUSDT,-80.85054776246103,5.063274594479342,5,-1,2026-01-25 09:20:00,2026-01-25 09:45:00,-100.85054776246103,-88.85054776246103
POLUSDT,160.99901955725082,3.9849728001235327,11,1,2026-01-31 18:40:00,2026-01-31 19:35:00,140.99901955725082,152.99901955725082
PIPPINUSDT,-766.4695945945942,4.283816842172355,16,-1,2025-07-22 01:40:00,2025-07-22 03:00:00,-786.4695945945942,-774.4695945945942
PIPPINUSDT,-612.594113620808,4.689559987259928,1,-1,2025-08-14 12:30:00,2025-08-14 12:35:00,-632.594113620808,-620.594113620808
PIPPINUSDT,-53.6193029490617,3.938042110908707,17,-1,2025-08-15 15:15:00,2025-08-15 16:40:00,-73.6193029490617,-61.6193029490617
PIPPINUSDT,8532.731376975169,4.5857509798402045,2,-1,2025-10-10 21:10:00,2025-10-10 21:20:00,8512.731376975169,8524.731376975169
PIPPINUSDT,8484.018264840186,10.427067763931554,6,1,2025-10-10 21:25:00,2025-10-10 21:55:00,8464.018264840186,8476.018264840186
PIPPINUSDT,2271.268057784912,3.819508563175217,14,-1,2025-10-24 17:50:00,2025-10-24 19:00:00,2251.268057784912,2263.268057784912
PIPPINUSDT,1328.0920960269548,3.692057842028047,24,-1,2025-10-25 23:25:00,2025-10-26 01:25:00,1308.0920960269548,1320.0920960269548
