symbol,gross_bps,sig_str,hold,entry_time,exit_time,exit_reason,net_tk,net_mk,month,sig_bucket
DOTUSDT,1696.9638739431202,4.327856453403399,14,2025-10-10 22:30:00,2025-10-10 23:40:00,cross,1676.9638739431202,1688.9638739431202,2025-10,4-5
EIGENUSDT,13581.653520303831,4.014246167758564,19,2025-10-10 21:15:00,2025-10-10 22:50:00,cross,13561.653520303831,13573.653520303831,2025-10,4-5
ENAUSDT,207.85996802154426,4.206128459946779,8,2025-09-22 06:05:00,2025-09-22 06:45:00,cross,187.85996802154426,199.85996802154426,2025-09,4-5
ENAUSDT,3007.416376570302,4.736165331393188,21,2025-10-10 21:20:00,2025-10-10 23:05:00,cross,2987.416376570302,2999.416376570302,2025-10,4-5
ENAUSDT,12.839717526214045,5.861264773218302,3,2025-10-19 09:45:00,2025-10-19 10:00:00,cross,-7.160282473785955,4.839717526214045,2025-10,5-7
FFUSDT,4335.561715310616,5.934220875831618,6,2025-10-10 21:15:00,2025-10-10 21:45:00,reversal,4315.561715310616,4327.561715310616,2025-10,5-7
FFUSDT,-32.935134531651975,4.639278919912585,3,2026-01-10 13:20:00,2026-01-10 13:35:00,cross,-52.935134531651975,-40.935134531651975,2026-01,4-5
ETHFIUSDT,6058.789542106022,7.3487457299184396,15,2025-10-10 21:25:00,2025-10-10 22:40:00,cross,6038.789542106022,6050.789542106022,2025-10,7+
ETCUSDT,-3825.9885037449912,5.8932649685713985,6,2025-10-10 20:55:00,2025-10-10 21:25:00,reversal,-3845.9885037449912,-3833.9885037449912,2025-10,5-7
ETCUSDT,872.1774193548382,4.138589071669478,15,2025-10-10 21:45:00,2025-10-10 23:00:00,cross,852.1774193548382,864.1774193548382,2025-10,4-5
FIOUSDT,-179.8365122615786,5.882788507800659,12,2025-08-14 12:30:00,2025-08-14 13:30:00,cross,-199.8365122615786,-187.8365122615786,2025-08,5-7
ETHUSDT,25.43063778949861,4.064218784170108,3,2025-07-03 15:30:00,2025-07-03 15:45:00,cross,5.430637789498611,17.43063778949861,2025-07,4-5
ETHUSDT,604.2111185054578,9.58868560205942,13,2025-10-10 21:20:00,2025-10-10 22:25:00,cross,584.2111185054578,596.2111185054578,2025-10,7+
FARTCOINUSDT,16639.483520217465,5.269349710965348,24,2025-10-10 21:15:00,2025-10-10 23:15:00,maxhold,16619.483520217465,16631.483520217465,2025-10,5-7
FILUSDT,4095.9925442684075,10.84547118542643,11,2025-10-10 21:15:00,2025-10-10 22:10:00,cross,4075.9925442684075,4087.9925442684075,2025-10,7+
FORMUSDT,-898.2314388269663,7.999267985576001,6,2025-07-11 01:05:00,2025-07-11 01:35:00,cross,-918.2314388269663,-906.2314388269663,2025-07,7+
FORMUSDT,-4786.347901341411,4.804310758349294,3,2025-10-10 21:10:00,2025-10-10 21:25:00,cross,-4806.347901341411,-4794.347901341411,2025-10,4-5
FORMUSDT,-46.583850931676274,4.08774728372451,4,2025-12-15 02:05:00,2025-12-15 02:25:00,cross,-66.58385093167627,-54.583850931676274,2025-12,4-5
GALAUSDT,101.37344669718607,4.449934360836776,21,2025-09-22 06:05:00,2025-09-22 07:50:00,cross,81.37344669718607,93.37344669718607,2025-09,4-5
GALAUSDT,8971.861471861474,4.362092635438901,16,2025-10-10 21:20:00,2025-10-10 22:40:00,cross,8951.861471861474,8963.861471861474,2025-10,4-5
GPSUSDT,371.3527851458887,7.044292163696175,4,2025-10-10 21:20:00,2025-10-10 21:40:00,cross,351.3527851458887,363.3527851458887,2025-10,7+
GRASSUSDT,4527.813712807245,9.907110501892655,24,2025-10-10 21:20:00,2025-10-10 23:20:00,maxhold,4507.813712807245,4519.813712807245,2025-10,7+
GUNUSDT,-669.1851052347541,4.401906163572495,9,2025-08-03 08:30:00,2025-08-03 09:15:00,cross,-689.1851052347541,-677.1851052347541,2025-08,4-5
HBARUSDT,-3822.8113925712037,5.4765399947756555,6,2025-10-10 20:55:00,2025-10-10 21:25:00,reversal,-3842.8113925712037,-3830.8113925712037,2025-10,5-7
HBARUSDT,974.9332237517993,9.900448542485096,12,2025-10-10 21:40:00,2025-10-10 22:40:00,cross,954.9332237517993,966.9332237517993,2025-10,7+
