feature,n_cont_positive_r2,n_bin_significant,avg_r2,avg_auc_dev,total_useful
failed_breakout_up_10,6,43,-0.0806832330563196,0.02689916295058087,49
true_range,2,47,-0.057854698718329836,0.11929368093109693,49
side_sequence_entropy_z,0,49,-0.08272237935613748,0.054700286436596496,49
post_shock_pause_ratio,0,49,-0.08090253880272384,0.0893817891267267,49
tail_volume_ratio,2,47,-0.079860213306645,0.05537877356223437,49
breakout_up_bps_5_z,0,49,-0.08022903403559314,0.03775322798462614,49
liq_void_down_bps,2,47,-0.07889915993984907,0.025080510451702013,49
liq_pool_above_20,4,45,-0.07765501493524576,0.04575045779876941,49
fib_time_vol_pct,2,47,-0.0800515332296778,0.04871819695399166,49
dist_to_equal_low_bps_z,2,46,-0.07885820717165097,0.04004915476624214,48
boltzmann_entropy,2,46,-0.0614695989028719,0.11823039430906176,48
donchian_width_change_10,0,48,-0.08322084010786421,0.08628426194018947,48
bos_net,4,44,-0.07968450344559556,0.02457132038920009,48
time_at_low_pct,0,48,-0.07966183994716224,0.04771140081161859,48
intracandle_reversal_z,4,44,-0.07974670401299724,0.048697929381479196,48
te_net_direction,2,46,-0.06168470701608846,0.07437219392940217,48
breakout_up_count_10,6,42,-0.08224634426113112,0.049964680004204606,48
hh_count_10_z,0,48,-0.08184873785862273,0.06058289528029288,48
fvg_bullish_count_10_z,0,48,-0.08264475535896616,0.058108919588885644,48
hour_cos,0,48,-0.07963233534982737,0.05655152192321621,48
vpin,2,46,-0.07632684268253594,0.06906383125178109,48
liq_sweep_count_10,0,48,-0.08462694614574433,0.05275017095550143,48
failed_breakout_down_5,3,45,-0.07966495617459857,0.028699249689028265,48
market_force,0,47,-0.08043566372961324,0.057944739804639545,47
fomo_buy_ratio,0,47,-0.07424214349803326,0.05725895313622927,47
avg_buy_size,0,47,-0.06389896706572835,0.052855344281378315,47
equal_lows_20,2,45,-0.08053111633011016,0.053312544850484346,47
max_up_sweep_z,2,45,-0.08236944097376239,0.09481072142339551,47
micro_fear_score,0,47,-0.08120195163097267,0.055003574544618246,47
vwap_flux_z,0,47,-0.07891056204191457,0.08761354419268774,47
engulfing_bullish,7,40,-0.07907430911767563,0.019093328039560212,47
fib_updown_golden_dist_z,0,47,-0.07957378218237356,0.03553577624939223,47
wick_dominance_z,0,47,-0.07998450450095686,0.06067062836861632,47
time_weighted_position,2,45,-0.07748703634986528,0.054986270383552874,47
large_trade_time_std,0,47,-0.08078312767143513,0.07446709158648737,47
fib_size_ratio_pct_z,2,44,-0.08138075377867908,0.05802517154619773,46
graph_transition_entropy,0,46,-0.08200981443194788,0.05609033255876797,46
standing_wave_ratio_z,2,44,-0.0793432212543204,0.07586565685392462,46
volume_per_second_std_z,0,46,-0.08162410593307313,0.1083816770592655,46
equal_highs_20_z,0,46,-0.08037888435882323,0.05288326327661755,46
breakout_vol_confirm_5,0,46,-0.08156726904234021,0.07624763945418621,46
taylor_curvature_trend_ratio,2,44,-0.07912341171740359,0.03576325322071226,46
ob_demand_count_10,6,40,-0.08562325473460874,0.03040579623120985,46
upper_wick_ratio_z,2,44,-0.08009110913334799,0.06647337970101454,46
hurst_exponent_z,2,44,-0.08064432849355284,0.04008183354487433,46
range_compression_10,0,46,-0.08018052910015477,0.062089280225812025,46
aggression_imbalance,2,44,-0.07850814076047058,0.039022249266951206,46
first_half_return_z,0,46,-0.07959717036388862,0.08007599934945903,46
gap_abs_bps,0,46,-0.0778148292460103,0.055805509638387235,46
hilbert_std_freq,0,46,-0.07288444464448465,0.06440327471954024,46
market_pressure,0,46,-0.07879818756282492,0.04857407349410861,46
size_gini_z,3,43,-0.08006900452604143,0.04226430774217685,46
price_tick_entropy_z,0,46,-0.08001449820316942,0.04508142417934871,46
three_crows,2,44,-0.07890215578512175,0.03609513228051976,46
volume_profile_skew_z,0,46,-0.07939931648986985,0.05652238526641942,46
taylor_vol_a1,0,46,-0.08235004519020153,0.07017860624403276,46
inter_trade_entropy,0,46,-0.0866312016020154,0.10248307707782771,46
taylor_complexity_z,0,46,-0.08346928796138689,0.039156046046633766,46
ll_streak_z,2,44,-0.08011947831884879,0.06472263153984306,46
trade_size_p75,0,45,-0.07448544058100702,0.04651273494361031,45
fvg_bearish_size_bps_z,0,45,-0.07981360142640094,0.05381035350933639,45
predator_follows_prey,2,43,-0.0792877594727733,0.06721297967777493,45
dist_to_support_10_bps_z,0,45,-0.08056926824826241,0.05717639248013054,45
sell_urgency_ratio_z,0,45,-0.07952708655086714,0.06460714741574455,45
choch_net,5,40,-0.0789283780194904,0.014331596586386533,45
fib_wave_ratio_pct,2,43,-0.07854373976789084,0.04658551695846153,45
ew_impulse_quality,0,45,-0.08009139371378135,0.04297823629586246,45
hilbert_std_amplitude_z,4,41,-0.07768188644884225,0.046884915302832314,45
liq_sweep_bear,2,43,-0.08071597670951426,0.017343127938388884,45
permutation_entropy,0,45,-0.07288413947328438,0.03977574969845062,45
near_support_20,4,41,-0.07946108142325183,0.017805161549515922,45
price_volume_angle_cos_z,2,43,-0.08048282153431756,0.05404145703370871,45
taylor_asymmetry_curvature_ratio,0,45,-0.09234364717085494,0.056847160565172694,45
fair_value_change_bps_z,0,45,-0.08098031563978776,0.05791062541836922,45
vol_asymmetry,0,45,-0.07983934367303454,0.047427360272223086,45
time_to_low_pct,0,45,-0.08064916822168916,0.050660773627077355,45
tortuosity_z,0,45,-0.07947072211600975,0.07485509214376747,45
post_shock_pause_ratio_z,0,45,-0.07947260535765871,0.08226989574761642,45
fractal_dimension_z,0,45,-0.08404114630207349,0.04211408300247905,45
disposition_effect_z,0,44,-0.08019665328136422,0.06778295781949376,44
temporal_dipole_z,0,44,-0.07948071299000006,0.07416448162980113,44
close_to_fair_price_bps_z,2,42,-0.07887031772512162,0.06746732780537285,44
hour_sin,0,44,-0.0784401941637238,0.05769881178905426,44
hh_streak_z,2,42,-0.07918164190660686,0.05060045107079128,44
ew_impulse_detected,0,44,-0.07986768531038872,0.03764560748702219,44
rubberneck_ratio_z,2,42,-0.07964187458760616,0.037941646271036765,44
overlap_asia_europe,0,44,-0.07743282473573253,0.035364622949080333,44
dist_to_pivot_bps_z,0,43,-0.07943930914431124,0.061528362429698204,43
busiest_quartile,0,43,-0.08147391193058402,0.04241893337934692,43
session_us,2,41,-0.07884842189795216,0.043072608692378604,43
low_volume_node_pct,0,43,-0.0820703298900162,0.05128188348915451,43
breakout_down_bps_20,4,39,-0.07720031606348247,0.016123376869720284,43
near_resistance_5,0,43,-0.08059335089384018,0.024601832456052845,43
size_imbalance,0,43,-0.08260773972585889,0.03889174124949735,43
ob_net_10_z,0,43,-0.08148625822822889,0.06152042758343261,43
hl_count_10_z,0,43,-0.0847365082308052,0.05130505847763389,43
taylor_complexity,2,41,-0.08484344320176616,0.02569358504810124,43
ew_correction_quality_z,0,42,-0.0798115873963523,0.0425201951487961,42
fib_wave_avg_dist_z,0,42,-0.0801615758947983,0.029755714908570745,42
lower_wick_rejection,2,40,-0.07851889103367492,0.05220346424498449,42
ew_amplitude_trend_z,0,42,-0.08047026210969056,0.05035905837098639,42
trade_size_p25_z,4,38,-0.07904509630724356,0.030986080250414473,42
inside_bar,2,40,-0.07923731920338332,0.04559628992660359,42
trade_pct_q3,0,42,-0.0811775881657282,0.057000319348158066,42
half_cosine_similarity,2,39,-0.0792524340161122,0.059272945698761466,41
liq_void_any,0,41,-0.08038666014427145,0.025341580140557842,41
taylor_ofi_a2,0,41,-0.07973814250574872,0.05486706740741358,41
stop_hunt_down_score_z,2,38,-0.0797284220260245,0.02775878223914469,40
session_asia,0,40,-0.07957330771961839,0.05136925225284368,40
trade_size_p25,2,38,-0.07721162880368557,0.023058046723985,40
ob_demand,0,40,-0.07996006137040694,0.012076449860814227,40
lz_complexity_norm,0,40,-0.0803842292947971,0.02360468710539487,40
auction_clearing_speed_z,0,40,-0.08443850264445509,0.022648565173378155,40
absorption_ratio_z,0,40,-0.07812926833254405,0.04017960613227935,40
bearish_patterns_5_z,0,39,-0.07929298299208273,0.04261954926957856,39
engulfing_bearish,4,33,-0.0785153900276005,0.015625448580258647,37
dist_to_funding_hrs,0,36,-0.07896032703408465,0.03032790846070859,36
price_dipole,0,36,-0.08021185815220738,0.055223278645324544,36
evening_star,2,33,-0.08094367123589288,0.029565569762408574,35
near_support_5,2,32,-0.08066041725406921,0.022948021245692764,34
overlap_europe_us,2,31,-0.07739998326507509,0.010493213676319675,33
close_below_value_area,0,33,-0.08008634187270726,0.03384669715772451,33
ob_supply,2,26,-0.07940269654205871,0.006156417365472746,28
