feature,cluster,n_targets,mean_avg_r,mean_avg_sign,mean_avg_snr,composite
size_gini_z,114,5,0.04031137790471869,0.89,1.641628586906874,0.06428318083978517
engulfing_bearish,41,5,0.03708069541693324,0.95,1.708034330881448,0.0631177027819089
fomo_buy_ratio,56,7,0.03426533652191725,0.8785714285714287,1.425192413089398,0.06260064283576873
loss_aversion_ratio,56,4,0.043672696577741976,0.8875,1.3410521363539865,0.062381038079273414
down_move_vol_pct,56,4,0.043672696577741976,0.8875,1.3410521363539865,0.062381038079273414
liq_pool_above_20,137,9,0.030508763521896205,0.8833333333333333,1.298294824493464,0.062053304613892205
sweep_count,126,4,0.04528433175029749,0.8375,1.1607883060757165,0.061038943299969076
signed_area_bps_z,82,7,0.03448759230973019,0.8500000000000002,1.1953985283569055,0.06095769230316536
twap_vwap_spread_bps_z,82,7,0.03447368523231129,0.8500000000000002,1.195658741373553,0.06093311119183338
breakout_net_10,30,4,0.041835567080092735,0.9,1.1945380374529164,0.0605985729721931
fib_time_vol_pct,156,4,0.04236625311770884,0.875,1.3053096355426654,0.05966262222849251
fib_time_vol_surprise,156,4,0.04236625311770884,0.875,1.3053096355426654,0.05966262222849251
vol_price_feedback,108,7,0.0324710928588921,0.8714285714285716,1.35319978117916,0.05884037290094209
median_trade_size_z,114,5,0.03573732991064233,0.9100000000000001,1.2759610611563499,0.05826975633781157
taylor_asymmetry_curvature_ratio,173,4,0.04298561758687208,0.8374999999999999,0.989999017797824,0.057940496705728727
aggression_imbalance_z,47,3,0.043738182898533796,0.9499999999999998,1.6776911381352846,0.05760229650197443
trade_rate_decay,157,2,0.055387396341087525,0.925,1.661007431976277,0.056285578688326114
area_above_vwap_pct,82,9,0.030336202791865496,0.8055555555555556,1.1893156636225568,0.056269415596422824
support_touches_10,30,5,0.03662115021709188,0.85,1.065020438587648,0.055773848774172796
large_buy_pct,60,4,0.03895202271574389,0.8875,1.6465382367421038,0.05563814013568234
fib_time_trade_pct,156,3,0.04453085478430635,0.9,1.8215069600817155,0.05555958559499934
hh_streak_z,77,6,0.033301705106893065,0.8500000000000001,1.8307181560732513,0.055081807056097824
fib_time_vol_surprise_z,156,4,0.037820815036381836,0.8999999999999999,1.5904469143879005,0.05478322823883955
fib_time_vol_pct_z,156,4,0.037820815036381836,0.8999999999999999,1.5904469143879005,0.05478322823883955
failed_breakout_down_5,25,2,0.05522149545902363,0.9,1.7759241829462455,0.05460031215892222
permutation_entropy,96,3,0.04609938472298849,0.8500000000000001,1.2524159108244592,0.05432121952868907
session_europe,150,2,0.05063112210669379,0.975,1.9124552079243653,0.054233373612082664
