test_day,active_symbols,active_symbol_count,baseline_events,baseline_pair_net_15m_bps,baseline_pair_net_30m_bps,baseline_pair_win_15m,active_events,active_pair_net_15m_bps,active_pair_net_30m_bps,active_pair_win_15m
2026-02-10,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,AIXBTUSDT,GIGGLEUSDT,AEROUSDT",8,433.0,3.8924980861653444,3.2769858712933058,0.5034642032332564,127.0,16.096387277507077,12.824247375365296,0.7086614173228346
2026-02-11,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,AIXBTUSDT,GIGGLEUSDT,AEROUSDT",8,492.0,3.4063447008817964,5.004020227586544,0.48577235772357724,121.0,19.055931705188794,23.752919497132563,0.7024793388429752
2026-02-12,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,AIXBTUSDT,GIGGLEUSDT,AEROUSDT",8,478.0,4.143003677537423,3.909138541352684,0.5209205020920502,123.0,17.52887384716075,16.10453366276839,0.6747967479674797
2026-02-13,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,AIXBTUSDT,GIGGLEUSDT,AEROUSDT",8,485.0,2.0506585389398237,2.09261086645833,0.4927835051546392,123.0,12.720130124026454,12.575316740139538,0.6991869918699187
2026-02-14,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,AIXBTUSDT,GIGGLEUSDT,AEROUSDT",8,491.0,1.008952896246501,0.27462135448295044,0.4134419551934827,104.0,12.784619518952734,8.451406853989983,0.6153846153846154
2026-02-15,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT",7,460.0,1.6803117473549745,2.076210778096378,0.4369565217391304,87.0,16.616832542499335,18.011323735246705,0.7586206896551724
2026-02-16,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT",7,440.0,2.098943626219721,2.466392270115976,0.475,77.0,16.64194333256324,16.140770276345158,0.7792207792207793
2026-02-17,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT",7,455.0,3.068575456631543,2.9000945244190888,0.4901098901098901,85.0,21.198424124251986,20.34875553676079,0.8
2026-02-18,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT",7,363.0,5.372294280858526,5.432744178286241,0.5895316804407713,91.0,19.64141494280703,20.0679300836615,0.7692307692307693
2026-02-19,"DYDXUSDT,CRVUSDT,INITUSDT,ATHUSDT,GALAUSDT,GIGGLEUSDT,AEROUSDT",7,351.0,4.886806822071663,6.094464831176065,0.5982905982905983,99.0,16.68055288851699,20.242140360880185,0.797979797979798
