test_day,train_start_day,train_end_day,variant,events,execution_pair_net_15m_bps,delayed_pair_net_15m_bps,execution_pair_win_15m,execution_extra_cost_bps,entry_decay_bps
2025-11-15,2025-10-16,2025-11-14,active_exec_state_top_quantile,12.0,-9.539208406546537,-5.446714344819703,0.16666666666666666,4.092494061726835,13.58321363089989
2025-11-15,2025-10-16,2025-11-14,active_exec_model_top_quantile,12.0,-4.653727968023866,-3.4414951796980815,0.25,1.212232788325786,9.795284316114115
2025-11-16,2025-10-17,2025-11-15,active_exec_baseline,12.0,-8.994914022288713,-2.821134117742775,0.4166666666666667,6.173779904545938,18.31152641352862
2025-11-16,2025-10-17,2025-11-15,active_exec_state_top_quantile,12.0,-9.918818721617127,-2.7020142550502264,0.4166666666666667,7.216804466566899,12.188359952289561
2025-11-16,2025-10-17,2025-11-15,active_exec_model_top_quantile,12.0,-12.922301151931237,-11.411930602219188,0.16666666666666666,1.5103705497120472,24.1865769513952
2025-11-17,2025-10-18,2025-11-16,active_exec_baseline,12.0,-4.124902850811264,0.6956557242781619,0.5,4.820558575089426,14.62045594890521
2025-11-17,2025-10-18,2025-11-16,active_exec_state_top_quantile,12.0,-5.145313394666292,-1.3880760238317578,0.16666666666666666,3.7572373708345324,12.862176918297015
2025-11-17,2025-10-18,2025-11-16,active_exec_model_top_quantile,12.0,-7.2263736226595405,-5.95998757129517,0.4166666666666667,1.2663860513643688,15.641387254369072
2025-11-18,2025-10-19,2025-11-17,active_exec_baseline,12.0,-5.852283382222839,-2.93290478038976,0.25,2.919378601833078,12.089138612075741
2025-11-18,2025-10-19,2025-11-17,active_exec_state_top_quantile,12.0,-12.140816715382455,-9.705275810081526,0.16666666666666666,2.435540905300926,13.393584520519733
2025-11-18,2025-10-19,2025-11-17,active_exec_model_top_quantile,12.0,-7.134551576033561,-5.734423256731026,0.16666666666666666,1.4001283193025362,11.335003618429262
2025-11-19,2025-10-20,2025-11-18,active_exec_baseline,12.0,-13.22852654895491,-10.161915539383257,0.16666666666666666,3.066611009571654,14.794714032457614
2025-11-19,2025-10-20,2025-11-18,active_exec_state_top_quantile,12.0,-7.50937157470615,-4.233434294239569,0.25,3.2759372804665783,13.911412837725363
2025-11-19,2025-10-20,2025-11-18,active_exec_model_top_quantile,12.0,-7.046417467141976,-5.649313735565517,0.25,1.3971037315764594,10.459787810751983
2025-11-20,2025-10-21,2025-11-19,active_exec_baseline,12.0,-10.908133426568424,-4.082307745026799,0.16666666666666666,6.825825681541624,16.374542228808632
2025-11-20,2025-10-21,2025-11-19,active_exec_state_top_quantile,12.0,-18.251545156183848,-8.910050142760577,0.08333333333333333,9.341495013423271,20.79351571381976
2025-11-20,2025-10-21,2025-11-19,active_exec_model_top_quantile,12.0,-12.300726371595447,-10.61105047909188,0.16666666666666666,1.6896758925035649,19.17919041020159
2025-11-21,2025-10-22,2025-11-20,active_exec_baseline,12.0,-9.289483268478664,-6.315832965418611,0.08333333333333333,2.973650303060053,14.543463554371748
2025-11-21,2025-10-22,2025-11-20,active_exec_state_top_quantile,12.0,-11.212277115860951,-7.738214448022539,0.08333333333333333,3.4740626678384103,15.349574314998947
2025-11-21,2025-10-22,2025-11-20,active_exec_model_top_quantile,12.0,-13.386116651080329,-11.799190480521334,0.08333333333333333,1.5869261705589934,18.593311898491468
2025-11-22,2025-10-23,2025-11-21,active_exec_baseline,12.0,-7.519570167686318,-4.009950294036754,0.4166666666666667,3.5096198736495636,14.777957870142911
2025-11-22,2025-10-23,2025-11-21,active_exec_state_top_quantile,12.0,-5.941871138613497,-0.5776167884986876,0.3333333333333333,5.36425435011481,13.832230999266393
2025-11-22,2025-10-23,2025-11-21,active_exec_model_top_quantile,12.0,-9.516635150570378,-8.23318209845367,0.3333333333333333,1.2834530521167087,13.284130396476469
2025-11-23,2025-10-24,2025-11-22,active_exec_baseline,12.0,-18.53000816451785,-15.552270176119741,0.0,2.9777379883981134,19.384583991057617
2025-11-23,2025-10-24,2025-11-22,active_exec_state_top_quantile,12.0,-13.080682168591132,-9.81940318255571,0.16666666666666666,3.261278986035423,19.696653406937326
2025-11-23,2025-10-24,2025-11-22,active_exec_model_top_quantile,12.0,-13.278565136642255,-11.652542552434191,0.25,1.6260225842080656,20.302323092131388
2025-11-24,2025-10-25,2025-11-23,active_exec_baseline,12.0,-9.876542166660974,-6.327612260456594,0.08333333333333333,3.54892990620438,15.767223208462044
2025-11-24,2025-10-25,2025-11-23,active_exec_state_top_quantile,12.0,-22.453882531869525,-11.22544321463882,0.0,11.228439317230704,21.602409783068598
2025-11-24,2025-10-25,2025-11-23,active_exec_model_top_quantile,12.0,-12.19559315595985,-10.560191082517003,0.08333333333333333,1.6354020734428465,17.264141598564432
2025-11-25,2025-10-26,2025-11-24,active_exec_baseline,12.0,-17.559947776132496,-14.207694649243699,0.08333333333333333,3.352253126888795,15.949439280359782
2025-11-25,2025-10-26,2025-11-24,active_exec_state_top_quantile,12.0,-15.006659293602617,-10.703836110721227,0.3333333333333333,4.30282318288139,17.505624066758983
2025-11-25,2025-10-26,2025-11-24,active_exec_model_top_quantile,12.0,-14.36945798993541,-12.85939929496073,0.08333333333333333,1.5100586949746795,11.863535751628815
2025-11-26,2025-10-27,2025-11-25,active_exec_baseline,12.0,-10.23728379574637,-7.116152123829852,0.16666666666666666,3.1211316719165167,5.677389093228143
2025-11-26,2025-10-27,2025-11-25,active_exec_state_top_quantile,12.0,-13.035898970720197,-9.499078828721503,0.16666666666666666,3.5368201419986938,8.276998938533398
2025-11-26,2025-10-27,2025-11-25,active_exec_model_top_quantile,12.0,-7.049566317544119,-5.236515739838606,0.25,1.8130505777055126,6.584370657762018
2025-11-27,2025-10-28,2025-11-26,active_exec_baseline,12.0,-14.889627006593736,-11.911116237868642,0.16666666666666666,2.978510768725092,22.053747278811446
2025-11-27,2025-10-28,2025-11-26,active_exec_state_top_quantile,12.0,-3.0208682039899455,0.6855627719866398,0.3333333333333333,3.7064309759765854,7.187445873830058
2025-11-27,2025-10-28,2025-11-26,active_exec_model_top_quantile,12.0,-7.038360413925041,-5.100941291286828,0.16666666666666666,1.937419122638211,17.970256191199663
2025-11-28,2025-10-29,2025-11-27,active_exec_baseline,12.0,-12.202283098903953,-9.22512989422415,0.0,2.9771532046798037,9.761879463175047
2025-11-28,2025-10-29,2025-11-27,active_exec_state_top_quantile,12.0,-6.959492962855919,-4.105021268371638,0.16666666666666666,2.85447169448428,7.36026789980924
2025-11-28,2025-10-29,2025-11-27,active_exec_model_top_quantile,12.0,-7.593598159934348,-5.976190302131637,0.25,1.6174078578027113,10.333741982395763
2025-11-29,2025-10-30,2025-11-28,active_exec_baseline,12.0,-14.579883564826945,-12.599861241387321,0.16666666666666666,1.9800223234396255,18.627503800867455
2025-11-29,2025-10-30,2025-11-28,active_exec_state_top_quantile,12.0,-12.761830025338803,-9.701738141034284,0.16666666666666666,3.060091884304517,21.779080377831253
2025-11-29,2025-10-30,2025-11-28,active_exec_model_top_quantile,12.0,-9.991932881092056,-8.514633855679774,0.25,1.477299025412285,14.528235699565924
2025-11-30,2025-10-31,2025-11-29,active_exec_baseline,12.0,-3.7850147554809994,-1.41540286588605,0.3333333333333333,2.3696118895949483,14.161530163607587
