test_day,train_start_day,train_end_day,variant,events,fast_pair_net_15m_bps,fast_gap_close_15m_bps,fast_pair_win_15m,fast_entry_decay_bps,bb_spread_bps_ob,entry_fill_lag_ms,exit_fill_lag_ms
2025-12-06,2025-11-06,2025-12-05,active_fast_exec_baseline,12.0,-10.101459772757682,3.7257310303655724,0.25,20.238120251534024,5.827190803123252,27162.333333333332,39857.083333333336
2025-12-06,2025-11-06,2025-12-05,active_fast_exec_state_top_quantile,12.0,-14.958585700978764,-1.941241588548637,0.16666666666666666,12.6676601980825,5.017344112430124,26508.25,13890.75
2025-12-06,2025-11-06,2025-12-05,active_fast_exec_model_top_quantile,12.0,-3.364287523374834,7.425216147344446,0.4166666666666667,18.243901709546112,2.789503670719281,7701.833333333333,24030.833333333332
2025-12-07,2025-11-07,2025-12-06,active_fast_exec_baseline,12.0,-16.716839275054188,-2.331586090170608,0.0,15.327573582248712,6.385253184883578,18994.0,18872.333333333332
2025-12-07,2025-11-07,2025-12-06,active_fast_exec_state_top_quantile,12.0,-22.252750319422578,-8.33040028537337,0.08333333333333333,21.369637014995817,5.922350034049209,25022.5,25264.25
2025-12-07,2025-11-07,2025-12-06,active_fast_exec_model_top_quantile,12.0,-11.137294137062264,0.021637700315565073,0.16666666666666666,13.302646064236221,3.1589318373778297,22771.333333333332,16000.5
2025-12-08,2025-11-08,2025-12-07,active_fast_exec_baseline,12.0,-14.69916301600376,-0.7536009837649789,0.25,23.032697593619492,5.945562032238784,26144.416666666668,14307.416666666666
2025-12-08,2025-11-08,2025-12-07,active_fast_exec_state_top_quantile,12.0,-10.256590080772,4.286176547865968,0.16666666666666666,10.54689065166962,6.542766628637967,12728.0,39908.166666666664
2025-12-08,2025-11-08,2025-12-07,active_fast_exec_model_top_quantile,12.0,-0.5602383096433439,10.806165913831157,0.3333333333333333,8.89265764531975,3.3664042234745004,14331.25,6404.5
2025-12-09,2025-11-09,2025-12-08,active_fast_exec_baseline,12.0,-10.950813981522161,2.0003126535188733,0.16666666666666666,19.699696030873735,4.951126635041034,7298.5,40363.833333333336
2025-12-09,2025-11-09,2025-12-08,active_fast_exec_state_top_quantile,12.0,-18.082034322378547,-4.534238674166931,0.08333333333333333,25.52270994242036,5.5477956482116175,13029.833333333334,36132.916666666664
2025-12-09,2025-11-09,2025-12-08,active_fast_exec_model_top_quantile,12.0,-7.295407877802234,2.924786578647106,0.25,13.485150402076373,2.2201944564493403,14642.666666666666,11070.833333333334
2025-12-10,2025-11-10,2025-12-09,active_fast_exec_baseline,12.0,-15.338983831094515,-2.951194871899654,0.08333333333333333,15.261656015451244,4.387788959194862,18938.583333333332,17797.666666666668
2025-12-10,2025-11-10,2025-12-09,active_fast_exec_state_top_quantile,12.0,-13.83596494694475,-1.6306112735602525,0.16666666666666666,21.32751107626674,4.205353673384498,29073.666666666668,44474.583333333336
2025-12-10,2025-11-10,2025-12-09,active_fast_exec_model_top_quantile,12.0,-1.0658089023637254,10.40384611651457,0.3333333333333333,11.90791266394588,3.4696550188782953,19111.916666666668,10460.5
2025-12-11,2025-11-11,2025-12-10,active_fast_exec_baseline,12.0,-14.428246130406047,-1.9224477097242356,0.08333333333333333,21.262093169067217,4.505798420681811,7972.083333333333,9697.25
2025-12-11,2025-11-11,2025-12-10,active_fast_exec_state_top_quantile,12.0,-15.736598705112934,-3.7140878218886826,0.08333333333333333,18.362405650290494,4.022510883224251,25166.916666666668,13547.666666666666
2025-12-11,2025-11-11,2025-12-10,active_fast_exec_model_top_quantile,12.0,-8.399900790679796,3.2764043561760623,0.16666666666666666,23.142516803310954,3.6763051468558565,5909.833333333333,11848.916666666666
2025-12-12,2025-11-12,2025-12-11,active_fast_exec_baseline,12.0,-13.29092382048944,-0.9542819129791184,0.25,21.855959549842705,4.33664190751032,14409.0,16704.666666666668
2025-12-12,2025-11-12,2025-12-11,active_fast_exec_state_top_quantile,12.0,-13.698080765316933,-0.43976036249449013,0.16666666666666666,22.5907648166788,5.2583204028224415,26285.083333333332,22304.666666666668
2025-12-12,2025-11-12,2025-12-11,active_fast_exec_model_top_quantile,12.0,0.6219988537565829,11.483081143994028,0.5,8.226827357005563,2.8610822902374444,8166.083333333333,8133.25
2025-12-13,2025-11-13,2025-12-12,active_fast_exec_baseline,12.0,-15.576993036585046,-2.1785989239765193,0.25,15.64024805965708,5.3983941126085275,57557.666666666664,58324.5
2025-12-13,2025-11-13,2025-12-12,active_fast_exec_state_top_quantile,12.0,-17.925995084472984,-4.3964647179575715,0.16666666666666666,24.519783315157806,5.529530366515412,50299.75,24239.666666666668
2025-12-13,2025-11-13,2025-12-12,active_fast_exec_model_top_quantile,12.0,-12.108378540307214,-0.5685619309655117,0.25,22.226030618697582,3.539816609341702,24639.166666666668,23020.666666666668
2025-12-14,2025-11-14,2025-12-13,active_fast_exec_baseline,12.0,-2.22500453251343,10.139498166099418,0.4166666666666667,14.263862912873014,4.364502698612848,12990.333333333334,43997.833333333336
2025-12-14,2025-11-14,2025-12-13,active_fast_exec_state_top_quantile,12.0,-15.519758033326495,-2.7602248300137577,0.16666666666666666,25.38689926084969,4.759533203312736,18267.916666666668,39282.666666666664
