symbol,train_days,test_days,train_events,train_pair_net_15m_bps,train_pair_net_30m_bps,train_win_rate_15m,test_events,test_pair_net_15m_bps,test_pair_net_30m_bps,test_win_rate_15m,all_events,all_pair_net_15m_bps,all_pair_net_30m_bps,mean_gap_bps,selection_score
APTUSDT,5,4,3.0,0.20633568761053311,1.701663805273449,0.6666666666666666,2.0,4.679633231452159,1.126309303415514,1.0,5.0,1.9956547051471833,1.471522004530275,11.338640892001095,5.141102574532998
AXSUSDT,5,4,0.0,,,,6.0,4.626127182002548,5.691573673134857,0.6666666666666666,6.0,4.626127182002548,5.691573673134857,11.63425676087404,9.002027834279414
ORDIUSDT,5,4,27.0,3.3137202989533603,3.7911885168996298,0.6666666666666666,16.0,4.492747575092098,5.530683635855911,0.8125,43.0,3.7524281226328906,4.438442514650804,12.663973615024096,12.72891238122714
MORPHOUSDT,5,4,4.0,-0.8909346050764917,0.9733067127151234,0.25,4.0,4.224520926212012,6.432352744618848,1.0,8.0,1.6667931605677602,3.702829728666986,11.519335530960351,6.799104140516833
ZECUSDT,5,4,0.0,,,,1.0,4.085354044688579,0.9608490200299151,1.0,1.0,4.085354044688579,0.9608490200299151,10.307892260117413,2.831751637665057
RENDERUSDT,5,4,51.0,0.6705560192841783,-0.08218926256800974,0.5098039215686274,10.0,3.9065348304523426,2.5667859322562396,0.7,61.0,1.2010443489838771,0.3520689660917033,11.524677033495482,9.367461402963857
XPLUSDT,5,4,40.0,3.237259992052384,4.005616494918048,0.675,9.0,3.0615667985713984,5.336827209716,0.6666666666666666,49.0,3.204989813657918,4.250124585391141,11.641834868660657,7.049518071596006
IPUSDT,5,4,64.0,2.6817670000510305,2.952635684563245,0.640625,40.0,2.982761644072053,3.212473725444622,0.625,104.0,2.7975341708283468,3.0525733925945437,11.771945580241171,11.076700323062994
ADAUSDT,5,4,4.0,-0.07830601065383203,-1.8344973251624914,0.5,1.0,2.8695652173906865,-0.7575657220368832,1.0,5.0,0.5112682349550717,-1.6191110045373698,10.613643001174289,1.9890310398672408
DOTUSDT,5,4,8.0,0.2521901194738956,-0.08627539721172539,0.625,1.0,2.68518765860782,5.352921418777752,1.0,9.0,0.5225231793776649,0.5180798045648832,10.958368875653157,1.8612302548383712
JTOUSDT,5,4,6.0,1.3493739638898326,1.3863436672025902,0.3333333333333333,8.0,2.661662442315728,1.7517188272105984,0.625,14.0,2.0992530944189154,1.5951294729214518,11.920183367190983,5.848270134828865
ETHFIUSDT,5,4,27.0,1.2823521398585525,1.667524060684512,0.5185185185185185,14.0,2.661124413919785,2.883689668478937,0.7142857142857143,41.0,1.7531524285623885,2.0828001218826087,11.89848374812643,7.206458504273475
MOODENGUSDT,5,4,6.0,4.1681289441288865,7.173637972094404,1.0,5.0,2.5928965449355594,2.636720342612982,0.8,11.0,3.4521142172228285,5.111402685966485,11.49430179930532,4.645846937116995
WLFIUSDT,5,4,50.0,2.7450161776712516,1.8664234259653756,0.7,52.0,2.5848891234472386,1.6016014846754623,0.6730769230769231,102.0,2.6633827774786174,1.7327014556110627,11.517598865107523,10.262764384251405
LDOUSDT,5,4,32.0,0.26452649258121314,1.6155556029461213,0.4375,20.0,2.573532028382293,2.5534330715891245,0.85,52.0,1.1526055448123977,1.9762777062703536,11.805878069526822,7.835176004609765
ALGOUSDT,5,4,81.0,2.4440911484664447,0.20094044309217082,0.6049382716049383,64.0,2.518034585375313,3.155829359246472,0.5625,145.0,2.4767282516538076,1.5051672750499314,11.801169340830052,10.511251518347645
AZTECUSDT,5,4,10.0,3.633344249045274,3.008334375901763,0.7,3.0,2.3421882021970117,3.641796276207946,0.6666666666666666,13.0,3.335385161311059,3.1545178913570364,11.68592579203508,3.2469622973872516
EIGENUSDT,5,4,7.0,1.1282094250428563,3.620618555004641,0.5714285714285714,3.0,2.1643849114766796,4.759183282781879,0.3333333333333333,10.0,1.4390620709730033,3.9621879733378123,11.552119188637855,3.0004745980730942
AEROUSDT,5,4,38.0,2.464001755842226,3.4917826721655807,0.6842105263157895,61.0,2.099258690441207,1.4625270564669124,0.7377049180327869,99.0,2.2392610791809915,2.2414332523916536,12.931878831184656,8.663922724424635
CHZUSDT,5,4,37.0,4.582383416871726,4.672462634452277,0.8378378378378378,21.0,2.0767628281053128,2.3562271167362008,0.7142857142857143,58.0,3.6751759623183697,3.833825636658525,12.381922012081287,6.419362067230001
FARTCOINUSDT,5,4,14.0,2.50986693830707,2.83287045463304,0.5714285714285714,9.0,1.8902125436888748,1.9931118388616211,0.6666666666666666,23.0,2.2673934795434287,2.504269257157268,11.654240643043249,4.35237522568836
FILUSDT,5,4,32.0,1.6864127472280626,3.4431273068418826,0.625,21.0,1.6382284395089635,3.213555873855805,0.5714285714285714,53.0,1.6673208517167215,3.3521650409417383,11.25529758403326,5.063833654821152
LITUSDT,5,4,92.0,-0.6072496344131095,-0.4074684290123042,0.44565217391304346,48.0,1.6003588430999358,1.6669042174621123,0.625,140.0,0.1496447007342203,0.3037450497789243,12.63048750019269,6.2283090298371695
ZKUSDT,5,4,23.0,1.8362060677208334,2.0495177761173378,0.6956521739130435,20.0,1.31737991069298,0.8765116534275655,0.55,43.0,1.5948915760799713,1.503933533005816,11.441283920929088,4.0107926971108565
NEARUSDT,5,4,39.0,1.215612145987087,2.216402071423691,0.5897435897435898,10.0,1.0956933043164767,3.86615780801703,0.6,49.0,1.1911389129930847,2.553086915626413,11.062172956060545,2.627357794857306
MONUSDT,5,4,64.0,-0.307681177771024,-0.8424098745882893,0.453125,23.0,0.9661394697707185,2.064452576918662,0.6086956521739131,87.0,0.029076004912425086,-0.0739289966036931,11.664697992702225,3.0704432425551653
ENAUSDT,5,4,34.0,1.3739636460608928,0.9699921035970969,0.5294117647058824,20.0,0.9331373155102642,1.802578951850327,0.5,54.0,1.2106946347458452,1.2783576029501449,10.925875309704496,2.8409574945480007
POLUSDT,5,4,4.0,-2.934732803803512,-0.4830491459987192,0.0,3.0,0.8000242511062273,2.6258429374099053,0.6666666666666666,7.0,-1.3341226374136237,0.84933317546212,11.807705112582793,1.1090691080677264
RIVERUSDT,5,4,77.0,-5.049001322187224,-4.224323814733054,0.18181818181818182,18.0,0.7457007181945206,3.838119385125615,0.7222222222222222,95.0,-3.951057777693842,-2.6967029979177277,13.728290982906973,2.1956702614443553
