test_day,train_start_day,train_end_day,symbol,rank,train_events,mean_edge_bps,positive_day_share,selection_score,was_active_prev_day
2026-02-04,2026-01-05,2026-02-03,INITUSDT,6,343.0,6.310313679625687,0.9629629629629629,5.167620203343884,True
2026-02-04,2026-01-05,2026-02-03,ATHUSDT,4,372.0,5.577031121421123,0.9333333333333333,6.965529863638346,True
2026-02-04,2026-01-05,2026-02-03,GALAUSDT,5,601.0,4.0267989410590035,0.9,5.270395945593383,True
2026-02-05,2026-01-06,2026-02-04,DYDXUSDT,1,694.0,21.83660781805111,1.0,14.09266875954231,True
2026-02-05,2026-01-06,2026-02-04,CRVUSDT,3,648.0,11.419328553633017,0.9666666666666667,9.911301135100205,True
2026-02-05,2026-01-06,2026-02-04,INITUSDT,7,322.0,6.633098039129979,0.9629629629629629,3.689563362661696,True
2026-02-05,2026-01-06,2026-02-04,ATHUSDT,4,369.0,5.4576680584753605,0.9333333333333333,6.8384753071095,True
2026-02-05,2026-01-06,2026-02-04,GALAUSDT,5,606.0,4.115852614717666,0.9,5.450307865225018,True
2026-02-06,2026-01-07,2026-02-05,DYDXUSDT,1,692.0,22.44923123513324,1.0,14.233592978661896,True
2026-02-06,2026-01-07,2026-02-05,CRVUSDT,3,651.0,12.066539988500637,0.9666666666666667,9.78249786889309,True
2026-02-06,2026-01-07,2026-02-05,INITUSDT,8,301.0,7.279429476275454,0.9629629629629629,2.9859067426032606,True
2026-02-06,2026-01-07,2026-02-05,ATHUSDT,4,371.0,5.693689501516022,0.9333333333333333,7.0436863275538455,True
2026-02-06,2026-01-07,2026-02-05,GALAUSDT,5,605.0,4.603091670242252,0.9333333333333333,6.203820493812995,True
2026-02-07,2026-01-08,2026-02-06,DYDXUSDT,1,692.0,23.360932108690093,1.0,14.737156072975722,True
2026-02-07,2026-01-08,2026-02-06,CRVUSDT,3,652.0,12.16799546932947,0.9666666666666667,9.95859272907747,True
2026-02-07,2026-01-08,2026-02-06,INITUSDT,7,285.0,7.926301012833456,1.0,3.395404046720884,True
2026-02-07,2026-01-08,2026-02-06,ATHUSDT,4,378.0,6.054523543814094,0.9333333333333333,6.981605270708751,True
2026-02-07,2026-01-08,2026-02-06,GALAUSDT,5,606.0,4.985989364879888,0.9333333333333333,6.346711170871208,True
2026-02-08,2026-01-09,2026-02-07,DYDXUSDT,1,692.0,24.455935911959255,1.0,13.485416288222083,True
2026-02-08,2026-01-09,2026-02-07,CRVUSDT,2,655.0,12.157464457827613,0.9666666666666667,9.96656076783244,True
2026-02-08,2026-01-09,2026-02-07,INITUSDT,6,272.0,8.200742861314678,1.0,3.5078429762059873,True
2026-02-08,2026-01-09,2026-02-07,ATHUSDT,3,384.0,6.073923707889442,0.9333333333333333,7.057339644255967,True
2026-02-08,2026-01-09,2026-02-07,GALAUSDT,4,609.0,5.202945311840521,0.9333333333333333,6.50144749054446,True
2026-02-08,2026-01-09,2026-02-07,AIXBTUSDT,5,478.0,2.00624303162698,0.8666666666666667,3.520592793638674,False
2026-02-08,2026-01-09,2026-02-07,GIGGLEUSDT,7,193.0,3.0416904096627957,0.8888888888888888,3.1576721477077334,False
2026-02-09,2026-01-10,2026-02-08,DYDXUSDT,1,689.0,25.388125979613744,1.0,12.980473043412514,True
2026-02-09,2026-01-10,2026-02-08,CRVUSDT,2,662.0,12.06824994102756,0.9666666666666667,10.149620830599588,True
2026-02-09,2026-01-10,2026-02-08,INITUSDT,6,255.0,8.8172449551916,1.0,3.589887912704445,True
2026-02-09,2026-01-10,2026-02-08,ATHUSDT,3,392.0,5.831655081052041,0.9333333333333333,6.6764757256407545,True
2026-02-09,2026-01-10,2026-02-08,GALAUSDT,4,612.0,5.488654228646069,0.9333333333333333,6.561681688747036,True
2026-02-09,2026-01-10,2026-02-08,AIXBTUSDT,5,492.0,2.039109121320017,0.8666666666666667,3.5899023277963673,True
2026-02-09,2026-01-10,2026-02-08,GIGGLEUSDT,9,206.0,2.8837430458438025,0.8928571428571429,3.0332335590875434,True
2026-02-09,2026-01-10,2026-02-08,AEROUSDT,8,164.0,2.872977757324288,0.9,3.091568149750741,False
2026-02-10,2026-01-11,2026-02-09,DYDXUSDT,1,690.0,26.78189174595142,1.0,12.433614943670442,True
2026-02-10,2026-01-11,2026-02-09,CRVUSDT,2,663.0,12.404247858889038,0.9666666666666667,10.050938462922486,True
2026-02-10,2026-01-11,2026-02-09,INITUSDT,5,235.0,9.446065394517136,1.0,3.8272219281956974,True
2026-02-10,2026-01-11,2026-02-09,ATHUSDT,3,397.0,6.028911651087912,0.9666666666666667,7.496212831187685,True
2026-02-10,2026-01-11,2026-02-09,GALAUSDT,4,614.0,5.714475897730743,0.9333333333333333,6.554696610044722,True
2026-02-10,2026-01-11,2026-02-09,AIXBTUSDT,7,505.0,1.9630461208578867,0.8333333333333334,3.3100598405215065,True
2026-02-10,2026-01-11,2026-02-09,GIGGLEUSDT,9,215.0,2.9723720836765954,0.8928571428571429,3.150773688930143,True
2026-02-10,2026-01-11,2026-02-09,AEROUSDT,6,175.0,3.293229753407807,0.9,3.5283418491168006,True
2026-02-11,2026-01-12,2026-02-10,DYDXUSDT,1,687.0,27.92883670239628,1.0,12.303245329874063,True
2026-02-11,2026-01-12,2026-02-10,CRVUSDT,2,667.0,12.700405250326385,0.9666666666666667,9.97789067905372,True
2026-02-11,2026-01-12,2026-02-10,INITUSDT,5,217.0,9.793923148962827,1.0,3.883425763399673,True
2026-02-11,2026-01-12,2026-02-10,ATHUSDT,3,398.0,6.225431624602993,1.0,8.346472107092433,True
2026-02-11,2026-01-12,2026-02-10,GALAUSDT,4,620.0,5.7497870669157605,0.9333333333333333,6.595080128791652,True
2026-02-11,2026-01-12,2026-02-10,AIXBTUSDT,9,521.0,1.9332511488450488,0.8666666666666667,3.4436309878061993,True
2026-02-11,2026-01-12,2026-02-10,GIGGLEUSDT,7,227.0,3.3317702596205447,0.8928571428571429,3.4781097413071826,True
2026-02-11,2026-01-12,2026-02-10,AEROUSDT,6,175.0,3.4025393106804325,0.9,3.631087792756981,True
2026-02-12,2026-01-13,2026-02-11,DYDXUSDT,1,686.0,29.188795463056305,1.0,12.557610240176679,True
2026-02-12,2026-01-13,2026-02-11,CRVUSDT,2,669.0,13.271819605832377,0.9666666666666667,9.545380693972628,True
2026-02-12,2026-01-13,2026-02-11,INITUSDT,5,199.0,9.748576772063064,1.0,3.745465037769231,True
2026-02-12,2026-01-13,2026-02-11,ATHUSDT,3,400.0,6.453493181319338,1.0,8.878605099570471,True
2026-02-12,2026-01-13,2026-02-11,GALAUSDT,4,620.0,5.941223008679613,0.9333333333333333,6.719499621330457,True
2026-02-12,2026-01-13,2026-02-11,AIXBTUSDT,9,524.0,1.8364635991074034,0.8666666666666667,3.25680560724624,True
2026-02-12,2026-01-13,2026-02-11,GIGGLEUSDT,7,233.0,3.431595342631637,0.8928571428571429,3.661572790494826,True
2026-02-12,2026-01-13,2026-02-11,AEROUSDT,6,171.0,3.463996744222283,0.9,3.6822778335766593,True
2026-02-13,2026-01-14,2026-02-12,DYDXUSDT,1,685.0,31.059365182802793,1.0,12.620199865285343,True
2026-02-13,2026-01-14,2026-02-12,CRVUSDT,2,670.0,13.588189646939194,0.9666666666666667,9.930972428717114,True
2026-02-13,2026-01-14,2026-02-12,INITUSDT,7,183.0,10.127353491629373,1.0,3.8025953172867677,True
2026-02-13,2026-01-14,2026-02-12,ATHUSDT,3,397.0,6.489566504687561,1.0,8.783535165802402,True
2026-02-13,2026-01-14,2026-02-12,GALAUSDT,4,621.0,6.09193068302511,0.9333333333333333,6.962438635606161,True
