symbol,overlap_days,train_days,test_days,aligned_bars_total,signal_count_total,avg_net_pnl_bps_total,hit_rate_total,signal_count_train,avg_net_pnl_bps_train,hit_rate_train,signal_count_test,avg_net_pnl_bps_test,hit_rate_test,mean_signal_spread_bps_total
BNBUSDT,245,30,15,64800,13898,-5.484287,0.000935,12885,-5.546060,0.000854,1013,-4.698553,0.001974,11.402310
GPSUSDT,245,30,15,64800,27816,-4.339211,0.224799,17373,-4.018193,0.262706,10443,-4.873259,0.161735,26.539589
KITEUSDT,125,30,15,64800,34131,-5.128100,0.122909,26913,-5.187477,0.134433,7218,-4.906706,0.079939,18.270528
HANAUSDT,137,30,15,64800,50469,-4.937141,0.246845,33951,-4.925968,0.253306,16518,-4.960107,0.233563,24.961919
LYNUSDT,148,30,15,64800,53924,-4.836158,0.293394,36817,-4.770411,0.302605,17107,-4.977656,0.273572,29.514052
BTRUSDT,188,30,15,64800,47555,-4.742674,0.258879,32150,-4.622813,0.270575,15405,-4.992821,0.234469,26.864716
BANUSDT,245,30,15,64800,54146,-4.967543,0.255125,35018,-4.861800,0.259781,19128,-5.161129,0.246602,23.732931
SAHARAUSDT,245,30,15,64800,29524,-3.800961,0.296166,11358,-1.614644,0.379732,18166,-5.167921,0.243917,43.953942
INJUSDT,245,30,15,64800,4137,-4.293641,0.188784,442,3.160272,0.778281,3695,-5.185286,0.118268,32.490725
RIVERUSDT,133,30,15,64800,43490,-5.523172,0.182525,31307,-5.551074,0.196633,12183,-5.451474,0.146269,116.463118
AXSUSDT,245,30,15,64800,54257,-5.557159,0.153381,35980,-5.596349,0.142857,18277,-5.480008,0.174099,61.187289
BARDUSDT,166,30,15,64800,22937,-4.593028,0.169508,9700,-3.374159,0.264639,13237,-5.486209,0.099796,34.495874
TAOUSDT,245,30,15,64800,218,-4.874526,0.100917,14,4.368223,0.571429,204,-5.508832,0.068627,36.486401
PIPPINUSDT,245,30,15,64800,37684,-5.403979,0.088552,25459,-5.330696,0.101379,12225,-5.556594,0.061840,24.735000
0GUSDT,166,30,15,64800,50774,-5.637896,0.086501,34258,-5.671672,0.094197,16516,-5.567836,0.070538,32.953333
HUSDT,245,30,15,64800,53845,-5.773820,0.129186,41623,-5.828500,0.128727,12222,-5.587603,0.130748,25.084572
BERAUSDT,245,30,15,64800,36662,-5.704797,0.064317,27140,-5.741075,0.078040,9522,-5.601397,0.025205,38.985246
INITUSDT,245,30,15,64800,51141,-4.550767,0.237500,31984,-3.861318,0.334730,19157,-5.701853,0.075168,28.008942
GUNUSDT,245,30,15,64800,56835,-5.556216,0.171180,35686,-5.369350,0.179482,21149,-5.871525,0.157171,25.410281
ENSOUSDT,140,30,15,64800,60627,-5.795298,0.108714,40360,-5.747188,0.119004,20267,-5.891105,0.088222,68.584612
ALCHUSDT,245,30,15,64800,63313,-5.838830,0.158498,41746,-5.764748,0.157141,21567,-5.982225,0.161126,30.621534
AAVEUSDT,245,30,15,64800,13,8.271221,0.615385,13,8.271221,0.615385,0,nan,nan,18.832125
ASTERUSDT,165,30,15,64800,16,0.828214,0.750000,16,0.828214,0.750000,0,nan,nan,18.398390
DOGEUSDT,246,30,15,64800,7,7.663887,0.857143,7,7.663887,0.857143,0,nan,nan,20.039702
LINKUSDT,245,30,15,64800,6,12.320122,0.833333,6,12.320122,0.833333,0,nan,nan,20.669517
LTCUSDT,245,30,15,64800,11,13.369646,0.818182,11,13.369646,0.818182,0,nan,nan,21.688312
SUIUSDT,245,30,15,64800,10,21.633989,1.000000,10,21.633989,1.000000,0,nan,nan,25.050480
XRPUSDT,245,30,15,64800,6,8.290520,1.000000,6,8.290520,1.000000,0,nan,nan,14.014827
