symbol,day,month,entry_ts_ms,exit_ts_ms,gross_pnl_bps,entry_spread_bps,entry_spread_abs_bps,entry_spread_velocity_bps,ls_diff_signed,oi_diff_signed_bps,carry_diff_signed_bps,score,net_pnl_bps_25pct_model,is_winner_25pct_model,bybit_book_lag_ms,bybit_best_bid,bybit_best_ask,bybit_book_spread_bps,bybit_top5_bid_notional,bybit_top5_ask_notional,bybit_top5_imbalance,bybit_trade_count_5s,bybit_buy_notional_5s,bybit_sell_notional_5s,bybit_trade_imbalance_5s,binance_depth_lag_ms,binance_bid_notional_1pct,binance_ask_notional_1pct,binance_depth_imbalance_1pct,binance_trade_count_5s,binance_buy_notional_5s,binance_sell_notional_5s,binance_trade_imbalance_5s
CRVUSDT,2026-02-27,2026-02,1772210280000,1772210340000,45.309869,-32.948929,32.948929,4.103356,0.636223,5.090184,20.338004,11.823262,33.559808,1,0,0.242900,0.243000,4.116073,50864.560860,57780.479760,-0.063656,0.000000,0,0,nan,27000,287083.517100,280581.661500,0.011454,2.000000,0,85.232400,-1.000000
CRVUSDT,2026-02-27,2026-02,1772215920000,1772215980000,37.052285,-37.052285,37.052285,8.196584,0.603807,10.582683,23.291343,14.366015,24.687227,1,0,0.243000,0.243100,4.114380,64804.285670,77755.028000,-0.090845,0.000000,0,0,nan,0,343869.572800,231884.386500,0.194502,1.000000,0,5.590200,-1.000000
CRVUSDT,2026-02-27,2026-02,1772217360000,1772217420000,57.640310,-41.152263,41.152263,0.000000,0.610611,19.288349,26.145121,17.540841,45.275084,1,0,0.242900,0.243000,4.116073,60158.367760,75685.467080,-0.114301,0.000000,0,0,nan,29000,334532.791600,220335.489700,0.205810,0.000000,0,0,nan
CRVUSDT,2026-02-27,2026-02,1772219940000,1772220000000,-12.401631,-33.222591,33.222591,8.271185,0.604723,5.765421,20.166411,11.841012,-24.387449,0,0,0.240900,0.241000,4.150239,55859.921630,74322.882860,-0.141823,0.000000,0,0,nan,0,355752.449000,209456.545500,0.258835,0.000000,0,0,nan
CRVUSDT,2026-02-27,2026-02,1772225760000,1772225820000,49.641486,-33.085194,33.085194,8.237120,0.603278,48.730696,19.099745,19.899290,37.671111,1,0,0.241900,0.242000,4.133085,53135.240680,80890.058870,-0.207086,0.000000,0,0,nan,0,305839.220900,237149.292900,0.126503,1.000000,0,5.229700,-1.000000
CRVUSDT,2026-02-27,2026-02,1772227080000,1772227140000,-0.000000,-37.205457,37.205457,0.000000,0.587500,19.641965,19.326523,14.179155,-11.970546,0,0,0.241800,0.241900,4.134794,60623.171610,70818.901560,-0.077568,0.000000,0,0,nan,0,299238.847200,252951.630700,0.083825,0.000000,0,0,nan
CRVUSDT,2026-02-27,2026-02,1772227140000,1772227200000,-0.000000,-37.205457,37.205457,0.000000,0.587500,19.641965,23.300977,16.166382,-11.970546,0,0,0.241900,0.242000,4.133085,55029.241550,74156.030170,-0.148057,3.000000,0,60.208910,-1.000000,28000,301765.005000,249952.730800,0.093911,0.000000,0,0,nan
CRVUSDT,2026-02-27,2026-02,1772227920000,1772227980000,41.545492,-29.081845,29.081845,0.000000,0.591122,13.084599,12.897477,9.656780,30.387308,1,0,0.240600,0.240700,4.155412,63101.900120,70053.978760,-0.052210,0.000000,0,0,nan,30000,225438.131200,310277.806400,-0.158367,0.000000,0,0,nan
CRVUSDT,2026-02-27,2026-02,1772230920000,1772230980000,33.361134,-33.361134,33.361134,8.423478,0.584647,9.527266,35.922088,20.451145,21.353847,1,0,0.240500,0.240600,4.157140,27149.536820,22138.466240,0.101669,10.000000,0,68.395610,-1.000000,29000,294156.554400,209317.071600,0.168508,0.000000,0,0,nan
CRVUSDT,2026-02-27,2026-02,1772234340000,1772234400000,29.061119,-41.493776,41.493776,0.000000,0.577399,20.460040,29.863923,19.601368,16.661741,1,0,0.240900,0.241000,4.150239,42472.496340,47658.650160,-0.057540,0.000000,0,0,nan,0,299226.840000,222915.207700,0.146151,0.000000,0,0,nan
CRVUSDT,2026-02-28,2026-02,1772249580000,1772249640000,45.686239,-33.222591,33.222591,0.000000,0.537819,10.639371,15.572440,10.451913,34.113980,1,0,0.240700,0.240800,4.153686,51721.434140,70340.396230,-0.152537,0.000000,0,0,nan,29000,294069.875300,234795.252400,0.112079,1.000000,0,25.008000,-1.000000
CRVUSDT,2026-02-28,2026-02,1772250900000,1772250960000,54.349592,-16.708438,16.708438,4.168389,0.556960,30.337476,4.511071,8.879991,44.220329,1,0,0.239400,0.239500,4.176237,43791.046140,76629.755480,-0.272700,0.000000,0,0,nan,27000,236971.930000,322890.173200,-0.153463,0.000000,0,0,nan
CRVUSDT,2026-02-28,2026-02,1772251140000,1772251200000,-0.000000,-29.325513,29.325513,4.175324,0.556960,30.337476,19.527798,16.388355,-11.391317,0,0,0.238700,0.238800,4.188482,53065.373660,71850.730910,-0.150384,9.000000,0,1018.099920,-1.000000,0,237518.847200,295598.254800,-0.108943,0.000000,0,0,nan
CRVUSDT,2026-02-28,2026-02,1772257260000,1772257320000,54.381065,-46.005855,46.005855,0.000000,0.606876,12.319848,25.114645,15.628168,41.530479,1,0,0.239000,0.239100,4.183225,36940.473820,76012.516190,-0.345914,0.000000,0,0,nan,0,192833.031500,345388.594500,-0.283444,1.000000,0,6.045200,-1.000000
CRVUSDT,2026-02-28,2026-02,1772257440000,1772257500000,4.168338,-41.841004,41.841004,4.168338,0.606876,12.319848,26.538952,16.340321,-8.474179,0,0,0.238900,0.239000,4.184976,50776.630160,60018.878190,-0.083417,0.000000,0,0,nan,27000,264912.346200,246422.259000,0.036160,0.000000,0,0,nan
CRVUSDT,2026-02-28,2026-02,1772261880000,1772261940000,39.162598,-34.812881,34.812881,0.000000,0.682706,7.149547,12.419551,8.322391,27.431310,1,0,0.229800,0.229900,4.350663,38848.470370,63739.411110,-0.242630,7.000000,37.066740,255.767400,-0.746841,28000,244203.588500,340560.983900,-0.164780,4.000000,160.356000,26.724300,0.714301
CRVUSDT,2026-02-28,2026-02,1772262720000,1772262780000,12.992401,-25.906736,25.906736,4.308464,0.713126,22.385949,7.947169,9.163900,1.936304,1,0,0.231400,0.231500,4.320588,47456.382220,50607.103440,-0.032129,15.000000,1474.116050,3313.552100,-0.384203,30000,184629.048400,371546.102200,-0.336076,2.000000,0,111.642300,-1.000000
CRVUSDT,2026-02-28,2026-02,1772263860000,1772263920000,43.290238,-17.361111,17.361111,4.334624,0.677149,13.417325,7.269435,6.995331,33.087396,1,0,0.230300,0.230400,4.341220,43486.709680,75697.701310,-0.270262,0.000000,0,0,nan,21000,231873.957300,307729.559900,-0.140577,1.000000,0,10.465000,-1.000000
CRVUSDT,2026-02-28,2026-02,1772266560000,1772266620000,-0.000000,-34.662045,34.662045,8.642964,0.701799,99.554562,5.577747,23.401585,-12.148353,0,0,0.230500,0.230600,4.337454,53903.542650,52193.488080,0.016118,0.000000,0,0,nan,0,235301.840600,274948.885300,-0.077701,1.000000,0,19.941000,-1.000000
CRVUSDT,2026-02-28,2026-02,1772266680000,1772266740000,78.042433,-43.290043,43.290043,8.627998,0.701799,99.554562,20.678186,30.951805,65.032029,1,0,0.230800,0.230900,4.331817,48745.767130,69382.768720,-0.174700,9.000000,0,1661.483040,-1.000000,0,256906.564800,247531.965500,0.018584,3.000000,11.781000,11.753000,0.001190
CRVUSDT,2026-02-28,2026-02,1772272920000,1772272980000,52.693217,-35.118525,35.118525,8.741124,0.680463,6.437006,23.227252,13.581491,40.494308,1,0,0.228000,0.228100,4.385003,52644.255940,86050.376780,-0.240861,0.000000,0,0,nan,29000,207671.734700,309186.799900,-0.196408,3.000000,0,120.514300,-1.000000
CRVUSDT,2026-02-28,2026-02,1772278080000,1772278140000,8.628104,-21.598272,21.598272,0.000000,0.690811,9.657660,9.210986,7.227835,-1.781723,0,0,0.231300,0.231400,4.322455,66666.322070,60112.222410,0.051697,0.000000,0,0,nan,29000,231178.634300,328993.198300,-0.174615,0.000000,0,0,nan
