day,month,equity_start_dollars,day_pnl_dollars,day_return_pct,month_realized_pnl_dollars,equity_end_dollars
2025-09-21,2025-09,100310.82,-6.86,-0.0068,144.65,100303.96
2025-09-22,2025-09,100303.96,-13.45,-0.0134,144.65,100290.51
2025-09-23,2025-09,100290.51,5.94,0.0059,144.65,100296.45
2025-09-24,2025-09,100296.45,29.07,0.0290,144.65,100325.52
2025-09-25,2025-09,100325.52,5.63,0.0056,144.65,100331.15
2025-09-26,2025-09,100331.15,-5.62,-0.0056,144.65,100325.52
2025-09-27,2025-09,100325.52,-15.43,-0.0154,144.65,100310.09
2025-09-28,2025-09,100310.09,8.83,0.0088,144.65,100318.93
2025-09-29,2025-09,100318.93,11.22,0.0112,144.65,100330.15
2025-09-30,2025-09,100330.15,37.31,0.0372,144.65,100367.46
2025-10-01,2025-10,100367.46,19.55,0.0195,208.98,100387.00
2025-10-02,2025-10,100387.00,-15.21,-0.0152,208.98,100371.79
2025-10-03,2025-10,100371.79,4.91,0.0049,208.98,100376.70
2025-10-04,2025-10,100376.70,29.59,0.0295,208.98,100406.29
2025-10-05,2025-10,100406.29,9.42,0.0094,208.98,100415.71
2025-10-06,2025-10,100415.71,-2.26,-0.0022,208.98,100413.45
2025-10-07,2025-10,100413.45,-28.52,-0.0284,208.98,100384.93
2025-10-08,2025-10,100384.93,-0.65,-0.0006,208.98,100384.27
2025-10-09,2025-10,100384.27,-0.35,-0.0003,208.98,100383.93
2025-10-10,2025-10,100383.93,-75.40,-0.0751,208.98,100308.52
2025-10-11,2025-10,100308.52,4.35,0.0043,208.98,100312.87
2025-10-12,2025-10,100312.87,-1.51,-0.0015,208.98,100311.37
2025-10-13,2025-10,100311.37,14.61,0.0146,208.98,100325.98
2025-10-14,2025-10,100325.98,-14.14,-0.0141,208.98,100311.84
2025-10-15,2025-10,100311.84,12.87,0.0128,208.98,100324.71
2025-10-16,2025-10,100324.71,8.85,0.0088,208.98,100333.56
2025-10-17,2025-10,100333.56,18.15,0.0181,208.98,100351.71
2025-10-18,2025-10,100351.71,-6.60,-0.0066,208.98,100345.11
2025-10-19,2025-10,100345.11,36.90,0.0368,208.98,100382.01
2025-10-20,2025-10,100382.01,3.26,0.0032,208.98,100385.27
2025-10-21,2025-10,100385.27,20.77,0.0207,208.98,100406.04
2025-10-22,2025-10,100406.04,4.37,0.0044,208.98,100410.41
2025-10-23,2025-10,100410.41,-7.23,-0.0072,208.98,100403.18
2025-10-24,2025-10,100403.18,0.93,0.0009,208.98,100404.11
2025-10-25,2025-10,100404.11,17.72,0.0176,208.98,100421.83
2025-10-26,2025-10,100421.83,38.89,0.0387,208.98,100460.71
2025-10-27,2025-10,100460.71,28.63,0.0285,208.98,100489.34
2025-10-28,2025-10,100489.34,28.80,0.0287,208.98,100518.15
2025-10-29,2025-10,100518.15,6.13,0.0061,208.98,100524.28
2025-10-30,2025-10,100524.28,32.24,0.0321,208.98,100556.52
2025-10-31,2025-10,100556.52,19.91,0.0198,208.98,100576.43
2025-11-01,2025-11,100576.43,11.75,0.0117,740.06,100588.18
2025-11-02,2025-11,100588.18,33.58,0.0334,740.06,100621.76
2025-11-03,2025-11,100621.76,-12.49,-0.0124,740.06,100609.27
