symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
CRVUSDT,2026-01-17,2026-01,1768611600000,1768611660000,11.724693,11.695875,3.242904,10228.02,3.32
CRVUSDT,2026-01-17,2026-01,1768613760000,1768613820000,9.288323,23.369946,14.681857,10228.35,15.02
CRVUSDT,2026-01-17,2026-01,1768616160000,1768616220000,8.710008,32.786901,24.677197,10229.85,25.24
SEIUSDT,2026-01-17,2026-01,1768643160000,1768643220000,18.147359,-0.000000,-7.534695,10232.38,-7.71
SEIUSDT,2026-01-17,2026-01,1768645200000,1768645260000,71.212205,4.147580,-3.589062,10231.61,-3.67
SEIUSDT,2026-01-17,2026-01,1768645260000,1768645320000,70.473267,-4.958263,-12.403776,10231.24,-12.69
CRVUSDT,2026-01-18,2026-01,1768696800000,1768696860000,8.437378,14.505598,6.329583,10229.97,6.48
CRVUSDT,2026-01-18,2026-01,1768707900000,1768707960000,10.776769,38.323373,30.408581,10230.62,31.11
CRVUSDT,2026-01-18,2026-01,1768711080000,1768711140000,11.479275,-0.000000,-7.812733,10233.73,-8.00
CRVUSDT,2026-01-19,2026-01,1768781160000,1768781220000,52.456543,15.683543,8.122507,10232.93,8.31
CRVUSDT,2026-01-19,2026-01,1768781340000,1768781400000,43.780406,-5.275289,-13.497304,10233.76,-13.81
CRVUSDT,2026-01-19,2026-01,1768782000000,1768782060000,14.953283,21.058213,13.079658,10232.38,13.38
GALAUSDT,2026-01-19,2026-01,1768792680000,1768792740000,8.099668,-2.927124,-10.554168,10233.72,-10.80
GALAUSDT,2026-01-19,2026-01,1768792740000,1768792800000,11.028144,16.243137,8.324778,10232.64,8.52
GALAUSDT,2026-01-19,2026-01,1768793400000,1768793460000,12.255807,16.222670,8.525603,10233.49,8.72
CRVUSDT,2026-01-20,2026-01,1768869840000,1768869900000,13.867736,-0.000000,-8.202778,10234.36,-8.40
CRVUSDT,2026-01-20,2026-01,1768869900000,1768869960000,14.947901,25.926886,18.112004,10233.52,18.53
CRVUSDT,2026-01-20,2026-01,1768871400000,1768871460000,8.687381,13.003901,5.573607,10235.38,5.70
GALAUSDT,2026-01-20,2026-01,1768879320000,1768879380000,12.976698,22.393633,14.826569,10235.95,15.18
GALAUSDT,2026-01-20,2026-01,1768882920000,1768882980000,12.451638,24.063321,16.109044,10237.46,16.49
GALAUSDT,2026-01-20,2026-01,1768889400000,1768889460000,9.500706,7.506376,-0.220903,10239.11,-0.23
CRVUSDT,2026-01-21,2026-01,1768955100000,1768955160000,8.314464,24.457260,15.604332,10239.09,15.98
CRVUSDT,2026-01-21,2026-01,1768961580000,1768961640000,10.335373,-8.045001,-16.734040,10240.69,-17.14
CRVUSDT,2026-01-21,2026-01,1768961640000,1768961700000,8.506782,43.020896,33.662451,10238.97,34.47
GALAUSDT,2026-01-21,2026-01,1768971720000,1768971780000,18.055820,6.199617,-1.116496,10242.42,-1.14
GALAUSDT,2026-01-21,2026-01,1769011920000,1769011980000,9.520402,19.984644,12.448475,10242.31,12.75
