symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
GALAUSDT,2026-02-07,2026-02,1770438540000,1770438600000,15.654271,2.317490,-8.137305,25194.47,-20.50
GALAUSDT,2026-02-07,2026-02,1770438960000,1770439020000,9.226818,34.805485,23.656572,25189.35,59.59
SEIUSDT,2026-02-07,2026-02,1770482040000,1770482100000,26.480132,9.003209,-0.919445,25204.25,-2.32
CRVUSDT,2026-02-08,2026-02,1770512280000,1770512340000,7.210495,23.477248,13.270301,25203.67,33.45
CRVUSDT,2026-02-08,2026-02,1770513840000,1770513900000,11.104456,35.194439,23.622522,25212.03,59.56
CRVUSDT,2026-02-08,2026-02,1770514680000,1770514740000,8.482366,3.895591,-5.914471,25226.92,-14.92
GALAUSDT,2026-02-08,2026-02,1770524340000,1770524400000,6.899530,43.071363,32.787097,25223.19,82.70
GALAUSDT,2026-02-08,2026-02,1770533640000,1770533700000,7.675191,-4.786957,-15.435728,25243.86,-38.97
GALAUSDT,2026-02-08,2026-02,1770534060000,1770534120000,9.757328,26.379472,15.611745,25234.12,39.39
CRVUSDT,2026-02-09,2026-02,1770596280000,1770596340000,10.563121,-11.862232,-23.883883,25243.97,-60.29
CRVUSDT,2026-02-09,2026-02,1770596340000,1770596400000,17.962348,23.831499,10.625039,25228.90,26.81
CRVUSDT,2026-02-09,2026-02,1770601200000,1770601260000,15.875364,11.890531,0.265545,25235.60,0.67
GALAUSDT,2026-02-09,2026-02,1770611760000,1770611820000,12.256112,38.654354,28.348908,25235.77,71.54
GALAUSDT,2026-02-09,2026-02,1770612480000,1770612540000,14.784155,21.753727,11.327712,25253.65,28.61
GALAUSDT,2026-02-09,2026-02,1770613620000,1770613680000,16.270802,12.080203,1.775925,25260.80,4.49
CRVUSDT,2026-02-10,2026-02,1770683160000,1770683220000,10.312889,39.432177,28.422547,25261.92,71.80
GALAUSDT,2026-02-10,2026-02,1770684180000,1770684240000,29.876150,29.199449,18.273524,25279.87,46.20
CRVUSDT,2026-02-10,2026-02,1770684780000,1770684840000,7.585065,-0.000000,-12.596108,25291.42,-31.86
CRVUSDT,2026-02-10,2026-02,1770684840000,1770684900000,18.413051,47.415215,34.819107,25283.46,88.03
GALAUSDT,2026-02-10,2026-02,1770685440000,1770685500000,17.133271,9.708726,-0.726035,25305.47,-1.84
GALAUSDT,2026-02-10,2026-02,1770686280000,1770686340000,15.525102,33.975888,23.296818,25305.01,58.95
SEIUSDT,2026-02-10,2026-02,1770706260000,1770706320000,21.160222,5.516843,-4.661456,25319.75,-11.80
SEIUSDT,2026-02-10,2026-02,1770706380000,1770706440000,17.030560,17.901217,7.860432,25316.80,19.90
CRVUSDT,2026-02-11,2026-02,1770768480000,1770768540000,10.622072,4.286293,-6.971872,25321.77,-17.65
CRVUSDT,2026-02-11,2026-02,1770768540000,1770768600000,11.606450,42.992261,31.948411,25317.36,80.88
CRVUSDT,2026-02-11,2026-02,1770769440000,1770769500000,6.046713,-4.271655,-15.089965,25337.58,-38.23
GALAUSDT,2026-02-11,2026-02,1770772320000,1770772380000,7.473651,15.128593,5.365734,25328.02,13.59
GALAUSDT,2026-02-11,2026-02,1770773160000,1770773220000,7.452774,5.037776,-4.850996,25331.42,-12.29
GALAUSDT,2026-02-11,2026-02,1770774300000,1770774360000,7.069733,7.535782,-2.599872,25328.35,-6.59
SEIUSDT,2026-02-11,2026-02,1770789000000,1770789060000,16.417728,1.405477,-8.885617,25326.70,-22.50
SEIUSDT,2026-02-11,2026-02,1770789060000,1770789120000,17.783654,19.714344,9.704405,25321.07,24.57
SEIUSDT,2026-02-11,2026-02,1770790560000,1770790620000,18.617359,7.119379,-3.118672,25327.22,-7.90
GALAUSDT,2026-02-12,2026-02,1770854820000,1770854880000,16.623866,25.706941,14.629706,25325.24,37.05
CRVUSDT,2026-02-12,2026-02,1770855600000,1770855660000,8.136465,4.278981,-5.898581,25334.50,-14.94
CRVUSDT,2026-02-12,2026-02,1770857160000,1770857220000,9.052512,8.539655,-2.919038,25330.77,-7.39
CRVUSDT,2026-02-12,2026-02,1770857820000,1770857880000,7.362281,42.826552,32.008242,25328.92,81.07
GALAUSDT,2026-02-12,2026-02,1770867780000,1770867840000,7.763817,27.950383,18.175993,25349.19,46.07
GALAUSDT,2026-02-12,2026-02,1770867960000,1770868020000,23.984119,25.387154,14.345212,25360.71,36.38
SEIUSDT,2026-02-12,2026-02,1770904980000,1770905040000,24.917082,17.753407,7.727190,25369.80,19.60
SEIUSDT,2026-02-12,2026-02,1770929400000,1770929460000,48.263614,-1.367424,-11.196189,25374.70,-28.41
SEIUSDT,2026-02-12,2026-02,1770929460000,1770929520000,40.179546,8.243846,-1.717911,25367.60,-4.36
CRVUSDT,2026-02-13,2026-02,1770943020000,1770943080000,23.430128,12.610143,-0.489064,25366.51,-1.24
CRVUSDT,2026-02-13,2026-02,1770943320000,1770943380000,10.699352,42.247571,31.040241,25366.20,78.74
CRVUSDT,2026-02-13,2026-02,1770944880000,1770944940000,12.503583,54.954010,43.746680,25385.88,111.05
