symbol,day,month,entry_ts_ms,exit_ts_ms,gross_pnl_bps,entry_spread_bps,entry_spread_abs_bps,entry_spread_velocity_bps,ls_diff_signed,oi_diff_signed_bps,carry_diff_signed_bps,score,net_pnl_bps_25pct_model,is_winner_25pct_model,bybit_book_lag_ms,bybit_best_bid,bybit_best_ask,bybit_book_spread_bps,bybit_top5_bid_notional,bybit_top5_ask_notional,bybit_top5_imbalance,bybit_trade_count_5s,bybit_buy_notional_5s,bybit_sell_notional_5s,bybit_trade_imbalance_5s,binance_depth_lag_ms,binance_bid_notional_1pct,binance_ask_notional_1pct,binance_depth_imbalance_1pct,binance_trade_count_5s,binance_buy_notional_5s,binance_sell_notional_5s,binance_trade_imbalance_5s
GALAUSDT,2026-02-28,2026-02,1772273940000,1772274000000,23.517299,-38.201587,38.201587,2.926498,0.787642,91.060553,38.233905,38.116705,11.300815,1,0,0.003403,0.003404,2.938152,23413.618432,25355.053223,-0.039809,0.000000,0,0,nan,0,219264.212480,283151.229670,-0.127160,2.000000,0,17.590710,-1.000000
GALAUSDT,2026-02-28,2026-02,1772274120000,1772274180000,29.325513,-29.325513,29.325513,11.709541,0.790976,9.505926,13.227630,9.305976,17.557485,1,0,0.003405,0.003406,2.936426,28937.320159,18315.975605,0.224775,0.000000,0,0,nan,28000,269817.881570,264645.049170,0.009679,0.000000,0,0,nan
GALAUSDT,2026-02-28,2026-02,1772274300000,1772274360000,-0.000000,-26.400704,26.400704,0.000000,0.787881,35.865345,14.047786,14.984843,-10.890070,0,0,0.003409,0.003410,2.932981,22478.705892,21997.886870,0.010811,6.000000,1189.771681,0,1.000000,28000,278018.611720,211607.757540,0.135636,1.000000,0,18.598000,-1.000000
GALAUSDT,2026-02-28,2026-02,1772274360000,1772274420000,-2.924809,-26.400704,26.400704,0.000000,0.787881,35.865345,28.542405,22.232152,-13.814879,0,0,0.003408,0.003409,2.933842,28151.346561,20792.888604,0.150344,6.000000,0,52.709958,-1.000000,29000,278414.123960,228418.693350,0.098643,2.000000,37.690730,9.299000,0.604211
GALAUSDT,2026-02-28,2026-02,1772274420000,1772274480000,8.779578,-29.325513,29.325513,2.924809,0.787881,35.865345,10.447822,13.184861,-2.549214,0,0,0.003409,0.003410,2.932981,26516.381394,23351.978038,0.063455,6.000000,1095.420788,0,1.000000,30000,282824.160740,225705.738320,0.112321,6.000000,38.195410,89.984400,-0.404034
GALAUSDT,2026-02-28,2026-02,1772275080000,1772275140000,2.919694,-23.405500,23.405500,2.919694,0.769166,147.334322,8.907347,34.689704,-7.816841,0,0,0.003417,0.003418,2.926116,27843.037125,27973.909607,-0.002345,0.000000,0,0,nan,27000,298893.789990,237363.771630,0.114740,1.000000,0,9.442290,-1.000000
GALAUSDT,2026-02-28,2026-02,1772279940000,1772280000000,44.400614,-29.585799,29.585799,0.000000,0.812589,8.495636,27.777157,16.400295,33.192034,1,0,0.003379,0.003380,2.959018,22601.731830,24727.038602,-0.044905,29.000000,1983.514374,3302.128266,-0.249471,28000,249305.786130,240970.302410,0.017002,66.000000,24411.136230,6861.116270,0.561201
GALAUSDT,2026-02-28,2026-02,1772281920000,1772281980000,38.497467,-23.682652,23.682652,0.000000,0.792875,19.062674,6.581480,7.896150,27.879202,1,0,0.003378,0.003379,2.959893,28584.802091,26928.557367,0.029835,35.000000,3267.818853,3316.887232,-0.007452,29000,270277.472510,317980.355360,-0.081092,5.000000,80.994940,60.434210,0.145378
GALAUSDT,2026-02-28,2026-02,1772282460000,1772282520000,-2.959432,-26.714159,26.714159,0.000000,0.800056,8.805718,15.962592,10.542495,-13.880848,0,0,0.003368,0.003369,2.968680,29424.794012,33310.038692,-0.061931,2.000000,0,433.829499,-1.000000,27000,318177.290180,245048.526290,0.129839,2.000000,31.438730,7.452480,0.616752
GALAUSDT,2026-02-28,2026-02,1772282520000,1772282580000,26.707112,-29.673591,29.673591,2.959432,0.800056,8.805718,18.304711,11.713555,15.341781,1,0,0.003369,0.003370,2.967799,26877.756591,34313.967179,-0.121523,9.000000,1521.679768,0,1.000000,0,305547.070310,239884.111270,0.120387,6.000000,227.876030,193.344480,0.081980
