ts,density,avg_clustering,n_components,eigvec_dispersion
2025-11-01 05:55:00+00:00,0.7797619047619048,0.8807506348244701,1,70088061643.68416
2025-11-01 06:55:00+00:00,0.8070436507936508,0.8946357232690267,1,71304803484.7583
2025-11-01 07:55:00+00:00,0.7604166666666666,0.8611061160437657,1,69214264156.26593
2025-11-01 08:55:00+00:00,0.7192460317460317,0.8081030552858209,1,67314111687.12127
2025-11-01 09:55:00+00:00,0.6140873015873016,0.7371947942336908,1,62199207468.131424
2025-11-01 10:55:00+00:00,0.6393849206349206,0.7648421933374896,1,63467370448.05856
2025-11-01 11:55:00+00:00,0.5962301587301587,0.730483120977644,1,61288117273.69847
2025-11-01 12:55:00+00:00,0.5545634920634921,0.6950315951048985,1,59107886464.747955
2025-11-01 13:55:00+00:00,0.591765873015873,0.7209808689152336,1,61058238132.575455
2025-11-01 14:55:00+00:00,0.7574404761904762,0.8674453825311339,1,69078222552.60818
2025-11-01 15:55:00+00:00,0.7504960317460317,0.8631682807877475,1,68760675640.20781
2025-11-01 16:55:00+00:00,0.7976190476190477,0.8884591836821187,1,70886998292.65617
2025-11-01 17:55:00+00:00,0.8139880952380952,0.9006096960308236,1,71610689425.50389
2025-11-01 18:55:00+00:00,0.8224206349206349,0.9084971810346195,1,71980740415.08917
2025-11-01 19:55:00+00:00,0.8288690476190477,0.9125200173737682,1,72262461936.52411
2025-11-01 20:55:00+00:00,0.7028769841269841,0.8105237506780674,1,66543862756.91653
2025-11-01 21:55:00+00:00,0.7921626984126984,0.8880779680312159,1,70643963601.94928
2025-11-01 22:55:00+00:00,0.7683531746031746,0.8919903242440624,1,69574523007.14136
2025-11-01 23:55:00+00:00,0.8263888888888888,0.9019865588393364,1,72153867806.99696
2025-11-02 00:55:00+00:00,0.8030753968253969,0.8931434293799738,1,71129125763.89764
2025-11-02 01:55:00+00:00,0.7817460317460317,0.8839159938466711,1,70178188411.2098
2025-11-02 02:55:00+00:00,0.7440476190476191,0.8476628684797527,1,68465167664.93473
2025-11-02 03:55:00+00:00,0.7212301587301587,0.8360075174110242,1,67407194139.52594
2025-11-02 04:55:00+00:00,0.7212301587301587,0.8341567558154224,1,67406969629.71527
2025-11-02 05:55:00+00:00,0.7197420634920635,0.8261217574463087,1,67337319449.12329
2025-11-02 06:55:00+00:00,0.6979166666666666,0.8042413963090862,1,66308862431.748405
2025-11-02 07:55:00+00:00,0.6631944444444444,0.7843103838416001,1,64638130318.27732
2025-11-02 08:55:00+00:00,0.6612103174603174,0.778170310658478,1,64541581561.57804
2025-11-02 09:55:00+00:00,0.6870039682539683,0.8069259563858405,1,65788413794.89208
2025-11-02 10:55:00+00:00,0.7366071428571429,0.8528525525431626,1,68121225410.158516
2025-11-02 11:55:00+00:00,0.779265873015873,0.8971250349714853,1,70066854496.37245
2025-11-02 12:55:00+00:00,0.779265873015873,0.9100953367349083,1,70066621127.90349
2025-11-02 13:55:00+00:00,0.7658730158730159,0.8778688143851704,1,69462142828.77869
2025-11-02 14:55:00+00:00,0.7410714285714286,0.8642987566436544,1,68327644972.184944
2025-11-02 15:55:00+00:00,0.7455357142857143,0.8490903290936214,1,68533294285.91636
2025-11-02 16:55:00+00:00,0.7093253968253969,0.8565489240692565,1,66848041839.48791
2025-11-02 17:55:00+00:00,0.6979166666666666,0.8429044243230768,1,66308567962.879814
2025-11-02 18:55:00+00:00,0.7013888888888888,0.8206905787489515,1,66473531400.65147
2025-11-02 19:55:00+00:00,0.7043650793650794,0.8344965114167462,1,66614489015.431656
2025-11-02 20:55:00+00:00,0.714781746031746,0.8243829080987888,1,67105253155.5506
2025-11-02 21:55:00+00:00,0.7132936507936508,0.8498854270055896,1,67035289540.71582
2025-11-02 22:55:00+00:00,0.716765873015873,0.839464610465749,1,67198101859.05847
2025-11-02 23:55:00+00:00,0.7822420634920635,0.8914792177795156,1,70200137783.63913
2025-11-03 00:55:00+00:00,0.7619047619047619,0.8891694040447817,1,69281416960.1607
2025-11-03 01:55:00+00:00,0.8834325396825397,0.9424348492825547,1,74603116556.88387
2025-11-03 02:55:00+00:00,0.8591269841269841,0.9583815611264275,1,73569123100.87009
2025-11-03 03:55:00+00:00,0.8060515873015873,0.9154145811864747,1,71260489378.47977
2025-11-03 04:55:00+00:00,0.7966269841269841,0.9143050029362398,1,70842900622.26552
2025-11-03 05:55:00+00:00,0.8368055555555556,0.9272388136228127,1,72607436825.94365
2025-11-03 06:55:00+00:00,0.8154761904761905,0.9244083000039884,1,71675639750.64723
