symbol,days,mean,std,max,p95,p99
XLMUSDT,247.0,0.2554417004048583,1.27200887756201,3.315,1.0,1.0
LINKUSDT,247.0,0.41322267206477736,3.055824629444189,2.2667,1.0,1.0
LDOUSDT,247.0,0.47760067476383267,0.6932470538427886,1.0,1.0,1.0
CHZUSDT,247.0,0.029539676113360322,1.6563028684202634,1.0,1.0,1.0
ICPUSDT,247.0,-0.3039338731443994,2.732692062798293,2.1916,1.0,1.0
BNBUSDT,247.0,0.32390445344129554,0.8608017674578268,3.172,1.0,1.0
AVAXUSDT,247.0,0.11380391363022942,3.2601174361617318,1.5537999999999998,1.0,1.0
KAVAUSDT,246.0,-4.260289566395663,16.821035683668462,1.4482000000000002,1.0,1.0
1000PEPEUSDT,246.0,0.4801757452574526,2.046907341798898,2.9563,1.0,1.0
SEIUSDT,247.0,-0.5166090418353575,4.145718262625523,3.4336,1.0,1.0
ETCUSDT,247.0,0.17104237516869097,2.142916770037984,4.1561,1.0,1.0
GALAUSDT,247.0,0.4873973009446693,0.9294452374681171,1.0,1.0,1.0
OPUSDT,247.0,0.3353453441295547,1.5258087485429888,1.0,1.0,1.0
WLDUSDT,247.0,0.33232226720647773,1.1712156362160706,1.3779,1.0,1.0
ATOMUSDT,247.0,-0.9017265856950067,3.7182438205251316,1.6858,1.0,1.0
ADAUSDT,246.66666666666666,0.3141417567567568,2.1875098804709285,2.3367,1.0,1.0
MONUSDT,98.0,-0.47020272108843536,2.5451229467193692,1.0,1.0,1.0
INJUSDT,296.6666666666667,-0.5180206741573034,5.614069494150514,1.8702,1.0,1.0
AAVEUSDT,247.0,0.3817033738191632,1.725008782015078,1.5438999999999998,1.0,1.0
ALGOUSDT,247.0,0.29389338731443987,3.820496718345488,3.2318000000000002,1.0,1.0
DOTUSDT,247.0,-0.07722361673414306,2.6315222561251566,1.0,1.0,1.0
BCHUSDT,247.0,-0.0986434547908232,1.209131674787322,1.1375,1.0,1.0
ARBUSDT,247.0,0.40610769230769234,1.5904122224629897,1.0,1.0,1.0
KITEUSDT,941.6666666666666,-0.23629982300884958,3.7362467228923233,5.6262,0.125,0.5723319999999792
MOODENGUSDT,984.3333333333334,-1.345571012529631,5.508867861931011,6.2391,0.5,0.5564000000000021
POLUSDT,493.6666666666667,0.03405968939905471,1.2522005955634115,3.3108999999999997,0.5,0.5
WETUSDT,640.3333333333334,-1.5464712129099427,11.26191911900172,2.375,0.125,0.5
1000BONKUSDT,492.0,0.07943326558265582,2.7931344154486797,2.7201,0.5,0.5
CYBERUSDT,490.0,-2.351490340136054,11.0409379219395,0.6698999999999999,0.5,0.5
SKRUSDT,106.66666666666667,-8.861580624999998,27.159633694904265,0.5,0.5,0.5
RENDERUSDT,493.6666666666667,0.20040871033085753,1.3258341307169907,0.5,0.5,0.5
BIOUSDT,1289.3333333333333,-1.8611612202688725,8.596471687249826,0.5,0.5,0.5
CCUSDT,248.66666666666666,-0.10051152815013405,1.8418440839582186,8.4214,0.5,0.5
VVVUSDT,492.0,-1.1899706639566394,7.4854470842544005,6.3877,0.5,0.5
ONDOUSDT,493.6666666666667,0.16842309250506415,1.932484546553757,1.3268000000000002,0.5,0.5
JUPUSDT,493.6666666666667,-0.043360904794058096,1.1167249659481442,0.5,0.5,0.5
TIAUSDT,493.6666666666667,0.06520067521944634,2.7560853967984174,3.209,0.5,0.5
ATHUSDT,490.0,-0.6388178231292514,7.860123502571661,0.5,0.5,0.5
PYTHUSDT,493.6666666666667,0.01877636731937879,1.9649227348974299,1.8335000000000001,0.5,0.5
CAKEUSDT,490.0,0.08695714285714286,3.749026805373149,3.8967,0.5,0.5
1000TURBOUSDT,428.0,-0.25750186915887846,7.728358842035414,1.3148000000000002,0.5,0.5
MORPHOUSDT,493.6666666666667,-0.019938892640108025,1.2238063993462918,1.066,0.5,0.5
EIGENUSDT,493.6666666666667,0.03460209318028357,2.3122020074039624,1.7368999999999999,0.5,0.5
INITUSDT,568.0,-0.9156884389671361,7.242675439724754,0.5,0.5,0.5
