a,b,c,cancel_delay_s,fee_model,slip_entry_bp,slip_exit_bp,split,n_signals,n_trades,trigger_rate,net_mean_bp,net_median_bp,net_total_bp,gross_mean_bp,pf,hit_rate_tp,pct_sl,pct_time,pct_double,max_dd_bp,p5_net_bp,p95_net_bp,weeks_positive,weeks_total,mean_time_to_entry_min,mean_time_in_trade_min,mean_MAE_bp,mean_MFE_bp
0.8000,5,2.0000,300,T,5,5,test_fwd,907,89,0.0981,19.8138,-25.1121,1763.4299,49.8138,1.1125,0.0000,0.0000,1.0000,0.0000,-4609.0873,-886.0400,892.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.0000,300,T,5,5,test_rev,700,83,0.1186,-1.0332,-21.4303,-85.7586,28.9668,0.9920,0.0000,0.0120,0.9880,0.0000,-4429.2991,-549.1328,705.4813,1,4,890.4940,539.2771,-236.6120,390.4863
0.8000,5,2.0000,300,T,10,10,test_fwd,907,89,0.0981,9.8138,-35.1121,873.4299,49.8138,1.0540,0.0000,0.0000,1.0000,0.0000,-5139.0873,-896.0400,882.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.0000,300,T,10,10,test_rev,700,83,0.1186,-11.0332,-31.4303,-915.7586,28.9668,0.9179,0.0000,0.0120,0.9880,0.0000,-4789.2991,-559.1328,695.4813,1,4,890.4940,539.2771,-236.6120,390.4863
0.8000,5,2.5000,0,M,0,0,test_fwd,907,89,0.0981,29.8138,-15.1121,2653.4299,49.8138,1.1747,0.0000,0.0000,1.0000,0.0000,-4079.0873,-876.0400,902.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,0,M,0,0,test_rev,700,83,0.1186,10.4147,-11.4303,864.4202,30.4147,1.0853,0.0000,0.0000,1.0000,0.0000,-3949.1204,-539.1328,715.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,0,M,5,5,test_fwd,907,89,0.0981,19.8138,-25.1121,1763.4299,49.8138,1.1125,0.0000,0.0000,1.0000,0.0000,-4609.0873,-886.0400,892.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,0,M,5,5,test_rev,700,83,0.1186,0.4147,-21.4303,34.4202,30.4147,1.0033,0.0000,0.0000,1.0000,0.0000,-4309.1204,-549.1328,705.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,0,M,10,10,test_fwd,907,89,0.0981,9.8138,-35.1121,873.4299,49.8138,1.0540,0.0000,0.0000,1.0000,0.0000,-5139.0873,-896.0400,882.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,0,M,10,10,test_rev,700,83,0.1186,-9.5853,-31.4303,-795.5798,30.4147,0.9279,0.0000,0.0000,1.0000,0.0000,-4669.1204,-559.1328,695.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,0,T,0,0,test_fwd,907,89,0.0981,29.8138,-15.1121,2653.4299,49.8138,1.1747,0.0000,0.0000,1.0000,0.0000,-4079.0873,-876.0400,902.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,0,T,0,0,test_rev,700,83,0.1186,10.4147,-11.4303,864.4202,30.4147,1.0853,0.0000,0.0000,1.0000,0.0000,-3949.1204,-539.1328,715.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,0,T,5,5,test_fwd,907,89,0.0981,19.8138,-25.1121,1763.4299,49.8138,1.1125,0.0000,0.0000,1.0000,0.0000,-4609.0873,-886.0400,892.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,0,T,5,5,test_rev,700,83,0.1186,0.4147,-21.4303,34.4202,30.4147,1.0033,0.0000,0.0000,1.0000,0.0000,-4309.1204,-549.1328,705.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,0,T,10,10,test_fwd,907,89,0.0981,9.8138,-35.1121,873.4299,49.8138,1.0540,0.0000,0.0000,1.0000,0.0000,-5139.0873,-896.0400,882.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,0,T,10,10,test_rev,700,83,0.1186,-9.5853,-31.4303,-795.5798,30.4147,0.9279,0.0000,0.0000,1.0000,0.0000,-4669.1204,-559.1328,695.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,60,M,0,0,test_fwd,907,89,0.0981,29.8138,-15.1121,2653.4299,49.8138,1.1747,0.0000,0.0000,1.0000,0.0000,-4079.0873,-876.0400,902.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,60,M,0,0,test_rev,700,83,0.1186,10.4147,-11.4303,864.4202,30.4147,1.0853,0.0000,0.0000,1.0000,0.0000,-3949.1204,-539.1328,715.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,60,M,5,5,test_fwd,907,89,0.0981,19.8138,-25.1121,1763.4299,49.8138,1.1125,0.0000,0.0000,1.0000,0.0000,-4609.0873,-886.0400,892.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,60,M,5,5,test_rev,700,83,0.1186,0.4147,-21.4303,34.4202,30.4147,1.0033,0.0000,0.0000,1.0000,0.0000,-4309.1204,-549.1328,705.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,60,M,10,10,test_fwd,907,89,0.0981,9.8138,-35.1121,873.4299,49.8138,1.0540,0.0000,0.0000,1.0000,0.0000,-5139.0873,-896.0400,882.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,60,M,10,10,test_rev,700,83,0.1186,-9.5853,-31.4303,-795.5798,30.4147,0.9279,0.0000,0.0000,1.0000,0.0000,-4669.1204,-559.1328,695.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,60,T,0,0,test_fwd,907,89,0.0981,29.8138,-15.1121,2653.4299,49.8138,1.1747,0.0000,0.0000,1.0000,0.0000,-4079.0873,-876.0400,902.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,60,T,0,0,test_rev,700,83,0.1186,10.4147,-11.4303,864.4202,30.4147,1.0853,0.0000,0.0000,1.0000,0.0000,-3949.1204,-539.1328,715.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,60,T,5,5,test_fwd,907,89,0.0981,19.8138,-25.1121,1763.4299,49.8138,1.1125,0.0000,0.0000,1.0000,0.0000,-4609.0873,-886.0400,892.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,60,T,5,5,test_rev,700,83,0.1186,0.4147,-21.4303,34.4202,30.4147,1.0033,0.0000,0.0000,1.0000,0.0000,-4309.1204,-549.1328,705.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,60,T,10,10,test_fwd,907,89,0.0981,9.8138,-35.1121,873.4299,49.8138,1.0540,0.0000,0.0000,1.0000,0.0000,-5139.0873,-896.0400,882.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,60,T,10,10,test_rev,700,83,0.1186,-9.5853,-31.4303,-795.5798,30.4147,0.9279,0.0000,0.0000,1.0000,0.0000,-4669.1204,-559.1328,695.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,300,M,0,0,test_fwd,907,89,0.0981,29.8138,-15.1121,2653.4299,49.8138,1.1747,0.0000,0.0000,1.0000,0.0000,-4079.0873,-876.0400,902.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,300,M,0,0,test_rev,700,83,0.1186,10.4147,-11.4303,864.4202,30.4147,1.0853,0.0000,0.0000,1.0000,0.0000,-3949.1204,-539.1328,715.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,300,M,5,5,test_fwd,907,89,0.0981,19.8138,-25.1121,1763.4299,49.8138,1.1125,0.0000,0.0000,1.0000,0.0000,-4609.0873,-886.0400,892.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,300,M,5,5,test_rev,700,83,0.1186,0.4147,-21.4303,34.4202,30.4147,1.0033,0.0000,0.0000,1.0000,0.0000,-4309.1204,-549.1328,705.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,300,M,10,10,test_fwd,907,89,0.0981,9.8138,-35.1121,873.4299,49.8138,1.0540,0.0000,0.0000,1.0000,0.0000,-5139.0873,-896.0400,882.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,300,M,10,10,test_rev,700,83,0.1186,-9.5853,-31.4303,-795.5798,30.4147,0.9279,0.0000,0.0000,1.0000,0.0000,-4669.1204,-559.1328,695.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,300,T,0,0,test_fwd,907,89,0.0981,29.8138,-15.1121,2653.4299,49.8138,1.1747,0.0000,0.0000,1.0000,0.0000,-4079.0873,-876.0400,902.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,300,T,0,0,test_rev,700,83,0.1186,10.4147,-11.4303,864.4202,30.4147,1.0853,0.0000,0.0000,1.0000,0.0000,-3949.1204,-539.1328,715.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,300,T,5,5,test_fwd,907,89,0.0981,19.8138,-25.1121,1763.4299,49.8138,1.1125,0.0000,0.0000,1.0000,0.0000,-4609.0873,-886.0400,892.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,300,T,5,5,test_rev,700,83,0.1186,0.4147,-21.4303,34.4202,30.4147,1.0033,0.0000,0.0000,1.0000,0.0000,-4309.1204,-549.1328,705.4813,1,4,890.4940,549.5060,-236.7045,390.4863
0.8000,5,2.5000,300,T,10,10,test_fwd,907,89,0.0981,9.8138,-35.1121,873.4299,49.8138,1.0540,0.0000,0.0000,1.0000,0.0000,-5139.0873,-896.0400,882.5390,2,4,821.1461,610.9551,-283.9353,444.6469
0.8000,5,2.5000,300,T,10,10,test_rev,700,83,0.1186,-9.5853,-31.4303,-795.5798,30.4147,0.9279,0.0000,0.0000,1.0000,0.0000,-4669.1204,-559.1328,695.4813,1,4,890.4940,549.5060,-236.7045,390.4863
1.0000,3,1.5000,0,M,0,0,test_fwd,1149,68,0.0592,32.9902,-34.7152,2243.3315,52.6372,1.1888,0.0441,0.0294,0.9265,0.0000,-3865.7039,-639.5762,1448.6241,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,0,M,0,0,test_rev,860,66,0.0767,27.1694,-16.9548,1793.1815,47.0482,1.2410,0.0152,0.0152,0.9697,0.0000,-3505.0965,-573.0593,673.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,0,M,5,5,test_fwd,1149,68,0.0592,23.1005,-44.7152,1570.8315,52.6372,1.1279,0.0441,0.0294,0.9265,0.0000,-4163.2039,-649.5762,1440.2491,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,0,M,5,5,test_rev,860,66,0.0767,17.2073,-26.9548,1135.6815,47.0482,1.1456,0.0152,0.0152,0.9697,0.0000,-3724.4364,-583.0593,663.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,0,M,10,10,test_fwd,1149,68,0.0592,13.2108,-54.7152,898.3315,52.6372,1.0708,0.0441,0.0294,0.9265,0.0000,-4478.3995,-659.5762,1431.8741,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,0,M,10,10,test_rev,860,66,0.0767,7.2452,-36.9548,478.1815,47.0482,1.0585,0.0152,0.0152,0.9697,0.0000,-3954.4364,-593.0593,653.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,0,T,0,0,test_fwd,1149,68,0.0592,32.6372,-34.7152,2219.3315,52.6372,1.1868,0.0441,0.0294,0.9265,0.0000,-3873.7039,-639.5762,1443.4241,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,0,T,0,0,test_rev,860,66,0.0767,27.0482,-16.9548,1785.1815,47.0482,1.2399,0.0152,0.0152,0.9697,0.0000,-3505.0965,-573.0593,673.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,0,T,5,5,test_fwd,1149,68,0.0592,22.6372,-44.7152,1539.3315,52.6372,1.1254,0.0441,0.0294,0.9265,0.0000,-4173.7039,-649.5762,1433.4241,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,0,T,5,5,test_rev,860,66,0.0767,17.0482,-26.9548,1125.1815,47.0482,1.1442,0.0152,0.0152,0.9697,0.0000,-3724.4364,-583.0593,663.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,0,T,10,10,test_fwd,1149,68,0.0592,12.6372,-54.7152,859.3315,52.6372,1.0678,0.0441,0.0294,0.9265,0.0000,-4491.3995,-659.5762,1423.4241,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,0,T,10,10,test_rev,860,66,0.0767,7.0482,-36.9548,465.1815,47.0482,1.0569,0.0152,0.0152,0.9697,0.0000,-3954.4364,-593.0593,653.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,60,M,0,0,test_fwd,1149,68,0.0592,32.9902,-34.7152,2243.3315,52.6372,1.1888,0.0441,0.0294,0.9265,0.0000,-3865.7039,-639.5762,1448.6241,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,60,M,0,0,test_rev,860,66,0.0767,27.1694,-16.9548,1793.1815,47.0482,1.2410,0.0152,0.0152,0.9697,0.0000,-3505.0965,-573.0593,673.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,60,M,5,5,test_fwd,1149,68,0.0592,23.1005,-44.7152,1570.8315,52.6372,1.1279,0.0441,0.0294,0.9265,0.0000,-4163.2039,-649.5762,1440.2491,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,60,M,5,5,test_rev,860,66,0.0767,17.2073,-26.9548,1135.6815,47.0482,1.1456,0.0152,0.0152,0.9697,0.0000,-3724.4364,-583.0593,663.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,60,M,10,10,test_fwd,1149,68,0.0592,13.2108,-54.7152,898.3315,52.6372,1.0708,0.0441,0.0294,0.9265,0.0000,-4478.3995,-659.5762,1431.8741,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,60,M,10,10,test_rev,860,66,0.0767,7.2452,-36.9548,478.1815,47.0482,1.0585,0.0152,0.0152,0.9697,0.0000,-3954.4364,-593.0593,653.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,60,T,0,0,test_fwd,1149,68,0.0592,32.6372,-34.7152,2219.3315,52.6372,1.1868,0.0441,0.0294,0.9265,0.0000,-3873.7039,-639.5762,1443.4241,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,60,T,0,0,test_rev,860,66,0.0767,27.0482,-16.9548,1785.1815,47.0482,1.2399,0.0152,0.0152,0.9697,0.0000,-3505.0965,-573.0593,673.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,60,T,5,5,test_fwd,1149,68,0.0592,22.6372,-44.7152,1539.3315,52.6372,1.1254,0.0441,0.0294,0.9265,0.0000,-4173.7039,-649.5762,1433.4241,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,60,T,5,5,test_rev,860,66,0.0767,17.0482,-26.9548,1125.1815,47.0482,1.1442,0.0152,0.0152,0.9697,0.0000,-3724.4364,-583.0593,663.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,60,T,10,10,test_fwd,1149,68,0.0592,12.6372,-54.7152,859.3315,52.6372,1.0678,0.0441,0.0294,0.9265,0.0000,-4491.3995,-659.5762,1423.4241,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,60,T,10,10,test_rev,860,66,0.0767,7.0482,-36.9548,465.1815,47.0482,1.0569,0.0152,0.0152,0.9697,0.0000,-3954.4364,-593.0593,653.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,300,M,0,0,test_fwd,1149,68,0.0592,32.9902,-34.7152,2243.3315,52.6372,1.1888,0.0441,0.0294,0.9265,0.0000,-3865.7039,-639.5762,1448.6241,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,300,M,0,0,test_rev,860,66,0.0767,27.1694,-16.9548,1793.1815,47.0482,1.2410,0.0152,0.0152,0.9697,0.0000,-3505.0965,-573.0593,673.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,300,M,5,5,test_fwd,1149,68,0.0592,23.1005,-44.7152,1570.8315,52.6372,1.1279,0.0441,0.0294,0.9265,0.0000,-4163.2039,-649.5762,1440.2491,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,300,M,5,5,test_rev,860,66,0.0767,17.2073,-26.9548,1135.6815,47.0482,1.1456,0.0152,0.0152,0.9697,0.0000,-3724.4364,-583.0593,663.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,300,M,10,10,test_fwd,1149,68,0.0592,13.2108,-54.7152,898.3315,52.6372,1.0708,0.0441,0.0294,0.9265,0.0000,-4478.3995,-659.5762,1431.8741,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,300,M,10,10,test_rev,860,66,0.0767,7.2452,-36.9548,478.1815,47.0482,1.0585,0.0152,0.0152,0.9697,0.0000,-3954.4364,-593.0593,653.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,300,T,0,0,test_fwd,1149,68,0.0592,32.6372,-34.7152,2219.3315,52.6372,1.1868,0.0441,0.0294,0.9265,0.0000,-3873.7039,-639.5762,1443.4241,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,300,T,0,0,test_rev,860,66,0.0767,27.0482,-16.9548,1785.1815,47.0482,1.2399,0.0152,0.0152,0.9697,0.0000,-3505.0965,-573.0593,673.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,300,T,5,5,test_fwd,1149,68,0.0592,22.6372,-44.7152,1539.3315,52.6372,1.1254,0.0441,0.0294,0.9265,0.0000,-4173.7039,-649.5762,1433.4241,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,300,T,5,5,test_rev,860,66,0.0767,17.0482,-26.9548,1125.1815,47.0482,1.1442,0.0152,0.0152,0.9697,0.0000,-3724.4364,-583.0593,663.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,1.5000,300,T,10,10,test_fwd,1149,68,0.0592,12.6372,-54.7152,859.3315,52.6372,1.0678,0.0441,0.0294,0.9265,0.0000,-4491.3995,-659.5762,1423.4241,3,4,898.4559,515.7647,-285.0451,416.4197
1.0000,3,1.5000,300,T,10,10,test_rev,860,66,0.0767,7.0482,-36.9548,465.1815,47.0482,1.0569,0.0152,0.0152,0.9697,0.0000,-3954.4364,-593.0593,653.4517,1,4,935.1667,482.5152,-236.0725,434.3579
1.0000,3,2.0000,0,M,0,0,test_fwd,1149,68,0.0592,29.2664,-34.7152,1990.1149,48.9135,1.1640,0.0441,0.0147,0.9412,0.0000,-4118.9205,-639.5762,1448.6241,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,0,M,0,0,test_rev,860,66,0.0767,24.4107,-16.9548,1611.1059,44.2895,1.2114,0.0152,0.0152,0.9697,0.0000,-3687.1721,-688.1933,673.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,0,M,5,5,test_fwd,1149,68,0.0592,19.3767,-44.7152,1317.6149,48.9135,1.1051,0.0441,0.0147,0.9412,0.0000,-4416.4205,-649.5762,1440.2491,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,0,M,5,5,test_rev,860,66,0.0767,14.4486,-26.9548,953.6059,44.2895,1.1195,0.0152,0.0152,0.9697,0.0000,-3906.5120,-698.1933,663.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,0,M,10,10,test_fwd,1149,68,0.0592,9.4870,-54.7152,645.1149,48.9135,1.0499,0.0441,0.0147,0.9412,0.0000,-4731.6161,-659.5762,1431.8741,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,0,M,10,10,test_rev,860,66,0.0767,4.4865,-36.9548,296.1059,44.2895,1.0354,0.0152,0.0152,0.9697,0.0000,-4136.5120,-708.1933,653.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,0,T,0,0,test_fwd,1149,68,0.0592,28.9135,-34.7152,1966.1149,48.9135,1.1620,0.0441,0.0147,0.9412,0.0000,-4126.9205,-639.5762,1443.4241,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,0,T,0,0,test_rev,860,66,0.0767,24.2895,-16.9548,1603.1059,44.2895,1.2103,0.0152,0.0152,0.9697,0.0000,-3687.1721,-688.1933,673.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,0,T,5,5,test_fwd,1149,68,0.0592,18.9135,-44.7152,1286.1149,48.9135,1.1026,0.0441,0.0147,0.9412,0.0000,-4426.9205,-649.5762,1433.4241,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,0,T,5,5,test_rev,860,66,0.0767,14.2895,-26.9548,943.1059,44.2895,1.1181,0.0152,0.0152,0.9697,0.0000,-3906.5120,-698.1933,663.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,0,T,10,10,test_fwd,1149,68,0.0592,8.9135,-54.7152,606.1149,48.9135,1.0469,0.0441,0.0147,0.9412,0.0000,-4744.6161,-659.5762,1423.4241,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,0,T,10,10,test_rev,860,66,0.0767,4.2895,-36.9548,283.1059,44.2895,1.0339,0.0152,0.0152,0.9697,0.0000,-4136.5120,-708.1933,653.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,60,M,0,0,test_fwd,1149,68,0.0592,29.2664,-34.7152,1990.1149,48.9135,1.1640,0.0441,0.0147,0.9412,0.0000,-4118.9205,-639.5762,1448.6241,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,60,M,0,0,test_rev,860,66,0.0767,24.4107,-16.9548,1611.1059,44.2895,1.2114,0.0152,0.0152,0.9697,0.0000,-3687.1721,-688.1933,673.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,60,M,5,5,test_fwd,1149,68,0.0592,19.3767,-44.7152,1317.6149,48.9135,1.1051,0.0441,0.0147,0.9412,0.0000,-4416.4205,-649.5762,1440.2491,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,60,M,5,5,test_rev,860,66,0.0767,14.4486,-26.9548,953.6059,44.2895,1.1195,0.0152,0.0152,0.9697,0.0000,-3906.5120,-698.1933,663.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,60,M,10,10,test_fwd,1149,68,0.0592,9.4870,-54.7152,645.1149,48.9135,1.0499,0.0441,0.0147,0.9412,0.0000,-4731.6161,-659.5762,1431.8741,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,60,M,10,10,test_rev,860,66,0.0767,4.4865,-36.9548,296.1059,44.2895,1.0354,0.0152,0.0152,0.9697,0.0000,-4136.5120,-708.1933,653.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,60,T,0,0,test_fwd,1149,68,0.0592,28.9135,-34.7152,1966.1149,48.9135,1.1620,0.0441,0.0147,0.9412,0.0000,-4126.9205,-639.5762,1443.4241,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,60,T,0,0,test_rev,860,66,0.0767,24.2895,-16.9548,1603.1059,44.2895,1.2103,0.0152,0.0152,0.9697,0.0000,-3687.1721,-688.1933,673.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,60,T,5,5,test_fwd,1149,68,0.0592,18.9135,-44.7152,1286.1149,48.9135,1.1026,0.0441,0.0147,0.9412,0.0000,-4426.9205,-649.5762,1433.4241,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,60,T,5,5,test_rev,860,66,0.0767,14.2895,-26.9548,943.1059,44.2895,1.1181,0.0152,0.0152,0.9697,0.0000,-3906.5120,-698.1933,663.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,60,T,10,10,test_fwd,1149,68,0.0592,8.9135,-54.7152,606.1149,48.9135,1.0469,0.0441,0.0147,0.9412,0.0000,-4744.6161,-659.5762,1423.4241,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,60,T,10,10,test_rev,860,66,0.0767,4.2895,-36.9548,283.1059,44.2895,1.0339,0.0152,0.0152,0.9697,0.0000,-4136.5120,-708.1933,653.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,300,M,0,0,test_fwd,1149,68,0.0592,29.2664,-34.7152,1990.1149,48.9135,1.1640,0.0441,0.0147,0.9412,0.0000,-4118.9205,-639.5762,1448.6241,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,300,M,0,0,test_rev,860,66,0.0767,24.4107,-16.9548,1611.1059,44.2895,1.2114,0.0152,0.0152,0.9697,0.0000,-3687.1721,-688.1933,673.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,300,M,5,5,test_fwd,1149,68,0.0592,19.3767,-44.7152,1317.6149,48.9135,1.1051,0.0441,0.0147,0.9412,0.0000,-4416.4205,-649.5762,1440.2491,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,300,M,5,5,test_rev,860,66,0.0767,14.4486,-26.9548,953.6059,44.2895,1.1195,0.0152,0.0152,0.9697,0.0000,-3906.5120,-698.1933,663.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,300,M,10,10,test_fwd,1149,68,0.0592,9.4870,-54.7152,645.1149,48.9135,1.0499,0.0441,0.0147,0.9412,0.0000,-4731.6161,-659.5762,1431.8741,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,300,M,10,10,test_rev,860,66,0.0767,4.4865,-36.9548,296.1059,44.2895,1.0354,0.0152,0.0152,0.9697,0.0000,-4136.5120,-708.1933,653.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,300,T,0,0,test_fwd,1149,68,0.0592,28.9135,-34.7152,1966.1149,48.9135,1.1620,0.0441,0.0147,0.9412,0.0000,-4126.9205,-639.5762,1443.4241,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,300,T,0,0,test_rev,860,66,0.0767,24.2895,-16.9548,1603.1059,44.2895,1.2103,0.0152,0.0152,0.9697,0.0000,-3687.1721,-688.1933,673.4517,1,4,935.1667,483.2727,-238.8450,434.3579
1.0000,3,2.0000,300,T,5,5,test_fwd,1149,68,0.0592,18.9135,-44.7152,1286.1149,48.9135,1.1026,0.0441,0.0147,0.9412,0.0000,-4426.9205,-649.5762,1433.4241,3,4,898.4559,519.9265,-289.4498,416.4197
1.0000,3,2.0000,300,T,5,5,test_rev,860,66,0.0767,14.2895,-26.9548,943.1059,44.2895,1.1181,0.0152,0.0152,0.9697,0.0000,-3906.5120,-698.1933,663.4517,1,4,935.1667,483.2727,-238.8450,434.3579
