symbol,settle_id,bottom_t_s,bottom_t_ms,pct_of_window_elapsed,drop_bps,drop_rate_bps_per_s,fr_bps,fr_abs_bps,depth_20,spread_bps,ob_bid_depth,ob_ask_depth,velocity_2s_at_bottom,price_range_2s_at_bottom,price_std_2s_at_bottom,velocity_1s_after_bottom,max_recovery_1s,sell_ratio_at_bottom,trade_count_at_bottom,vol_rate_at_bottom,avg_size_at_bottom,sell_ratio_change,vol_surge,trade_surge,spread_at_bottom,ob1_imbalance_at_bottom,ob1_bid_qty_at_bottom,ob1_ask_qty_at_bottom,bounce_count_to_bottom,new_low_count,recovery_5s_bps,net_5s_bps,profitable_5s,recovery_10s_bps,net_10s_bps,profitable_10s,recovery_15s_bps,net_15s_bps,profitable_15s,recovery_20s_bps,net_20s_bps,profitable_20s,recovery_30s_bps,net_30s_bps,profitable_30s,max_recovery_bps,max_recovery_t_ms
ENSOUSDT,ENSOUSDT_20260227_010000,2.0,2000,0.03333333333333333,141.7172799809463,70.85863999047315,0.0,0.0,9247.23903,0.5954684848303748,115.19409,588.8566199999999,-131.59461712516364,156.0080981302847,43.52735427533483,6.549958318446954,26.19983327378894,0.4789284073640859,2815,130732.08858,55.88973357015987,-0.07616191682024837,16.622157601326258,8.908227848101266,0.5954684848303748,0.0,0.0,0.0,4,3,34.53614386090376,19.276423378464944,1.0,23.818030248898836,8.558309766460017,1.0,32.15434083601366,16.89462035357484,1.0,10.122662855782664,-5.137057626656156,0.0,13.099916636895017,-2.159803845543803,0.0,48.82696201024217,8336
ENSOUSDT,ENSOUSDT_20260227_020000,3.8,3800,0.06333333333333334,118.31831831831896,31.13639955745236,0.0,0.0,10629.589169999997,0.6006907944135094,473.20488,789.4987,-6.606606606607272,25.825825825824822,5.451305267456988,10.210210210210846,24.624624624625113,0.4347921627066618,643,13245.72292,24.9954898911353,0.2704787323723455,1.759815766419616,2.5136825645035183,0.6006907944135094,0.0,0.0,0.0,9,3,22.222222222222356,7.830135728326753,1.0,22.222222222222356,7.830135728326753,1.0,11.411411411411663,-2.9806750824839403,0.0,18.618618618619905,4.226532124724302,1.0,25.82582582582593,11.433739331930326,1.0,30.63063063063143,27916
ENSOUSDT,ENSOUSDT_20260227_030000,4.9,4900,0.08166666666666667,60.20278833967052,12.286283334626635,0.0,0.0,7929.256979999998,0.6337336417503026,138.82834,1343.92137,-5.069708491761695,5.069708491761695,1.8582929092087215,-3.168567807351195,12.040557667933882,0.9625422173513112,60,7016.966739999999,148.8833333333333,0.376826490230602,1.6504074812469123,0.3468208092485549,0.6337336417503026,0.0,0.0,0.0,7,3,14.575411913814172,-0.8072650765396769,0.0,26.615969581748054,11.233292591394205,1.0,25.348542458808467,9.965865468454618,1.0,41.82509505703313,26.44241806667928,1.0,41.82509505703313,26.44241806667928,1.0,64.63878326996242,25715
ENSOUSDT,ENSOUSDT_20260227_040000,9.4,9400,0.15666666666666668,43.437204910293794,4.620979245775935,0.0,0.0,17588.59085,0.6298220752650671,867.2844499999999,558.83582,-3.1476235442240466,8.8133459238271,2.1023872697008517,-3.1476235442240394,8.813345923828209,0.731521835818731,90,2272.8797400000003,31.910000000000007,-0.40857454552897543,2.4111705433920583,2.4456521739130435,0.6298220752650671,0.0,0.0,0.0,10,7,10.072395341517158,-4.411375529244838,0.0,26.440037771483517,11.956266900721522,1.0,26.440037771483517,11.956266900721522,1.0,22.662889518414445,8.17911864765245,1.0,18.88574126534537,4.401970394583374,1.0,33.364809568776636,24374
ENSOUSDT,ENSOUSDT_20260227_050000,22.0,22000,0.36666666666666664,51.732734978807706,2.3514879535821684,0.0,0.0,14826.665500000003,0.6233053884750147,1599.2756299999999,336.34651,-11.842433308402182,11.842433308402182,3.380296390113557,-5.609573672400451,7.47943156319986,0.8844299204902574,84,3654.160979999999,54.43690476190475,-0.04627563247725164,1.985841563630498,1.0852713178294573,0.6233053884750147,0.0,0.0,0.0,15,3,4.363001745200101,-10.32860632161617,0.0,4.363001745200101,-10.32860632161617,0.0,,,,-11.219147344802003,-25.910755411618275,0.0,-24.30815258040453,-38.9997606472208,0.0,7.47943156319986,3
ENSOUSDT,ENSOUSDT_20260227_060000,9.2,9200,0.15333333333333332,43.88439596263449,4.770043039416793,0.0,0.0,13573.345210000001,0.6269789021598734,354.49555,2004.86096,0.0,0.0,0.0,-3.7615196539397857,6.26919942323223,0.0,4,214.3561,67.44999999999999,0.0,0.09937767336443727,0.056179775280898875,0.6269789021598734,0.0,0.0,0.0,2,2,0.6269199423225587,-13.940464249433663,0.0,,,,3.7615196539397786,-10.805864537816444,0.0,6.26919942323223,-8.298184768523992,0.0,5.015359538586004,-9.552024653170218,0.0,9.403799134849457,1884
ENSOUSDT,ENSOUSDT_20260227_070000,23.0,23000,0.38333333333333336,78.46611402898107,3.41157017517309,0.0,0.0,12272.634310000003,0.6328112640404303,249.13121999999998,1853.05796,1.2655824843399444,4.42953869518648,1.281003398330249,-29.741188381952057,35.43630956147403,0.4708038483422321,42,1493.540245,45.20476190476191,-0.5299906991809517,0.3689305399544984,0.3186646433990895,0.6328112640404303,0.0,0.0,0.0,16,6,12.655824843383897,-2.5556453104497496,0.0,10.757451116876197,-4.454019036957449,0.0,11.390242359045061,-3.8212277947885855,0.0,,,,,,,35.43630956147403,30
ENSOUSDT,ENSOUSDT_20260227_080000,2.6,2600,0.043333333333333335,12.25727372427543,4.714336047798242,0.0,0.0,14444.01373,0.6450572488307625,327.33416,1034.29185,0.6451196696988237,5.16095735758948,1.2118737633602574,3.870718018191832,6.451196696986017,0.2160196230513705,85,2402.32363,36.49647058823529,0.06607062044594902,16.607754389331763,7.7272727272727275,0.6450572488307625,0.0,0.0,0.0,2,5,3.870718018191832,-10.92479441921517,0.0,10.32191471517896,-4.4735977222280425,0.0,9.676795045481246,-5.118717391925756,0.0,6.451196696986017,-8.344315740420985,0.0,,,,27.74014579704498,21197
ENSOUSDT,ENSOUSDT_20260227_100000,13.9,13900,0.23166666666666666,38.5016966849383,2.7699062363264964,0.0,0.0,16997.960779999998,0.6525498384938432,1045.06914,813.3874999999999,-3.915426781518903,3.915426781518903,1.6521423400071749,-0.6525711302529658,0.6525711302529658,1.0,12,214.25746,23.383333333333336,0.0,0.1978412402328129,0.27522935779816515,0.6525711302531256,-0.9869026910876906,6.4,970.9,4,5,,,,,,,12.39885147481079,-1.8502168169101891,0.0,,,,,,,13.703993735316722,24256
ENSOUSDT,ENSOUSDT_20260227_110000,29.8,29800,0.49666666666666665,42.53904951811216,1.4274848831581262,0.0,0.0,13604.95638,0.6648273111058669,1844.5820899999999,479.02400000000006,0.0,0.0,0.0,0.0,0.0,0.0,3,91.39020000000001,40.666666666666664,0.0,0.061897672293854414,0.03896103896103896,0.664672648720432,-0.1296431172614712,239.0,310.2,13,3,11.964107676969427,-2.7491115141610973,0.0,9.30541708208721,-5.407802109043313,0.0,11.29943502824915,-3.4137841628813743,0.0,11.29943502824915,-3.4137841628813743,0.0,9.30541708208721,-5.407802109043313,0.0,13.958125623130258,5830
