lag_bars,lag_minutes,BTCUSDT_acf,ETHUSDT_acf,SOLUSDT_acf,DOGEUSDT_acf,XRPUSDT_acf
184,920,0.292429,0.342346,0.303304,0.415419,0.376091
185,925,0.2928,0.343044,0.303674,0.4153,0.375345
186,930,0.302932,0.355968,0.323564,0.433222,0.388841
187,935,0.295239,0.34597,0.30571,0.417333,0.376552
188,940,0.295987,0.345431,0.304205,0.416251,0.375993
189,945,0.303445,0.356922,0.319703,0.431708,0.388083
190,950,0.296633,0.348372,0.304949,0.417608,0.378583
191,955,0.298639,0.349374,0.308197,0.419815,0.378621
192,960,0.307489,0.36155,0.326224,0.436365,0.393267
193,965,0.298764,0.350361,0.307505,0.417838,0.378701
194,970,0.298303,0.348611,0.304282,0.4155,0.377175
195,975,0.308172,0.360213,0.321077,0.429757,0.388834
196,980,0.301596,0.350993,0.305697,0.414841,0.377822
197,985,0.303071,0.353464,0.306536,0.415738,0.378542
198,990,0.312974,0.364039,0.324159,0.431931,0.393248
199,995,0.305705,0.354404,0.306713,0.415808,0.379255
200,1000,0.305131,0.35422,0.305758,0.415517,0.378919
201,1005,0.313182,0.364425,0.321239,0.430556,0.391529
202,1010,0.306979,0.356924,0.306365,0.417789,0.380538
203,1015,0.309549,0.359241,0.308574,0.418059,0.381791
204,1020,0.319676,0.372622,0.327967,0.436193,0.396599
205,1025,0.310606,0.360347,0.309419,0.417935,0.382452
206,1030,0.310497,0.360306,0.307818,0.415415,0.380071
207,1035,0.319005,0.371483,0.322807,0.431123,0.392525
208,1040,0.311215,0.361286,0.305868,0.414808,0.380048
209,1045,0.31263,0.361551,0.308348,0.416285,0.381848
210,1050,0.322607,0.373689,0.325738,0.433331,0.395976
211,1055,0.313861,0.361231,0.308109,0.416712,0.382406
212,1060,0.315197,0.362562,0.308285,0.415413,0.382044
213,1065,0.324004,0.37519,0.323863,0.430707,0.39368
214,1070,0.318136,0.366183,0.30931,0.417391,0.383442
215,1075,0.318908,0.366596,0.310994,0.418102,0.384663
216,1080,0.329464,0.37967,0.329959,0.436482,0.398168
217,1085,0.320648,0.368254,0.310292,0.417934,0.384049
218,1090,0.320586,0.366268,0.309377,0.415992,0.382436
