symbol,day_type,hour,avg_range_bps
XRPUSDT,monthly_expiry,1,33.14
XRPUSDT,monthly_expiry,2,27.93
XRPUSDT,monthly_expiry,3,23.37
XRPUSDT,monthly_expiry,4,25.08
XRPUSDT,monthly_expiry,5,24.84
XRPUSDT,monthly_expiry,6,25.77
XRPUSDT,monthly_expiry,7,28.93
XRPUSDT,monthly_expiry,8,27.96
XRPUSDT,monthly_expiry,9,26.05
XRPUSDT,monthly_expiry,10,24.39
XRPUSDT,monthly_expiry,11,24.32
XRPUSDT,monthly_expiry,12,32.31
XRPUSDT,monthly_expiry,13,35.65
XRPUSDT,monthly_expiry,14,40.18
XRPUSDT,monthly_expiry,15,38.71
XRPUSDT,monthly_expiry,16,36.75
XRPUSDT,monthly_expiry,17,31.01
XRPUSDT,monthly_expiry,18,30.19
XRPUSDT,monthly_expiry,19,25.39
XRPUSDT,monthly_expiry,20,25.08
XRPUSDT,monthly_expiry,21,26.13
XRPUSDT,monthly_expiry,22,22.7
XRPUSDT,monthly_expiry,23,22.95
XRPUSDT,other_weekday,0,35.94
XRPUSDT,other_weekday,1,34.03
XRPUSDT,other_weekday,2,30.24
XRPUSDT,other_weekday,3,26.84
XRPUSDT,other_weekday,4,25.54
XRPUSDT,other_weekday,5,26.06
XRPUSDT,other_weekday,6,28.28
XRPUSDT,other_weekday,7,29.33
XRPUSDT,other_weekday,8,31.2
XRPUSDT,other_weekday,9,29.48
XRPUSDT,other_weekday,10,28.44
XRPUSDT,other_weekday,11,28.74
XRPUSDT,other_weekday,12,33.58
XRPUSDT,other_weekday,13,39.36
XRPUSDT,other_weekday,14,44.33
XRPUSDT,other_weekday,15,43.15
XRPUSDT,other_weekday,16,40.85
XRPUSDT,other_weekday,17,37.94
XRPUSDT,other_weekday,18,36.15
XRPUSDT,other_weekday,19,35.89
XRPUSDT,other_weekday,20,36.35
XRPUSDT,other_weekday,21,35.47
XRPUSDT,other_weekday,22,30.22
XRPUSDT,other_weekday,23,26.43
