symbol,moon_pct,avg_range_bps,n_bars
SOLUSDT,78,42.69,2376
SOLUSDT,79,39.34,2369
SOLUSDT,80,42.94,2439
SOLUSDT,81,42.2,2418
SOLUSDT,82,41.2,2369
SOLUSDT,83,37.34,2441
SOLUSDT,84,41.82,2455
SOLUSDT,85,42.76,2454
SOLUSDT,86,39.56,2428
SOLUSDT,87,41.7,2370
SOLUSDT,88,44.22,2428
SOLUSDT,89,43.31,2429
SOLUSDT,90,43.07,2369
SOLUSDT,91,38.62,2359
SOLUSDT,92,40.33,2284
SOLUSDT,93,41.03,2330
SOLUSDT,94,40.13,2356
SOLUSDT,95,44.15,2285
SOLUSDT,96,43.34,2333
SOLUSDT,97,38.73,2283
SOLUSDT,98,40.61,2316
SOLUSDT,99,39.92,2366
DOGEUSDT,0,41.38,2195
DOGEUSDT,1,42.78,2232
DOGEUSDT,2,41.79,2290
DOGEUSDT,3,37.8,2288
DOGEUSDT,4,39.08,2376
DOGEUSDT,5,38.12,2304
DOGEUSDT,6,35.76,2294
DOGEUSDT,7,33.51,2375
DOGEUSDT,8,35.08,2364
DOGEUSDT,9,35.01,2369
DOGEUSDT,10,35.64,2324
DOGEUSDT,11,35.98,2279
DOGEUSDT,12,36.3,2372
DOGEUSDT,13,42.79,2369
DOGEUSDT,14,40.57,2364
DOGEUSDT,15,38.38,2339
DOGEUSDT,16,42.42,2284
DOGEUSDT,17,39.32,2350
DOGEUSDT,18,35.73,2337
DOGEUSDT,19,33.22,2285
DOGEUSDT,20,31.16,2263
DOGEUSDT,21,37.89,2199
DOGEUSDT,22,33.92,2255
DOGEUSDT,23,33.8,2262
DOGEUSDT,24,33.84,2199
DOGEUSDT,25,34.09,2257
DOGEUSDT,26,34.86,2279
DOGEUSDT,27,34.83,2324
DOGEUSDT,28,32.82,2366
DOGEUSDT,29,37.91,2281
DOGEUSDT,30,39.84,2328
DOGEUSDT,31,38.4,2366
DOGEUSDT,32,43.37,2393
DOGEUSDT,33,38.08,2461
DOGEUSDT,34,38.15,2371
DOGEUSDT,35,39.29,2396
DOGEUSDT,36,41.69,2462
DOGEUSDT,37,44.01,2442
DOGEUSDT,38,39.36,2461
DOGEUSDT,39,40.97,2398
DOGEUSDT,40,39.86,2370
DOGEUSDT,41,36.92,2459
DOGEUSDT,42,33.09,2397
DOGEUSDT,43,37.84,2364
DOGEUSDT,44,37.34,2330
DOGEUSDT,45,37.23,2283
DOGEUSDT,46,36.4,2362
DOGEUSDT,47,36.44,2327
DOGEUSDT,48,34.96,2280
DOGEUSDT,49,33.17,2335
DOGEUSDT,50,33.65,2285
DOGEUSDT,51,36.65,2345
DOGEUSDT,52,34.82,2342
DOGEUSDT,53,37.82,2285
DOGEUSDT,54,37.82,2345
DOGEUSDT,55,35.76,2370
DOGEUSDT,56,38.02,2419
DOGEUSDT,57,35.62,2438
DOGEUSDT,58,36.78,2369
DOGEUSDT,59,36.83,2421
DOGEUSDT,60,39.72,2449
DOGEUSDT,61,43.5,2455
DOGEUSDT,62,51.52,2458
DOGEUSDT,63,40.51,2364
DOGEUSDT,64,42.28,2407
DOGEUSDT,65,40.17,2457
DOGEUSDT,66,36.43,2364
DOGEUSDT,67,32.39,2375
DOGEUSDT,68,34.58,2298
DOGEUSDT,69,35.44,2300
DOGEUSDT,70,34.88,2376
DOGEUSDT,71,41.95,2292
DOGEUSDT,72,34.9,2306
DOGEUSDT,73,35.75,2319
DOGEUSDT,74,38.7,2279
DOGEUSDT,75,37.95,2374
DOGEUSDT,76,36.71,2318
DOGEUSDT,77,39.07,2281
DOGEUSDT,78,42.18,2376
DOGEUSDT,79,39.67,2369
DOGEUSDT,80,42.13,2439
DOGEUSDT,81,40.44,2418
DOGEUSDT,82,42.7,2369
DOGEUSDT,83,34.7,2441
DOGEUSDT,84,42.66,2455
DOGEUSDT,85,42.16,2454
DOGEUSDT,86,36.96,2428
DOGEUSDT,87,41.1,2370
DOGEUSDT,88,40.95,2428
DOGEUSDT,89,38.68,2429
DOGEUSDT,90,38.35,2369
DOGEUSDT,91,34.2,2359
DOGEUSDT,92,38.06,2284
DOGEUSDT,93,36.83,2330
DOGEUSDT,94,38.76,2356
DOGEUSDT,95,41.57,2285
DOGEUSDT,96,37.55,2333
DOGEUSDT,97,37.15,2283
DOGEUSDT,98,37.41,2316
DOGEUSDT,99,36.17,2366
XRPUSDT,0,36.71,2195
XRPUSDT,1,38.39,2232
XRPUSDT,2,40.96,2290
XRPUSDT,3,37.45,2288
XRPUSDT,4,41.32,2376
XRPUSDT,5,41.13,2304
XRPUSDT,6,35.04,2294
XRPUSDT,7,34.36,2375
XRPUSDT,8,35.17,2364
XRPUSDT,9,34.47,2369
XRPUSDT,10,31.72,2324
XRPUSDT,11,31.59,2279
XRPUSDT,12,33.36,2372
XRPUSDT,13,34.92,2369
XRPUSDT,14,33.86,2364
XRPUSDT,15,30.96,2339
XRPUSDT,16,38.81,2284
XRPUSDT,17,35.82,2350
XRPUSDT,18,34.6,2337
XRPUSDT,19,31.48,2285
XRPUSDT,20,30.09,2263
XRPUSDT,21,32.44,2199
XRPUSDT,22,28.83,2255
XRPUSDT,23,28.73,2262
XRPUSDT,24,28.32,2199
XRPUSDT,25,30.94,2257
XRPUSDT,26,30.27,2279
XRPUSDT,27,32.0,2324
XRPUSDT,28,30.51,2366
XRPUSDT,29,35.96,2281
XRPUSDT,30,37.47,2328
XRPUSDT,31,33.02,2366
XRPUSDT,32,38.13,2393
XRPUSDT,33,34.82,2461
XRPUSDT,34,31.72,2371
XRPUSDT,35,32.86,2396
XRPUSDT,36,35.23,2462
XRPUSDT,37,37.19,2442
XRPUSDT,38,34.25,2461
XRPUSDT,39,36.05,2398
XRPUSDT,40,32.97,2370
XRPUSDT,41,31.69,2459
XRPUSDT,42,28.7,2397
XRPUSDT,43,27.19,2364
XRPUSDT,44,30.07,2330
XRPUSDT,45,30.96,2283
XRPUSDT,46,30.93,2362
XRPUSDT,47,32.01,2327
XRPUSDT,48,30.19,2280
XRPUSDT,49,27.45,2335
XRPUSDT,50,28.06,2285
XRPUSDT,51,30.34,2345
XRPUSDT,52,29.14,2342
XRPUSDT,53,32.44,2285
XRPUSDT,54,32.48,2345
XRPUSDT,55,32.45,2370
XRPUSDT,56,36.01,2419
XRPUSDT,57,34.29,2438
XRPUSDT,58,32.27,2369
XRPUSDT,59,31.71,2421
XRPUSDT,60,33.77,2449
XRPUSDT,61,34.42,2455
XRPUSDT,62,44.27,2458
XRPUSDT,63,34.35,2364
XRPUSDT,64,35.95,2407
XRPUSDT,65,35.66,2457
XRPUSDT,66,31.06,2364
XRPUSDT,67,29.11,2375
XRPUSDT,68,31.39,2298
XRPUSDT,69,32.19,2300
XRPUSDT,70,30.55,2376
XRPUSDT,71,32.01,2292
XRPUSDT,72,30.29,2306
XRPUSDT,73,31.23,2319
XRPUSDT,74,30.56,2279
XRPUSDT,75,29.55,2374
XRPUSDT,76,29.02,2318
XRPUSDT,77,31.21,2281
XRPUSDT,78,30.53,2376
XRPUSDT,79,30.22,2369
XRPUSDT,80,32.47,2439
XRPUSDT,81,31.59,2418
XRPUSDT,82,31.21,2369
XRPUSDT,83,28.78,2441
XRPUSDT,84,31.07,2455
XRPUSDT,85,42.43,2454
XRPUSDT,86,32.48,2428
XRPUSDT,87,32.72,2370
XRPUSDT,88,35.2,2428
XRPUSDT,89,32.9,2429
XRPUSDT,90,31.22,2369
XRPUSDT,91,29.2,2359
XRPUSDT,92,31.45,2284
XRPUSDT,93,31.91,2330
XRPUSDT,94,33.17,2356
XRPUSDT,95,36.57,2285
XRPUSDT,96,33.17,2333
XRPUSDT,97,30.85,2283
XRPUSDT,98,34.46,2316
XRPUSDT,99,34.27,2366
