feature,timeframe,fwd_ret_1_corr,fwd_ret_1_pval,fwd_ret_1_scorr,fwd_ret_1_spval,fwd_ret_2_corr,fwd_ret_2_pval,fwd_ret_2_scorr,fwd_ret_2_spval,fwd_ret_3_corr,fwd_ret_3_pval,fwd_ret_3_scorr,fwd_ret_3_spval,fwd_ret_5_corr,fwd_ret_5_pval,fwd_ret_5_scorr,fwd_ret_5_spval,fwd_ret_10_corr,fwd_ret_10_pval,fwd_ret_10_scorr,fwd_ret_10_spval
sell_trades,15m,-0.003586346631792369,0.8449776334505845,0.019491213835625572,0.2878842806799446,-0.014073262701431034,0.44296725781846846,0.017861319830088027,0.33019338977193147,-0.03412992403225117,0.06278638281086514,0.014035887433748355,0.444256214872506,0.008752375513126853,0.63345251562748,0.022264017674389153,0.2250603076107232,-0.016758091302482313,0.36158887889211366,-0.006311717969582286,0.7311463963186722
buy_sell_trade_ratio,15m,-0.02821249944575372,0.1239338109208011,-0.045136875470342785,0.013810838956599288,-0.02027245145923803,0.2690752597609943,-0.03557140119758623,0.05242064870047752,0.010152978035875521,0.5800067535511858,0.005629353103033877,0.7589841231095528,0.0010578393832911676,0.9540391495742186,-0.014878287422553208,0.4175536946237053,0.00494398536830565,0.7878200180226645,-0.0025938526649339666,0.8877083999746147
order_flow_imbalance,15m,-0.0326904653514975,0.07462187654374401,-0.06365356446936976,0.000512844782444538,-0.007607678924098367,0.6783529370556044,-0.028551274422963725,0.11954429796795751,0.03692791535874689,0.04407858146069686,0.02423511485981375,0.18648023527066315,0.004757868100423383,0.7954586484251955,-0.0032308284797918775,0.8602713684158438,0.021311880759106522,0.24592311934348857,0.020664140547311048,0.260574034696684
trade_imbalance,15m,-0.02951680715543799,0.10747955699021439,-0.045136875470342785,0.013810838956599288,-0.023659474237899995,0.19708774332497425,-0.03557140119758623,0.05242064870047752,0.008695063908097767,0.6355641687574857,0.005629353103033877,0.7589841231095528,-9.270626690127334e-06,0.9995969882893514,-0.014878287422553208,0.4175536946237053,-0.0028424857475947436,0.8770265613577364,-0.0025938526649339666,0.8877083999746147
avg_trade_size,15m,-0.01658282122473225,0.3659062352088185,-0.0037610310410473493,0.8375295137909795,0.01044273310105438,0.5691768430293825,0.0225435457577563,0.21905758425128197,-0.022575534063830578,0.21848178066852159,-0.0140228701477335,0.4446788530324003,-0.015471225710999948,0.3992374883026627,-0.01260266877251701,0.4922904826848016,-0.0008018135548807587,0.9651840616252776,0.0058100527491039035,0.7517819871343454
median_trade_size,15m,-0.007666771932091398,0.67594459836662,-0.00879979151622706,0.6313841611099037,0.0032779591304553457,0.8581836020854211,0.0005674489537202053,0.9753233890540143,-0.004041277282982442,0.8256688406100732,-0.004139613802930286,0.8214974393498654,-0.027408702232263892,0.13527634104150185,-0.007444182614727572,0.6850409084560025,0.01878418295649474,0.30646659699769424,0.0165889616153129,0.366455485242008
max_trade_size,15m,-0.011826697852280958,0.5190427573048317,0.007298449660594556,0.69068809828368,0.031216281187938396,0.08874411016665776,0.009261833889510742,0.6136382185894735,-0.03745968186234089,0.04111629271153056,-0.0012123646091901775,0.9473167796828281,0.02222706095549791,0.22583120073813387,0.008789761536321855,0.6320025734045256,0.009388049650467183,0.6092962508099405,-0.011087260739446556,0.5461180729515549
std_trade_size,15m,-0.007435018046911745,0.6852073710516808,0.0009245830358088525,0.95979656941295,0.024391634446839092,0.18357705320204531,0.013350032350229904,0.4667591199282891,-0.02930902834730318,0.11009807011376356,-0.0063388490131547305,0.7297295727023632,0.010904197222084343,0.5524309713232141,-0.0001739209044189037,0.9924394414624049,-0.00477688519094881,0.7948284886055004,-0.003731497784964979,0.8390286347340805
avg_buy_size,15m,-0.013543693511295612,0.460244268073378,-0.021265366072237515,0.24623921704263163,0.02143667009225664,0.2425331396430933,0.020069452273161998,0.2738999503064173,0.004559454643275491,0.803746000692468,0.005948788731791261,0.7457673173987281,-0.00957632580451298,0.6018319059008878,-0.00995344435694015,0.587600609661378,0.017862114747145195,0.3308237106126386,0.020581248702472285,0.26249160085850354
avg_sell_size,15m,-0.007012257352179085,0.7022259132317283,0.026335290781605396,0.15098358289301256,0.0001673625792935913,0.9927208566740853,0.025801767369140072,0.15950854325203814,-0.038946896503703005,0.03371190490736541,-0.024600232622155088,0.17992953398981226,-0.012064341685950684,0.5109643632896247,-0.01292199240893958,0.48138887605451197,-0.01716785348564714,0.34996708018768474,-0.003424127372006964,0.8521284856998779
