symbol,transition,relative_hour,actual_hour,avg_range_bps
DOGEUSDT,Thu→Fri,1,1,39.91
DOGEUSDT,Thu→Fri,2,2,35.66
XRPUSDT,Fri→Sat,-3,21,38.09
XRPUSDT,Fri→Sat,-2,22,28.75
XRPUSDT,Fri→Sat,-1,23,24.1
XRPUSDT,Fri→Sat,0,0,30.34
XRPUSDT,Fri→Sat,1,1,27.6
XRPUSDT,Fri→Sat,2,2,23.48
XRPUSDT,Sat→Sun,-3,21,22.75
XRPUSDT,Sat→Sun,-2,22,21.19
XRPUSDT,Sat→Sun,-1,23,21.43
XRPUSDT,Sat→Sun,0,0,27.64
XRPUSDT,Sat→Sun,1,1,24.4
XRPUSDT,Sat→Sun,2,2,22.68
XRPUSDT,Sun→Mon,-3,21,26.59
XRPUSDT,Sun→Mon,-2,22,31.05
XRPUSDT,Sun→Mon,-1,23,30.53
XRPUSDT,Sun→Mon,0,0,41.11
XRPUSDT,Sun→Mon,1,1,39.76
XRPUSDT,Sun→Mon,2,2,34.68
XRPUSDT,Mon→Tue,-3,21,35.84
XRPUSDT,Mon→Tue,-2,22,30.34
XRPUSDT,Mon→Tue,-1,23,26.66
XRPUSDT,Mon→Tue,0,0,36.87
XRPUSDT,Mon→Tue,1,1,33.2
XRPUSDT,Mon→Tue,2,2,29.98
XRPUSDT,Tue→Wed,-3,21,34.05
XRPUSDT,Tue→Wed,-2,22,30.45
XRPUSDT,Tue→Wed,-1,23,26.52
XRPUSDT,Tue→Wed,0,0,32.76
XRPUSDT,Tue→Wed,1,1,31.44
XRPUSDT,Tue→Wed,2,2,27.72
XRPUSDT,Wed→Thu,-3,21,34.68
XRPUSDT,Wed→Thu,-2,22,29.99
XRPUSDT,Wed→Thu,-1,23,26.04
XRPUSDT,Wed→Thu,0,0,32.99
XRPUSDT,Wed→Thu,1,1,31.69
XRPUSDT,Wed→Thu,2,2,28.56
XRPUSDT,Thu→Fri,-3,21,37.32
XRPUSDT,Thu→Fri,-2,22,30.09
XRPUSDT,Thu→Fri,-1,23,26.51
XRPUSDT,Thu→Fri,0,0,36.7
XRPUSDT,Thu→Fri,1,1,35.14
XRPUSDT,Thu→Fri,2,2,31.57
