date,gap_bps,mon_range,symbol
2024-09-16,-225.7786568716802,20.058793634054833,BTCUSDT
2024-09-23,59.55000332416249,19.480227104052663,BTCUSDT
2024-09-30,-26.58696660658766,18.747493092049403,BTCUSDT
2024-10-07,117.18567476423524,18.98998149249837,BTCUSDT
2024-10-14,54.240347138221345,20.275355126751002,BTCUSDT
2024-10-21,92.40971376526241,16.231963548798305,BTCUSDT
2024-10-28,199.70271085105296,17.43064176408117,BTCUSDT
2024-11-04,-108.2084451511245,20.751569184606748,BTCUSDT
2024-11-11,511.5782429928051,34.238173010960544,BTCUSDT
2024-11-18,-134.46335371554818,28.215632464807285,BTCUSDT
2024-11-25,-92.89821823804667,26.716124053518158,BTCUSDT
2024-12-02,-26.802916534650613,22.88790148127275,BTCUSDT
2024-12-09,139.98410660798433,30.344309066852595,BTCUSDT
