symbol,state,horizon,threshold,n_state,p_up,p_down,p_big,skew_ratio,p_up_base,p_down_base,uplift_up,uplift_down
0GUSDT,S09_stall_fund,12h,100bp,27,0.037037037037037035,0.6666666666666666,0.7037037037037037,0.05555555555555555,0.360062893081761,0.4453616352201258,0.10286268801552645,1.496910856134157
0GUSDT,S09_stall_fund,12h,200bp,27,0.0,0.5555555555555556,0.5555555555555556,0.0,0.27541928721174,0.32507861635220126,0.0,1.708988311164853
0GUSDT,S09_stall_fund,12h,300bp,27,0.0,0.5185185185185185,0.5185185185185185,0.0,0.21016771488469602,0.2254979035639413,0.0,2.299438311059461
0GUSDT,S09_stall_fund,24h,100bp,27,0.0,0.8148148148148148,0.8148148148148148,0.0,0.42294337606837606,0.421875,0.0,1.9314128943758573
0GUSDT,S09_stall_fund,24h,200bp,27,0.0,0.48148148148148145,0.48148148148148145,0.0,0.35550213675213677,0.34975961538461536,0.0,1.3766068473972255
0GUSDT,S09_stall_fund,24h,300bp,27,0.0,0.2962962962962963,0.2962962962962963,0.0,0.28979700854700857,0.2844551282051282,0.0,1.0416275430359938
0GUSDT,S10_thin_move,12h,100bp,55,0.5272727272727272,0.3090909090909091,0.8363636363636363,1.7058823529411764,0.360062893081761,0.4453616352201258,1.4643906312028583,0.6940223060258365
0GUSDT,S10_thin_move,12h,200bp,55,0.34545454545454546,0.21818181818181817,0.5636363636363636,1.5833333333333335,0.27541928721174,0.32507861635220126,1.2542859614220223,0.6711663185665604
0GUSDT,S10_thin_move,12h,300bp,55,0.2909090909090909,0.18181818181818182,0.4727272727272727,1.5999999999999999,0.21016771488469602,0.2254979035639413,1.3841759238267966,0.8062965506312397
0GUSDT,S10_thin_move,24h,100bp,51,0.5882352941176471,0.19607843137254902,0.7843137254901961,3.0,0.42294337606837606,0.421875,1.3908133509166218,0.46477850399419024
0GUSDT,S10_thin_move,24h,200bp,51,0.5490196078431373,0.17647058823529413,0.7254901960784313,3.111111111111111,0.35550213675213677,0.34975961538461536,1.5443496707473374,0.5045482110369922
0GUSDT,S10_thin_move,24h,300bp,51,0.45098039215686275,0.0784313725490196,0.5294117647058824,5.75,0.28979700854700857,0.2844551282051282,1.5561940905394416,0.27572493786246893
1000BONKUSDT,S07_compress_oi,12h,100bp,43,0.06976744186046512,0.37209302325581395,0.4418604651162791,0.1875,0.2908805031446541,0.45584381551362685,0.23984915147705846,0.8162730536040161
1000BONKUSDT,S07_compress_oi,12h,200bp,43,0.046511627906976744,0.37209302325581395,0.4186046511627907,0.125,0.20872641509433962,0.3081761006289308,0.22283536985941402,1.207403891789274
1000BONKUSDT,S07_compress_oi,12h,300bp,43,0.023255813953488372,0.3488372093023256,0.37209302325581395,0.06666666666666667,0.15435010482180295,0.1850104821802935,0.15066924625893313,1.8854997035377825
1000BONKUSDT,S07_compress_oi,24h,100bp,43,0.11627906976744186,0.6046511627906976,0.7209302325581395,0.19230769230769232,0.2825854700854701,0.5125534188034188,0.4114828329010419,1.179684186288886
1000BONKUSDT,S07_compress_oi,24h,200bp,43,0.11627906976744186,0.5348837209302325,0.6511627906976745,0.2173913043478261,0.234508547008547,0.4077190170940171,0.49584150023838536,1.3118929912628827
1000BONKUSDT,S07_compress_oi,24h,300bp,43,0.11627906976744186,0.23255813953488372,0.3488372093023256,0.5,0.20860042735042736,0.32532051282051283,0.5574248875919363,0.7148585175850612
1000BONKUSDT,S03_oi_surge,12h,100bp,233,0.40772532188841204,0.39914163090128757,0.8068669527896996,1.021505376344086,0.2908805031446541,0.45584381551362685,1.4016935390325949,0.8756104992925055
1000BONKUSDT,S03_oi_surge,12h,200bp,233,0.30472103004291845,0.2832618025751073,0.5879828326180258,1.0757575757575757,0.20872641509433962,0.3081761006289308,1.4599064038214398,0.9191556450906544
1000BONKUSDT,S03_oi_surge,12h,300bp,233,0.21888412017167383,0.2575107296137339,0.47639484978540775,0.8500000000000001,0.15435010482180295,0.1850104821802935,1.418101532385581,1.3918710257875475
1000BONKUSDT,S03_oi_surge,24h,100bp,232,0.4698275862068966,0.46551724137931033,0.9353448275862069,1.0092592592592593,0.2825854700854701,0.5125534188034188,1.6626034808682617,0.9082316580115363
1000BONKUSDT,S03_oi_surge,24h,200bp,232,0.44396551724137934,0.41379310344827586,0.8577586206896551,1.0729166666666667,0.234508547008547,0.4077190170940171,1.8931741418584558,1.0148977263742842
1000BONKUSDT,S03_oi_surge,24h,300bp,232,0.40948275862068967,0.33189655172413796,0.7413793103448276,1.2337662337662336,0.20860042735042736,0.32532051282051283,1.963000573976776,1.0202140309155767
1000BONKUSDT,S09_stall_fund,12h,100bp,105,0.3142857142857143,0.22857142857142856,0.5428571428571428,1.375,0.2908805031446541,0.45584381551362685,1.0804633204633205,0.5014248757853241
1000BONKUSDT,S09_stall_fund,12h,200bp,105,0.19047619047619047,0.11428571428571428,0.3047619047619048,1.6666666666666665,0.20872641509433962,0.3081761006289308,0.912563895614743,0.37084548104956266
1000BONKUSDT,S09_stall_fund,12h,300bp,105,0.02857142857142857,0.10476190476190476,0.13333333333333333,0.2727272727272727,0.15435010482180295,0.1850104821802935,0.18510793111811785,0.5662484823957912
1000BONKUSDT,S09_stall_fund,24h,100bp,105,0.26666666666666666,0.3333333333333333,0.6,0.8,0.2825854700854701,0.5125534188034188,0.9436672967863894,0.6503387180823346
1000BONKUSDT,S09_stall_fund,24h,200bp,105,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.6666666666666666,0.234508547008547,0.4077190170940171,0.8122356003904978,0.7007627158298628
1000BONKUSDT,S09_stall_fund,24h,300bp,105,0.19047619047619047,0.23809523809523808,0.42857142857142855,0.8,0.20860042735042736,0.32532051282051283,0.9131150539601243,0.7318789584799437
1000BONKUSDT,S10_thin_move,12h,100bp,68,0.36764705882352944,0.4117647058823529,0.7794117647058824,0.892857142857143,0.2908805031446541,0.45584381551362685,1.2639109697933228,0.9033021659367971
1000BONKUSDT,S10_thin_move,12h,200bp,68,0.29411764705882354,0.23529411764705882,0.5294117647058824,1.25,0.20872641509433962,0.3081761006289308,1.409106015287471,0.7635054021608644
1000BONKUSDT,S10_thin_move,12h,300bp,68,0.16176470588235295,0.058823529411764705,0.22058823529411764,2.75,0.15435010482180295,0.1850104821802935,1.0480375511834614,0.31794700883186133
1000BONKUSDT,S10_thin_move,24h,100bp,67,0.29850746268656714,0.44776119402985076,0.746268656716418,0.6666666666666666,0.2825854700854701,0.5125534188034188,1.0563439889399882,0.873589322797166
1000BONKUSDT,S10_thin_move,24h,200bp,67,0.208955223880597,0.40298507462686567,0.6119402985074627,0.5185185185185185,0.234508547008547,0.4077190170940171,0.891034576547785,0.9883892036704782
1000BONKUSDT,S10_thin_move,24h,300bp,67,0.13432835820895522,0.31343283582089554,0.44776119402985076,0.42857142857142855,0.20860042735042736,0.32532051282051283,0.6439505417853115,0.9634585692228513
1000PEPEUSDT,S07_compress_oi,12h,100bp,95,0.43157894736842106,0.5684210526315789,1.0,0.7592592592592593,0.297562893081761,0.44025157232704404,1.4503789195578114,1.291127819548872
1000PEPEUSDT,S07_compress_oi,12h,200bp,95,0.3263157894736842,0.5263157894736842,0.8526315789473684,0.6200000000000001,0.19798218029350104,0.31053459119496857,1.6482078790623151,1.6948700866089272
1000PEPEUSDT,S07_compress_oi,12h,300bp,95,0.3157894736842105,0.4421052631578947,0.7578947368421053,0.7142857142857143,0.1391509433962264,0.20964360587002095,2.269402319357716,2.108842105263158
1000PEPEUSDT,S07_compress_oi,24h,100bp,95,0.5052631578947369,0.3263157894736842,0.8315789473684211,1.5483870967741935,0.2841880341880342,0.5129540598290598,1.7779184804115553,0.6361501253785335
1000PEPEUSDT,S07_compress_oi,24h,200bp,95,0.43157894736842106,0.24210526315789474,0.6736842105263158,1.7826086956521738,0.22168803418803418,0.4078525641025641,1.9467850348763476,0.5936097611415573
1000PEPEUSDT,S07_compress_oi,24h,300bp,95,0.3263157894736842,0.22105263157894736,0.5473684210526316,1.4761904761904763,0.16760149572649571,0.3261217948717949,1.9469742084294404,0.677822319927583
1000PEPEUSDT,S03_oi_surge,12h,100bp,302,0.5198675496688742,0.4105960264900662,0.9304635761589404,1.2661290322580645,0.297562893081761,0.44025157232704404,1.747084605492227,0.932639545884579
1000PEPEUSDT,S03_oi_surge,12h,200bp,302,0.4370860927152318,0.3841059602649007,0.8211920529801324,1.1379310344827587,0.19798218029350104,0.31053459119496857,2.2077042088700525,1.236918434068237
1000PEPEUSDT,S03_oi_surge,12h,300bp,302,0.3609271523178808,0.31788079470198677,0.6788079470198676,1.1354166666666667,0.1391509433962264,0.20964360587002095,2.593781569199686,1.516291390728477
1000PEPEUSDT,S03_oi_surge,24h,100bp,290,0.4379310344827586,0.4793103448275862,0.9172413793103448,0.9136690647482014,0.2841880341880342,0.5129540598290598,1.540990407052113,0.9344118359981686
1000PEPEUSDT,S03_oi_surge,24h,200bp,290,0.38620689655172413,0.44482758620689655,0.8310344827586207,0.8682170542635659,0.22168803418803418,0.4078525641025641,1.7421188201080184,1.090657814511212
1000PEPEUSDT,S03_oi_surge,24h,300bp,290,0.2896551724137931,0.4,0.6896551724137931,0.7241379310344828,0.16760149572649571,0.3261217948717949,1.7282373952466001,1.2265356265356266
1000PEPEUSDT,S09_stall_fund,12h,100bp,73,0.4383561643835616,0.3972602739726027,0.8356164383561644,1.103448275862069,0.297562893081761,0.44025157232704404,1.4731546660393406,0.9023483365949119
1000PEPEUSDT,S09_stall_fund,12h,200bp,73,0.3972602739726027,0.3150684931506849,0.7123287671232876,1.2608695652173914,0.19798218029350104,0.31053459119496857,2.006545606193848,1.0146003121206866
1000PEPEUSDT,S09_stall_fund,12h,300bp,73,0.273972602739726,0.2328767123287671,0.5068493150684932,1.1764705882352942,0.1391509433962264,0.20964360587002095,1.968887856977014,1.1108219178082193
1000PEPEUSDT,S09_stall_fund,24h,100bp,73,0.1780821917808219,0.547945205479452,0.726027397260274,0.325,0.2841880341880342,0.5129540598290598,0.6266350808528169,1.068214969703238
1000PEPEUSDT,S09_stall_fund,24h,200bp,73,0.1095890410958904,0.4520547945205479,0.5616438356164384,0.24242424242424243,0.22168803418803418,0.4078525641025641,0.49433899983495627,1.1083779637753317
1000PEPEUSDT,S09_stall_fund,24h,300bp,73,0.0410958904109589,0.410958904109589,0.4520547945205479,0.1,0.16760149572649571,0.3261217948717949,0.24520002183048628,1.2601393423311231
1000PEPEUSDT,S10_thin_move,12h,100bp,34,0.29411764705882354,0.2647058823529412,0.5588235294117647,1.1111111111111112,0.297562893081761,0.44025157232704404,0.9884217887947783,0.6012605042016806
1000PEPEUSDT,S10_thin_move,12h,200bp,34,0.14705882352941177,0.17647058823529413,0.3235294117647059,0.8333333333333333,0.19798218029350104,0.31053459119496857,0.7427881807918403,0.5682799702159345
1000PEPEUSDT,S10_thin_move,12h,300bp,34,0.14705882352941177,0.11764705882352941,0.2647058823529412,1.25,0.1391509433962264,0.20964360587002095,1.0568295114656032,0.5611764705882353
1000PEPEUSDT,S10_thin_move,24h,100bp,34,0.4411764705882353,0.23529411764705882,0.6764705882352942,1.875,0.2841880341880342,0.5129540598290598,1.5524104378593542,0.45870407522550805
1000PEPEUSDT,S10_thin_move,24h,200bp,34,0.3235294117647059,0.11764705882352941,0.4411764705882353,2.75,0.22168803418803418,0.4078525641025641,1.4593905031892276,0.2884548711429562
1000PEPEUSDT,S10_thin_move,24h,300bp,34,0.29411764705882354,0.058823529411764705,0.35294117647058826,5.0,0.16760149572649571,0.3261217948717949,1.7548629013358332,0.1803728862552392
1000RATSUSDT,S07_compress_oi,12h,100bp,35,0.02857142857142857,0.9142857142857143,0.9428571428571428,0.03125,0.3122379454926625,0.5115303983228512,0.0915053054373239,1.7873536299765806
