state,target,real_uplift,shuffle_mean,shuffle_std,shuffle_p95,shuffle_p99,real_exceeds_p99,symbol
S07_compress_oi,big_B_24h,1.7525013164823589,0.9857819905213269,0.23204103522173733,1.3143759873617693,1.5345339652448644,1.0,AIXBTUSDT
S01_fund_high,big_A_k3.0_24h,,,,,,,AIXBTUSDT
S01_fund_high,big_B_24h,,,,,,,AIXBTUSDT
S03_oi_surge,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,AIXBTUSDT
S03_oi_surge,big_B_24h,1.6752595677067639,1.23357225433526,0.06264786294802796,1.3333698600115058,1.3676443032079553,1.0,AIXBTUSDT
S09_stall_fund,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,AIXBTUSDT
S09_stall_fund,big_B_24h,0.8784195955140537,0.9870508188259585,0.12560649407433583,1.2005067805358736,1.2883487400872788,0.0,AIXBTUSDT
S10_thin_move,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,AIXBTUSDT
S10_thin_move,big_B_24h,0.5977614197842088,0.804995865685187,0.0747288271265559,0.9281032570333769,0.9752949480689723,0.0,AIXBTUSDT
S06_compress_vol,big_A_k3.0_24h,,,,,,,ALCHUSDT
S06_compress_vol,big_B_24h,,,,,,,ALCHUSDT
S07_compress_oi,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,ALCHUSDT
S07_compress_oi,big_B_24h,0.0,0.22961594555177442,0.16954477957909705,0.5600388915896937,0.7000486144871172,0.0,ALCHUSDT
S01_fund_high,big_A_k3.0_24h,,,,,,,ALCHUSDT
S01_fund_high,big_B_24h,,,,,,,ALCHUSDT
S03_oi_surge,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,ALCHUSDT
S03_oi_surge,big_B_24h,2.502854221692085,1.9857449092613104,0.09843452862609924,2.134787424384425,2.2086461617108286,1.0,ALCHUSDT
S09_stall_fund,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,ALCHUSDT
S09_stall_fund,big_B_24h,0.9213543055185284,0.8849608104505465,0.20193634093664845,1.2284724073580378,1.3820314582777926,0.0,ALCHUSDT
S10_thin_move,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,ALCHUSDT
S10_thin_move,big_B_24h,0.4080283353010626,0.5351971664698938,0.11259043910885518,0.7480519480519481,0.8160566706021252,0.0,ALCHUSDT
S06_compress_vol,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,ANIMEUSDT
S06_compress_vol,big_B_24h,0.0,0.0,0.0,0.0,0.0,0.0,ANIMEUSDT
S07_compress_oi,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,ANIMEUSDT
S07_compress_oi,big_B_24h,1.1564478764478763,0.15804787644787643,0.1096425352361588,0.38548262548262546,0.38548262548262546,1.0,ANIMEUSDT
S01_fund_high,big_A_k3.0_24h,,,,,,,ANIMEUSDT
S01_fund_high,big_B_24h,,,,,,,ANIMEUSDT
S03_oi_surge,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,ANIMEUSDT
S03_oi_surge,big_B_24h,1.3912665180270813,0.8938717711675455,0.12789325662940546,1.1197998803632605,1.1876665397792159,1.0,ANIMEUSDT
S09_stall_fund,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,ANIMEUSDT
S09_stall_fund,big_B_24h,1.8804030511347585,1.016475374329033,0.20478740029463438,1.354477822770503,1.5278274790469912,1.0,ANIMEUSDT
S10_thin_move,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,ANIMEUSDT
S10_thin_move,big_B_24h,0.6230861403275196,0.7167152176807349,0.11887351411323034,0.913859672480362,0.9969378245240313,0.0,ANIMEUSDT
S06_compress_vol,big_A_k3.0_24h,0.0,0.5270564362714014,0.9866666124096544,2.3741280913126186,2.3741280913126186,0.0,APEXUSDT
S06_compress_vol,big_B_24h,2.2265834076717215,1.7514861730597682,0.1601024659941024,2.017841213202498,2.0881177520071357,1.0,APEXUSDT
S07_compress_oi,big_A_k3.0_24h,0.0,0.10901204819277108,0.4393250368740515,1.8795180722891565,1.8795180722891565,0.0,APEXUSDT
S07_compress_oi,big_B_24h,0.826271186440678,1.1013644067796613,0.13664974481435452,1.3220338983050848,1.4322033898305084,0.0,APEXUSDT
S01_fund_high,big_A_k3.0_24h,,,,,,,APEXUSDT
S01_fund_high,big_B_24h,,,,,,,APEXUSDT
S03_oi_surge,big_A_k3.0_24h,0.0,1.4936439662392886,0.7453370253027741,2.412215707750789,3.3771019908511044,0.0,APEXUSDT
S03_oi_surge,big_B_24h,1.5977521979515996,1.4928944076860327,0.08209981934856471,1.6260309979153449,1.6687319858605998,0.0,APEXUSDT
S09_stall_fund,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,APEXUSDT
S09_stall_fund,big_B_24h,1.4587960257159556,0.9329912331969609,0.13456265959914632,1.1396843950905902,1.2313150204558734,1.0,APEXUSDT
S10_thin_move,big_A_k3.0_24h,0.0,0.9701581980094289,1.012301926630911,2.614981665793609,3.9224724986904134,0.0,APEXUSDT
S10_thin_move,big_B_24h,1.1112748710390568,0.9602947678703021,0.13563485311316276,1.1879145173176124,1.2645541635961681,0.0,APEXUSDT
S06_compress_vol,big_A_k3.0_24h,,,,,,,APTUSDT
S06_compress_vol,big_B_24h,,,,,,,APTUSDT
S07_compress_oi,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,APTUSDT
S07_compress_oi,big_B_24h,0.41600000000000004,0.671424,0.4558957646480169,1.248,1.6640000000000001,0.0,APTUSDT
S01_fund_high,big_A_k3.0_24h,,,,,,,APTUSDT
S01_fund_high,big_B_24h,,,,,,,APTUSDT
S03_oi_surge,big_A_k3.0_24h,0.0,0.02212765957446808,0.1084029503189151,0.0,0.553191489361702,0.0,APTUSDT
S03_oi_surge,big_B_24h,0.8204444444444445,0.8694862222222222,0.06710630985621635,0.9822222222222223,1.0284444444444445,0.0,APTUSDT
S09_stall_fund,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,APTUSDT
S09_stall_fund,big_B_24h,1.4862912621359226,0.838656,0.1339006334044303,1.0662524271844662,1.1631844660194175,1.0,APTUSDT
S10_thin_move,big_A_k3.0_24h,0.0,0.024048173424327576,0.26778912596625426,0.0,0.0,0.0,APTUSDT
S10_thin_move,big_B_24h,0.8790943396226415,1.0083212075471697,0.1749041590208751,1.2558490566037737,1.4442264150943398,0.0,APTUSDT
S06_compress_vol,big_A_k3.0_24h,,,,,,,ARBUSDT
S06_compress_vol,big_B_24h,,,,,,,ARBUSDT
S07_compress_oi,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,ARBUSDT
S07_compress_oi,big_B_24h,2.87202216066482,2.154973961218837,0.3031563831424627,2.5529085872576176,2.712465373961219,1.0,ARBUSDT
S01_fund_high,big_A_k3.0_24h,,,,,,,ARBUSDT
S01_fund_high,big_B_24h,,,,,,,ARBUSDT
S03_oi_surge,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,ARBUSDT
S03_oi_surge,big_B_24h,1.8377270610153704,1.3140687470889616,0.08326295301822657,1.448719142990219,1.4890954820680018,1.0,ARBUSDT
S09_stall_fund,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,ARBUSDT
S09_stall_fund,big_B_24h,0.5795665634674922,1.140052012383901,0.11026119070765245,1.3374613003095974,1.4043343653250775,0.0,ARBUSDT
S10_thin_move,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,ARBUSDT
S10_thin_move,big_B_24h,0.4663967611336033,0.6753425101214575,0.15489428958303877,0.9327935222672066,1.0493927125506073,0.0,ARBUSDT
S06_compress_vol,big_A_k3.0_24h,0.0,0.0,0.0,0.0,0.0,0.0,ARCUSDT
