symbol,state,target,variant,nS_test,p0_test,pS_test,uplift_test
AEROUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,56,0.0,0.0,0.0
AEROUSDT,S08_stall_oi,big_B_24h,normal,57,0.43336004273504275,0.543859649122807,1.2549833752331523
AEROUSDT,S08_stall_oi,big_B_24h,leaked,56,0.43336004273504275,0.5178571428571429,1.1949812898965442
AIXBTUSDT,S03_oi_surge,big_A_k3.0_24h,normal,346,0.0,0.0,0.0
AIXBTUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,346,0.0,0.0,0.0
AIXBTUSDT,S03_oi_surge,big_B_24h,normal,346,0.33814102564102566,0.5664739884393064,1.6752595677067639
AIXBTUSDT,S03_oi_surge,big_B_24h,leaked,346,0.33814102564102566,0.5635838150289018,1.6667123250143823
AIXBTUSDT,S07_compress_oi,big_A_k3.0_24h,normal,27,0.0,0.0,0.0
AIXBTUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,29,0.0,0.0,0.0
AIXBTUSDT,S07_compress_oi,big_B_24h,normal,27,0.33814102564102566,0.5925925925925926,1.7525013164823589
AIXBTUSDT,S07_compress_oi,big_B_24h,leaked,29,0.33814102564102566,0.5862068965517241,1.7336166040202645
AIXBTUSDT,S08_stall_oi,big_A_k3.0_24h,normal,45,0.0,0.0,0.0
AIXBTUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,47,0.0,0.0,0.0
AIXBTUSDT,S08_stall_oi,big_B_24h,normal,45,0.33814102564102566,0.4444444444444444,1.3143759873617693
AIXBTUSDT,S08_stall_oi,big_B_24h,leaked,47,0.33814102564102566,0.40425531914893614,1.1955228395684177
ALCHUSDT,S03_oi_surge,big_A_k3.0_24h,normal,194,0.0,0.0,0.0
ALCHUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,194,0.0,0.0,0.0
ALCHUSDT,S03_oi_surge,big_B_24h,normal,194,0.21006944444444445,0.5257731958762887,2.502854221692085
ALCHUSDT,S03_oi_surge,big_B_24h,leaked,194,0.21006944444444445,0.5257731958762887,2.502854221692085
ALCHUSDT,S07_compress_oi,big_A_k3.0_24h,normal,34,0.0,0.0,0.0
ALCHUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,35,0.0,0.0,0.0
ALCHUSDT,S07_compress_oi,big_B_24h,normal,34,0.21006944444444445,0.0,0.0
ALCHUSDT,S07_compress_oi,big_B_24h,leaked,35,0.21006944444444445,0.02857142857142857,0.13600944510035418
ALCHUSDT,S08_stall_oi,big_A_k3.0_24h,normal,24,0.0,0.0,0.0
ALCHUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,21,0.0,0.0,0.0
ALCHUSDT,S08_stall_oi,big_B_24h,normal,24,0.21006944444444445,0.16666666666666666,0.793388429752066
ALCHUSDT,S08_stall_oi,big_B_24h,leaked,21,0.21006944444444445,0.14285714285714285,0.6800472255017709
ANIMEUSDT,S03_oi_surge,big_A_k3.0_24h,normal,142,0.0,0.0,0.0
ANIMEUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,142,0.0,0.0,0.0
ANIMEUSDT,S03_oi_surge,big_B_24h,normal,142,0.2075320512820513,0.2887323943661972,1.3912665180270813
ANIMEUSDT,S03_oi_surge,big_B_24h,leaked,142,0.2075320512820513,0.2887323943661972,1.3912665180270813
ANIMEUSDT,S07_compress_oi,big_A_k3.0_24h,normal,50,0.0,0.0,0.0
ANIMEUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,51,0.0,0.0,0.0
ANIMEUSDT,S07_compress_oi,big_B_24h,normal,50,0.2075320512820513,0.24,1.1564478764478763
ANIMEUSDT,S07_compress_oi,big_B_24h,leaked,51,0.2075320512820513,0.2549019607843137,1.228253463547581
ANIMEUSDT,S08_stall_oi,big_A_k3.0_24h,normal,39,0.0,0.0,0.0
ANIMEUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,35,0.0,0.0,0.0
ANIMEUSDT,S08_stall_oi,big_B_24h,normal,39,0.2075320512820513,0.38461538461538464,1.8532818532818534
ANIMEUSDT,S08_stall_oi,big_B_24h,leaked,35,0.2075320512820513,0.4,1.9274131274131274
APEXUSDT,S03_oi_surge,big_A_k3.0_24h,normal,187,0.01108440170940171,0.0,0.0
APEXUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,187,0.01108440170940171,0.0,0.0
APEXUSDT,S03_oi_surge,big_B_24h,normal,187,0.3782051282051282,0.6042780748663101,1.5977521979515996
APEXUSDT,S03_oi_surge,big_B_24h,leaked,187,0.3782051282051282,0.5989304812834224,1.5836127979697272
APEXUSDT,S07_compress_oi,big_A_k3.0_24h,normal,48,0.01108440170940171,0.0,0.0
APEXUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,51,0.01108440170940171,0.0,0.0
APEXUSDT,S07_compress_oi,big_B_24h,normal,48,0.3782051282051282,0.3125,0.826271186440678
APEXUSDT,S07_compress_oi,big_B_24h,leaked,51,0.3782051282051282,0.35294117647058826,0.9332003988035893
APEXUSDT,S08_stall_oi,big_A_k3.0_24h,normal,13,0.01108440170940171,0.0,0.0
APEXUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,13,0.01108440170940171,0.0,0.0
APEXUSDT,S08_stall_oi,big_B_24h,normal,13,0.3782051282051282,0.23076923076923078,0.6101694915254238
APEXUSDT,S08_stall_oi,big_B_24h,leaked,13,0.3782051282051282,0.23076923076923078,0.6101694915254238
APTUSDT,S03_oi_surge,big_A_k3.0_24h,normal,288,0.006276709401709402,0.0,0.0
APTUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,288,0.006276709401709402,0.0,0.0
APTUSDT,S03_oi_surge,big_B_24h,normal,288,0.3004807692307692,0.2465277777777778,0.8204444444444445
APTUSDT,S03_oi_surge,big_B_24h,leaked,288,0.3004807692307692,0.25,0.8320000000000001
APTUSDT,S07_compress_oi,big_A_k3.0_24h,normal,8,0.006276709401709402,0.0,0.0
APTUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,10,0.006276709401709402,0.0,0.0
APTUSDT,S07_compress_oi,big_B_24h,normal,8,0.3004807692307692,0.125,0.41600000000000004
APTUSDT,S07_compress_oi,big_B_24h,leaked,10,0.3004807692307692,0.1,0.33280000000000004
APTUSDT,S08_stall_oi,big_A_k3.0_24h,normal,19,0.006276709401709402,0.0,0.0
APTUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,23,0.006276709401709402,0.0,0.0
APTUSDT,S08_stall_oi,big_B_24h,normal,19,0.3004807692307692,0.2631578947368421,0.8757894736842106
APTUSDT,S08_stall_oi,big_B_24h,leaked,23,0.3004807692307692,0.2608695652173913,0.8681739130434782
ARBUSDT,S03_oi_surge,big_A_k3.0_24h,normal,226,0.0,0.0,0.0
ARBUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,226,0.0,0.0,0.0
ARBUSDT,S03_oi_surge,big_B_24h,normal,226,0.3298611111111111,0.6061946902654868,1.8377270610153704
ARBUSDT,S03_oi_surge,big_B_24h,leaked,226,0.3298611111111111,0.6061946902654868,1.8377270610153704
ARBUSDT,S07_compress_oi,big_A_k3.0_24h,normal,19,0.0,0.0,0.0
ARBUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,21,0.0,0.0,0.0
ARBUSDT,S07_compress_oi,big_B_24h,normal,19,0.3298611111111111,0.9473684210526315,2.87202216066482
ARBUSDT,S07_compress_oi,big_B_24h,leaked,21,0.3298611111111111,0.9523809523809523,2.887218045112782
ARBUSDT,S08_stall_oi,big_A_k3.0_24h,normal,31,0.0,0.0,0.0
ARBUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,29,0.0,0.0,0.0
ARBUSDT,S08_stall_oi,big_B_24h,normal,31,0.3298611111111111,0.6774193548387096,2.05365025466893
ARBUSDT,S08_stall_oi,big_B_24h,leaked,29,0.3298611111111111,0.6206896551724138,1.8816696914700546
ARCUSDT,S03_oi_surge,big_A_k3.0_24h,normal,478,0.017094017094017096,0.016736401673640166,0.9790794979079496
