feature,target,mean_oos,pct_positive,n_folds,snr,metric
atr_percentile_14,tgt_ret_sign_3,0.040036374945694064,1.0,2,7.200355780569343,AUC_dev
donchian_position_10,tgt_ret_sign_3,0.03662955199249185,1.0,2,1.6365049200516504,AUC_dev
monotonicity_score_z,tgt_ret_sign_3,0.03604283432501987,1.0,2,1.2246538885172185,AUC_dev
lower_wick_rejection_z,tgt_ret_sign_3,0.03200691848428794,1.0,2,5.61829972486818,AUC_dev
support_touches_20,tgt_ret_sign_3,0.029116555024157165,1.0,2,4.502721103935044,AUC_dev
is_swing_high,tgt_ret_sign_3,0.026817275843376398,1.0,2,3.2314809065507797,AUC_dev
auction_clearing_speed_z,tgt_ret_sign_3,0.026780676459938924,1.0,2,1.852835035374963,AUC_dev
avg_body_ratio_5_z,tgt_ret_sign_3,0.02568259266206141,1.0,2,11.830210507660261,AUC_dev
time_to_low_pct,tgt_ret_sign_3,0.025126116072024973,1.0,2,75.35931192860993,AUC_dev
wavelet_energy_s2_z,tgt_ret_sign_3,0.024777242867822735,1.0,2,8.054280344220263,AUC_dev
tortuosity_z,tgt_ret_sign_3,0.024763804085392915,1.0,2,2.7549714431304104,AUC_dev
fvg_bearish_size_bps_z,tgt_ret_sign_3,0.02295934982065212,1.0,2,11.977796646417989,AUC_dev
breakout_down_bps_10_z,tgt_ret_sign_3,0.022577569768266526,1.0,2,4.929263245474557,AUC_dev
dist_to_swing_high_bps,tgt_ret_sign_3,0.02053564892012999,1.0,2,1.408389035280836,AUC_dev
arrival_time_kurtosis_z,tgt_ret_sign_5,0.05973182655844467,1.0,2,1.043844690598423,AUC_dev
herding_ratio_z,tgt_ret_sign_5,0.05740254634983222,1.0,2,21.64236373429792,AUC_dev
taylor_ofi_r2_z,tgt_ret_sign_5,0.05563099525335624,1.0,2,2.05393701587818,AUC_dev
pv_principal_angle_z,tgt_ret_sign_5,0.05094916967385332,1.0,2,16.867791831079806,AUC_dev
half_cosine_similarity,tgt_ret_sign_5,0.04872918525126374,1.0,2,23.626058749323967,AUC_dev
ob_net_10_z,tgt_ret_sign_5,0.04344676208901277,1.0,2,6.534074921303248,AUC_dev
gap_abs_bps,tgt_ret_sign_5,0.04308805183251774,1.0,2,1.4467742254409783,AUC_dev
volume_autocorr,tgt_ret_sign_5,0.04171677777655414,1.0,2,1.510871542081029,AUC_dev
range_atr_ratio_14_z,tgt_ret_sign_5,0.04154556545510385,1.0,2,1.3092269480545768,AUC_dev
ew_first_wave_pct,tgt_ret_sign_5,0.04048042866023255,1.0,2,14.393602964351025,AUC_dev
donchian_width_bps_10_z,tgt_ret_sign_5,0.039871432828077036,1.0,2,4.253357069487803,AUC_dev
contrarian_ratio_z,tgt_ret_sign_5,0.03942106609202789,1.0,2,1.1386800038880616,AUC_dev
gap_up,tgt_ret_sign_5,0.038960129844384905,1.0,2,2.3276583145194065,AUC_dev
rqa_recurrence_rate,tgt_ret_sign_5,0.03832158450286283,1.0,2,1.0801463453857167,AUC_dev
stackelberg_buy_leader_z,tgt_ret_sign_5,0.037022132649053074,1.0,2,41.57709432717631,AUC_dev
atr_percentile_14,tgt_ret_sign_5,0.03639332777783899,1.0,2,10.320288223138869,AUC_dev
hh_count_5_z,tgt_ret_sign_5,0.036281931091067254,1.0,2,2.1009150031905737,AUC_dev
atr_percentile_10,tgt_ret_sign_5,0.0361421588602181,1.0,2,2.0628623870703806,AUC_dev
equal_highs_10,tgt_ret_sign_5,0.03445494435939889,1.0,2,4.1057654845581375,AUC_dev
bos_net_5_z,tgt_ret_sign_5,0.03428802790962898,1.0,2,4.694936610237388,AUC_dev
quartile_count_ratio_z,tgt_ret_sign_5,0.0314844657241905,1.0,2,1.8233631662500411,AUC_dev
max_down_sweep,tgt_ret_sign_5,0.02948358681805996,1.0,2,1.0862746105807863,AUC_dev
fib_intertime_ratio_pct_z,tgt_ret_sign_5,0.0294144475281109,1.0,2,2.211346261121732,AUC_dev
fib_updown_wave_ratio_z,tgt_ret_sign_5,0.028499289961319563,1.0,2,8.788421127605032,AUC_dev
bos_net_z,tgt_ret_sign_5,0.0279803766539527,1.0,2,3.5182423455907355,AUC_dev
hilbert_amp_freq_corr_z,tgt_ret_sign_5,0.027496937747871097,1.0,2,2.821184041943481,AUC_dev
round_level_magnet_pct_z,tgt_ret_sign_5,0.025847670241027687,1.0,2,1.2092029855759574,AUC_dev
range_compression_20_z,tgt_ret_sign_5,0.02543926951367398,1.0,2,1.359099913050871,AUC_dev
size_escalation_z,tgt_ret_sign_5,0.024412879691731226,1.0,2,4.135938884771433,AUC_dev
nash_balance_z,tgt_ret_sign_5,0.02393944205215559,1.0,2,2.4483016249298792,AUC_dev
liq_void_any,tgt_ret_sign_5,0.023249537450028057,1.0,2,8.686906874469527,AUC_dev
taylor_asymmetry_curvature_ratio,tgt_ret_sign_5,0.02284401083443771,1.0,2,1.0060410973806968,AUC_dev
range_compression_10,tgt_ret_sign_5,0.02276554559482341,1.0,2,1.5389660673743026,AUC_dev
time_at_high_pct,tgt_ret_sign_5,0.022668902630783527,1.0,2,2.9375607648266233,AUC_dev
te_price_to_volume,tgt_ret_sign_5,0.022587647407211586,1.0,2,1.7604329976718682,AUC_dev
avg_surprise,tgt_ret_sign_5,0.020820186451691036,1.0,2,4.36408362309005,AUC_dev
golden_ratio_half_dist_z,tgt_ret_sign_5,0.020181200586386117,1.0,2,2.566617378747712,AUC_dev
max_trades_per_second,tgt_ret_sign_10,0.06657672710013313,1.0,2,8.567381948561792,AUC_dev
ll_streak_z,tgt_ret_sign_10,0.06433249165844213,1.0,2,4.504964764219489,AUC_dev
turbulence,tgt_ret_sign_10,0.05993872664154504,1.0,2,2.059263187434894,AUC_dev
median_trade_size_z,tgt_ret_sign_10,0.04828708539876225,1.0,2,4.462540296582838,AUC_dev
taylor_price_vol_divergence_z,tgt_ret_sign_10,0.04409215037780023,1.0,2,1.5213174504311187,AUC_dev
breakout_vol_confirm_20_z,tgt_ret_sign_10,0.04246216590746943,1.0,2,2.8113893147107163,AUC_dev
chebyshev_distance_z,tgt_ret_sign_10,0.042423141160460254,1.0,2,2.6246899903062935,AUC_dev
time_at_high_pct,tgt_ret_sign_10,0.04219960275859752,1.0,2,1.6450315981991792,AUC_dev
permutation_entropy,tgt_ret_sign_10,0.042028315368093594,1.0,2,3.0853809867788327,AUC_dev
volume_autocorr,tgt_ret_sign_10,0.04180139046118325,1.0,2,3.044665768947368,AUC_dev
median_trade_size,tgt_ret_sign_10,0.041082128764630854,1.0,2,19.728716907120774,AUC_dev
path_hull_ratio_z,tgt_ret_sign_10,0.04004465186844386,1.0,2,8.184230225401233,AUC_dev
time_to_low_pct,tgt_ret_sign_10,0.03939002445492673,1.0,2,2.351083874952721,AUC_dev
vol_price_feedback,tgt_ret_sign_10,0.038983614780487064,1.0,2,5.471560703546686,AUC_dev
rqa_recurrence_rate,tgt_ret_sign_10,0.03809728065679474,1.0,2,2.7257590190051157,AUC_dev
hilbert_std_amplitude,tgt_ret_sign_10,0.03790225866224384,1.0,2,1.3618493958349174,AUC_dev
wavelet_energy_s1_z,tgt_ret_sign_10,0.03754357981431372,1.0,2,11.108544200367952,AUC_dev
fvg_bearish_size_bps_z,tgt_ret_sign_10,0.03734861595718847,1.0,2,1.5395571990207868,AUC_dev
dist_to_swing_high_bps,tgt_ret_sign_10,0.036357154833452476,1.0,2,2.633670632058711,AUC_dev
taylor_ofi_r2_z,tgt_ret_sign_10,0.03476911651577291,1.0,2,1.7547889516314752,AUC_dev
atr_percentile_10,tgt_ret_sign_10,0.03474971314994152,1.0,2,2.0026108260915154,AUC_dev
liq_void_down_bps_z,tgt_ret_sign_10,0.0344255824672407,1.0,2,2.055058591614795,AUC_dev
liq_sweep_count_10_z,tgt_ret_sign_10,0.032603802629486034,1.0,2,3.2538820044705505,AUC_dev
is_swing_high,tgt_ret_sign_10,0.029330825439821295,1.0,2,570.388355003614,AUC_dev
wavelet_energy_s2_z,tgt_ret_sign_10,0.029130396664679092,1.0,2,3.7191941984664956,AUC_dev
bos_bearish,tgt_ret_sign_10,0.028643902686321165,1.0,2,1.2225238391813658,AUC_dev
taylor_ofi_a2_z,tgt_ret_sign_10,0.02727828362505913,1.0,2,1.8514235770641394,AUC_dev
atr_percentile_10_z,tgt_ret_sign_10,0.027153956740174123,1.0,2,1.7973924119804365,AUC_dev
close,tgt_ret_sign_10,0.02714401524037735,1.0,2,1.1137154061571204,AUC_dev
market_pressure,tgt_ret_sign_10,0.024855755233065935,1.0,2,33.80654726604311,AUC_dev
ew_impulse_quality_z,tgt_ret_sign_10,0.024833357789810384,1.0,2,1.160193334207023,AUC_dev
donchian_width_change_20_z,tgt_ret_sign_10,0.024378185349554715,1.0,2,4.817997977755314,AUC_dev
size_gini_z,tgt_ret_sign_10,0.02431077500444162,1.0,2,2.7766393646725365,AUC_dev
near_support_5,tgt_ret_sign_10,0.024301821840882032,1.0,2,1.6565570700795966,AUC_dev
bearish_patterns_5_z,tgt_ret_sign_10,0.023795473931643385,1.0,2,1.55083149881972,AUC_dev
breakout_any_20,tgt_ret_sign_10,0.023749138403350967,1.0,2,5.196936542669563,AUC_dev
liq_sweep_bear,tgt_ret_sign_10,0.022694525500935314,1.0,2,2.1095979247730323,AUC_dev
breakout_up_bps_5_z,tgt_ret_sign_10,0.02217811981704848,1.0,2,3.3367665131576154,AUC_dev
atr_percentile_14,tgt_ret_sign_10,0.021375968685787228,1.0,2,15.584944048829847,AUC_dev
fib_updown_golden_dist_z,tgt_ret_sign_10,0.02021310389669584,1.0,2,1.3257704597972888,AUC_dev
max_trades_per_second,tgt_vol_expansion_5,0.23442233325726952,1.0,5,4.82692562858749,AUC_dev
range,tgt_vol_expansion_5,0.20228391740979285,1.0,5,4.080105421364895,AUC_dev
vol_price_feedback,tgt_vol_expansion_5,0.1994099455285728,1.0,5,4.715593386744493,AUC_dev
inter_trade_skew,tgt_vol_expansion_5,0.18547287248090205,1.0,5,4.737780210091755,AUC_dev
max_down_sweep,tgt_vol_expansion_5,0.17844261739898923,1.0,5,3.981735398827175,AUC_dev
max_down_sweep_z,tgt_vol_expansion_5,0.16824097985142275,1.0,5,3.4605114164620705,AUC_dev
max_sell_run,tgt_vol_expansion_5,0.16253591267270365,1.0,5,5.486082994391965,AUC_dev
wavelet_energy_s1_z,tgt_vol_expansion_5,0.15490594237163935,1.0,5,2.915943736064865,AUC_dev
chebyshev_distance_z,tgt_vol_expansion_5,0.15316018787288907,1.0,5,4.184093644483772,AUC_dev
range_atr_ratio_14_z,tgt_vol_expansion_5,0.1521178295025814,1.0,5,2.3443996328791767,AUC_dev
