cluster,size,representative,composite,n_targets,members
159,5,breakout_any_20,0.05813220392359029,3,"breakout_any_20, breakout_vol_confirm_20, breakout_any_10, breakout_vol_confirm_10, breakout_any_5"
106,3,breakout_up_count_10,0.055608639438092265,3,"breakout_up_count_10, breakout_net_10, resistance_touches_10"
198,6,trade_size_p75_z,0.05559426506368588,5,"trade_size_p75_z, trade_size_iqr_z, avg_buy_size_z, avg_sell_size_z, avg_trade_size_z, eigen_sum_z"
168,1,chebyshev_distance_z,0.05456307461474289,3,chebyshev_distance_z
154,1,near_support_20,0.05414727559233913,3,near_support_20
57,1,engulfing_bearish,0.053703896420774,3,engulfing_bearish
60,4,micro_fear_greed_z,0.053582014917841064,3,"micro_fear_greed_z, micro_greed_score_z, micro_fear_greed, micro_greed_score"
163,1,volume_autocorr,0.053539021037648016,3,volume_autocorr
79,13,second_half_return,0.0530581357600132,2,"second_half_return, close_to_fair_price, close_to_fair_price_bps, close_to_fair_value_bps, close_to_vwap, second_half_return_z, fib_nearest_level, close_to_fair_price_bps_z, close_in_value_area, close_to_vwap_z, close_to_poc, close_to_poc_bps, close_to_fair_value_bps_z"
203,1,price_tick_entropy_z,0.05274756946651395,2,price_tick_entropy_z
73,6,fomo_buy_ratio,0.05270895380808088,4,"fomo_buy_ratio, loss_aversion_ratio, down_move_vol_pct, fomo_buy_ratio_z, loss_aversion_ratio_z, down_move_vol_pct_z"
33,4,low_volume_node_pct,0.05267419696642478,3,"low_volume_node_pct, high_volume_node_pct, graph_transition_uniformity, graph_transition_entropy"
171,5,inter_trade_skew,0.05243776122733098,4,"inter_trade_skew, burstiness, inter_trade_skew_z, burstiness_z, inter_trade_entropy"
31,1,session_us,0.05144266455126944,1,session_us
98,8,hh_count_5_z,0.051216157684397925,3,"hh_count_5_z, lh_count_5_z, ll_count_5, hl_count_5, ms_score_5_z, ms_bullish_5, ms_score_5, ms_bearish_5"
66,4,ll_streak_z,0.051008432725714134,1,"ll_streak_z, lower_low, higher_low, ll_streak"
97,2,hh_count_10_z,0.05070673933956439,3,"hh_count_10_z, lh_count_10_z"
146,2,liq_pool_below_10,0.0496927738982349,3,"liq_pool_below_10, liq_pool_below_10_z"
94,2,failed_breakout_up_10,0.04941094553803663,4,"failed_breakout_up_10, failed_breakout_up_5"
7,1,ew_correction_quality_z,0.04923130234509147,4,ew_correction_quality_z
197,1,fib_intertime_ratio_pct_z,0.048905252832141415,2,fib_intertime_ratio_pct_z
67,1,hh_streak_z,0.048642160693690456,2,hh_streak_z
217,1,taylor_complexity,0.0478142484596303,3,taylor_complexity
137,2,rqa_recurrence_rate,0.04770454870062534,4,"rqa_recurrence_rate, rqa_determinism"
77,12,uptick_pct,0.047087831002637325,2,"uptick_pct, downtick_pct, net_tick_direction, trade_imbalance_z, sell_urgency_ratio_z, sell_urgency_ratio, buy_sell_trade_ratio, trade_imbalance, price_impact_asymmetry_z, price_impact_asymmetry, response_asymmetry_z, response_asymmetry"
179,2,max_trades_per_second,0.04704719063984177,3,"max_trades_per_second, trade_rate_std"
208,1,avg_body_ratio_5_z,0.04693178800546122,3,avg_body_ratio_5_z
151,1,liq_pool_above_20,0.046473168794335315,3,liq_pool_above_20
56,1,choch_bearish,0.0463114430972664,2,choch_bearish
24,2,ew_last_wave_pct_z,0.04576115153180568,3,"ew_last_wave_pct_z, ew_last_wave_pct"
