feature,target,is_binary,mean_oos,std_oos,snr,pct_positive,n_folds,metric
sell_urgency_ratio,tgt_ret_1,False,-0.005463242463280926,0.0064688869494553235,0.844541341650889,0.1,10,R2
resistance_touches_10,tgt_ret_1,False,-0.010737907837744243,0.015862253287995533,0.6769471929861713,0.2,10,R2
resistance_touches_20,tgt_ret_1,False,-0.01062605770214623,0.015116665888038778,0.7029365986420465,0.1,10,R2
large_buy_pct,tgt_ret_1,False,-0.007392903694687192,0.013142888864305584,0.5625021843382834,0.4,10,R2
fvg_bearish_size_bps_z,tgt_ret_1,False,-0.010183161446823763,0.011329212072134168,0.8988411005096036,0.3,10,R2
ew_impulse_quality_z,tgt_ret_1,False,-0.0066627934526957925,0.00972172242484255,0.6853511303377602,0.3,10,R2
engulfing_bearish,tgt_ret_1,False,-0.003938381813475067,0.010209813850398416,0.38574472279153066,0.4,10,R2
taylor_rate_a1,tgt_ret_1,False,-0.010502200867319077,0.00914577844993214,1.1483113137730776,0.1,10,R2
absorption_ratio_z,tgt_ret_1,False,-0.0052270060237077365,0.005015946609601841,1.0420776835426981,0.0,10,R2
max_drawup_z,tgt_ret_1,False,-0.012019279489679758,0.018022345673534532,0.6669098300189547,0.1,10,R2
session_asia,tgt_ret_1,False,-0.005483603119002945,0.009751828584458916,0.5623153720874396,0.3,10,R2
taylor_price_a0,tgt_ret_1,False,-0.00424958414339448,0.006227190084216054,0.6824240284820957,0.4,10,R2
inter_trade_entropy,tgt_ret_1,False,-0.008135297203945114,0.00848844770055178,0.9583963394645514,0.2,10,R2
turbulence,tgt_ret_1,False,-0.00595929686564074,0.0057970462244767715,1.0279885022270308,0.2,10,R2
size_gini_z,tgt_ret_1,False,-0.010949846052851398,0.011487560612003773,0.953191580239368,0.1,10,R2
side_sequence_entropy_z,tgt_ret_1,False,-0.004432710738645729,0.005834406266192755,0.7597535269922671,0.3,10,R2
volume_profile_skew_z,tgt_ret_1,False,-0.005295948386066474,0.00595545097060137,0.8892606810482564,0.1,10,R2
time_to_low_pct,tgt_ret_1,False,-0.008308717928444098,0.013108016331543638,0.6338653933814286,0.1,10,R2
near_support_5,tgt_ret_1,False,-0.008620455190492149,0.006852542713853369,1.2579936456382386,0.0,10,R2
volume_pct_q4_z,tgt_ret_1,False,-0.00486708856611322,0.005000158529136359,0.9733868511872716,0.2,10,R2
fib_size_ratio_pct_z,tgt_ret_1,False,-0.0042562988595550525,0.005527253636855717,0.7700567296521477,0.1,10,R2
area_above_vwap_pct_z,tgt_ret_1,False,-0.01025732606212908,0.015951479038725232,0.6430329148304983,0.2,10,R2
avg_trade_size_z,tgt_ret_1,False,-0.0038884621977953726,0.010961761681108656,0.35472967857864424,0.3,10,R2
hilbert_mean_amplitude,tgt_ret_1,False,-0.0036746988388491773,0.0029270920028067068,1.255409408151712,0.1,10,R2
taylor_price_rmse_z,tgt_ret_1,False,-0.006258724378536429,0.006538884749622354,0.9571547164671919,0.1,10,R2
hour_sin,tgt_ret_1,False,-0.004188127949410847,0.010906877340428485,0.3839896442116138,0.4,10,R2
atr_percentile_14,tgt_ret_1,False,-0.009719957656490096,0.010532773512317024,0.9228298363316726,0.0,10,R2
session_us,tgt_ret_1,False,-0.006164181686408155,0.008606499139706202,0.7162240518876738,0.1,10,R2
liq_pool_above_20,tgt_ret_1,False,-0.010509456731586108,0.014627502839290873,0.7184723767994562,0.1,10,R2
failed_breakout_up_10,tgt_ret_1,False,-0.010881131318952676,0.010761976024042984,1.0110718788671793,0.1,10,R2
buy_volume_z,tgt_ret_1,False,-0.0037131301815252595,0.006979315899580557,0.5320192172055733,0.2,10,R2
ob_demand,tgt_ret_1,False,-0.012236089451296206,0.01696346479615992,0.7213201782967199,0.2,10,R2
is_swing_low,tgt_ret_2,False,-0.010596485433817682,0.009041866454513115,1.171935627132449,0.1,10,R2
is_swing_high,tgt_ret_2,False,-0.014303334366429898,0.01698255736555034,0.8422367761550842,0.2,10,R2
close,tgt_ret_2,False,-0.04093424924564926,0.08177838892713617,0.5005509375113921,0.3,10,R2
avg_buy_size,tgt_ret_2,False,-0.009978779365744317,0.0189394312516065,0.5268785125159388,0.2,10,R2
fvg_bearish_count_10,tgt_ret_2,False,-0.004022646537812436,0.010000855976700198,0.40223022381127377,0.5,10,R2
hilbert_std_amplitude,tgt_ret_2,False,-0.005789575074167374,0.017138381165907494,0.3378134152882701,0.2,10,R2
market_pressure,tgt_ret_2,False,-0.013938628659119556,0.03936668250032258,0.3540717117579145,0.5,10,R2
trade_size_p25,tgt_ret_2,False,-0.007398329404138493,0.014244251874239692,0.5193905211349255,0.2,10,R2
golden_ratio_half_dist_z,tgt_ret_2,False,-0.00521274317799324,0.004266958375301702,1.2216531588791661,0.2,10,R2
price_volume_angle_cos_z,tgt_ret_2,False,-0.005338204766878874,0.005878946178558349,0.9080206902298811,0.0,10,R2
