feature,target,is_binary,full_r,mean_r,std_r,sign_pct,snr,max_wrong_streak,regime_high_r,regime_low_r,regime_consistent,n_windows,tier2_pass
dist_to_equal_low_bps,tgt_profitable_short_5,True,-0.008254200509635268,-0.006698619250938365,0.022715855581314486,0.6,0.29488738502319445,3,-0.00582952053271929,-0.010161421437695994,True,10,False
liq_void_up_bps,tgt_profitable_short_5,True,-0.005003035913361931,-0.0023589237260962124,0.009646134504734064,0.5,0.2445460121812023,5,-0.0063620407635112675,-0.0036946098843671504,True,10,False
liq_void_down_bps,tgt_profitable_short_5,True,0.005372156527047922,0.005448033082648418,0.010502827619465954,0.7,0.5187206036354465,2,0.010598977428441625,0.00016424175058482593,True,10,True
liq_void_count_10,tgt_profitable_short_5,True,-0.013052353745288514,-0.003313953592335067,0.04635655836516783,0.4,0.07148834402739357,3,0.010170970513973199,-0.037062229374388245,False,10,False
upper_wick_ratio,tgt_profitable_short_5,True,0.0092483377130117,0.00792738263664317,0.01790112746892342,0.7,0.44284264499011056,2,0.028338039197470466,-0.010005474725019559,False,10,False
lower_wick_ratio,tgt_profitable_short_5,True,0.015769745049636352,0.021807232986093918,0.02655072493622641,0.8,0.8213422811796613,2,0.008029277000102919,0.02202498465417979,True,10,True
body_ratio,tgt_profitable_short_5,True,-0.01728770173063654,-0.021835273912581117,0.02657512907502533,0.8,0.8216431931877759,2,-0.0337163276343162,0.0007498714269124074,False,10,False
upper_wick_rejection,tgt_profitable_short_5,True,0.01683189998407386,0.01941589392937786,0.019912636678643007,0.8,0.975053893802124,2,0.035844749615955074,-0.0030492559350996373,False,10,False
lower_wick_rejection,tgt_profitable_short_5,True,0.017483460078568713,0.02349832734967335,0.027944917181478585,0.8,0.8408801928834357,2,0.02100717658105422,0.010957745076894954,True,10,True
avg_upper_wick_5,tgt_profitable_short_5,True,0.017036782661782657,0.012200137773986574,0.025230700134020588,0.7,0.4835433701475507,2,0.028044406546846923,0.005410023723808388,True,10,False
avg_lower_wick_5,tgt_profitable_short_5,True,0.024497166480862198,0.018682508023458437,0.023804324270052697,0.8,0.7848367301466389,1,0.023591807483153482,0.025085853642351164,True,10,True
avg_body_ratio_5,tgt_profitable_short_5,True,-0.029622551361681793,-0.025067964079716103,0.041967414702948666,0.7,0.5973197123804438,2,-0.032921694641950605,-0.025374520961560787,True,10,True
engulfing_bullish,tgt_profitable_short_5,True,-0.009082855550246849,-0.009247447173632461,0.006419671686740232,0.8,1.4404859975523316,2,-0.02028885489902027,0.0020886905453157967,False,10,False
three_crows,tgt_profitable_short_5,True,0.010192705844879746,0.013180740827640303,0.016503280047960152,0.8,0.7986740083992865,2,0.013921837310922114,0.006622758266005335,True,10,True
morning_star,tgt_profitable_short_5,True,0.005579112916069384,0.0031048364237138025,0.014820789050394882,0.5,0.2094919786764712,5,0.012525008543548877,-0.0013686812548733274,False,10,False
bullish_patterns_5,tgt_profitable_short_5,True,-0.01723710317460314,-0.018369450518125767,0.02107620931622697,0.9,0.8715727881855292,1,-0.008885290829039438,-0.025548716757635592,True,10,True
pattern_bias_5,tgt_profitable_short_5,True,-0.014561186096512246,-0.012596241723723534,0.032372181809169884,0.7,0.3891069745615808,2,-0.0068729947544268755,-0.022204157472999697,True,10,False
gap_bps,tgt_profitable_short_5,True,0.009473542761586184,0.0038175637437225683,0.023709282462428437,0.7,0.16101557479743114,3,-0.0019459384134546953,0.02107769132504944,False,10,False
gap_down,tgt_profitable_short_5,True,-0.009276954929128833,-0.004951712398122182,0.016269367862508072,0.6,0.30435800825016385,4,-0.001068358344641751,-0.017441146706040467,True,10,False
gap_abs_bps,tgt_profitable_short_5,True,-0.017406732759993715,-0.022964597352921806,0.015983581647313092,0.9,1.4367616632897955,1,-0.016511445037608263,-0.019264396038289944,True,10,True
gap_filled,tgt_profitable_short_5,True,-0.008978340500079618,-0.005644131931996144,0.01646231181710508,0.7,0.3428517206272109,3,-0.00393832718971987,-0.013940640708728025,True,10,False
gap_fill_pct,tgt_profitable_short_5,True,-0.008587653288740227,-0.005339592390152142,0.016561360869664202,0.7,0.3224126587285944,3,-0.00393832718971987,-0.01313104500887563,True,10,False
gap_fill_rate_10,tgt_profitable_short_5,True,-0.006717165684556936,-0.00813453457651847,0.030604135925619922,0.5,0.2657985376972768,3,0.005834497357306123,-0.01879655590026047,False,10,False
true_range,tgt_profitable_short_5,True,0.01688498699368257,0.018977471501030206,0.03142929722720591,0.7,0.6038146944183937,2,0.009620201926362926,0.03211838678102752,True,10,True
atr_5,tgt_profitable_short_5,True,0.03180077772469081,0.04654246614995906,0.04845675822485338,0.7,0.9604948381810551,2,0.023749406928403327,0.04794366010252671,True,10,True
range_atr_ratio_5,tgt_profitable_short_5,True,-0.011594949434623358,-0.016963122183001444,0.0137075061037979,1.0,1.2375060827659614,0,-0.01596731221611364,-0.005376843572175161,True,10,True
body_atr_ratio_5,tgt_profitable_short_5,True,-0.018360639963900804,-0.02460511709535957,0.022765907920312772,0.9,1.080787868486711,1,-0.03421235115147131,0.00010451747764494979,False,10,False
atr_percentile_5,tgt_profitable_short_5,True,0.02566715440356737,0.033353620199314114,0.041514749161670444,0.8,0.8034161562539007,2,0.021873144059164407,0.02901438359573294,True,10,True
atr_10,tgt_profitable_short_5,True,0.025393009768009733,0.04145282497176962,0.04083246321947982,0.9,1.0151928564523593,1,0.025166142994124008,0.029692917696633847,True,10,True
body_atr_ratio_10,tgt_profitable_short_5,True,-0.015413481446090116,-0.02174649283750717,0.021722700925709604,0.8,1.0010952556903,2,-0.03571535217669719,0.007400832821806036,False,10,False
atr_percentile_10,tgt_profitable_short_5,True,-0.005004694882412231,0.011136835753678454,0.03758936686335954,0.5,0.29627622604450277,5,0.006348769231279694,-0.013663586442590026,False,10,False
atr_14,tgt_profitable_short_5,True,0.013174702712746234,0.025526440019675738,0.034129464265829114,0.6,0.7479297014700919,2,0.018208542221720858,0.010465019825140587,True,10,False
range_atr_ratio_14,tgt_profitable_short_5,True,0.01004754605298086,0.009457242078670158,0.02009662419797183,0.6,0.4705885916712615,2,-0.004414443408527591,0.024681055792424855,False,10,False
body_atr_ratio_14,tgt_profitable_short_5,True,-0.010240401205075078,-0.015485869816804321,0.018826159074509848,0.8,0.8225719200350221,2,-0.030031818498525154,0.012329744346931681,False,10,False
atr_percentile_14,tgt_profitable_short_5,True,-0.024203114216701183,-0.007823091633149403,0.03418551293388767,0.5,0.22884230663084393,5,-0.013035962534464485,-0.03511787248867726,True,10,False
atr_20,tgt_profitable_short_5,True,0.01933196634283596,0.03010560381215558,0.03490421620401891,0.8,0.8625205515627419,1,0.019266946917188887,0.02143935497785221,True,10,True
range_atr_ratio_20,tgt_profitable_short_5,True,0.005064832510484729,0.006154740740591591,0.02251212159545721,0.5,0.2733967438161659,5,-0.005472848103995731,0.012530484264313024,False,10,False
body_atr_ratio_20,tgt_profitable_short_5,True,-0.012390010351966851,-0.01728791037563593,0.017802490692088526,0.9,0.9710950380285115,1,-0.030502957892746152,0.007742588383628846,False,10,False
atr_change_pct_14,tgt_profitable_short_5,True,0.006433896719222787,0.009209790542564572,0.0257067730164543,0.5,0.35826319144256663,5,0.005008344475890603,0.011198301176236436,True,10,False
donchian_position_20,tgt_profitable_short_5,True,0.011302556139512698,0.014305215338133493,0.02860398052866379,0.7,0.5001127491258905,3,0.031627720249372104,-0.012756109295419482,False,10,False
donchian_width_bps_20,tgt_profitable_short_5,True,0.012844567871741819,0.01838969579382979,0.05227248064637663,0.6,0.3518045358940605,2,-0.0008045866415392067,0.026925693050417143,False,10,False
donchian_width_change_20,tgt_profitable_short_5,True,-0.010620719859850303,-0.0108642203514755,0.01563330543080184,0.7,0.6949407084486464,2,-0.020569216017412184,-0.001673938649899731,True,10,True
donchian_mid_dist_bps_20,tgt_profitable_short_5,True,0.02141811992355469,0.026283015015958318,0.0280510992757175,0.8,0.9369691632267072,2,0.04717532025866222,-0.00944473016241687,False,10,False
net_volume_delta_z,tgt_profitable_short_5,True,-0.006467490842490875,-0.014958333720714711,0.01697346561221582,0.8,0.8812775223669811,2,-0.02192291230503296,0.010022064800836117,False,10,False
avg_trade_size_z,tgt_profitable_short_5,True,-0.017674656261612798,-0.022963675648077442,0.015545650499372614,0.9,1.4771768893816442,1,-0.04169085956396379,0.0083696932494981,False,10,False
median_trade_size_z,tgt_profitable_short_5,True,-0.03241749946912992,-0.037334186053816776,0.0219271509309156,1.0,1.702646466540185,0,-0.034992053670076295,-0.029895316621596946,True,10,True
avg_buy_size_z,tgt_profitable_short_5,True,-0.012771573233529787,-0.022556212675750066,0.014640677497432742,0.9,1.5406536124919985,1,-0.03176375345474575,0.008966935978897417,False,10,False
avg_sell_size_z,tgt_profitable_short_5,True,-0.016113566385305478,-0.017445632493398,0.015145421098615879,0.8,1.1518750373333848,1,-0.04133916395982706,0.011335998805514613,False,10,False
trade_size_p25_z,tgt_profitable_short_5,True,-0.020886420342942136,-0.012172075852406978,0.031520716707167315,0.7,0.38616113857713263,3,-0.0022329352979624795,-0.03732103455712793,True,10,False
trade_size_p75_z,tgt_profitable_short_5,True,-0.03012107156128896,-0.036820034622192126,0.027249645985389464,1.0,1.3512114851669652,0,-0.03759327398746504,-0.023851552001592724,True,10,True
trade_size_iqr_z,tgt_profitable_short_5,True,-0.029914944656792453,-0.036737789104229555,0.027466833828904462,1.0,1.3375327252159983,0,-0.037855386749038655,-0.023289148431408335,True,10,True
vwap_spread_z,tgt_profitable_short_5,True,0.019049112119764233,0.020233490713639384,0.02882329337653584,0.8,0.7019839977797557,1,0.012758919299130422,0.028622857806460122,True,10,True
vwap_spread_bps_z,tgt_profitable_short_5,True,0.018497504910548357,0.019155124093896227,0.02925495190718272,0.6,0.65476518828914,3,0.011053527407372976,0.029279824808799426,True,10,False
twap_vwap_spread_bps_z,tgt_profitable_short_5,True,0.024331269575834757,0.027427004161773183,0.022378142233026026,0.9,1.2256157761521402,1,0.02137877948353839,0.029538629991539,True,10,True
close_to_vwap_z,tgt_profitable_short_5,True,-0.007835310824441277,-0.010753035134410055,0.013637741597410408,0.7,0.7884762339573795,2,-0.028754433521236078,0.01722879373558739,False,10,False
garman_klass_vol_z,tgt_profitable_short_5,True,0.007322689387906811,0.009212128103013102,0.03168453789965147,0.5,0.29074522507441825,5,-0.005290364535811665,0.024827048459611367,False,10,False
inter_trade_skew_z,tgt_profitable_short_5,True,-0.009869206880076475,-0.011287815732805444,0.03538893157001527,0.6,0.31896458107171316,3,-0.014447721775598332,-0.002908240290658115,True,10,False
max_trades_per_second_z,tgt_profitable_short_5,True,0.011611124382863491,0.012068092658757561,0.009071723791693407,0.8,1.3302976298515397,2,-0.0006088315411234557,0.033716011082170705,False,10,False
max_sell_run_z,tgt_profitable_short_5,True,0.017809032754684928,0.018615475363551393,0.009343347369593993,1.0,1.992377531004749,0,0.020685341924438605,0.02318463095376344,True,10,True
cvd_final_z,tgt_profitable_short_5,True,-0.006469979296066242,-0.014962491412618883,0.01697455650190255,0.8,0.8814658227413394,2,-0.021929548071148663,0.010025382815999406,False,10,False
cvd_max_z,tgt_profitable_short_5,True,0.005336903434729479,-0.0031049272749347654,0.019968584276093583,0.3,0.15549060624452926,5,-0.004185509477532934,0.015045539758116622,False,10,False
path_length_over_range_z,tgt_profitable_short_5,True,-0.0053651059085841335,0.005258736683760479,0.023829765326498786,0.4,0.2206793315716267,6,-0.0037707740952962476,-0.0036116595052839706,True,10,False
amihud_illiquidity_z,tgt_profitable_short_5,True,-0.010518693263258494,-0.018702258696038365,0.029366817205616135,0.8,0.6368500394541132,2,-0.02456726510217422,0.00168057468022631,False,10,False
roll_spread_z,tgt_profitable_short_5,True,-0.006296617030312701,-0.010817939880391581,0.00937930304631049,0.9,1.1533841935779017,1,-0.0023971705093281948,0.0034424407319540995,False,10,False
avg_notional_per_trade_z,tgt_profitable_short_5,True,-0.01282880766576422,-0.01618634061708718,0.019799270620534545,0.8,0.8175220657017404,2,-0.02665753142864724,0.0021616868789090526,False,10,False
second_half_return_z,tgt_profitable_short_5,True,-0.0077963250517598115,-0.006394951078969413,0.009629668142448882,0.6,0.6640884176246533,2,-0.02432837752200584,0.012105778323406868,False,10,False
intracandle_reversal_z,tgt_profitable_short_5,True,0.011793610978393598,0.022276751036768565,0.032755697661525016,0.8,0.6800878206582952,2,0.015642159676440004,0.007669592050035701,True,10,True
ofi_shift_z,tgt_profitable_short_5,True,-0.021708439507352517,-0.019582921410220656,0.018675178123453623,0.8,1.048606941297498,2,-0.03906309618211201,-0.005360253496358491,True,10,True
return_z,tgt_profitable_short_5,True,-0.0058603081700907556,-0.01166880623849561,0.028666548102150406,0.6,0.4070530639725081,3,-0.01509802685494549,0.005416659754135078,False,10,False
return_autocorr_1_z,tgt_profitable_short_5,True,0.007079650422041728,0.011558519583063531,0.016701421290159606,0.7,0.6920680211733689,3,0.012324276618546293,-0.004879141297675749,False,10,False
inter_trade_entropy_z,tgt_profitable_short_5,True,0.00717587062695757,0.009101980457376313,0.04074717120762306,0.7,0.22337699004915207,3,0.0018397661556021072,0.01526452875889639,True,10,False
side_sequence_entropy_z,tgt_profitable_short_5,True,-0.013303272814142342,-0.019646243054833135,0.02685911382206341,0.8,0.7314553706047716,2,-0.027301200741878695,-0.0009406572988038264,True,10,True
price_tick_entropy_z,tgt_profitable_short_5,True,0.01181517757604722,0.011662135740138501,0.0320071807429988,0.7,0.36435998014881266,3,0.04086138879949042,-0.016969988552847648,False,10,False
vpin_z,tgt_profitable_short_5,True,0.025454391622869887,0.027483759714827926,0.021372893913927604,1.0,1.2859166299851508,0,0.02400986074844802,0.0256698243110971,True,10,True
toxic_flow_ratio_z,tgt_profitable_short_5,True,0.013279217762913409,0.01674187033663141,0.014577228413357112,0.8,1.1484947523557247,1,0.011491487971014958,0.014962589379033497,True,10,True
price_clustering_z,tgt_profitable_short_5,True,-0.011868264585655874,-0.007549438996559288,0.02128033836998112,0.7,0.35476122913575575,3,-0.004837473498409073,-0.01817774607229955,True,10,False
temporal_clustering_z,tgt_profitable_short_5,True,-0.005777359717577091,-0.0014986329077934291,0.027055474906482267,0.5,0.05539111447769742,4,-0.018953406968218012,0.005118038389435475,False,10,False
