target,fold,score,n_train,n_test
tgt_mean_reversion_10,3,,1530,270
tgt_mean_reversion_10,4,,1800,270
tgt_mean_reversion_5,0,0.4776951672862454,720,270
tgt_mean_reversion_5,1,0.4739776951672863,990,270
tgt_mean_reversion_5,2,0.5,1260,270
tgt_mean_reversion_5,3,,1530,270
tgt_mean_reversion_5,4,,1800,270
tgt_mid_reversion_1,0,0.4962825278810409,720,270
tgt_mid_reversion_1,1,0.18656716417910446,990,270
tgt_mid_reversion_1,2,0.41760299625468167,1260,270
tgt_mid_reversion_1,3,,1530,270
tgt_mid_reversion_1,4,,1800,270
tgt_mid_reversion_3,0,0.48884758364312264,720,270
tgt_mid_reversion_3,1,0.4421641791044777,990,270
tgt_mid_reversion_3,2,0.5,1260,270
tgt_mid_reversion_3,3,,1530,270
tgt_mid_reversion_3,4,,1800,270
tgt_optimal_action_3,0,0.17138779095300838,720,270
tgt_optimal_action_3,1,,990,270
tgt_optimal_action_3,2,,1260,270
tgt_optimal_action_3,3,,1530,270
tgt_optimal_action_3,4,,1800,270
tgt_profitable_long_1,0,0.1938820301783265,720,270
tgt_profitable_long_1,1,0.20003844252842007,990,270
tgt_profitable_long_1,2,0.24213248239436624,1260,270
tgt_profitable_long_1,3,0.1633222479003439,1530,270
tgt_profitable_long_1,4,0.17965534273640305,1800,270
tgt_profitable_long_10,0,0.14590307886504583,720,270
tgt_profitable_long_10,1,0.1631365232660228,990,270
tgt_profitable_long_10,2,0.0927043181945143,1260,270
tgt_profitable_long_10,3,0.16494505494505485,1530,270
tgt_profitable_long_10,4,0.07837776900963855,1800,270
tgt_profitable_long_3,0,0.11665568730786124,720,270
tgt_profitable_long_3,1,0.14923179322203128,990,270
tgt_profitable_long_3,2,0.15534584086799275,1260,270
tgt_profitable_long_3,3,0.09130816505706763,1530,270
tgt_profitable_long_3,4,0.16295546558704455,1800,270
tgt_profitable_long_5,0,0.1502525252525253,720,270
tgt_profitable_long_5,1,0.08569389547650408,990,270
tgt_profitable_long_5,2,0.0934674502712477,1260,270
tgt_profitable_long_5,3,0.11650832006150802,1530,270
tgt_profitable_long_5,4,0.135116598079561,1800,270
tgt_profitable_short_1,0,0.14321387410131148,720,270
tgt_profitable_short_1,1,0.20412087912087917,990,270
tgt_profitable_short_1,2,0.2632032945628583,1260,270
tgt_profitable_short_1,3,0.19852292768959434,1530,270
tgt_profitable_short_1,4,0.16192542149486522,1800,270
tgt_profitable_short_10,0,0.11920438957475987,720,270
tgt_profitable_short_10,1,0.14343340102080004,990,270
tgt_profitable_short_10,2,0.10236858276073968,1260,270
tgt_profitable_short_10,3,0.12494512730465324,1530,270
tgt_profitable_short_10,4,0.13393106530361432,1800,270
tgt_profitable_short_3,0,0.10869565217391308,720,270
tgt_profitable_short_3,1,0.170018434724317,990,270
tgt_profitable_short_3,2,0.15629314312011044,1260,270
tgt_profitable_short_3,3,0.10491659350307292,1530,270
tgt_profitable_short_3,4,0.13364183764495985,1800,270
tgt_profitable_short_5,0,0.12046639231824419,720,270
tgt_profitable_short_5,1,0.10954423002913849,990,270
tgt_profitable_short_5,2,0.1028235025148605,1260,270
tgt_profitable_short_5,3,0.14618086040386313,1530,270
tgt_profitable_short_5,4,0.12043175250722415,1800,270
tgt_regime_change_10,0,0.08181818181818179,720,270
tgt_regime_change_10,1,0.011961722488038284,990,270
tgt_regime_change_10,2,0.08782679738562094,1260,270
tgt_regime_change_10,3,0.06405462065839429,1530,270
tgt_regime_change_10,4,0.08929411764705886,1800,270
tgt_regime_change_5,0,0.0514795651415616,720,270
tgt_regime_change_5,1,0.08392407288066084,990,270
tgt_regime_change_5,2,0.05134453299696118,1260,270
tgt_regime_change_5,3,0.04146097953297467,1530,270
tgt_regime_change_5,4,0.08790815483728875,1800,270
tgt_relative_ret_1,0,0.13721131161611577,720,270
tgt_relative_ret_1,1,0.13962036364093922,990,270
tgt_relative_ret_1,2,0.15866054989277178,1260,270
tgt_relative_ret_1,3,0.07377987935823771,1530,270
tgt_relative_ret_1,4,0.18117609089654074,1800,270
tgt_relative_ret_5,0,0.06519620535892956,720,270
tgt_relative_ret_5,1,0.041582115362460925,990,270
tgt_relative_ret_5,2,0.06921308969562734,1260,270
tgt_relative_ret_5,3,0.012388621353937479,1530,270
tgt_relative_ret_5,4,0.05019561402856354,1800,270
tgt_ret_sign_1,0,,720,270
tgt_ret_sign_1,1,,990,270
tgt_ret_sign_1,2,,1260,270
tgt_ret_sign_1,3,0.15217875229562017,1530,270
tgt_ret_sign_1,4,0.15512510974539073,1800,270
tgt_ret_sign_10,0,,720,270
tgt_ret_sign_10,1,,990,270
tgt_ret_sign_10,2,,1260,270
tgt_ret_sign_10,3,0.08441123996431754,1530,270
tgt_ret_sign_10,4,0.12993249547225738,1800,270
tgt_ret_sign_3,0,,720,270
tgt_ret_sign_3,1,,990,270
tgt_ret_sign_3,2,,1260,270
tgt_ret_sign_3,3,0.13158773443152094,1530,270
tgt_ret_sign_3,4,0.11602194787379971,1800,270
tgt_ret_sign_5,0,,720,270
tgt_ret_sign_5,1,,990,270
tgt_ret_sign_5,2,,1260,270
tgt_ret_sign_5,3,0.11725022301516508,1530,270
tgt_ret_sign_5,4,0.15168724279835388,1800,270
tgt_tail_event_1,0,0.14343969094291031,720,270
tgt_tail_event_1,1,0.10636856368563685,990,270
tgt_tail_event_1,2,0.26358521928142187,1260,270
tgt_tail_event_1,3,0.21899041706033207,1530,270
tgt_tail_event_1,4,0.11176197656884357,1800,270
tgt_tail_event_3,0,0.14974484723971115,720,270
tgt_tail_event_3,1,0.22817074050039643,990,270
tgt_tail_event_3,2,0.25947067981318106,1260,270
tgt_tail_event_3,3,0.24289851075565372,1530,270
tgt_tail_event_3,4,0.1708821904352631,1800,270
tgt_tail_event_5,0,0.1820972291355567,720,270
tgt_tail_event_5,1,0.24469844645283234,990,270
tgt_tail_event_5,2,0.2825939913195422,1260,270
tgt_tail_event_5,3,0.2721789321789322,1530,270
tgt_tail_event_5,4,0.17034482758620706,1800,270
tgt_vol_expansion_10,0,0.28710227272727273,720,270
tgt_vol_expansion_10,1,0.3240781387181738,990,270
tgt_vol_expansion_10,2,0.35405555555555557,1260,270
tgt_vol_expansion_10,3,0.36356606274856396,1530,270
tgt_vol_expansion_10,4,0.280704368035278,1800,270
tgt_vol_expansion_5,0,0.226287411971831,720,270
tgt_vol_expansion_5,1,0.23350649350649344,990,270
tgt_vol_expansion_5,2,0.29582622102307154,1260,270
tgt_vol_expansion_5,3,0.31542776998597466,1530,270
tgt_vol_expansion_5,4,0.15885975039859257,1800,270
