target,type,sol_score,xrp_score,doge_score,avg_score,n_positive,n_coins,status
tgt_max_drawdown_long_5,continuous,0.1777220874702652,0.12781677380343962,0.10611224942917401,0.1372170369009596,3,3,UNIVERSAL
tgt_tail_event_3,binary,0.1749386953760632,0.13872270733069222,0.11932233012199418,0.14432791094291655,3,3,UNIVERSAL
tgt_crash_5,binary,0.1707814201386206,0.12479649352825994,0.14017545779043314,0.14525112381910457,3,3,UNIVERSAL
tgt_crash_3,binary,0.167015003230656,0.10277397251088127,0.0928552201231521,0.12088139862156312,3,3,UNIVERSAL
tgt_best_side_3,continuous,0.1586446564265825,0.18755471225634937,0.09950632246405987,0.14856856371566393,3,3,UNIVERSAL
tgt_tail_event_1,binary,0.150032540433146,0.04548085005199017,0.0806621177781222,0.09205850275441946,3,3,UNIVERSAL
tgt_ret_magnitude_1,continuous,0.1453174727451329,0.26013950051084767,0.20698348852040663,0.20414682059212907,3,3,UNIVERSAL
tgt_ret_magnitude_5,continuous,0.1371540174887573,0.106600560180087,0.1026579677796301,0.1154708484828248,3,3,UNIVERSAL
tgt_pnl_short_bps_3,continuous,0.1356923060118201,0.11121154269188945,0.06223638200546861,0.10304674356972605,3,3,UNIVERSAL
tgt_max_drawup_long_10,continuous,0.1223539672102468,0.13071135577163143,0.08910989716651933,0.11405840671613253,3,3,UNIVERSAL
tgt_max_drawup_short_10,continuous,0.1129239433952418,-0.02138882468614342,0.11388102451502659,0.06847204774137498,2,3,CROSS-COIN
tgt_adverse_selection_1,binary,0.1033029792743389,0.09435099261522024,0.11951304684068335,0.1057223395767475,3,3,UNIVERSAL
tgt_regime_change_5,binary,0.0959830813683974,0.04651350354857472,0.12582059040556737,0.0894390584408465,3,3,UNIVERSAL
tgt_ret_magnitude_3,continuous,0.0938239170576242,0.15383628747959383,0.1298557894018125,0.12583866464634352,3,3,UNIVERSAL
tgt_cum_ret_5,continuous,0.0828224415641166,0.06132947579253306,0.08075529395835708,0.07496907043833557,3,3,UNIVERSAL
tgt_recovery_time_5,continuous,0.0806531052108359,0.10720775781288704,0.10879940361053515,0.0988867555447527,3,3,UNIVERSAL
tgt_optimal_action_5,continuous,0.0796964233167466,0.09097113117897337,0.10835836985142822,0.0930086414490494,3,3,UNIVERSAL
tgt_autocorr_break_5,binary,0.0782886365491071,0.048567717571301704,0.06376177068488793,0.06353937493509891,3,3,UNIVERSAL
tgt_regime_change_10,binary,0.0663010643855065,-0.0716189487492378,0.17880508079790955,0.05782906547805942,2,3,CROSS-COIN
tgt_ret_2,continuous,0.0417468795798342,-0.0036106663461492132,0.08012817965980638,0.03942146429783046,2,3,CROSS-COIN
tgt_ret_sign_10,continuous,0.0253311968596507,0.03391126294590762,0.024212823024821948,0.027818427610126758,3,3,UNIVERSAL
