,tgt_ret_1,tgt_ret_3,tgt_ret_5,tgt_cum_ret_5,tgt_cum_ret_10,tgt_sharpe_5,tgt_sharpe_10,tgt_profitable_long_3,tgt_profitable_long_5,tgt_profitable_short_3,tgt_profitable_short_5
flow_velocity_z,0.004843589255856706,0.018814469073029194,0.017234160433354795,0.01830073308253155,0.0,0.008143028590356316,0.003488519534155188,0.006988806774976819,0.01029338063065044,0.0043578735506764055,0.010254981419178133
bernoulli_z,0.031087123793358096,0.0,0.006321563164077837,0.010206245489971622,0.0,0.013435457773508297,0.011540642239240562,0.0,0.0,0.0,0.0
wave_amplitude_z,0.014743338265439832,0.028154736573858585,0.0,0.014729883875665095,0.0,0.007782520319643993,0.0,0.0067467281372186605,0.005348693276689964,0.009038231453953216,0.005565014633841958
wave_frequency_z,0.025284092443278006,0.021352480028521192,0.0,0.0173034209750087,0.0,0.013053616541498059,0.01905218562159927,0.016333340551555775,0.016289830181734466,0.014478042570252203,0.014927146180633954
zero_crossing_rate_z,0.0,0.0,0.0,0.013850452569109883,0.01037453895853968,0.011227876016288718,0.0,0.0,0.0,0.0,0.0
wave_wavelength_z,0.013865783958205036,0.008762741577169386,0.0,0.038546409556700745,0.006897464237977324,0.01753191279657962,0.009905711504822001,0.0,0.0,0.0,0.0006675945264991157
standing_wave_ratio_z,0.0,0.00471982893109546,0.01905873173336614,0.011350552329923325,0.016991169935190342,0.0,0.025130144643457086,0.0,0.013505367905355392,0.0,0.015083328895187709
wave_energy_z,0.022930079990935326,0.022069053152558027,0.0,0.03074537012406431,0.004456643875075272,0.004374291821964249,0.01810705382748079,0.008472839315451175,0.0,0.005937144831677621,0.0
vwap_gravity_z,0.0,0.0,0.0,0.03061388659515707,0.0,0.004080750589425364,0.020255652967610782,0.0,0.0008729703191829863,0.0,0.0
escape_velocity_z,0.005920684329872472,0.0,0.0010292082420102489,0.026055262998860407,0.002644362179180959,0.005488717181683533,0.026974421811227778,0.004503575542596394,0.02182284283030178,0.0,0.018580219112225738
orbital_energy_z,0.003777813719828771,0.0004552219290019366,0.0,0.017243377572073726,0.022930895638199722,0.0,0.023359649374508074,0.011652496386125755,0.0034845872197366567,0.012280898810482554,0.0022710911298902126
binding_energy_z,0.011738452987013481,0.008224804146411024,0.012308532286416707,0.0015573399341564098,0.0028198512959223265,0.0,0.0,0.005392916340607012,0.004022370391364216,0.008758089052702367,0.003152242917163761
centripetal_accel_z,0.008028218345239146,0.0,0.0,0.010178390587189945,0.0011881819194021759,0.0,0.017518845551121487,0.01388454464199862,0.0076520279404230784,0.0148253034471022,0.005428221780524822
anchor_dist_100_bps_z,0.0,0.02532762961417312,0.0,0.020169476493740568,0.020718944288202756,0.0,0.0,0.0,0.0,0.0,0.0
anchor_dist_500_bps_z,0.0,0.0,0.0,0.009926762134024214,0.010610326244221868,0.0076803585613236525,0.010798611566647853,0.01487057866950936,0.0005117863240622356,0.01304221482426371,0.0014420161281956112
anchor_dist_1k_bps_z,0.0,7.961954192214904e-05,0.00010903788729788033,0.0,0.0,0.0,0.0,0.009753653065072143,0.008402915779451625,0.00722285032510106,0.01090793383615729
round_level_magnet_pct_z,0.0055467569609457534,0.01187041935326949,0.007446239833065249,0.023894351389148305,0.017653300961059326,0.03354119621640894,0.014889416657479781,0.0037000634419999123,0.028283163100773834,0.005238351835775923,0.030508470062589055
drift_from_open_bps_z,0.0,0.0007761343539876009,0.0,0.005761287516929059,0.006267994333023275,0.004169319183115583,0.0,0.0,0.02184801869660724,0.001954730559657225,0.019593820405424456
