,max_|spearman|,max_|auc-0.5|,max_mi,max_|spearman|_norm,max_|auc-0.5|_norm,max_mi_norm,composite
dominant_freq_power_pct,0.4934887622470536,0.3495402123660012,0.03373648741768598,0.8346061734739688,0.7766551899305753,0.2632919537516128,0.6248511057187189
wave_energy,0.5612733435281364,0.37476502565665804,0.010919329095766317,0.9492459268615395,0.8327030535643731,0.08521845963649356,0.6223891466874688
escape_velocity,0.46470443937017686,0.35834222425443274,0.034024307509707974,0.785925077955359,0.7962126770898007,0.26553820759005226,0.6158919875450707
buy_volume,0.48088894934162635,0.38600569018950365,0.020016096619747792,0.8132969108524585,0.8576790653045098,0.15621297855483526,0.6090629849039345
max_drawdown,0.48796402250159865,0.2844205659706346,0.040754874367149085,0.8252625323393703,0.6319636507309364,0.3180660263819552,0.5917640698174207
graph_self_loop_ratio,0.4151490265653404,0.41102728242645936,0.01927649744060389,0.7021151584191125,0.9132753852232318,0.15044087458743166,0.5886104727432587
max_drawup,0.439472173692993,0.3721231519585429,0.02053224999814951,0.7432513509812678,0.8268329852683862,0.16024122932535384,0.5767751885250026
flash_event_count,0.48155826831014265,0.259995935578926,0.039455853905188576,0.8144288874766136,0.5776937404752497,0.30792799300704005,0.5666835403196344
kinetic_energy,0.36597110679273,0.445333536554387,0.010329971902249824,0.6189436688517769,0.9895016086244849,0.08061889937352507,0.5630213922832622
max_up_sweep,0.45338414455131465,0.2637999796778946,0.04193889882339752,0.7667797829371964,0.586146074391827,0.32730658864072526,0.5600774819899161
orbital_energy,0.39831321528306796,0.36160646242950767,0.02507231818093336,0.6736418210169675,0.8034655980132075,0.19567359094649994,0.5575936699922249
spectral_flatness,0.48315631254704616,0.2702585987908347,0.030147739576470656,0.817131558109945,0.6004966980865833,0.23528404590581503,0.5509707673674478
close,0.24978035269996263,0.10084845503890949,0.12813337793646618,0.42243763247344096,0.22407858447037934,1.0,0.5488387389812734
total_energy,0.4268710344450862,0.3385789767819946,0.021261803698326087,0.7219398452010347,0.7523000507986679,0.16593493468086487,0.5467249435601892
temporal_clustering,0.3727793272297404,0.3785373164659859,0.019910098934069254,0.6304579792916484,0.8410848337754698,0.15538573363719096,0.542309515568103
max_down_sweep,0.44989446148682555,0.22794416501549553,0.04531352936026822,0.7608779038025464,0.50647683016312,0.35364344630589967,0.5403327267571887
twap,0.25080058316768916,0.10018971665466292,0.12337758678796718,0.4241630834094534,0.22261491143125023,0.9628840570264439,0.5365540172890492
vwap_buy,0.2499668580810309,0.09925869973826135,0.12273035999750448,0.4227530571686598,0.22054625353594828,0.9578328611484765,0.5337107239510283
vwap,0.2499251223438119,0.09959246051961279,0.12123692838540734,0.4226824721693604,0.22128784787577338,0.9461775716669362,0.5300492972373566
fair_price,0.24998025580083413,0.09934653152282746,0.12118970063418999,0.42277571588049623,0.2207414099411653,0.9458089889293393,0.5297753715836669
vwap_sell,0.24983848997031646,0.09976812408874525,0.1200206759624054,0.42253595634311797,0.22167816068620788,0.9366854905044072,0.5269665358445778
fair_value,0.250020319003049,0.10127883078328392,0.11935690031260648,0.4228434722276629,0.2250348508559437,0.9315051412426555,0.5264611547754207
wave_wavelength_z,0.3395280007284085,0.3522963979068231,0.026605014473249256,0.5742221245016725,0.7827792515662921,0.20763531643129804,0.521545564166421
garman_klass_vol_z,0.2801538848720377,0.4280851496215008,0.01772411860293044,0.4738064566500961,0.9511768358074165,0.13832553928078592,0.5211029439127661
high,0.2564196716512063,0.10294763469004165,0.11509112272507949,0.43366629056717204,0.22874282255507022,0.8982134442919816,0.5202075191380746
centripetal_accel_z,0.256040415280278,0.4380937865162831,0.01966810963232124,0.43302487837560594,0.9734153637749055,0.1534971601394408,0.5199791340966508
effective_spread_bps_z,0.25232855434999174,0.4339785601788345,0.020905486021643327,0.4267472439399452,0.964271603544618,0.1631541005030643,0.5180576493292092
value_area_low,0.2461470198897144,0.09823985103729338,0.11724129455165677,0.4162928076553217,0.21828243923542873,0.9149941759109,0.5165231409338835
reynolds_number,0.31959430074804807,0.41280546664634454,0.011150225918838963,0.5405095248711709,0.9172263927301461,0.08702046335161558,0.5149187936509775
value_area_high,0.2538007385027481,0.10366785532348444,0.1125462337049381,0.4292370554136376,0.2303431050778511,0.8783521945448374,0.5126441183454421
avg_visits_per_level_z,0.2972108042581335,0.37858812172941114,0.02460609079368492,0.5026537401328283,0.8411977197042387,0.19203498097026395,0.511962146935777
total_trades_z,0.2972108042581335,0.37858812172941114,0.02460609079368492,0.5026537401328283,0.8411977197042387,0.19203498097026395,0.511962146935777
inter_trade_entropy,0.30543298174183997,0.3802392927907331,0.02181275977658448,0.5165593862432957,0.8448665123892306,0.17023479851908802,0.5105535657172048
low,0.2427516139063679,0.09123965780736731,0.11750610728100241,0.4105503733549986,0.20272847373961853,0.9170608718304983,0.5101132396417052
max_monotonic_run,0.43473981178972226,0.2384735558603871,0.033742877302193275,0.7352478081212473,0.529872438900491,0.2633418227600648,0.5094873565939343
trades_per_second_z,0.2971892198897982,0.3786008230452675,0.02364389238192821,0.5026172358627388,0.841225941186431,0.1845256307349661,0.5094562692613785
sweep_count,0.4463788004642288,0.23474571965655638,0.03206281334206906,0.7549320897987167,0.5215894338770671,0.25022998580406686,0.5089171698266169
value_area_width_bps_z,0.24864648640889936,0.43479144439363915,0.017625162749537182,0.42051999649302596,0.9660777784049217,0.13755325141179425,0.5080503421032473
parkinson_vol_z,0.2734007924489517,0.4375603312503175,0.011097438276095328,0.46238538071579505,0.9722300615228311,0.08660848917600453,0.5070746438048769
