,tgt_ret_1,tgt_ret_2,tgt_ret_3,tgt_ret_5,tgt_ret_10,tgt_ret_magnitude_1,tgt_ret_magnitude_3,tgt_ret_magnitude_5,tgt_cum_ret_3,tgt_cum_ret_5,tgt_cum_ret_10,tgt_max_drawdown_long_3,tgt_max_drawup_long_3,tgt_max_drawdown_short_3,tgt_max_drawup_short_3,tgt_max_drawdown_long_5,tgt_max_drawup_long_5,tgt_max_drawdown_short_5,tgt_max_drawup_short_5,tgt_max_drawdown_long_10,tgt_max_drawup_long_10,tgt_max_drawdown_short_10,tgt_max_drawup_short_10,tgt_sharpe_5,tgt_sharpe_10,tgt_ret_risk_adj_1,tgt_ret_risk_adj_3,tgt_ret_risk_adj_5,tgt_realized_vol_5,tgt_realized_vol_10,tgt_range_bps_1,tgt_range_bps_3,tgt_range_bps_5,tgt_trend_strength_5,tgt_trend_strength_10,tgt_best_long_entry_pct,tgt_best_short_entry_pct,tgt_slippage_long_bps,tgt_slippage_short_bps,tgt_fwd_spread_bps_1,tgt_fwd_spread_bps_3,tgt_recovery_time_5,tgt_recovery_time_10,tgt_inventory_cost_3,tgt_inventory_cost_5,tgt_inventory_cost_10,tgt_relative_ret_1,tgt_relative_ret_3,tgt_relative_ret_5,tgt_alpha_1,tgt_alpha_3,tgt_alpha_5,tgt_kelly_5,tgt_kelly_10,tgt_optimal_horizon,tgt_pnl_long_bps_1,tgt_pnl_short_bps_1,tgt_pnl_long_bps_3,tgt_pnl_short_bps_3,tgt_pnl_long_bps_5,tgt_pnl_short_bps_5,tgt_pnl_long_bps_10,tgt_pnl_short_bps_10
lh_count_5_z,0.0035201737665532793,-0.008512539627467937,0.00045084757712093664,-0.026266470590995135,0.01472386570397807,-0.01659886823638767,0.004968072362036195,0.0333694657534568,-0.011356812312558126,-0.02468018838232524,-0.057701791861301976,-0.01858039267154675,-0.019006489664235782,0.019006489664235782,0.01858039267154675,-0.04051188262617231,-0.01607666387759514,0.01607666387759514,0.04051188262617231,-0.08245157329964742,-0.061251946556270746,0.061251946556270746,0.08245157329964742,-0.031716244624984964,-0.04743162719387906,0.01014618054313418,-0.006678136269364122,-0.028139904567230353,0.012136083023601748,0.029007030008193293,-0.004678173276252189,-0.001051153590013853,0.040698614188072454,-0.023219157498894683,-0.06366357947020662,-0.00034967880022201996,0.00035060542989227736,-0.0016400604499681047,0.0016400604499681047,-0.003591139212278449,0.00857879538920937,0.038535312310364375,0.07127967915170903,-0.006761947866934035,0.020284798840983838,0.033104540055080546,0.0007771318995935342,-0.0037272933996145455,-0.0285074710755883,0.0007771318995935342,-0.0037272933996145455,-0.0285074710755883,-0.03547569890866196,-0.06984792273341509,-0.061080090559034766,0.0035201737665532793,-0.0035201737665532793,-0.011356812312558126,0.011356812312558126,-0.02468018838232524,0.02468018838232524,-0.057701791861301976,0.057701791861301976
hh_count_10_z,0.03773038330510432,0.026260008061319413,0.013864298243140716,0.007982465517804769,-0.010092649004008634,-0.008239623484855976,-0.02271255168341113,-0.051866876602979395,0.0459434324370444,0.05093722764906401,0.07156376219763026,0.07978091994659592,0.07030233659923499,-0.07030233659923499,-0.07978091994659592,0.0914374129238604,0.072247955815449,-0.072247955815449,-0.0914374129238604,0.11906818657335219,0.10725713218137613,-0.10725713218137613,-0.11906818657335219,0.04849681664240455,0.06048346350584452,0.036379133795723675,0.0211229778894728,0.007901056576076891,-0.0456061723284948,-0.03562118813277292,-0.02212899739124901,-0.02579466149291051,-0.05847353002921847,0.03275350865633865,0.060559110982469765,-0.059939468818561,0.05993850846275934,0.056943983921474456,-0.056943983921474456,-0.02501223718388062,-0.040449880480602454,-0.03745832800298869,-0.08880365006348628,-0.029535377590069373,-0.05659645810621137,-0.046529186783940094,0.018600942718622285,-0.0023135058178883955,-0.007669400194036085,0.018600942718622285,-0.0023135058178883955,-0.007669400194036085,0.049158395682104374,0.08136675345641912,0.05502162233175217,0.03773038330510432,-0.03773038330510432,0.0459434324370444,-0.0459434324370444,0.05093722764906401,-0.05093722764906401,0.07156376219763026,-0.07156376219763026
ll_count_10_z,-0.01425336792205832,-0.009002891830796224,-0.007047855765956235,-0.0018971721402015315,0.034682577223286944,-0.0007588701025374247,-0.000977021291051868,0.01761226223192049,-0.016014384610052022,-0.0276841477280067,-0.011898185961562287,-0.04312699074114689,-0.038047571285692264,0.038047571285692264,0.04312699074114689,-0.047609270190618336,-0.05390769508829127,0.05390769508829127,0.047609270190618336,-0.046529926604396706,-0.08301749114137516,0.08301749114137516,0.046529926604396706,-0.01682855659383556,-0.0018926041405062126,-0.007474500085691971,-0.011646621346518213,-0.005778172931027854,-0.009208048899033977,-0.02037939870196199,0.011574218804838245,0.003911853392100687,0.018815399100674993,-0.01908294142099597,-0.008283394950533438,0.02186287907969551,-0.02186224026416354,-0.021015886569249735,0.021015886569249735,0.016151194575232796,0.009448994664108009,0.015494622426130976,0.023979266825681553,0.0007356395396964571,0.01124248622562332,-0.005083851960519179,0.0023193070961384818,0.005720053142743023,0.009875880055690038,0.0023193070961384818,0.005720053142743023,0.009875880055690038,-0.02750895286963571,-0.006887988782724676,-0.030307622451375093,-0.01425336792205832,0.01425336792205832,-0.016014384610052022,0.016014384610052022,-0.0276841477280067,0.0276841477280067,-0.011898185961562287,0.011898185961562287
hl_count_10_z,0.015446642779574861,0.011523155698330375,0.009689049909741837,0.002552915097070113,-0.03456697163164165,0.0015899095865528974,0.004618664983533573,-0.01628815047138071,0.02050877652440303,0.031867611698396706,0.016597857738080354,0.04420642706737379,0.04342244472748613,-0.04342244472748613,-0.04420642706737379,0.048835785869651704,0.060038506809490653,-0.060038506809490653,-0.048835785869651704,0.04839088026887519,0.09024210003682298,-0.09024210003682298,-0.04839088026887519,0.02139515977157674,0.006543908802126977,0.008452587904998761,0.014484647748994932,0.006218338576814392,0.012882977147385734,0.024340543037457828,-0.01070452123416456,0.00044855790385473003,-0.016196468590730054,0.023171614078565928,0.012238617298861464,-0.023152209376017283,0.0231515688603659,0.022230263216262546,-0.022230263216262546,-0.015291344297840502,-0.006074140734924557,-0.0215240994762973,-0.02929242219945577,0.0024650866040678236,-0.006843543437627777,0.008986291194181657,-0.0003692141246558468,-0.0024498362041786765,-0.00862053598735927,-0.0003692141246558468,-0.0024498362041786765,-0.00862053598735927,0.03239906035491406,0.011633852524313851,0.03412719565126461,0.015446642779574861,-0.015446642779574861,0.02050877652440303,-0.02050877652440303,0.031867611698396706,-0.031867611698396706,0.016597857738080354,-0.016597857738080354
lh_count_10_z,-0.03603466894513695,-0.02657343182036085,-0.014712767545526521,-0.006544486354829921,0.012726517705954912,0.012360647409702875,0.02579931366830137,0.05380527969260501,-0.045956728465399804,-0.05011481763856557,-0.06921807899417314,-0.08165229336955214,-0.06749469701191503,0.06749469701191503,0.08165229336955214,-0.09305767687256426,-0.07047539817625935,0.07047539817625935,0.09305767687256426,-0.11870151169524942,-0.10447644283711358,0.10447644283711358,0.11870151169524942,-0.04817946746182053,-0.058123376032994646,-0.034623925928038986,-0.02245518305868398,-0.006862365218566531,0.04971870716302772,0.037126199587830366,0.026732651440030265,0.029682853415895747,0.05960838805055419,-0.032935555787504886,-0.05853480773284294,0.058016311992467685,-0.05801534823770383,-0.055331195933417364,0.055331195933417364,0.02980966795504099,0.046801568037293434,0.036347531828245204,0.08831653532161544,0.034715736783464714,0.06154134502962572,0.04958936853980247,-0.018784187576291748,-0.0003559943862212488,0.007234930617608046,-0.018784187576291748,-0.0003559943862212488,0.007234930617608046,-0.04678295223852701,-0.08043735527511903,-0.054215770818050346,-0.03603466894513695,0.03603466894513695,-0.045956728465399804,0.045956728465399804,-0.05011481763856557,0.05011481763856557,-0.06921807899417314,0.06921807899417314
ms_score_5_z,-0.016334754176861886,0.006542388904800968,-0.01272005054074228,0.016391758021512336,-0.013182007630938446,0.0045020377244154456,-0.008129222353794348,-0.02998147016692687,-0.003360425107306081,0.008047059276119695,0.040496115097684825,0.0037047586904425645,0.0051195318453508545,-0.0051195318453508545,-0.0037047586904425645,0.02700228407388391,0.000806632556271093,-0.000806632556271093,-0.02700228407388391,0.061883776155669847,0.049504847841915625,-0.049504847841915625,-0.061883776155669847,0.009733146888028631,0.03141495717197552,-0.026989128095383147,-0.005084253198820747,0.016764975923854397,-0.011157109281536829,-0.018448850626396007,0.005982722614856743,-0.00043582059773096624,-0.04519460532032016,0.008282935258877864,0.04807995438989936,0.019749243874222448,-0.019749906190394528,-0.016196890003818867,0.016196890003818867,0.0035415640966547017,-0.008108455178799847,-0.02778442666499625,-0.06625294087606595,-0.001312908806668136,-0.025652379695335268,-0.02560274694030051,-0.012556121586765473,-0.008642110694635786,0.01920031190868137,-0.012556121586765473,-0.008642110694635786,0.01920031190868137,0.020683335385253465,0.05242451996967626,0.04743098215761497,-0.016334754176861886,0.016334754176861886,-0.003360425107306081,0.003360425107306081,0.008047059276119695,-0.008047059276119695,0.040496115097684825,-0.040496115097684825
ms_score_10_z,0.0260655729283444,0.018897497356143017,0.010341572578890127,0.005407452647098216,-0.025368120571200265,-0.009373885662755007,-0.019226902328901847,-0.043329279387187475,0.033581241770638995,0.041922230940010075,0.04409636516745509,0.07373851665339057,0.055935848835637,-0.055935848835637,-0.07373851665339057,0.08239432386215707,0.06614904492535705,-0.06614904492535705,-0.08239432386215707,0.09499140478299828,0.10046982116169215,-0.10046982116169215,-0.09499140478299828,0.034458906204561275,0.031868858987661064,0.020715133759041625,0.017541262815462474,0.008138863331671669,-0.0294853303144337,-0.019041470235578145,-0.022723655654052547,-0.0253033295289411,-0.04902282046479808,0.027543010340396672,0.035413728549057166,-0.0439688576682616,0.043968001000085945,0.04246921845245376,-0.04246921845245376,-0.025511354011271414,-0.03613476271913198,-0.028353046181430246,-0.057212275861432536,-0.026276624915043033,-0.04971165583607267,-0.03589044935449232,0.005539531634434719,-0.006417985868387402,-0.010600204790898644,0.005539531634434719,-0.006417985868387402,-0.010600204790898644,0.0397768568869583,0.04577684551413602,0.048102873987766005,0.0260655729283444,-0.0260655729283444,0.033581241770638995,-0.033581241770638995,0.041922230940010075,-0.041922230940010075,0.04409636516745509,-0.04409636516745509
hh_streak_z,0.02690411136315489,0.010990562630072297,0.02958903867891226,-0.019362837274925618,0.011658610041957427,0.01633617251920044,0.004064572534243003,-0.00808295331582975,0.03427793621919055,0.016542016121727385,0.05076543001406201,0.014520544904205405,0.03933440277757684,-0.03933440277757684,-0.014520544904205405,0.02658339677194011,0.027398704648018066,-0.027398704648018066,-0.02658339677194011,0.05292852476644145,0.041042818862140756,-0.041042818862140756,-0.05292852476644145,0.027058569061365993,0.047625687166567225,0.022244690799671233,0.036898452871340956,-0.01876105468958941,0.02575976260987309,0.0031567343225735087,0.02678164461034028,0.027354334583369933,-0.018111421249660503,0.007714095421591394,0.04391371810722343,-0.016414926626130942,0.016414465998410562,0.025938972682066547,-0.025938972682066547,0.026059624155239984,0.02991586450116471,-0.03445817682463176,-0.06526733677965797,0.028317200470307797,0.025044904755964895,0.002069454634414422,0.05387427993668631,0.05497667859437644,0.013395664794680419,0.05387427993668631,0.05497667859437644,0.013395664794680419,0.021175305085137347,0.057967619289271355,0.0065736844393847,0.02690411136315489,-0.02690411136315489,0.03427793621919055,-0.03427793621919055,0.016542016121727385,-0.016542016121727385,0.05076543001406201,-0.05076543001406201
ll_streak_z,-0.02634622167136575,-0.022058408965500927,0.00680520461940316,0.07358961293690611,-0.009687716943901354,0.021823614804159272,-0.020146802724755646,0.016836918193788943,-0.0207386729047237,0.02184497746135023,-0.013508965557347126,-0.010769449873461,-0.032768966311584304,0.032768966311584304,0.010769449873461,-0.0023526169567495364,-0.0093367749451439,0.0093367749451439,0.0023526169567495364,-0.007669563433742633,-0.018053700187893897,0.018053700187893897,0.007669563433742633,0.02445411262422236,-0.01013341906472486,-0.024011008093900214,0.007343832551292501,0.06567806522302361,-0.0158671405637802,-0.023693322823847934,0.018441977735257173,-0.02738836879862301,-0.017181376976525803,0.0373839290349822,0.0002626774243189722,0.021699326705940134,-0.021699319334356797,-0.021711942999748334,0.021711942999748334,0.018891232923986426,-0.006648600702822118,0.007842665960064886,0.017927060312369833,-0.012147114445438806,-0.014638252529251975,-0.016763888902893938,-0.055254670369447804,-0.02210817669831085,0.03863001988953044,-0.055254670369447804,-0.02210817669831085,0.03863001988953044,0.0158867309297156,-0.005458648342543256,0.019904924978618555,-0.02634622167136575,0.02634622167136575,-0.0207386729047237,0.0207386729047237,0.02184497746135023,-0.02184497746135023,-0.013508965557347126,0.013508965557347126
bos_net_z,0.00978139978613684,-0.01876154187045608,0.024997514270716052,-0.014226908928390845,-0.022258513314856496,-0.018408213129927378,-0.007018374713068613,-0.0228215471303837,0.01076853666763407,0.019795844051002424,0.046372402694735956,0.010933033980205306,-0.009717191955289566,0.009717191955289566,-0.010933033980205306,0.028165352133329935,-0.0061661844800253805,0.0061661844800253805,-0.028165352133329935,0.04546471581572526,0.03208810081547041,-0.03208810081547041,-0.04546471581572526,0.0020329769730497763,0.029677815352538172,0.0008260771169518637,0.03264564027712467,-0.01071377738146745,0.00992836717443071,0.010177449269046042,-0.024818453277513853,0.0008526760986046582,-0.010481329005153299,0.012134711727047562,0.05336202590288878,0.0048426005055912475,-0.004842706468425938,0.0025211748639002267,-0.0025211748639002267,-0.0297223197366912,-0.01664220079739456,-0.031375689790701516,-0.04838048570309349,-0.005187563704415378,-0.004347620872535198,0.0031215406437526167,0.04701274868559408,0.06026062760332233,0.03345646360513468,0.04701274868559408,0.06026062760332233,0.03345646360513468,0.01843441611546755,0.04254322813902904,0.012704150611005735,0.00978139978613684,-0.00978139978613684,0.01076853666763407,-0.01076853666763407,0.019795844051002424,-0.019795844051002424,0.046372402694735956,-0.046372402694735956
