,tgt_ret_1,tgt_ret_3,tgt_ret_5,tgt_cum_ret_5,tgt_cum_ret_10,tgt_sharpe_5,tgt_sharpe_10,tgt_profitable_long_3,tgt_profitable_long_5,tgt_profitable_short_3,tgt_profitable_short_5
is_swing_low,0.038032637942592595,0.0,0.0016051561700041184,0.002516015542283423,0.0,0.014278732748967293,0.0026564010968961327,0.021669757718568494,0.008708439214874186,0.0165270841252112,0.0038299749282550977
last_swing_high,0.008918293067629257,0.007098102688523511,0.0071542180988739545,0.06905843849816495,0.1052233308956616,0.03588212296328486,0.11712165603139901,0.08116166994561791,0.133809021880539,0.08451451892538087,0.13365501068439922
last_swing_low,0.011617047615174236,0.0025975409412257733,0.015837494531909968,0.06318033131860545,0.1251438486328471,0.050639392201420996,0.12267757883584363,0.10405944106070963,0.13274679633305153,0.10612495958501134,0.13362639842162194
bos_bullish,0.0,0.003877343064039085,0.0006688472687506053,0.005266337425728018,0.003064186812359093,0.0,0.0,0.0,0.0,0.0,0.0
bos_bearish,0.0,0.0,0.0,0.0023837508312134492,0.0,0.007609117248629893,0.0,0.0,0.0,0.0,0.0
bos_net,0.0,0.0007990337894523414,0.0,0.009189211838893652,0.0,0.0052726695244147415,0.00035840437696466054,0.0021234606520850186,0.0,0.0,0.0003250283477855831
choch_bullish,0.0029337765877242017,0.0,0.0,0.0,0.0,0.0007445316209921948,0.0,0.011465241231061185,0.002322294798585922,0.012979850123536973,0.0009135222590535008
choch_bearish,0.0013497166794556037,0.0008623329245094347,0.0029532481567613456,0.0046447908264937166,0.00013087337578920888,0.0009292063638162151,0.0,0.0035338883787914277,0.012284231767852205,0.0,0.0156784567841588
choch_net,0.004471930412509373,3.4536244960081675e-05,0.0,0.00299361298192502,0.0,0.0013030525415786975,0.0,0.0,0.003506449520128463,0.0,0.006539831385795392
bos_bullish_count_5,0.010236190510672039,0.0013039404755526007,0.0019837141117990953,0.00889155251376117,0.014632123105110306,0.0032956499572649456,0.0026544315532635032,0.014238987987879259,0.0,0.019273853369168314,0.0
bos_bearish_count_5,0.009011527020006405,0.0,0.0,0.0,0.025439209500234927,0.015022492056425918,0.016216759007558146,0.008211642655568063,0.0,0.008159950602148136,0.0
