target,mean_holdout,std_holdout,min_holdout,max_holdout,n_splits,all_positive,is_binary,avg_n_features
tgt_adverse_selection_5,0.03304242244245662,0.013509553540750624,0.018184563021519495,0.044587302461318146,3,True,True,13.0
tgt_best_side_1,0.0313305898491083,,0.0313305898491083,0.0313305898491083,1,False,True,20.0
tgt_ret_sign_1,0.0313305898491083,,0.0313305898491083,0.0313305898491083,1,False,True,20.0
tgt_fill_prob_short_3,0.030153117853788658,0.11493081618182968,-0.0511152416356877,0.11142147734326502,2,False,True,20.0
tgt_fill_prob_long_1,0.027972425874709477,0.15196027214323343,-0.14749536178107608,0.11617100371747213,3,False,True,20.0
tgt_ret_sign_3,0.027757582408537873,,0.027757582408537873,0.027757582408537873,1,False,True,20.0
tgt_adverse_selection_3,0.01920732550016017,0.012373171315742358,0.006605028875567465,0.031337878434546496,3,True,True,12.333333333333334
tgt_best_side_3,0.015499076606783735,0.005338596283072848,0.011724118973005626,0.019274034240561844,2,False,True,20.0
tgt_best_side_5,0.01525489314645051,0.011345161362901332,0.007232652613087365,0.023277133679813655,2,False,True,20.0
tgt_mean_reversion_5,0.013660344733427365,0.14312176674162022,-0.11887026691495961,0.16542750929368033,3,False,True,20.0
tgt_fill_prob_short_1,0.006454233095424339,0.14844610042022555,-0.09851301115241634,0.11142147734326502,2,False,True,20.0
tgt_ret_sign_10,0.0036149867610540953,,0.0036149867610540953,0.0036149867610540953,1,False,True,20.0
tgt_regime_change_5,-0.01853301370502049,0.054651184853424455,-0.06290969710669075,0.04251127327557991,3,False,True,20.0
tgt_mid_reversion_3,-0.03253249005320108,0.16415280623448988,-0.20569029850746268,0.120817843866171,3,False,True,20.0
tgt_ret_sign_5,-0.05066121597892892,,-0.05066121597892892,-0.05066121597892892,1,False,True,20.0
tgt_regime_change_10,-0.1025863536414371,0.07782808518647628,-0.16837518485018166,-0.016672289698605458,3,False,True,20.0
tgt_mid_reversion_1,-0.13745441013430676,0.04203433810098424,-0.17817164179104478,-0.09421641791044777,3,False,True,20.0
tgt_mean_reversion_10,-0.33116883116883117,,-0.33116883116883117,-0.33116883116883117,1,False,True,20.0
